Date,Open,High,Low,Close,Volume
2000-01-03,67.02,67.4,66.56,66.87,0
2000-01-04,66.75,67.87,66.68,67.66,0
2000-01-05,67.58,68.72,67.24,68.68,0
2000-01-06,68.63,69.06,68.27,68.82,0
2000-01-07,68.69,69.22,68.49,69,0
2000-01-10,68.75,69.17,68.36,68.96,0
2000-01-11,68.87,69.8,68.82,69.8,0
2000-01-12,69.65,69.89,69.43,69.76,0
2000-01-13,69.69,70.96,69.52,70.89,0
2000-01-14,70.85,70.93,70.11,70.46,0
2000-01-17,70.37,70.43,69.41,69.76,0
2000-01-18,69.66,70.39,69.46,70.39,0
2000-01-19,70.35,70.5,69.67,69.93,0
2000-01-20,69.85,70.4,69.61,70.13,0
2000-01-21,70.11,70.21,69.27,69.44,0
2000-01-24,69.32,69.44,68.66,69.16,0
2000-01-25,69.08,69.56,68.94,69.5,0
2000-01-26,69.44,69.54,68.68,68.93,0
2000-01-27,68.9,69.12,68.36,68.85,0
2000-01-28,68.66,68.82,66.59,67.74,0
2000-01-31,68.26,68.52,67.57,68.4,0
2000-02-01,68.4,68.71,67.64,68.17,0
2000-02-02,68.18,69.68,68.15,69.03,0
2000-02-03,68.94,69.19,68.09,68.49,0
2000-02-04,68.41,68.49,67.54,68.24,0
2000-02-07,68.38,69.74,68.28,68.75,0
2000-02-08,68.77,69.73,68.63,69.14,0
2000-02-09,69.31,69.51,68.45,69.23,0
2000-02-10,69.17,69.28,68.38,68.94,0
2000-02-11,68.85,69.37,68.29,68.59,0
2000-02-14,68.93,68.96,68.01,68.25,0
2000-02-15,68.31,68.83,67.77,68.61,0
2000-02-16,68.64,69.15,68.52,69.15,0
2000-02-17,69.15,70.02,68.9,69.94,0
2000-02-18,69.82,70.22,69.61,69.84,0
2000-02-21,69.72,69.9,69.19,69.78,0
2000-02-22,69.55,69.96,68.88,69.17,0
2000-02-23,69.14,69.17,68.37,68.99,0
2000-02-24,69.01,69.33,67.87,68.47,0
2000-02-25,68.35,68.98,67.74,67.86,0
2000-02-28,67.86,68.13,66.36,67.34,0
2000-02-29,67.28,68.18,67.14,68.18,0
2000-03-01,68.06,68.12,64.65,64.85,0
2000-03-02,64.91,65.7,64.45,65.4,0
2000-03-03,65.37,65.72,65.09,65.57,0
2000-03-06,65.59,65.63,64.47,64.65,0
2000-03-07,64.74,65.1,63.77,64.29,0
2000-03-08,64.21,65.28,64.03,65.28,0
2000-03-09,65.26,65.73,65.02,65.66,0
2000-03-10,65.55,65.55,65.01,65.35,0
2000-03-13,65.11,65.33,64.35,65.04,0
2000-03-14,65.02,65.15,64.25,64.67,0
2000-03-15,64.61,65.13,64.07,64.82,0
2000-03-16,64.79,64.96,64.18,64.52,0
2000-03-17,64.37,64.93,64.02,64.74,0
2000-03-20,64.81,64.94,64.23,64.7,0
2000-03-21,64.65,65.37,64.5,65.18,0
2000-03-22,65.1,65.13,64.48,64.76,0
2000-03-23,64.64,65.12,64.53,65,0
2000-03-24,64.95,65.4,64.69,65.02,0
2000-03-27,65.03,65.79,64.87,65.29,0
2000-03-28,65.44,65.57,64.86,65.15,0
2000-03-29,65.08,65.33,63.81,64.66,0
2000-03-30,64.54,64.82,63.87,64.6,0
2000-03-31,64.64,65.01,61.44,62.46,0
2000-04-03,62.67,64.03,62.38,63.8,0
2000-04-04,63.84,64,62.96,63.64,0
2000-04-05,63.53,63.89,63.25,63.58,0
2000-04-06,63.35,63.67,62.69,63,0
2000-04-07,62.97,63.32,62.55,63.04,0
2000-04-10,62.98,63.99,62.78,63.32,0
2000-04-11,63.49,63.82,63.16,63.71,0
2000-04-12,63.65,63.77,62.52,63.19,0
2000-04-13,63.24,63.6,62.95,63.13,0
2000-04-14,63.28,63.48,62.53,62.62,0
2000-04-17,62.75,63.57,61.06,61.82,0
2000-04-18,61.6,62.34,61.56,62.28,0
2000-04-19,62.09,62.86,62.04,62.4,0
2000-04-20,62.45,62.81,62.06,62.6,0
2000-04-21,62.57,62.99,62.44,62.68,0
2000-04-24,62.64,62.96,62.36,62.88,0
2000-04-25,62.79,63.09,62.49,63.09,0
2000-04-26,63.03,63.04,62.01,62.45,0
2000-04-27,62.53,62.8,62.28,62.48,0
2000-04-28,62.32,63.31,62.31,63.16,0
2000-05-01,63.08,63.5,62.46,63.34,0
2000-05-02,63.27,63.92,63.17,63.41,0
2000-05-03,63.39,64.74,63.23,64.58,0
2000-05-04,64.47,64.6,63.49,63.84,0
2000-05-05,63.75,64.84,63.46,64.81,0
2000-05-08,64.8,65.11,63.2,63.27,0
2000-05-09,63.21,63.94,62.84,63.77,0
2000-05-10,63.9,63.91,63.17,63.65,0
2000-05-11,63.59,63.98,62.32,63.07,0
2000-05-12,62.96,63.25,62.34,62.85,0
2000-05-15,63.32,63.34,62.36,62.48,0
2000-05-16,62.44,63.5,62.32,63.29,0
2000-05-17,63.1,63.18,61.81,62.09,0
2000-05-18,62.14,62.48,61.6,62.22,0
2000-05-19,61.96,62.36,60.84,61.43,0
2000-05-22,61.33,61.69,60.76,61.25,0
2000-05-23,61.22,61.79,60.92,61.24,0
2000-05-24,60.99,61.71,60.62,61.46,0
2000-05-25,61.55,61.7,60.94,61.03,0
2000-05-26,60.98,61.61,60.59,61.44,0
2000-05-29,61.36,61.58,61.13,61.27,0
2000-05-30,61.14,61.99,61.09,61.32,0
2000-05-31,61.24,61.8,60.94,61.62,0
2000-06-01,61.61,62.44,61.25,62.03,0
2000-06-02,62.16,62.92,61.72,62.71,0
2000-06-05,62.79,63,62.27,62.46,0
2000-06-06,62.48,62.65,61.9,62.24,0
2000-06-07,62.18,62.77,61.93,62.54,0
2000-06-08,62.4,62.78,61.96,62.44,0
2000-06-09,62.03,62.85,62.03,62.83,0
2000-06-12,62.66,63.19,62.53,63.19,0
2000-06-13,63.18,63.93,62.79,63.78,0
2000-06-14,63.76,64.43,63.6,63.92,0
2000-06-15,63.85,64.33,63.54,64.17,0
2000-06-16,64.03,64.9,63.99,64.51,0
2000-06-19,64.44,64.58,63.46,63.65,0
2000-06-20,63.56,64.11,63.34,63.61,0
2000-06-21,63.49,63.67,62.92,63.53,0
2000-06-22,63.49,63.54,61.89,62.41,0
2000-06-23,62.32,62.59,61.88,62.3,0
2000-06-26,62.13,63.15,61.67,63.05,0
2000-06-27,62.96,63.77,62.93,63.38,0
2000-06-28,63.25,63.61,63.21,63.6,0
2000-06-29,63.58,63.78,62.64,63.34,0
2000-06-30,63.29,63.73,62.48,63.3,0
2000-07-03,63.34,63.92,63.17,63.23,0
2000-07-04,63.17,63.75,63.09,63.54,0
2000-07-05,63.33,63.52,62.91,62.98,0
2000-07-06,62.98,63.63,62.91,63.43,0
2000-07-07,63.43,63.84,62.92,63.84,0
2000-07-10,63.74,63.84,63.23,63.45,0
2000-07-11,63.39,63.46,62.76,62.91,0
2000-07-12,62.94,64,62.82,63.61,0
2000-07-13,63.57,64.01,62.59,63.27,0
2000-07-14,63.2,63.54,62.75,62.95,0
2000-07-17,62.92,63.86,62.43,63.51,0
2000-07-18,63.41,63.48,62.74,62.87,0
2000-07-19,62.86,63.03,62.15,62.44,0
2000-07-20,62.33,62.9,62.15,62.82,0
2000-07-21,62.71,63.99,62.42,63.87,0
2000-07-24,63.71,64.06,63.5,63.68,0
2000-07-25,63.56,64.15,63.33,63.89,0
2000-07-26,63.82,64.65,63.6,64.58,0
2000-07-27,64.51,64.84,64.06,64.17,0
2000-07-28,64.15,64.59,64.02,64.4,0
2000-07-31,64.3,64.32,63.08,63.52,0
2000-08-01,63.48,63.67,63.01,63.22,0
2000-08-02,63.29,63.69,62.39,63.65,0
2000-08-03,63.64,63.99,62.94,63.51,0
2000-08-04,63.42,63.69,62.86,63.69,0
2000-08-07,63.63,64.05,63.49,64.03,0
2000-08-08,63.95,64.26,63.23,63.4,0
2000-08-09,63.29,63.52,62.21,62.4,0
2000-08-10,62.39,63.37,62.22,63.36,0
2000-08-11,63.36,63.51,62.71,62.76,0
