Date,Open,High,Low,Close,Volume
2000-01-03,1.4531,1.4855,1.4483,1.4849,0
2000-01-04,1.4832,1.4986,1.4762,1.4973,0
2000-01-05,1.4953,1.5122,1.492,1.4954,0
2000-01-06,1.4959,1.5139,1.4941,1.5068,0
2000-01-07,1.5064,1.5082,1.4943,1.4983,0
2000-01-10,1.498,1.5003,1.4835,1.4929,0
2000-01-11,1.493,1.5067,1.4897,1.5067,0
2000-01-12,1.503,1.5097,1.4925,1.4997,0
2000-01-13,1.4992,1.4997,1.4837,1.4872,0
2000-01-14,1.4871,1.4894,1.4647,1.4688,0
2000-01-17,1.4683,1.4724,1.4601,1.4666,0
2000-01-18,1.4668,1.4714,1.4571,1.4692,0
2000-01-19,1.469,1.4737,1.4625,1.4701,0
2000-01-20,1.471,1.4745,1.4559,1.472,0
2000-01-21,1.4705,1.4733,1.4484,1.4534,0
2000-01-24,1.4429,1.4533,1.4405,1.4533,0
2000-01-25,1.4533,1.4572,1.4359,1.4376,0
2000-01-26,1.4378,1.4456,1.4353,1.4405,0
2000-01-27,1.441,1.4428,1.4128,1.4184,0
2000-01-28,1.4163,1.423,1.4023,1.4098,0
2000-01-31,1.4137,1.4227,1.4002,1.4019,0
2000-02-01,1.4037,1.4162,1.3982,1.4078,0
2000-02-02,1.4068,1.4143,1.4015,1.4043,0
2000-02-03,1.4028,1.4326,1.3964,1.4273,0
2000-02-04,1.4279,1.4331,1.4085,1.4154,0
2000-02-07,1.4164,1.42,1.4014,1.42,0
2000-02-08,1.4206,1.437,1.4154,1.4244,0
2000-02-09,1.4232,1.4381,1.4218,1.4365,0
2000-02-10,1.435,1.4394,1.4243,1.4274,0
2000-02-11,1.4267,1.4323,1.413,1.4299,0
2000-02-14,1.429,1.4396,1.4212,1.4254,0
2000-02-15,1.4243,1.4374,1.422,1.4285,0
2000-02-16,1.4276,1.4357,1.4236,1.4337,0
2000-02-17,1.4325,1.4463,1.4285,1.4338,0
2000-02-18,1.4321,1.4358,1.4208,1.4321,0
2000-02-21,1.4276,1.4373,1.4272,1.4373,0
2000-02-22,1.436,1.4729,1.4356,1.4677,0
2000-02-23,1.467,1.4758,1.4631,1.4649,0
2000-02-24,1.4646,1.4674,1.4405,1.4451,0
2000-02-25,1.4418,1.4438,1.4095,1.4111,0
2000-02-28,1.4116,1.4155,1.3605,1.4083,0
2000-02-29,1.4103,1.4205,1.3947,1.3978,0
2000-03-01,1.3982,1.413,1.3929,1.411,0
2000-03-02,1.4101,1.4185,1.3966,1.4043,0
2000-03-03,1.4043,1.409,1.3905,1.3925,0
2000-03-06,1.3889,1.4044,1.3866,1.3938,0
2000-03-07,1.3928,1.3993,1.3829,1.3958,0
2000-03-08,1.393,1.4044,1.3886,1.3996,0
2000-03-09,1.3979,1.4132,1.3961,1.408,0
2000-03-10,1.4074,1.41,1.3955,1.4042,0
2000-03-13,1.4022,1.4182,1.4002,1.4098,0
2000-03-14,1.4075,1.4185,1.4022,1.4185,0
2000-03-15,1.4176,1.4243,1.4109,1.4194,0
2000-03-16,1.4171,1.4328,1.4143,1.4311,0
2000-03-17,1.4278,1.4313,1.4217,1.4303,0
2000-03-20,1.4297,1.4315,1.4216,1.4298,0
2000-03-21,1.4288,1.4307,1.4113,1.4174,0
2000-03-22,1.4125,1.4153,1.4055,1.4128,0
2000-03-23,1.4117,1.4321,1.41,1.4281,0
2000-03-24,1.4266,1.4313,1.4186,1.4293,0
2000-03-27,1.4286,1.4309,1.4055,1.4092,0
2000-03-28,1.409,1.4125,1.3944,1.3964,0
2000-03-29,1.3952,1.3973,1.3778,1.3857,0
2000-03-30,1.3843,1.3999,1.3843,1.3976,0
2000-03-31,1.3974,1.4008,1.3835,1.3856,0
2000-04-03,1.3857,1.3928,1.3772,1.3847,0
2000-04-04,1.3826,1.4167,1.379,1.3952,0
2000-04-05,1.3955,1.4121,1.3929,1.3952,0
2000-04-06,1.3927,1.3996,1.3868,1.3922,0
2000-04-07,1.3918,1.4002,1.3858,1.3928,0
2000-04-10,1.3905,1.4079,1.3892,1.4079,0
2000-04-11,1.4065,1.4118,1.3981,1.4033,0
2000-04-12,1.4018,1.4055,1.3911,1.4027,0
2000-04-13,1.402,1.4056,1.3893,1.4024,0
2000-04-14,1.4017,1.4211,1.398,1.4211,0
2000-04-17,1.4233,1.4307,1.4126,1.4145,0
2000-04-18,1.4135,1.4147,1.3973,1.4007,0
