Date,Open,High,Low,Close,Volume
2000-01-03,7.8119,7.9938,7.8119,7.9819,0
2000-01-04,7.9621,8.0436,7.9395,8.0196,0
2000-01-05,8.0072,8.0899,7.9948,8.024,0
2000-01-06,8.0266,8.0993,7.9874,8.0298,0
2000-01-07,8.0295,8.0342,7.9716,8.0046,0
2000-01-10,7.9994,8.0107,7.941,7.9781,0
2000-01-11,7.9758,8.0412,7.9625,8.0395,0
2000-01-12,8.0274,8.0647,7.9773,8.0215,0
2000-01-13,8.0179,8.0251,7.9602,7.9766,0
2000-01-14,7.9792,7.9878,7.8633,7.8817,0
2000-01-17,7.8757,7.8923,7.8291,7.8703,0
2000-01-18,7.8719,7.8878,7.8329,7.8805,0
2000-01-19,7.8838,7.9058,7.843,7.8773,0
2000-01-20,7.8829,7.9241,7.8327,7.9145,0
2000-01-21,7.9115,7.9261,7.8138,7.8502,0
2000-01-24,7.7956,7.8395,7.7754,7.8395,0
2000-01-25,7.8358,7.8537,7.7673,7.7848,0
2000-01-26,7.7873,7.821,7.7711,7.7897,0
2000-01-27,7.7912,7.8003,7.6753,7.6903,0
2000-01-28,7.6826,7.694,7.5723,7.5888,0
2000-01-31,7.6065,7.6457,7.5221,7.5446,0
2000-02-01,7.5475,7.6092,7.5159,7.5634,0
2000-02-02,7.5581,7.6291,7.5362,7.5947,0
2000-02-03,7.5929,7.7383,7.5527,7.7066,0
2000-02-04,7.7071,7.733,7.5819,7.6476,0
2000-02-07,7.6513,7.6513,7.5875,7.6333,0
2000-02-08,7.6339,7.7118,7.6121,7.6694,0
2000-02-09,7.6674,7.752,7.6626,7.7338,0
2000-02-10,7.7335,7.7477,7.647,7.6659,0
2000-02-11,7.6634,7.6832,7.613,7.6796,0
2000-02-14,7.6728,7.7183,7.6032,7.6142,0
2000-02-15,7.6068,7.6716,7.5943,7.6362,0
2000-02-16,7.6314,7.6832,7.6156,7.6789,0
2000-02-17,7.6745,7.7468,7.6529,7.6891,0
2000-02-18,7.6853,7.7034,7.6284,7.6756,0
2000-02-21,7.6605,7.6945,7.656,7.6836,0
2000-02-22,7.6822,7.8424,7.6796,7.8134,0
2000-02-23,7.8108,7.8513,7.7877,7.8059,0
2000-02-24,7.808,7.8133,7.6935,7.7294,0
2000-02-25,7.7246,7.7254,7.5646,7.584,0
2000-02-28,7.5848,7.5848,7.3077,7.5636,0
2000-02-29,7.561,7.6764,7.4827,7.5081,0
2000-03-01,7.5051,7.6008,7.4888,7.578,0
2000-03-02,7.5732,7.6216,7.4799,7.506,0
2000-03-03,7.5057,7.5312,7.4596,7.4685,0
2000-03-06,7.4508,7.5262,7.4367,7.4674,0
2000-03-07,7.4625,7.4913,7.413,7.4677,0
2000-03-08,7.4566,7.4964,7.409,7.4794,0
2000-03-09,7.4761,7.5502,7.467,7.5227,0
2000-03-10,7.5233,7.5386,7.4687,7.4964,0
2000-03-13,7.4913,7.5721,7.4835,7.51,0
2000-03-14,7.4991,7.5368,7.4664,7.5368,0
2000-03-15,7.5355,7.559,7.5007,7.5314,0
2000-03-16,7.5189,7.5811,7.507,7.5628,0
2000-03-17,7.5471,7.5723,7.5161,7.5697,0
2000-03-20,7.5705,7.5871,7.5369,7.5762,0
2000-03-21,7.5756,7.5795,7.498,7.5051,0
2000-03-22,7.483,7.4974,7.4527,7.4842,0
2000-03-23,7.4779,7.5721,7.4733,7.5652,0
2000-03-24,7.562,7.6097,7.5268,7.6076,0
2000-03-27,7.6052,7.6195,7.4966,7.5261,0
2000-03-28,7.5274,7.5508,7.4718,7.4789,0
2000-03-29,7.4741,7.4756,7.3775,7.4093,0
