Date,Open,High,Low,Close,Volume
2000-01-03,1.915,1.9554,1.9143,1.9546,0
2000-01-04,1.9509,1.9863,1.9396,1.9817,0
2000-01-05,1.9811,2.0065,1.9769,1.9838,0
2000-01-06,1.9808,2.0141,1.9808,2.0091,0
2000-01-07,2.0076,2.0106,1.9803,1.9866,0
2000-01-10,1.9894,1.9989,1.9731,1.9891,0
2000-01-11,1.9874,2.0012,1.9811,2.0001,0
2000-01-12,1.9954,1.9998,1.9761,1.9859,0
2000-01-13,1.9848,1.9893,1.9531,1.9585,0
2000-01-14,1.9576,1.972,1.9377,1.9439,0
2000-01-17,1.9447,1.9553,1.9392,1.9444,0
2000-01-18,1.9465,1.9611,1.9382,1.9472,0
2000-01-19,1.9535,1.9725,1.95,1.9679,0
2000-01-20,1.9681,1.9861,1.9522,1.9804,0
2000-01-21,1.9761,1.9817,1.9591,1.9726,0
2000-01-24,1.9645,1.9855,1.962,1.9855,0
2000-01-25,1.9829,1.9903,1.9568,1.9684,0
2000-01-26,1.9681,1.979,1.9612,1.9691,0
2000-01-27,1.9676,1.9731,1.9456,1.9529,0
2000-01-28,1.9558,2.0174,1.9531,1.9834,0
2000-01-31,1.9784,1.9948,1.9546,1.9581,0
2000-02-01,1.9555,1.9897,1.9468,1.9763,0
2000-02-02,1.9704,1.9948,1.9592,1.9822,0
2000-02-03,1.9773,2.0047,1.9565,2.0017,0
2000-02-04,1.9964,2.0152,1.9681,1.9804,0
2000-02-07,1.9823,1.9898,1.9606,1.986,0
2000-02-08,1.9844,2.01,1.976,2.0054,0
2000-02-09,2.0002,2.0288,1.9935,2.0135,0
2000-02-10,2.0105,2.0191,1.9859,2.0051,0
2000-02-11,2.0039,2.017,1.9834,2.0086,0
2000-02-14,2.0014,2.0231,1.9887,2.0111,0
2000-02-15,2.0082,2.029,1.9996,2.017,0
2000-02-16,2.0121,2.0149,1.9894,2,0
2000-02-17,2.0006,2.0242,1.9875,1.9997,0
2000-02-18,1.9974,2.0118,1.9899,2.0077,0
2000-02-21,2.0075,2.0221,2.002,2.0195,0
2000-02-22,2.0196,2.0568,2.0192,2.0438,0
2000-02-23,2.0423,2.0804,2.0423,2.0609,0
2000-02-24,2.049,2.056,2.0255,2.0385,0
2000-02-25,2.0361,2.0391,1.99,2.0015,0
2000-02-28,1.9963,2.0139,1.9353,1.9983,0
2000-02-29,1.9963,2.0304,1.9652,1.967,0
2000-03-01,1.968,2.0186,1.9659,1.9995,0
2000-03-02,1.9957,2.0017,1.9649,1.9794,0
2000-03-03,1.9781,1.9843,1.9484,1.9647,0
2000-03-06,1.9561,2.0039,1.9496,1.989,0
2000-03-07,1.9839,1.996,1.9645,1.9804,0
2000-03-08,1.9753,1.9922,1.9547,1.9703,0
2000-03-09,1.9658,1.9802,1.9506,1.9561,0
2000-03-10,1.9565,1.9633,1.9326,1.9484,0
2000-03-13,1.9529,1.9815,1.9463,1.9527,0
2000-03-14,1.949,1.9863,1.9478,1.9819,0
2000-03-15,1.985,1.9947,1.9622,1.9772,0
2000-03-16,1.9745,1.9958,1.9666,1.9882,0
2000-03-17,1.9834,2.0098,1.9793,2.0049,0
2000-03-20,2.0027,2.0166,1.9947,2.0002,0
2000-03-21,1.9918,1.9991,1.9627,1.9688,0
2000-03-22,1.9608,1.9767,1.9535,1.974,0
2000-03-23,1.9711,1.9966,1.9662,1.9895,0
2000-03-24,1.9851,2.0046,1.9779,1.9968,0
2000-03-27,1.9939,1.996,1.9328,1.9386,0
2000-03-28,1.9257,1.9334,1.9048,1.9075,0
2000-03-29,1.9034,1.9188,1.8868,1.9026,0
2000-03-30,1.9039,1.9293,1.9017,1.9185,0
2000-03-31,1.9159,1.9389,1.9142,1.9266,0
2000-04-03,1.9235,1.9266,1.9012,1.9042,0
2000-04-04,1.9017,1.9455,1.8985,1.9179,0
2000-04-05,1.9193,1.936,1.9054,1.911,0
2000-04-06,1.9105,1.9238,1.9031,1.9122,0
2000-04-07,1.9116,1.9331,1.9038,1.9154,0
2000-04-10,1.9199,1.9436,1.9141,1.9394,0
2000-04-11,1.938,1.9401,1.9152,1.9244,0
2000-04-12,1.9189,1.9315,1.912,1.9263,0
2000-04-13,1.9255,1.9276,1.9028,1.9137,0
2000-04-14,1.9107,1.9341,1.9062,1.9308,0
2000-04-17,1.9246,1.9433,1.9191,1.9262,0
2000-04-18,1.9265,1.9289,1.9024,1.9111,0
2000-04-19,1.9079,1.9122,1.8723,1.8895,0
2000-04-20,1.8862,1.9024,1.8821,1.8998,0
2000-04-21,1.8978,1.9031,1.8929,1.9,0
2000-04-24,1.8971,1.9116,1.8903,1.8956,0
2000-04-25,1.8945,1.9003,1.8528,1.8628,0
2000-04-26,1.86,1.9002,1.86,1.8975,0
2000-04-27,1.896,1.9013,1.8586,1.8691,0
2000-04-28,1.8705,1.8813,1.8521,1.8796,0
2000-05-01,1.8755,1.8933,1.8658,1.8813,0
2000-05-02,1.8791,1.8949,1.8561,1.8771,0
2000-05-03,1.8753,1.8819,1.8095,1.8254,0
2000-05-04,1.8264,1.8342,1.8082,1.8161,0
