Date,Open,High,Low,Close,Volume
2000-01-03,164.87,166.42,164.18,166.3,0
2000-01-04,166.03,169.04,165.91,169.04,0
2000-01-05,168.86,171.43,168.21,171.25,0
2000-01-06,171.26,173.86,170.66,173.34,0
2000-01-07,173.35,173.93,172.01,172.68,0
2000-01-10,172.26,172.55,170.52,172.02,0
2000-01-11,171.88,174.88,171.88,174.88,0
2000-01-12,174.43,175.13,173.68,174.58,0
2000-01-13,174.38,175.12,173.47,174.67,0
2000-01-14,174.65,175.18,172.49,172.87,0
2000-01-17,172.94,173.11,170.75,171.2,0
2000-01-18,171.22,173.06,170.99,173.04,0
2000-01-19,173.08,173.82,172.63,173.27,0
2000-01-20,173.16,174.68,172.89,174.29,0
2000-01-21,174.36,174.5,172.43,172.74,0
2000-01-24,173.15,174.95,172.38,174.46,0
2000-01-25,174.4,175.04,173.64,174.35,0
2000-01-26,174.32,174.74,172.96,173.2,0
2000-01-27,173.13,173.34,171.31,172.37,0
2000-01-28,172.18,173.82,169.74,173.44,0
2000-01-31,173.51,174.26,172.44,173.52,0
2000-02-01,173.54,174.32,172.87,174.01,0
2000-02-02,174.14,175.75,173.35,174,0
2000-02-03,173.89,174.53,170.77,171.93,0
2000-02-04,171.72,172.55,170.12,170.69,0
2000-02-07,170.66,173.74,170.5,173.7,0
2000-02-08,173.5,176.83,173.42,176.5,0
2000-02-09,176.4,176.5,174.39,175.79,0
2000-02-10,175.91,176.27,174.03,175.79,0
2000-02-11,175.73,175.91,172.94,173.26,0
2000-02-14,173.75,173.75,171.8,172.82,0
2000-02-15,172.82,174.33,172.42,174.33,0
2000-02-16,174.28,176.04,173.7,175.92,0
2000-02-17,175.98,178.03,175.56,177.98,0
2000-02-18,177.79,178.5,176.72,177.73,0
2000-02-21,177.36,178.21,176.51,178.06,0
2000-02-22,177.97,179.67,177.89,178.65,0
2000-02-23,178.65,179.15,177.6,178.29,0
2000-02-24,178.24,178.83,176.68,178.17,0
2000-02-25,178.13,178.29,175.27,175.89,0
2000-02-28,175.51,175.98,172.37,174.73,0
2000-02-29,174.72,176.5,173.15,174.02,0
2000-03-01,173.95,174.32,168.99,170.04,0
