Date,Open,High,Low,Close,Volume
2000-01-03,2.6855,2.7144,2.6732,2.7118,0
2000-01-04,2.7097,2.7132,2.6882,2.7109,0
2000-01-05,2.7067,2.724,2.7066,2.7209,0
2000-01-06,2.72,2.7461,2.7172,2.743,0
2000-01-07,2.7418,2.7439,2.7173,2.7222,0
2000-01-10,2.7215,2.7224,2.7075,2.7189,0
2000-01-11,2.7186,2.7515,2.7166,2.7514,0
2000-01-12,2.747,2.753,2.7366,2.7502,0
2000-01-13,2.7473,2.7533,2.7337,2.7492,0
2000-01-14,2.7498,2.7571,2.7317,2.7357,0
2000-01-17,2.736,2.7428,2.7248,2.7353,0
2000-01-18,2.7346,2.7411,2.7248,2.7407,0
2000-01-19,2.7403,2.7569,2.731,2.7558,0
2000-01-20,2.7555,2.7761,2.7466,2.7677,0
2000-01-21,2.7671,2.7768,2.7597,2.771,0
2000-01-24,2.7666,2.7841,2.766,2.7803,0
2000-01-25,2.781,2.7838,2.7648,2.7743,0
2000-01-26,2.7768,2.7865,2.7705,2.7769,0
2000-01-27,2.7766,2.7792,2.7572,2.7724,0
2000-01-28,2.7702,2.7821,2.7574,2.7705,0
2000-01-31,2.7734,2.7759,2.7423,2.7498,0
2000-02-01,2.7485,2.7511,2.7334,2.743,0
2000-02-02,2.7431,2.7431,2.7201,2.7318,0
2000-02-03,2.7296,2.7306,2.6928,2.7047,0
2000-02-04,2.7039,2.709,2.6694,2.695,0
2000-02-07,2.6895,2.7095,2.6851,2.7095,0
2000-02-08,2.7062,2.7359,2.7053,2.7346,0
2000-02-09,2.7319,2.7361,2.7154,2.7352,0
2000-02-10,2.7341,2.7454,2.7137,2.7286,0
2000-02-11,2.7281,2.7305,2.6887,2.6969,0
2000-02-14,2.6966,2.7024,2.679,2.686,0
2000-02-15,2.684,2.7084,2.6823,2.7066,0
2000-02-16,2.7049,2.7382,2.7034,2.7382,0
2000-02-17,2.7387,2.7489,2.7304,2.7433,0
2000-02-18,2.7425,2.744,2.7179,2.7335,0
2000-02-21,2.7255,2.7349,2.7219,2.7295,0
2000-02-22,2.7285,2.7651,2.7271,2.755,0
2000-02-23,2.7527,2.7579,2.7425,2.7472,0
2000-02-24,2.7457,2.7499,2.7357,2.7468,0
2000-02-25,2.7451,2.7453,2.7147,2.726,0
2000-02-28,2.7213,2.7453,2.7092,2.7422,0
2000-02-29,2.7413,2.7461,2.7178,2.722,0
2000-03-01,2.7199,2.733,2.7049,2.723,0
2000-03-02,2.7204,2.7232,2.7105,2.7154,0
2000-03-03,2.7139,2.73,2.7091,2.7215,0
2000-03-06,2.7198,2.7311,2.7092,2.7162,0
2000-03-07,2.7149,2.7216,2.6994,2.7134,0
2000-03-08,2.7134,2.7176,2.6964,2.7075,0
2000-03-09,2.7072,2.715,2.6948,2.7016,0
2000-03-10,2.702,2.7063,2.6824,2.6859,0
2000-03-13,2.6846,2.7017,2.6822,2.6979,0
2000-03-14,2.6952,2.6978,2.6753,2.6975,0
2000-03-15,2.6967,2.6995,2.6829,2.6962,0
2000-03-16,2.6934,2.6994,2.6837,2.6985,0
2000-03-17,2.6952,2.7048,2.6891,2.7048,0
2000-03-20,2.7043,2.7043,2.688,2.6976,0
2000-03-21,2.6982,2.7109,2.6874,2.7035,0
2000-03-22,2.7005,2.704,2.6717,2.7027,0
2000-03-23,2.7019,2.7192,2.6941,2.7166,0
2000-03-24,2.7139,2.7353,2.7107,2.7346,0
2000-03-27,2.7343,2.7456,2.7152,2.7237,0
2000-03-28,2.7213,2.7261,2.7144,2.7255,0
2000-03-29,2.7232,2.74,2.7116,2.7342,0
2000-03-30,2.7352,2.7442,2.7293,2.7419,0
2000-03-31,2.7391,2.7443,2.7194,2.7249,0
2000-04-03,2.722,2.7461,2.7158,2.7434,0
2000-04-04,2.741,2.7572,2.7317,2.7343,0
