Date,Open,High,Low,Close,Volume
2000-01-03,1.614,1.6395,1.614,1.6371,0
2000-01-04,1.6358,1.641,1.631,1.637,0
2000-01-05,1.635,1.6447,1.6349,1.642,0
2000-01-06,1.6417,1.6508,1.6408,1.6468,0
2000-01-07,1.6465,1.6496,1.6358,1.6387,0
2000-01-10,1.6385,1.6392,1.6322,1.637,0
2000-01-11,1.6365,1.6494,1.6355,1.6485,0
2000-01-12,1.6464,1.651,1.6448,1.6478,0
2000-01-13,1.6464,1.6498,1.6406,1.6467,0
2000-01-14,1.6476,1.6476,1.6325,1.634,0
2000-01-17,1.6346,1.6386,1.6292,1.6332,0
2000-01-18,1.6331,1.6386,1.6312,1.637,0
2000-01-19,1.6373,1.645,1.6358,1.644,0
2000-01-20,1.6446,1.6569,1.6414,1.6545,0
2000-01-21,1.654,1.6578,1.6475,1.6494,0
2000-01-24,1.6463,1.6555,1.6456,1.6515,0
2000-01-25,1.6524,1.6536,1.6428,1.6445,0
2000-01-26,1.645,1.6467,1.6352,1.6385,0
2000-01-27,1.6388,1.6403,1.6336,1.639,0
2000-01-28,1.639,1.639,1.6158,1.6191,0
2000-01-31,1.6228,1.6259,1.6117,1.6158,0
2000-02-01,1.6156,1.6175,1.6094,1.6143,0
2000-02-02,1.6149,1.615,1.602,1.6086,0
2000-02-03,1.6083,1.6091,1.5934,1.5979,0
2000-02-04,1.5973,1.602,1.5828,1.5923,0
2000-02-07,1.5905,1.599,1.588,1.5982,0
2000-02-08,1.5975,1.6136,1.5966,1.6118,0
2000-02-09,1.611,1.6172,1.6056,1.6166,0
2000-02-10,1.6164,1.6169,1.6043,1.6093,0
2000-02-11,1.6095,1.6103,1.5872,1.5925,0
2000-02-14,1.5928,1.5966,1.5852,1.587,0
2000-02-15,1.5863,1.5979,1.5834,1.5968,0
2000-02-16,1.5963,1.6087,1.5938,1.6087,0
2000-02-17,1.6077,1.6137,1.6022,1.6085,0
2000-02-18,1.6085,1.609,1.5948,1.6017,0
2000-02-21,1.599,1.6017,1.5965,1.5999,0
2000-02-22,1.5998,1.6191,1.5995,1.6127,0
2000-02-23,1.6121,1.6149,1.601,1.6038,0
2000-02-24,1.6038,1.6047,1.5967,1.6006,0
2000-02-25,1.6002,1.6003,1.588,1.5949,0
2000-02-28,1.5928,1.5975,1.5852,1.5958,0
2000-02-29,1.5959,1.5991,1.577,1.5788,0
2000-03-01,1.5786,1.592,1.5748,1.587,0
2000-03-02,1.5855,1.587,1.5754,1.5763,0
2000-03-03,1.576,1.584,1.575,1.5788,0
2000-03-06,1.5776,1.5818,1.5708,1.5749,0
2000-03-07,1.5745,1.5823,1.5688,1.5797,0
2000-03-08,1.5803,1.5872,1.5738,1.5807,0
2000-03-09,1.5811,1.5844,1.5775,1.5816,0
2000-03-10,1.5828,1.5835,1.575,1.5763,0
2000-03-13,1.5762,1.5828,1.5755,1.5797,0
2000-03-14,1.5789,1.5796,1.5677,1.5773,0
2000-03-15,1.5773,1.579,1.5692,1.573,0
2000-03-16,1.5735,1.5775,1.5685,1.5767,0
2000-03-17,1.5752,1.5766,1.5696,1.5744,0
2000-03-20,1.5755,1.5755,1.5646,1.569,0
2000-03-21,1.5698,1.5773,1.5652,1.5727,0
2000-03-22,1.5714,1.5799,1.5611,1.578,0
2000-03-23,1.5782,1.5897,1.5746,1.5877,0
2000-03-24,1.5868,1.5937,1.5834,1.5936,0
2000-03-27,1.5934,1.6006,1.5835,1.5879,0
2000-03-28,1.5874,1.5905,1.582,1.5889,0
2000-03-29,1.5888,1.5969,1.581,1.5926,0
2000-03-30,1.5935,1.5973,1.5868,1.596,0
2000-03-31,1.5948,1.5985,1.5892,1.5921,0
2000-04-03,1.5909,1.5992,1.5866,1.5973,0
2000-04-04,1.5964,1.6072,1.5921,1.5929,0
2000-04-05,1.5924,1.5982,1.582,1.5835,0
2000-04-06,1.5837,1.589,1.5772,1.5802,0
2000-04-07,1.5796,1.5857,1.5773,1.5793,0
2000-04-10,1.5795,1.5855,1.5784,1.5855,0
2000-04-11,1.5847,1.5894,1.583,1.5857,0
2000-04-12,1.5858,1.5886,1.582,1.5884,0
2000-04-13,1.5881,1.5928,1.5846,1.5864,0
2000-04-14,1.5867,1.5913,1.5823,1.5882,0
2000-04-17,1.5888,1.5909,1.5794,1.5802,0
2000-04-18,1.5804,1.5845,1.5742,1.5772,0
2000-04-19,1.5767,1.5833,1.5748,1.5819,0
2000-04-20,1.5817,1.5825,1.5774,1.5797,0
2000-04-21,1.5794,1.5818,1.5765,1.5775,0
2000-04-24,1.576,1.5821,1.575,1.5795,0
2000-04-25,1.5798,1.5824,1.5728,1.5814,0
2000-04-26,1.5812,1.582,1.5745,1.5755,0
2000-04-27,1.5765,1.5809,1.5708,1.5721,0
2000-04-28,1.5725,1.5737,1.55,1.552,0
2000-05-01,1.552,1.5577,1.5514,1.5539,0
2000-05-02,1.5535,1.5668,1.5522,1.5605,0
2000-05-03,1.5607,1.5649,1.5556,1.5617,0
2000-05-04,1.5611,1.5626,1.5352,1.5421,0
2000-05-05,1.5419,1.5438,1.5245,1.5286,0
2000-05-08,1.5284,1.5357,1.5259,1.533,0
2000-05-09,1.5331,1.5367,1.5283,1.531,0
2000-05-10,1.5314,1.533,1.5067,1.5125,0
2000-05-11,1.5098,1.5121,1.4927,1.5044,0
2000-05-12,1.5039,1.5198,1.5018,1.5174,0
2000-05-15,1.5221,1.5226,1.5045,1.5058,0
2000-05-16,1.5041,1.5061,1.4915,1.4944,0
2000-05-17,1.4935,1.4983,1.4874,1.4964,0
2000-05-18,1.4956,1.4959,1.4762,1.4842,0
2000-05-19,1.4829,1.4898,1.4741,1.4874,0
2000-05-22,1.4856,1.4965,1.4825,1.4915,0
2000-05-23,1.491,1.4927,1.4724,1.4771,0
2000-05-24,1.4764,1.4792,1.4677,1.474,0
2000-05-25,1.4732,1.48,1.4662,1.4708,0
2000-05-26,1.4703,1.4918,1.4697,1.4899,0
2000-05-29,1.4885,1.4927,1.4856,1.4927,0
2000-05-30,1.4927,1.504,1.4901,1.4977,0
2000-05-31,1.496,1.5015,1.4925,1.5014,0
2000-06-01,1.5002,1.5016,1.4892,1.4949,0
2000-06-02,1.4951,1.513,1.4938,1.5103,0
2000-06-05,1.5079,1.52,1.507,1.5194,0
2000-06-06,1.518,1.5315,1.5108,1.5286,0
2000-06-07,1.5279,1.529,1.5182,1.5225,0
2000-06-08,1.5217,1.5225,1.5054,1.5103,0
