Date,Open,High,Low,Close,Volume
2000-01-03,53.45,53.64,52.92,53.35,0
2000-01-04,53.22,54.28,53.17,53.715,0
2000-01-05,53.6,54.24,53.22,54.24,0
2000-01-06,54.28,54.4,53.82,54.1,0
2000-01-07,54.07,54.595,53.84,54.595,0
2000-01-10,54.26,54.47,53.75,54.215,0
2000-01-11,54.12,54.94,54.12,54.815,0
2000-01-12,54.72,55.01,54.62,55.005,0
2000-01-13,54.94,55.63,54.75,55.545,0
2000-01-14,55.5,55.61,54.83,55.15,0
2000-01-17,55.01,55.06,54.14,54.555,0
2000-01-18,54.45,55.13,54.05,54.985,0
2000-01-19,54.76,54.85,54.05,54.185,0
2000-01-20,54.13,54.39,53.91,54.125,0
2000-01-21,54.18,54.28,53.39,53.58,0
2000-01-24,53.59,53.71,53.16,53.615,0
2000-01-25,53.53,54.09,53.36,53.915,0
2000-01-26,53.84,54.11,53.48,53.73,0
2000-01-27,53.67,53.94,52.93,53.225,0
2000-01-28,52.99,53.08,51.64,52.675,0
2000-01-31,52.8,53.225,52.41,53.225,0
2000-02-01,53.2,53.36,52.57,53.015,0
2000-02-02,53.09,53.81,52.74,53.23,0
2000-02-03,53.3,54.22,52.92,53.275,0
2000-02-04,53.26,53.36,52.63,53.215,0
2000-02-07,53.16,53.92,53,53.685,0
2000-02-08,53.62,54.25,53.59,53.82,0
2000-02-09,53.86,54.01,53.09,53.68,0
2000-02-10,53.69,53.8,53.3,53.675,0
2000-02-11,53.56,54.09,53.31,53.46,0
2000-02-14,53.65,53.79,52.75,53.015,0
2000-02-15,52.95,53.33,52.44,53.195,0
2000-02-16,53.11,53.935,53.1,53.935,0
2000-02-17,53.89,54.67,53.7,54.66,0
2000-02-18,54.57,54.75,54.34,54.535,0
2000-02-21,54.31,54.69,53.95,54.415,0
2000-02-22,54.27,54.72,54.07,54.455,0
2000-02-23,54.4,54.41,53.59,54.13,0
2000-02-24,54.35,54.6,53.62,54.26,0
2000-02-25,54.18,54.34,53.57,53.72,0
2000-02-28,53.71,53.8,52.3,53.255,0
2000-02-29,53.21,54.06,53.08,54.06,0
2000-03-01,53.91,53.97,51.55,52.18,0
2000-03-02,52.22,52.84,52.03,52.535,0
2000-03-03,52.45,53.05,52.32,52.63,0
2000-03-06,52.73,52.77,51.58,51.815,0
2000-03-07,51.91,52.13,51.06,51.405,0
2000-03-08,51.38,52.3,51.33,52.295,0
2000-03-09,52.28,52.76,51.92,52.685,0
2000-03-10,52.59,52.84,52.36,52.525,0
2000-03-13,52.29,52.53,51.5,52.23,0
2000-03-14,52.07,52.11,51.09,51.375,0
2000-03-15,51.23,51.8,50.77,51.705,0
2000-03-16,51.64,51.89,51.24,51.555,0
2000-03-17,51.46,51.81,51.02,51.77,0
2000-03-20,51.83,51.85,51.32,51.78,0
2000-03-21,51.89,52.48,51.69,52.325,0
2000-03-22,52.27,52.32,51.88,52.145,0
2000-03-23,52.11,52.62,52.01,52.475,0
2000-03-24,52.4,52.57,52.02,52.315,0
2000-03-27,52.32,53.35,52.25,53.35,0
2000-03-28,53.52,53.76,53.09,53.33,0
