Date,Open,High,Low,Close,Volume
2000-01-03,7.773,7.7763,7.772,7.7763,0
2000-01-04,7.7758,7.7774,7.774,7.7774,0
2000-01-05,7.777,7.7778,7.775,7.7778,0
2000-01-06,7.7767,7.7779,7.7755,7.7778,0
2000-01-07,7.777,7.7781,7.7755,7.7778,0
2000-01-10,7.7775,7.7785,7.776,7.7785,0
2000-01-11,7.7782,7.7786,7.776,7.7786,0
2000-01-12,7.7783,7.7788,7.776,7.7788,0
2000-01-13,7.7785,7.7787,7.776,7.7787,0
2000-01-14,7.7783,7.7788,7.777,7.7787,0
2000-01-17,7.7785,7.7789,7.777,7.7789,0
2000-01-18,7.7787,7.779,7.777,7.779,0
2000-01-19,7.7789,7.7793,7.7775,7.7793,0
2000-01-20,7.7791,7.7791,7.7745,7.7788,0
2000-01-21,7.7779,7.779,7.776,7.779,0
2000-01-24,7.7785,7.7793,7.7768,7.7793,0
2000-01-25,7.7791,7.7798,7.777,7.7798,0
2000-01-26,7.7795,7.78,7.7775,7.78,0
2000-01-27,7.7793,7.7801,7.7775,7.7801,0
2000-01-28,7.78,7.7802,7.778,7.7802,0
2000-01-31,7.7795,7.7804,7.778,7.7804,0
2000-02-01,7.7802,7.7809,7.7789,7.7809,0
2000-02-02,7.7802,7.7805,7.778,7.7803,0
2000-02-03,7.7798,7.781,7.778,7.781,0
2000-02-04,7.7807,7.781,7.7795,7.781,0
2000-02-07,7.7808,7.7811,7.7785,7.7811,0
2000-02-08,7.7805,7.7808,7.7789,7.7803,0
2000-02-09,7.7801,7.7806,7.7765,7.7805,0
2000-02-10,7.7801,7.7813,7.7792,7.7811,0
2000-02-11,7.7805,7.7815,7.7795,7.7815,0
2000-02-14,7.781,7.781,7.7785,7.78,0
2000-02-15,7.7801,7.7815,7.779,7.7805,0
2000-02-16,7.78,7.7816,7.78,7.7816,0
2000-02-17,7.7813,7.7817,7.78,7.7813,0
2000-02-18,7.7813,7.7815,7.7795,7.7811,0
2000-02-21,7.7807,7.7817,7.7785,7.7813,0
2000-02-22,7.7807,7.7825,7.78,7.7823,0
2000-02-23,7.7818,7.7825,7.78,7.7825,0
2000-02-24,7.782,7.7827,7.7812,7.7827,0
2000-02-25,7.7823,7.7828,7.78,7.7828,0
2000-02-28,7.7823,7.7827,7.7815,7.7823,0
2000-02-29,7.7824,7.7828,7.78,7.7828,0
2000-03-01,7.7825,7.783,7.7805,7.7823,0
2000-03-02,7.7814,7.7825,7.7808,7.7823,0
2000-03-03,7.7822,7.783,7.7812,7.7825,0
2000-03-06,7.78,7.7835,7.78,7.7835,0
2000-03-07,7.783,7.7838,7.781,7.7838,0
2000-03-08,7.7834,7.7841,7.782,7.7841,0
2000-03-09,7.7835,7.7843,7.7815,7.7843,0
2000-03-10,7.7837,7.7844,7.782,7.7844,0
2000-03-13,7.7842,7.7844,7.781,7.7844,0
2000-03-14,7.784,7.7842,7.7825,7.7839,0
2000-03-15,7.7838,7.7844,7.782,7.784,0
2000-03-16,7.7838,7.7847,7.782,7.7847,0
2000-03-17,7.7845,7.7852,7.7825,7.7849,0
2000-03-20,7.7849,7.7854,7.783,7.7853,0
2000-03-21,7.7851,7.787,7.7831,7.7854,0
2000-03-22,7.785,7.7859,7.7835,7.7859,0
2000-03-23,7.7854,7.7855,7.7822,7.7848,0
2000-03-24,7.785,7.7851,7.783,7.7843,0
2000-03-27,7.7843,7.7854,7.7825,7.7854,0
2000-03-28,7.7847,7.7851,7.784,7.7849,0
2000-03-29,7.7848,7.7862,7.7842,7.7862,0
2000-03-30,7.7858,7.7864,7.783,7.7864,0
2000-03-31,7.786,7.7867,7.7836,7.7867,0
2000-04-03,7.7858,7.7868,7.784,7.7868,0
2000-04-04,7.7864,7.7866,7.784,7.7866,0
2000-04-05,7.7861,7.7866,7.7845,7.7861,0
2000-04-06,7.7858,7.7869,7.784,7.7867,0
2000-04-07,7.7866,7.7873,7.785,7.7873,0
2000-04-10,7.7872,7.7873,7.7855,7.787,0
2000-04-11,7.7866,7.7874,7.782,7.7869,0
2000-04-12,7.787,7.7877,7.7862,7.7877,0
2000-04-13,7.7873,7.7879,7.785,7.7879,0
2000-04-14,7.7875,7.7881,7.7872,7.7881,0
2000-04-17,7.7878,7.7881,7.7853,7.788,0
2000-04-18,7.788,7.7882,7.7854,7.7874,0
2000-04-19,7.7876,7.7885,7.7855,7.7884,0
2000-04-20,7.7881,7.7886,7.7856,7.7884,0
2000-04-21,7.788,7.7885,7.7875,7.7885,0
2000-04-24,7.7882,7.7886,7.7878,7.7886,0
2000-04-25,7.7876,7.7887,7.7865,7.7887,0
2000-04-26,7.788,7.7886,7.786,7.7885,0
2000-04-27,7.7881,7.7887,7.786,7.7885,0
2000-04-28,7.7879,7.7894,7.787,7.7891,0
2000-05-01,7.7885,7.7893,7.7884,7.7893,0
2000-05-02,7.7885,7.7896,7.787,7.7894,0
2000-05-03,7.7893,7.7898,7.7845,7.7898,0
2000-05-04,7.7895,7.79,7.787,7.79,0
2000-05-05,7.7895,7.7898,7.7875,7.7898,0
2000-05-08,7.7905,7.7905,7.7875,7.7891,0
2000-05-09,7.7885,7.7898,7.7875,7.7898,0
2000-05-10,7.7897,7.7901,7.7885,7.7898,0
2000-05-11,7.79,7.79,7.7875,7.79,0
2000-05-12,7.789,7.7901,7.788,7.79,0
2000-05-15,7.7895,7.7898,7.788,7.7898,0
2000-05-16,7.7893,7.7903,7.7878,7.7903,0
2000-05-17,7.7898,7.7912,7.7885,7.791,0
2000-05-18,7.791,7.7914,7.7885,7.7914,0
2000-05-19,7.7905,7.7912,7.7885,7.7912,0
2000-05-22,7.7911,7.7918,7.7885,7.7918,0
2000-05-23,7.7913,7.7942,7.789,7.792,0
2000-05-24,7.7914,7.7919,7.791,7.7919,0
2000-05-25,7.7917,7.792,7.7891,7.792,0
2000-05-26,7.7914,7.7921,7.7904,7.792,0
2000-05-29,7.7919,7.7923,7.7915,7.7923,0
2000-05-30,7.7918,7.7925,7.79,7.7925,0
2000-05-31,7.7922,7.7924,7.791,7.7922,0
2000-06-01,7.7918,7.7923,7.79,7.7923,0
2000-06-02,7.7918,7.7926,7.7895,7.792,0
2000-06-05,7.7918,7.7931,7.7898,7.7929,0
2000-06-06,7.7925,7.7931,7.7903,7.793,0
2000-06-07,7.7928,7.7934,7.7904,7.7934,0
2000-06-08,7.7929,7.7932,7.7905,7.7932,0
2000-06-09,7.793,7.7932,7.7898,7.7931,0
2000-06-12,7.7928,7.7938,7.7918,7.7938,0
2000-06-13,7.7935,7.7937,7.791,7.7929,0
2000-06-14,7.793,7.7931,7.7915,7.7927,0
2000-06-15,7.793,7.7933,7.791,7.7933,0
2000-06-16,7.793,7.7941,7.7915,7.7941,0
2000-06-19,7.7935,7.7942,7.792,7.7941,0
