Date,Open,High,Low,Close,Volume
2000-01-03,252.91,253.11,247.4,247.89,0
2000-01-04,248.03,249.16,245.87,247.38,0
2000-01-05,246.97,247.51,244.5,246.79,0
2000-01-06,246.53,247.79,244.22,246.69,0
2000-01-07,246.32,248.21,245.88,247.42,0
2000-01-10,247.43,249.32,246.85,248.25,0
2000-01-11,247.89,248.84,245.99,246.51,0
2000-01-12,246.51,248.22,245.38,247.4,0
2000-01-13,246.85,248.9,246.73,248.53,0
2000-01-14,248.27,251.95,247.91,251.68,0
2000-01-17,251.62,253.09,250.63,251.88,0
2000-01-18,251.73,253.05,251.19,251.67,0
2000-01-19,251.41,252.85,250.24,251.855,0
2000-01-20,251.52,253.19,250.23,250.72,0
2000-01-21,250.56,253.78,250.11,252.81,0
2000-01-24,254.37,255.08,252.92,253.25,0
2000-01-25,253.14,255.41,252.15,254.985,0
2000-01-26,254.74,255.31,253.72,254.99,0
2000-01-27,254.63,258.64,254.36,258.19,0
2000-01-28,258.09,262.22,257.75,261.89,0
2000-01-31,260.92,263.96,259.65,263.325,0
2000-02-01,263.12,264.06,261.07,262.72,0
2000-02-02,262.69,263.49,260.24,261.62,0
2000-02-03,261.41,263.09,256.71,257.975,0
2000-02-04,257.72,262.07,256.96,260,0
2000-02-07,259.7,261.95,259.7,260.53,0
2000-02-08,260.32,261.15,257.65,259.305,0
2000-02-09,259.21,259.37,256.38,257.235,0
2000-02-10,257.04,260.06,256.44,259.54,0
2000-02-11,259.43,261.29,258.63,259.13,0
2000-02-14,259.17,261.61,257.83,261.37,0
2000-02-15,261.38,261.96,259.22,260.635,0
2000-02-16,260.72,261.31,258.81,259.425,0
2000-02-17,259.2,260.23,256.91,259.12,0
2000-02-18,259.16,261.19,257.77,259.7,0
2000-02-21,260,260.87,258.97,260.19,0
2000-02-22,259.85,259.93,255.36,256.83,0
2000-02-23,256.64,256.99,255.26,256.21,0
2000-02-24,255.79,259.32,255.57,258.455,0
2000-02-25,258.24,264.11,258.19,263.595,0
2000-02-28,263.34,264.12,263.08,264.12,0
2000-02-29,264.03,266.77,262.26,266.16,0
2000-03-01,265.96,266.65,262.1,263.35,0
2000-03-02,263.33,267,261.66,265.84,0
2000-03-03,265.63,267.36,264.75,267.21,0
2000-03-06,267.78,268.56,265.12,267.48,0
2000-03-07,267.3,269.31,266.43,267.415,0
2000-03-08,267.54,269.42,266.16,267.09,0
2000-03-09,266.85,267.48,264.62,265.725,0
2000-03-10,265.58,267.78,264.59,267.065,0
2000-03-13,266.87,267.57,264.26,266.965,0
2000-03-14,266.88,268.23,265.44,265.75,0
2000-03-15,265.74,266.96,264.68,266.155,0
2000-03-16,265.9,266.76,263.74,264.69,0
2000-03-17,264.96,266,263.86,264.425,0
2000-03-20,264.09,265.37,263.58,263.95,0
2000-03-21,263.92,267.09,263.68,266.62,0
2000-03-22,267.09,268.46,266.29,267.505,0
2000-03-23,267.4,267.98,264.02,264.67,0
2000-03-24,264.57,266.11,263.19,263.54,0
2000-03-27,263.39,267.36,262.69,266.345,0
2000-03-28,266.05,268.28,265.03,268.195,0
2000-03-29,267.95,271.9,266.82,271.16,0
2000-03-30,271.13,271.36,267.95,268.63,0
2000-03-31,268.34,271.14,267.82,270.19,0
2000-04-03,270.04,271.98,268.81,270.455,0
2000-04-04,270.71,272.48,264.78,269.145,0
2000-04-05,268.71,269.62,266.48,269.26,0
2000-04-06,269.4,270.4,267.93,269.765,0
2000-04-07,269.68,271.53,269.02,271.26,0
2000-04-10,271.21,271.61,267.8,268.21,0
2000-04-11,268.25,270.03,267.48,269.29,0
2000-04-12,269.28,271.09,268.72,269.32,0
2000-04-13,269.05,271.02,268.91,270.8,0
2000-04-14,270.67,271.09,267.67,268,0
2000-04-17,267.4,272.02,266.68,271.65,0
2000-04-18,271.54,274.04,271.4,273.685,0
2000-04-19,273.68,275.98,272.24,274.71,0
2000-04-20,274.63,275.76,273.95,275.165,0
2000-04-21,274.99,275.53,273.89,274.64,0
2000-04-24,274.91,275.29,272.88,274.4,0
2000-04-25,274.71,281.51,274.39,280.24,0
2000-04-26,280.11,281.14,278.76,279.45,0
2000-04-27,279.19,285.18,278.9,284.05,0
2000-04-28,283.9,286.14,282.48,283.2,0
2000-05-01,283.07,284.83,281.14,282.025,0
2000-05-02,281.97,286.09,281.16,283.925,0
2000-05-03,283.89,290.61,283.59,288.62,0
2000-05-04,288.14,290.74,287.72,289.95,0
2000-05-05,289.72,290.04,286.55,288.01,0
2000-05-08,287.98,289.75,285.43,287.94,0
2000-05-09,287.87,288.74,284.23,284.725,0
2000-05-10,284.21,285.48,282.81,284.855,0
2000-05-11,285.88,287.5,283.56,286.74,0
2000-05-12,286.51,287.82,280.95,281.34,0
2000-05-15,281.76,284.55,280.98,284.5,0
2000-05-16,284.66,287.71,284.17,287.45,0
2000-05-17,287.31,290.99,286.01,289.025,0
2000-05-18,289.14,290.93,288.33,289.405,0
2000-05-19,289.27,293,287.75,288.73,0
2000-05-22,288.56,290.27,285.87,287.53,0
2000-05-23,287.42,288.25,283.24,286.315,0
2000-05-24,286.22,287.84,284.27,287.79,0
2000-05-25,287.52,289.49,283.84,284.92,0
2000-05-26,284.4,285.15,277.81,279.08,0
2000-05-29,277.93,281.41,277.93,280.73,0
2000-05-30,280.51,281.33,275.74,279.085,0
2000-05-31,279.19,279.76,275.78,276.485,0
2000-06-01,276.63,279.22,275.87,278.35,0
2000-06-02,277.96,278.95,272.63,274.13,0
2000-06-05,274.01,275.34,272.56,273.13,0
2000-06-06,273.58,274.31,269.96,271.73,0
2000-06-07,271.81,272.11,269.07,269.83,0
2000-06-08,269.74,272.85,267.36,271.68,0
2000-06-09,271.68,274.39,270.92,272.145,0
2000-06-12,272.09,273.52,271.1,272.29,0
2000-06-13,271.89,272.66,269.49,270.535,0
2000-06-14,270.76,271.23,268.82,271.045,0
2000-06-15,271.06,273.47,269.87,272.13,0
2000-06-16,271.88,273.37,268.63,269.01,0
2000-06-19,269.34,271.76,267.72,271.63,0
2000-06-20,271.35,272.63,269.87,272.13,0
2000-06-21,272.13,275.65,271.68,275.14,0
2000-06-22,274.78,278.08,273.98,277.69,0
2000-06-23,277.64,278.17,275.35,277.57,0
2000-06-26,277.46,279.46,276.32,277.33,0
2000-06-27,277.06,277.83,274.22,274.82,0
2000-06-28,274.72,276.8,274.21,276.54,0
2000-06-29,276.09,276.41,272.57,273.21,0
2000-06-30,273.47,273.73,270.68,273.065,0
2000-07-03,273.07,274.21,271.69,273.58,0
2000-07-04,273.44,274.73,272.47,272.9,0
2000-07-05,273.29,273.35,271.5,272.9,0
2000-07-06,272.73,273.95,270.99,273.68,0
2000-07-07,273.48,275.08,272.85,274.38,0
2000-07-10,274.25,274.47,271.83,272.345,0
2000-07-11,272.46,274.13,271.85,273.22,0
2000-07-12,273.12,276.89,272.82,276.125,0
2000-07-13,276.11,278.88,275.79,277.49,0
2000-07-14,277.45,279.14,276.8,277.21,0
2000-07-17,276.95,278.45,276.53,277.695,0
2000-07-18,277.52,281.89,277.24,281.65,0
2000-07-19,281.15,282.97,280.68,281.43,0
2000-07-20,281.11,282.81,278.34,279.09,0
2000-07-21,278.47,279.42,276.82,277.735,0
2000-07-24,277.79,279.56,277.32,278.775,0
2000-07-25,278.7,279.35,275.88,277.53,0
2000-07-26,277.4,277.53,275.37,275.995,0
2000-07-27,275.74,279.58,275.43,279.495,0
2000-07-28,279.28,282.36,275.02,281.94,0
2000-07-31,281.78,282.5,280.06,281.165,0
2000-08-01,280.96,285.16,280.28,284.925,0
2000-08-02,284.63,285.79,283.23,285.245,0
2000-08-03,284.98,289.58,283.76,287.315,0
2000-08-04,287.17,289.13,286.2,287.14,0
2000-08-07,287.12,287.91,285.84,287.37,0
2000-08-08,287.21,289.95,286.62,289.03,0
2000-08-09,288.54,290.83,288.34,289.185,0
2000-08-10,289.12,289.54,286.48,287.14,0
2000-08-11,287.07,289.07,285.06,288.99,0
2000-08-14,288.54,289.68,287.19,288.015,0
2000-08-15,287.69,287.98,285.23,285.805,0
2000-08-16,285.6,287.8,284.07,284.735,0
2000-08-17,284.59,286.24,284.26,284.71,0
2000-08-18,284.58,288.12,283.97,287.77,0
2000-08-21,287.86,289.67,287.22,289.305,0
2000-08-22,289.33,291.79,288.49,290.935,0
2000-08-23,290.72,292.95,289.27,289.645,0
2000-08-24,289.33,290.34,288.27,289.3,0
2000-08-25,289.35,290.84,287.68,289.435,0
