Date,Open,High,Low,Close,Volume
2000-01-03,8.4854,8.5043,8.347,8.3668,0
2000-01-04,8.3719,8.403,8.3288,8.371,0
2000-01-05,8.3799,8.3911,8.3138,8.3673,0
2000-01-06,8.3556,8.4025,8.2884,8.3681,0
2000-01-07,8.3696,8.4341,8.353,8.4122,0
2000-01-10,8.4087,8.475,8.3992,8.4546,0
2000-01-11,8.4505,8.4531,8.375,8.3946,0
2000-01-12,8.3994,8.4492,8.363,8.4004,0
2000-01-13,8.3995,8.4443,8.3868,8.4206,0
2000-01-14,8.4091,8.4888,8.4,8.464,0
2000-01-17,8.4644,8.4969,8.4424,8.463,0
2000-01-18,8.4575,8.504,8.4429,8.4598,0
2000-01-19,8.4578,8.497,8.4333,8.478,0
2000-01-20,8.4773,8.524,8.428,8.4438,0
2000-01-21,8.4388,8.527,8.4258,8.5045,0
2000-01-24,8.5445,8.549,8.5107,8.5252,0
2000-01-25,8.4918,8.517,8.457,8.5163,0
2000-01-26,8.5097,8.539,8.4799,8.5163,0
2000-01-27,8.519,8.632,8.5082,8.6157,0
2000-01-28,8.6034,8.8563,8.6012,8.8563,0
2000-01-31,8.8092,8.8663,8.742,8.8663,0
2000-02-01,8.8438,8.874,8.743,8.7747,0
2000-02-02,8.7743,8.7954,8.6872,8.7303,0
2000-02-03,8.7251,8.7661,8.5523,8.5585,0
2000-02-04,8.5534,8.666,8.532,8.5981,0
2000-02-07,8.5866,8.6828,8.5866,8.6222,0
2000-02-08,8.6162,8.653,8.539,8.5902,0
2000-02-09,8.586,8.5982,8.523,8.5284,0
2000-02-10,8.5186,8.62,8.5084,8.584,0
2000-02-11,8.5815,8.62,8.559,8.5718,0
2000-02-14,8.5715,8.6748,8.543,8.6644,0
2000-02-15,8.6546,8.7215,8.6193,8.688,0
2000-02-16,8.675,8.723,8.6259,8.6311,0
2000-02-17,8.6317,8.705,8.5759,8.6468,0
2000-02-18,8.645,8.6933,8.6015,8.6626,0
2000-02-21,8.664,8.7068,8.6328,8.6738,0
2000-02-22,8.6485,8.6561,8.5114,8.5637,0
2000-02-23,8.5545,8.5793,8.5127,8.5618,0
2000-02-24,8.5533,8.6536,8.538,8.5978,0
2000-02-25,8.5897,8.7214,8.5872,8.6928,0
2000-02-28,8.6862,8.8251,8.6532,8.671,0
2000-02-29,8.6565,8.77,8.625,8.7503,0
2000-03-01,8.7505,8.7578,8.6302,8.6713,0
2000-03-02,8.6758,8.798,8.617,8.7807,0
2000-03-03,8.7746,8.8277,8.7356,8.7881,0
2000-03-06,8.8113,8.8116,8.726,8.783,0
2000-03-07,8.796,8.8353,8.747,8.7738,0
2000-03-08,8.7856,8.8551,8.7542,8.8055,0
2000-03-09,8.7866,8.806,8.71,8.7303,0
2000-03-10,8.7256,8.795,8.695,8.7258,0
2000-03-13,8.7342,8.7479,8.638,8.7063,0
2000-03-14,8.703,8.7416,8.6555,8.668,0
2000-03-15,8.6681,8.731,8.6641,8.7225,0
2000-03-16,8.7073,8.7426,8.6587,8.6808,0
2000-03-17,8.6787,8.7146,8.6279,8.6379,0
2000-03-20,8.6439,8.68,8.614,8.6315,0
2000-03-21,8.6285,8.7008,8.622,8.6838,0
2000-03-22,8.702,8.737,8.6745,8.6793,0
2000-03-23,8.6767,8.7091,8.62,8.6403,0
2000-03-24,8.6331,8.651,8.527,8.5318,0
2000-03-27,8.5424,8.655,8.517,8.6207,0
2000-03-28,8.6155,8.647,8.511,8.5632,0
2000-03-29,8.5651,8.6853,8.548,8.6541,0
2000-03-30,8.6627,8.6864,8.5909,8.6315,0
2000-03-31,8.6254,8.6919,8.6111,8.64,0
2000-04-03,8.639,8.7071,8.625,8.7033,0
2000-04-04,8.6887,8.7287,8.5984,8.6308,0
2000-04-05,8.6137,8.66,8.581,8.6533,0
2000-04-06,8.662,8.6708,8.603,8.645,0
2000-04-07,8.6559,8.6753,8.6049,8.6638,0
2000-04-10,8.6562,8.6688,8.5766,8.5829,0
2000-04-11,8.584,8.664,8.5783,8.6563,0
2000-04-12,8.6385,8.7236,8.618,8.688,0
2000-04-13,8.681,8.7235,8.631,8.6963,0
2000-04-14,8.7104,8.727,8.6425,8.664,0
2000-04-17,8.6207,8.7355,8.614,8.7355,0
2000-04-18,8.752,8.7731,8.706,8.7265,0
2000-04-19,8.7409,8.802,8.6985,8.7643,0
2000-04-20,8.7654,8.822,8.738,8.7796,0
2000-04-21,8.7743,8.797,8.76,8.7802,0
2000-04-24,8.78,8.8,8.72,8.7977,0
2000-04-25,8.782,8.9185,8.769,8.8933,0
2000-04-26,8.8918,8.9166,8.8424,8.8822,0
2000-04-27,8.873,9.0022,8.8459,8.9476,0
2000-04-28,8.9382,9.0009,8.9008,8.9183,0
2000-05-01,8.906,8.9699,8.8763,8.8988,0
2000-05-02,8.8778,8.9794,8.8709,8.9138,0
2000-05-03,8.9041,9.07,8.8982,9.0158,0
2000-05-04,9.0258,9.1269,9.0258,9.1128,0
2000-05-05,9.1017,9.1291,9.0248,9.0953,0
2000-05-08,9.0565,9.154,9.0285,9.0758,0
2000-05-09,9.0793,9.1213,9.0039,9.0217,0
2000-05-10,9.0141,9.0921,8.9828,9.0921,0
2000-05-11,9.11,9.1825,9.044,9.1825,0
2000-05-12,9.1774,9.1801,9.0116,9.0166,0
