Date,Open,High,Low,Close,Volume
2000-01-03,1.6637,1.665,1.654,1.6565,0
2000-01-04,1.656,1.6585,1.645,1.6555,0
2000-01-05,1.6555,1.658,1.651,1.6571,0
2000-01-06,1.6565,1.6655,1.6542,1.6655,0
2000-01-07,1.664,1.6665,1.658,1.6612,0
2000-01-10,1.6607,1.6612,1.6568,1.6609,0
2000-01-11,1.6612,1.6708,1.6605,1.669,0
2000-01-12,1.6685,1.6712,1.663,1.6692,0
2000-01-13,1.6691,1.67,1.6648,1.6695,0
2000-01-14,1.67,1.6757,1.6671,1.6742,0
2000-01-17,1.6738,1.675,1.6702,1.675,0
2000-01-18,1.678,1.678,1.6685,1.6742,0
2000-01-19,1.673,1.6778,1.668,1.6763,0
2000-01-20,1.6755,1.6762,1.671,1.6728,0
2000-01-21,1.673,1.681,1.671,1.68,0
2000-01-24,1.681,1.6862,1.6785,1.6835,0
2000-01-25,1.6833,1.687,1.681,1.687,0
2000-01-26,1.6865,1.6953,1.686,1.6948,0
2000-01-27,1.6944,1.6944,1.686,1.6915,0
2000-01-28,1.691,1.711,1.689,1.711,0
2000-01-31,1.7105,1.7105,1.696,1.7017,0
2000-02-01,1.7014,1.7045,1.6938,1.6991,0
2000-02-02,1.6982,1.7002,1.695,1.698,0
2000-02-03,1.697,1.6975,1.69,1.693,0
2000-02-04,1.6929,1.6929,1.683,1.6927,0
2000-02-07,1.689,1.6955,1.688,1.695,0
2000-02-08,1.6945,1.697,1.6923,1.6967,0
2000-02-09,1.6957,1.697,1.689,1.692,0
2000-02-10,1.691,1.6955,1.687,1.6955,0
2000-02-11,1.694,1.6973,1.69,1.6935,0
2000-02-14,1.693,1.6973,1.6888,1.6925,0
2000-02-15,1.6917,1.6963,1.6913,1.695,0
2000-02-16,1.6947,1.7045,1.6947,1.7025,0
2000-02-17,1.704,1.7065,1.701,1.7055,0
2000-02-18,1.705,1.707,1.7022,1.707,0
2000-02-21,1.704,1.7108,1.7025,1.706,0
2000-02-22,1.705,1.7092,1.705,1.708,0
2000-02-23,1.7073,1.714,1.7025,1.7131,0
2000-02-24,1.7122,1.716,1.7078,1.716,0
2000-02-25,1.7157,1.7157,1.7045,1.7093,0
2000-02-28,1.7075,1.7215,1.704,1.7185,0
2000-02-29,1.717,1.725,1.712,1.724,0
2000-03-01,1.723,1.7258,1.715,1.7163,0
2000-03-02,1.7152,1.7225,1.7125,1.7225,0
2000-03-03,1.7205,1.725,1.7178,1.7243,0
2000-03-06,1.723,1.7273,1.721,1.7248,0
2000-03-07,1.7245,1.7247,1.716,1.7175,0
2000-03-08,1.7175,1.7198,1.711,1.7127,0
2000-03-09,1.7125,1.7145,1.706,1.708,0
2000-03-10,1.705,1.7098,1.7013,1.704,0
2000-03-13,1.7038,1.709,1.7008,1.7078,0
2000-03-14,1.7068,1.711,1.7035,1.7105,0
2000-03-15,1.7095,1.7145,1.7044,1.714,0
2000-03-16,1.7125,1.7135,1.7095,1.7115,0
2000-03-17,1.7105,1.7186,1.709,1.718,0
2000-03-20,1.7165,1.7215,1.715,1.7193,0
2000-03-21,1.7185,1.721,1.7155,1.719,0
2000-03-22,1.7187,1.722,1.709,1.7127,0
2000-03-23,1.7125,1.715,1.709,1.711,0
2000-03-24,1.7105,1.7203,1.7088,1.716,0
2000-03-27,1.715,1.7195,1.71,1.7153,0
2000-03-28,1.7143,1.717,1.711,1.7153,0
2000-03-29,1.714,1.7175,1.714,1.717,0
2000-03-30,1.716,1.721,1.715,1.718,0
2000-03-31,1.7175,1.72,1.708,1.7115,0
2000-04-03,1.712,1.718,1.709,1.7175,0
2000-04-04,1.7165,1.7185,1.7124,1.7165,0
2000-04-05,1.7155,1.7235,1.7115,1.7142,0
2000-04-06,1.714,1.7162,1.71,1.714,0
2000-04-07,1.7135,1.716,1.708,1.7145,0
2000-04-10,1.7145,1.7195,1.7135,1.7178,0
2000-04-11,1.7172,1.721,1.716,1.72,0
2000-04-12,1.7185,1.7212,1.7165,1.719,0
2000-04-13,1.718,1.7205,1.713,1.7155,0
2000-04-14,1.7155,1.7155,1.7048,1.709,0
2000-04-17,1.707,1.7112,1.7025,1.7055,0
