Date,Open,High,Low,Close,Volume
2010-05-21,4.76,4.9,4.68,4.76,10230542
2010-05-24,4.74,4.82,4.68,4.74,1336200
2010-05-25,4.56,4.66,4.5,4.56,973334
2010-05-26,4.64,4.64,4.5,4.64,1177040
2010-05-27,4.7,4.7,4.58,4.7,950636
2010-05-28,4.7,4.72,4.66,4.7,543570
2010-05-31,4.64,4.66,4.56,4.64,867126
2010-06-01,4.66,4.66,4.58,4.66,874160
2010-06-02,4.68,4.72,4.6,4.68,905950
2010-06-03,4.7,4.82,4.68,4.7,1683302
2010-06-04,4.66,4.76,4.66,4.66,818244
2010-06-07,4.66,4.66,4.58,4.66,243240
2010-06-08,4.64,4.68,4.6,4.64,1259390
2010-06-09,4.68,4.7,4.62,4.68,803438
2010-06-10,4.74,4.74,4.64,4.74,533812
2010-06-11,4.82,4.82,4.72,4.82,1190390
2010-06-14,4.82,4.86,4.8,4.82,829836
2010-06-15,4.86,4.88,4.8,4.86,897208
2010-06-16,4.84,4.88,4.78,4.84,1216696
2010-06-17,4.82,4.84,4.8,4.82,1233786
2010-06-18,4.84,4.84,4.78,4.84,827202
2010-06-21,4.78,4.86,4.76,4.78,98678
2010-06-22,4.66,4.76,4.66,4.66,219498
2010-06-23,4.7,4.72,4.62,4.7,58782
2010-06-24,4.72,4.72,4.66,4.72,131020
2010-06-25,4.76,4.76,4.7,4.76,259550
2010-06-28,4.74,4.8,4.72,4.74,122388
2010-06-29,4.66,4.74,4.66,4.66,350266
2010-06-30,4.64,4.68,4.62,4.64,173032
2010-07-01,4.58,4.62,4.58,4.58,74930
2010-07-02,4.58,4.64,4.56,4.58,134896
2010-07-05,4.58,4.68,4.56,4.58,523440
2010-07-06,4.66,4.74,4.58,4.66,1277530
2010-07-07,4.62,4.66,4.6,4.62,178716
2010-07-08,4.64,4.68,4.62,4.64,108306
2010-07-09,4.58,4.68,4.58,4.58,296376
2010-07-12,4.6,4.62,4.56,4.6,139614
2010-07-13,4.6,4.62,4.58,4.6,196512
2010-07-14,4.58,4.6,4.56,4.58,116014
2010-07-15,4.56,4.6,4.54,4.56,126056
2010-07-16,4.54,4.6,4.52,4.54,254846
2010-07-19,4.52,4.54,4.48,4.52,54686
2010-07-20,4.6,4.62,4.5,4.6,275594
2010-07-21,4.64,4.66,4.56,4.64,283730
2010-07-22,4.6,4.64,4.6,4.6,134498
2010-07-23,4.6,4.62,4.56,4.6,169434
2010-07-26,4.6,4.64,4.58,4.6,161760
2010-07-27,4.6,4.64,4.58,4.6,1071264
2010-07-28,4.6,4.64,4.58,4.6,1459176
2010-07-29,4.6,4.62,4.58,4.6,266824
2010-07-30,4.58,4.6,4.56,4.58,123752
2010-08-02,4.64,4.64,4.56,4.64,288256
2010-08-03,4.62,4.64,4.6,4.62,162954
2010-08-04,4.62,4.62,4.6,4.62,314508
2010-08-05,4.6,4.64,4.58,4.6,138528
2010-08-06,4.6,4.62,4.58,4.6,424322
2010-08-09,4.64,4.68,4.58,4.64,1447786
2010-08-10,4.56,4.66,4.56,4.56,295090
2010-08-11,4.54,4.58,4.52,4.54,119674
2010-08-12,4.52,4.54,4.5,4.52,117794
2010-08-13,4.54,4.56,4.52,4.54,149486
2010-08-16,4.54,4.56,4.5,4.54,271290
2010-08-17,4.52,4.56,4.52,4.52,286248
2010-08-18,4.54,4.54,4.52,4.54,84582
2010-08-19,4.52,4.58,4.5,4.52,485734
2010-08-20,4.56,4.58,4.5,4.56,1319854
2010-08-23,4.56,4.56,4.52,4.56,234782
2010-08-24,4.5,4.56,4.46,4.5,407034
2010-08-25,4.84,4.9,4.5,4.84,9213298
2010-08-26,4.9,5.02,4.8,4.9,6917478
2010-08-27,4.92,4.94,4.84,4.92,1635202
2010-08-31,4.94,4.94,4.84,4.94,814022
2010-09-01,4.88,4.94,4.86,4.88,438306
2010-09-02,4.88,4.9,4.86,4.88,323906
2010-09-03,5,5.06,4.9,5,3302774
2010-09-06,4.94,5.02,4.92,4.94,411184
2010-09-07,4.94,4.98,4.84,4.94,906072
2010-09-08,4.96,4.98,4.94,4.96,1025426
2010-09-13,5.02,5.04,4.94,5.02,1072924
2010-09-14,4.98,5.02,4.94,4.98,587570
2010-09-15,5.1,5.15,4.96,5.1,2997832
2010-09-16,5.1,5.1,5,5.1,302880
2010-09-17,5,5.1,4.95,5,226038
