Date,Open,High,Low,Close,Volume
2000-02-16,0.32,0.3251,0.32,0.32,32967
2000-02-17,0.3251,0.3251,0.32,0.3251,35982
2000-02-18,0.34,0.3451,0.34,0.34,174851
2000-02-21,0.3299,0.3299,0.3251,0.3299,114072
2000-02-22,0.315,0.315,0.31,0.315,78284
2000-02-23,0.31,0.31,0.3049,0.31,99971
2000-02-24,0.34,0.34,0.3299,0.34,220947
2000-02-25,0.36,0.36,0.3499,0.36,482251
2000-02-28,0.3451,0.3451,0.34,0.3451,86356
2000-02-29,0.3499,0.3499,0.3451,0.3499,73908
2000-03-01,0.365,0.4,0.365,0.365,374015
2000-03-02,0.41,0.41,0.405,0.41,461927
2000-03-03,0.4,0.4,0.38,0.4,246037
2000-03-06,0.067,0.067,0.067,0.067,44766
2000-03-07,0.0751,0.076,0.0751,0.0751,179568
2000-03-08,0.0751,0.0751,0.0751,0.0751,134137
2000-03-09,0.0751,0.076,0.0751,0.0751,71428
2000-03-10,0.0709,0.072,0.0709,0.0709,40180
2000-03-13,0.0709,0.0709,0.0709,0.0709,40180
2000-03-20,0.061,0.0619,0.061,0.061,39077
2000-03-21,0.0641,0.065,0.0641,0.0641,56793
2000-03-22,0.063,0.063,0.0619,0.063,23291
2000-03-23,0.059,0.0599,0.059,0.059,54037
2000-03-24,0.056,0.056,0.0551,0.056,37262
2000-03-27,0.058,0.058,0.0571,0.058,23502
2000-03-28,0.0571,0.058,0.0571,0.0571,49078
2000-03-29,0.054,0.0551,0.054,0.054,12626
2000-03-30,0.049,0.0495,0.049,0.049,9725
2000-03-31,0.05,0.0509,0.05,0.05,13728
2000-04-03,0.052,0.052,0.049,0.052,11816
2000-04-04,0.05,0.0509,0.05,0.05,14101
2000-04-05,0.049,0.049,0.0481,0.049,9044
2000-04-06,0.0509,0.0515,0.05,0.0509,15106
2000-04-07,0.0509,0.0509,0.05,0.0509,10908
2000-04-10,0.0481,0.0484,0.0481,0.0481,13809
2000-04-11,0.0481,0.0481,0.0475,0.0481,12399
2000-04-12,0.0464,0.047,0.0464,0.0464,11005
2000-04-13,0.047,0.047,0.0461,0.047,13112
2000-04-14,0.0464,0.047,0.0464,0.0464,16273
2000-04-17,0.0439,0.0439,0.0436,0.0439,7764
2000-04-18,0.0436,0.0445,0.0436,0.0436,10324
2000-04-19,0.0439,0.0445,0.0436,0.0439,16548
2000-04-21,0.0416,0.0416,0.0416,0.0416,12367
2000-04-24,0.041,0.0419,0.041,0.041,5592
2000-04-25,0.0419,0.0419,0.0416,0.0419,20179
2000-04-26,0.043,0.043,0.0425,0.043,23032
2000-04-27,0.0419,0.0419,0.0416,0.0419,25819
2000-04-28,0.043,0.043,0.0425,0.043,27910
2000-05-01,0.045,0.045,0.0445,0.045,26014
2000-05-02,0.0535,0.0535,0.0535,0.0535,62757
2000-05-03,0.054,0.054,0.0529,0.054,83163
2000-05-04,0.049,0.05,0.049,0.049,37440
2000-05-05,0.05,0.0509,0.05,0.05,19077
2000-05-09,0.05,0.0509,0.05,0.05,9644
2000-05-10,0.049,0.05,0.0481,0.049,8963
2000-05-11,0.0484,0.0484,0.0481,0.0484,6321
2000-05-12,0.0509,0.052,0.0509,0.0509,54750
2000-05-15,0.049,0.05,0.0481,0.049,24523
2000-05-16,0.0495,0.05,0.049,0.0495,10989
2000-05-17,0.0484,0.0495,0.0484,0.0484,6824
2000-05-18,0.047,0.047,0.0461,0.047,12156
2000-05-22,0.045,0.045,0.0445,0.045,14344
2000-05-23,0.0455,0.0455,0.045,0.0455,20617
2000-05-24,0.045,0.0455,0.045,0.045,6386
2000-05-25,0.0461,0.0464,0.0461,0.0461,7407
2000-05-26,0.0445,0.045,0.0445,0.0445,3387
2000-05-29,0.0439,0.0439,0.0425,0.0439,6532
2000-05-30,0.0439,0.0439,0.0439,0.0439,5089
2000-05-31,0.0425,0.0425,0.0419,0.0425,112198
2000-06-01,0.043,0.043,0.0425,0.043,157217
2000-06-02,0.0419,0.0419,0.0416,0.0419,98285
2000-06-05,0.0416,0.0416,0.0405,0.0416,35722
2000-06-06,0.0425,0.0425,0.0419,0.0425,134575
2000-06-07,0.041,0.041,0.0405,0.041,55982
2000-06-08,0.0416,0.0416,0.041,0.0416,66420
2000-06-09,0.041,0.041,0.0405,0.041,53908
2000-06-12,0.0385,0.0391,0.0385,0.0385,44604
2000-06-14,0.038,0.0385,0.038,0.038,365230
2000-06-15,0.0374,0.0374,0.0371,0.0374,104476
2000-06-16,0.0349,0.0349,0.0346,0.0349,48202
2000-06-19,0.034,0.0346,0.0335,0.034,43113
2000-06-20,0.0326,0.0326,0.032,0.0326,101575
2000-06-21,0.0329,0.0329,0.0326,0.0329,50990
2000-06-22,0.0329,0.0329,0.0326,0.0329,47019
2000-06-23,0.0329,0.0329,0.0329,0.0329,45836
2000-06-26,0.032,0.032,0.0315,0.032,23129
2000-06-27,0.0315,0.0315,0.0301,0.0315,38786
2000-06-28,0.0304,0.031,0.0304,0.0304,27943
2000-06-29,0.0304,0.0304,0.0301,0.0304,42481
2000-06-30,0.0304,0.0304,0.0304,0.0304,10422
2000-07-03,0.0304,0.0304,0.0304,0.0304,26451
2000-07-04,0.0315,0.0315,0.031,0.0315,212373
2000-07-05,0.0326,0.0326,0.0315,0.0326,59645
2000-07-06,0.031,0.031,0.0304,0.031,47765
2000-07-07,0.031,0.031,0.031,0.031,32546
2000-07-10,0.032,0.032,0.0315,0.032,68317
2000-07-11,0.0301,0.0304,0.0301,0.0301,48121
2000-07-12,0.0304,0.0304,0.0295,0.0304,31816
2000-07-13,0.029,0.0295,0.029,0.029,32108
2000-07-14,0.0295,0.0295,0.029,0.0295,20957
2000-07-17,0.0275,0.0275,0.027,0.0275,23485
2000-07-19,0.029,0.029,0.0281,0.029,36014
2000-07-20,0.0284,0.0284,0.0281,0.0284,31816
2000-07-21,0.029,0.0295,0.029,0.029,36468
2000-07-24,0.0284,0.029,0.0284,0.0284,24393
2000-07-25,0.0295,0.0295,0.029,0.0295,25155
2000-07-26,0.0301,0.0304,0.0301,0.0301,87328
2000-07-27,0.029,0.0295,0.029,0.029,48283
2000-07-28,0.0326,0.0326,0.029,0.0326,461230
2000-07-31,0.0329,0.0335,0.0329,0.0329,436918
2000-08-01,0.0335,0.034,0.0335,0.0335,116957
2000-08-02,0.0355,0.0355,0.0349,0.0355,252244
2000-08-03,0.0355,0.0355,0.0355,0.0355,86145
2000-08-04,0.0355,0.0355,0.0355,0.0355,126861
2000-08-07,0.0349,0.0349,0.0346,0.0349,47672
2000-08-08,0.0335,0.0335,0.0329,0.0335,15348
2000-08-09,0.0326,0.0326,0.032,0.0326,45415
2000-08-10,0.0326,0.0329,0.0326,0.0326,35901
2000-08-11,0.036,0.036,0.0355,0.036,294434
2000-08-14,0.0355,0.0355,0.0349,0.0355,121527
2000-08-15,0.0371,0.0374,0.0371,0.0371,488346
2000-08-16,0.0394,0.0394,0.0391,0.0394,240364
2000-08-17,0.0439,0.0439,0.0436,0.0439,177266
2000-08-18,0.0475,0.0481,0.0475,0.0475,588203
2000-08-21,0.0445,0.0445,0.0439,0.0445,874743
2000-08-22,0.0419,0.0419,0.0416,0.0419,982364
2000-08-23,0.0445,0.0445,0.0439,0.0445,474293
2000-08-24,0.0436,0.0436,0.043,0.0436,170718
2000-08-25,0.0439,0.0439,0.0436,0.0439,160280
2000-08-28,0.043,0.0436,0.043,0.043,108447
2000-08-29,0.0436,0.0439,0.0436,0.0436,49548
2000-08-31,0.0445,0.045,0.0445,0.0445,400158
2000-09-01,0.045,0.045,0.0445,0.045,110587
2000-09-04,0.0439,0.0445,0.0439,0.0439,74363
2000-09-05,0.0506,0.0509,0.0506,0.0506,1030631
2000-09-06,0.049,0.05,0.049,0.049,520794
2000-09-07,0.049,0.0495,0.049,0.049,420419
2000-09-08,0.052,0.052,0.0509,0.052,543648
2000-09-11,0.0481,0.049,0.0481,0.0481,387096
2000-09-12,0.0484,0.0484,0.0481,0.0484,320545
2000-09-14,0.0475,0.0475,0.047,0.0475,207818
2000-09-15,0.0461,0.0464,0.0461,0.0461,91753
2000-09-18,0.041,0.041,0.0405,0.041,233427
2000-09-19,0.0371,0.0371,0.0365,0.0371,129096
