Date,Amount,Currency
2000-05-29,0.0302,TRY
2001-05-31,0.03397,TRY
2003-05-28,0.3737,TRY
2005-05-16,0.42826,TRY
2006-05-15,0.34521,TRY
2007-05-14,0.3737,TRY
2008-05-12,0.18685,TRY
2010-03-24,0.14799,TRY
2011-03-29,0.36997,TRY
2012-04-05,0.44397,TRY
2013-04-01,0.52536,TRY
2014-04-01,0.44396,TRY
2015-04-01,0.51796,TRY
2016-04-01,0.38773,TRY
2017-04-03,0.62895,TRY
2018-03-26,0.64375,TRY
2020-04-01,0.73994,TRY
2021-03-29,2.21983,TRY
2022-03-28,2.21983,TRY
2023-03-20,1.47988,TRY
2023-09-25,2.66379,TRY
