Date,Open,High,Low,Close,Volume
2023-04-20,44.66,44.66,44.66,44.66,328173
2023-04-24,49.12,49.12,49.12,49.12,541455
2023-04-25,54,54,54,54,1553655
2023-04-26,59.4,59.4,59.4,59.4,2547300
2023-04-27,65.3,65.3,65.3,65.3,7189242
2023-04-28,71.8,71.8,71.8,71.8,20392985
2023-05-02,78.95,78.95,78.7,78.95,73281151
2023-05-03,77,85.1,73.5,78.45,321521076
2023-05-04,77.85,82.8,77.15,77.75,147708782
2023-05-05,77.9,78.2,70,70,97398057
2023-05-08,69.5,70,66.15,66.2,71597671
2023-05-09,66.2,69.8,60.85,61.9,63802381
2023-05-10,61.9,68,58.85,63.55,100333533
2023-05-11,62.55,68.95,61.6,67.15,64347391
2023-05-12,68.45,69,64.3,64.85,31162079
2023-05-15,61.6,71.3,60.1,69.75,49789586
2023-05-16,69.8,76.7,69.75,76.7,36903209
2023-05-17,79.7,84.35,78.5,84.35,83031931
2023-05-18,85,85.75,77.05,78.4,74343661
2023-05-22,79.05,86.2,78.75,86.2,65106325
2023-05-23,83.45,83.85,77.85,78.05,98816961
2023-05-24,79,80.8,72.9,77.35,76109998
2023-05-25,77.65,82.75,76.15,79.45,75417778
2023-05-26,79.5,82,78.1,80.55,44528399
2023-05-29,82.8,88.6,82,88.6,52193575
2023-05-30,88.85,96.4,87.55,92.8,88659777
2023-05-31,92.8,97.85,90.7,93,67675315
2023-06-01,94.8,96.1,91.4,91.95,39733379
2023-06-02,93.45,93.95,90.1,91.85,41715209
2023-06-05,94,98.45,92.75,94,57008431
2023-06-06,94,94.4,90.55,91.35,32257229
2023-06-07,91.95,93.9,88.85,89.2,35873069
2023-06-08,89.2,93.3,87.9,91.35,36226409
2023-06-09,91.5,92,88,88.55,22797809
2023-06-12,89.05,91.8,86.6,87.3,34128389
2023-06-13,87.3,89.85,85,85,32496059
2023-06-14,85.1,86.45,81.5,81.5,25418687
2023-06-15,82,88.75,82,86.05,39352439
2023-06-16,86.1,88.2,84.6,85.4,26596073
2023-06-19,87.05,88.45,81.5,81.6,23216018
2023-06-20,81.25,82.2,78.3,79.75,18716777
2023-06-21,80.5,84.05,79.45,80.05,26224055
2023-06-22,80.5,86.5,79.15,83.95,27968756
2023-06-23,85,87.35,84.15,86.65,16040211
2023-06-26,87,91.75,85.8,89,29789594
2023-06-27,89,90.95,87.5,90.85,11340780
2023-07-03,91.6,93.9,90.7,91.2,22761128
2023-07-04,91.75,92.25,89.45,90.15,20489258
2023-07-05,90.15,92.3,89.65,91,19607432
2023-07-06,94.4,97.5,93.65,94.55,35478629
2023-07-07,95,104,94.5,104,49920539
2023-07-10,107.3,114.4,107.1,114.4,39668759
2023-07-11,118.5,124.1,113.7,117.7,65687308
2023-07-12,117.7,128.9,113.1,125.4,71706835
2023-07-13,127.2,137.9,127.2,137.9,35604539
2023-07-14,143,148.4,138,146.9,60111631
2023-07-17,147.2,157.4,139.9,148,61555681
2023-07-18,150.2,151.2,139.9,139.9,51912085
2023-07-19,139.9,153.8,139.9,153.8,41679149
2023-07-20,160,169.1,157.6,169.1,47312489
2023-07-21,176.3,184,167.5,174.9,65158315
2023-07-24,178,192.3,177,192.3,44453519
2023-07-25,192.5,195.4,173.1,173.1,100994178
2023-07-26,172.9,181.7,163,176.3,70455478
2023-07-27,180,183,172,178,26957612
2023-07-28,181,182.5,172,175.4,33180389
2023-07-31,181.8,192.9,181.7,192.9,17829821
2023-08-01,194.1,211.5,186.2,194,72286141
2023-08-02,194,209.1,188.2,204.1,56553421
2023-08-03,206,218.6,203.4,207.1,62241058
2023-08-04,208.5,210,194.1,196.3,32063939
2023-08-07,196.7,198.7,180.3,182.5,42878129
2023-08-08,182.4,198.5,175.5,195.2,52193278
2023-08-09,197,202.6,190.9,191.1,55885585
2023-08-10,195,197.5,178,180.8,36117629
2023-08-11,185,192.9,182,191,27996590
2023-08-14,195,208.7,190.2,202.8,68889748
2023-08-15,203.1,204,186.7,188,43113389
2023-08-16,185,185,175.8,176.5,29843723
2023-08-17,176.5,185,173.4,179,18656210
2023-08-18,189.1,192,176.7,182.3,25821686
2023-08-21,180.5,189.7,176.1,182,31745669
2023-08-22,183.3,184.5,175,175,19428893
2023-08-23,175,186,169.5,172,35213939
2023-08-24,173.9,176.8,160.8,168.6,21456383
2023-08-25,185.4,185.4,177.8,185.4,44251979
2023-08-28,187.9,202.5,184.1,191.3,46933769
2023-08-29,194,194.9,185.3,189,25080713
2023-08-31,192,199,188.1,199,44752919
2023-09-01,199,218.9,193.7,218.9,60772558
2023-09-04,227,240.7,226,240.7,16977711
2023-09-05,250.4,254,228,228.7,69750778
2023-09-06,230,241.7,225.2,232.2,34296539
2023-09-07,234,234.5,220.3,223.5,26491007
2023-09-08,226,228.8,217,218.4,23950070
2023-09-11,222.5,225,208.7,209.3,21234956
2023-09-12,212.8,227.5,210.5,221.9,39771869
2023-09-13,222.5,223.4,208.5,208.5,20247227
2023-09-14,208.7,225.3,202.6,220,30656579
2023-09-15,220,227.1,212.1,221.9,30789509
2023-09-18,221,221,203,203,18611204
2023-09-19,201.9,220.6,199.7,214.9,39910799
2023-09-20,214.8,218.7,206.7,208.2,20622263
2023-09-21,215,229,212.1,229,31413089
2023-09-22,238.9,251.9,236,239,77000998
2023-09-25,244,258,239.6,246.9,40797209
2023-09-26,250,252.6,233,233.6,28770470
2023-09-27,234.2,253.9,232.5,248.8,44415539
2023-09-28,242.5,244.7,230.3,230.3,24746723
2023-09-29,230.3,239.7,230.2,233.2,18095924
2023-10-02,236,238,227.8,228,18018494
2023-10-03,231.5,233,227,228.4,17607653
2023-10-04,228.7,231.5,220.5,220.5,16936248
2023-10-05,221,228.4,216.7,224,19668908
2023-10-06,220.4,224.2,218.9,220.4,10262874
2023-10-09,212,214.7,204.3,207,14454801
2023-10-10,208.3,227.7,208.3,222.4,28658246
2023-10-11,222.4,227.1,214.5,219.7,25604906
2023-10-12,236,239.5,214.6,222.3,34935449
2023-10-13,222,222.2,211.8,211.8,14607075
2023-10-16,215.1,217,197.9,198.7,19960820
2023-10-17,198.7,214,193.5,208.5,23481614
2023-10-18,201.3,205,198.4,198.4,14783685
2023-10-19,198.6,202.5,189.8,191.1,13748343
2023-10-20,187,191.8,182.5,185.2,18308423
2023-10-23,192,199.5,184.1,194.6,21470000
2023-10-24,201.9,205.5,196.5,202,15837627
2023-10-25,202,203.2,181.8,181.9,15515373
2023-10-26,181.9,192.4,176.9,187.1,24692990
2023-10-27,187.1,194.2,181.3,187.8,21750017
2023-10-30,186,199,185.3,193.1,21302789
2023-10-31,195,195.9,182.8,183.8,11331885
2023-11-01,186,188,174.1,182,14832015
2023-11-02,183.4,184.9,178.1,178.5,11490912
2023-11-03,175.6,177.6,171.4,174.5,12709200
2023-11-06,177.7,188.1,176.9,184.6,15960420
2023-11-07,184.6,192.4,183,186.3,15767847
2023-11-08,188.5,191.8,185.2,189.1,10242099
2023-11-09,187.5,195,185.1,191,15429963
2023-11-10,191,192.8,183.1,183.9,12158493
2023-11-13,184,185.7,173.5,174.4,8588139
2023-11-14,175,177.9,171.4,174,8566185
2023-11-15,174.7,180,172.9,175.8,9976695
2023-11-16,176.2,181.1,174.8,177.1,8478069
2023-11-17,177.3,178.1,174.2,177.5,6794463
2023-11-20,180.5,183.6,179.3,180.1,7848426
2023-11-21,181.5,188,180.1,182,13827381
2023-11-22,182.8,183.7,176.5,176.5,6532044
2023-11-23,176.6,181.6,175,175.2,7570668
2023-11-24,175.6,176.7,171.4,174.5,6268143
2023-11-27,176,179.1,173,173,8238132
2023-11-28,173.8,176.1,169.6,170.5,7844937
2023-11-29,172.4,173,164.5,164.5,7097319
2023-11-30,164.7,170.8,164,170.6,9497994
2023-12-01,172.5,173.2,167.2,168.8,6945282
2023-12-04,169.6,169.6,163.2,166,8863500
2023-12-05,166.4,172.3,164.9,167.8,7700061
2023-12-06,168,169.2,159.6,160.1,6977898
2023-12-07,160.7,166.7,156.7,166.7,10576719
2023-12-08,168.2,176.6,164.8,167.8,13795269
2023-12-11,168,168.2,160.2,161.6,7789260
2023-12-12,161.8,165.3,160.4,161.6,8310786
2023-12-13,163.9,163.9,152.1,152.1,8868540
2023-12-14,153.7,157.7,148.9,155.5,9601464
2023-12-15,156,168.4,155.3,168.4,16045965
2023-12-18,167.5,167.5,160.5,162.2,6235590
2023-12-19,161.8,174.9,159.1,165.5,13502136
2023-12-20,165,169.6,162.3,162.8,7396722
2023-12-21,162,164.7,158.1,162.3,7489530
2023-12-22,163,167.1,154.3,154.3,7570491
2023-12-25,154,154,140.6,140.8,5062455
2023-12-26,144.3,152.4,139.2,144.2,11033442
2023-12-27,143.5,151.9,141,148.4,9600975
2023-12-28,148.4,159.3,148.2,156.3,8463105
2023-12-29,156.3,163.2,154.5,162,5941116
2024-01-02,162.5,176,161,172,13590957
2024-01-03,171.1,175.2,166.1,166.1,15634608
2024-01-04,167,168.6,161,163.3,6756237
2024-01-05,165.4,167.4,157.3,166,5866746
2024-01-08,168.9,172.8,166.6,166.9,7709286
2024-01-09,167.2,168,160.6,164.2,6194925
2024-01-10,167.1,173.8,166.4,167.2,16530408
2024-01-11,167.4,174.6,167.2,169.8,11621514
2024-01-12,167.7,175.4,163,171.8,10855503
2024-01-15,173.5,181.2,172.7,180.6,14259516
2024-01-16,180.2,182.6,175.3,177,10553964
2024-01-17,176.5,179.9,173.4,173.6,7620237
2024-01-18,176.5,185.7,173.1,178.1,23176640
2024-01-19,176.6,177.7,174.1,174.6,8634279
2024-01-22,174.6,177,172.6,175,9001035
2024-01-23,178,180.3,174.1,175.5,10558158
2024-01-24,176,176.5,167.2,174.4,11456322
2024-01-25,174.9,176.8,173.7,174.3,7176318
2024-01-26,174.6,179.9,174.1,178.2,12664038
2024-01-29,179.3,189.4,179.3,186,17346990
2024-01-30,186,187.4,179.8,179.9,10146534
2024-01-31,179.9,183,176.8,179.5,15903366
2024-02-01,177.8,180.4,175.6,177.8,17328345
2024-02-02,178.4,181.5,176.4,177.3,16369452
2024-02-05,178.2,180.9,177.7,178.4,12607683
2024-02-06,179.2,185.5,177.5,182,22179932
2024-02-07,183,200.2,183,200.2,36150209
2024-02-08,205,208.5,194.8,195.7,32033219
2024-02-09,195.9,201,193,193.7,12465141
2024-02-12,197.6,199,192.5,193.9,10476795
2024-02-13,194.6,195.1,182.9,183.7,12238644
2024-02-14,183.7,184,178.4,183.4,11319441
2024-02-15,184.6,187.3,183,183.6,8986638
2024-02-16,184,185.8,180.1,181.2,10731813
2024-02-19,182.5,185.3,177.2,178.2,11329968
2024-02-20,179,186.9,177.1,183.3,14209515
2024-02-21,184.4,185.5,179.5,179.5,10360713
2024-02-22,180.8,182.6,179.1,181.5,9875781
2024-02-23,181.5,191,180.9,184.3,19034189
2024-02-26,189,192.2,185.1,185.2,16291089
2024-02-27,186.5,187.2,177.2,177.2,10813773
2024-02-28,177.2,178.8,171.2,171.2,9438276
2024-02-29,171.3,175.9,170.6,174.1,7942677
2024-03-01,174.2,175.8,170,170.2,8075598
2024-03-04,171,171.5,165.5,166.3,7444956
2024-03-05,166.9,167.7,162.8,163.4,9601245
2024-03-06,163.3,165.5,159.5,159.5,9964584
2024-03-07,160.6,165.4,160.2,164.5,8101077
2024-03-08,164.9,166.6,160.6,162.8,6608154
2024-03-11,166.8,166.8,158.3,158.3,5897181
2024-03-12,158.3,159.8,155,155.3,6407364
2024-03-13,155.3,158.6,154.7,154.9,6974508
2024-03-14,157.7,162.3,156.3,158.7,10481169
2024-03-15,158.5,160.9,156.8,159.9,6329775
2024-03-18,159.9,160,152.1,152.6,6029841
2024-03-19,153,154.6,151.5,152.4,5307162
2024-03-20,152.6,156.5,152.2,153,5707950
2024-03-21,154,155.7,148.7,149,7197123
2024-03-22,148.7,152.6,148.3,150.1,6396318
2024-03-25,150.1,154.8,147.2,149.6,6380796
2024-03-26,149.6,150.1,144.2,144.6,5274276
2024-03-27,144.9,148.5,142.8,146,4858569
2024-03-28,146.9,149.5,145.5,147.6,5105478
2024-03-29,148.4,153.6,148.2,153,7591983
2024-04-01,168.3,168.3,156.7,157.9,24838871
2024-04-02,158,159,149,149.9,7755336
2024-04-03,149.8,153.3,147,147.1,5642376
2024-04-04,147.5,151.5,145,145,3768657
2024-04-05,146.3,152,146.3,152,3612999
2024-04-08,153,161,153,159.9,5915550
2024-04-09,160,161.9,157,161.2,3061980
2024-04-15,158.1,162.4,156.7,159,6773544
2024-04-16,158.5,159.9,152.4,154.4,4728735
2024-04-17,155.8,157,150,150.7,3651390
2024-04-18,151.1,153.5,150.3,151.8,4921572
2024-04-19,150,153.4,148.8,152.1,4491441
2024-04-22,153.2,159,153.2,153.4,7787592
2024-04-24,154.2,157,152.9,153,8350941
2024-04-25,153.4,154.8,150.5,151.1,4842951
2024-04-26,151.6,153.9,150.3,153.6,5176494
2024-04-29,154.5,156.1,150.3,150.6,5825925
2024-04-30,150.6,151.3,147.6,149,4317045
