Date,Open,High,Low,Close,Volume
2022-04-04,20.5,20.5,20.5,20.5,448007
2022-04-05,22.54,22.54,18.63,18.65,103819851
2022-04-06,18.66,18.84,17.16,17.39,43350624
2022-04-07,17.57,19.12,17.36,19.12,59682372
2022-04-08,19.12,19.46,18.6,18.67,35460399
2022-04-11,18.67,18.79,18.05,18.14,13494865
2022-04-12,18.37,18.45,17.85,18.21,9933725
2022-04-13,18.25,18.28,17.81,17.83,14375515
2022-04-14,17.98,18.09,17.38,17.54,9110122
2022-04-15,17.54,17.68,17.39,17.42,6318382
2022-04-18,17.43,17.48,17.21,17.22,4849667
2022-04-19,17.23,17.54,17.14,17.26,6600792
2022-04-20,17.32,18.25,17.32,17.85,15974180
2022-04-21,17.88,18.31,17.58,18,19123115
2022-04-22,17.94,19.78,17.86,19.3,58274749
2022-04-25,19.34,20,18.94,19.99,22482587
2022-04-26,20.04,21.52,19.14,21.42,35837824
2022-04-27,21.42,23.56,21.18,23.56,46592627
2022-04-28,23.7,25.56,22.52,25.4,93976054
2022-04-29,25.2,25.2,22.86,22.86,9093810
2022-05-05,20.6,22.88,20.58,21.8,27258650
2022-05-06,21.82,22.18,20.74,20.84,6883700
2022-05-09,20.92,21.44,20.12,20.98,15356377
2022-05-10,21.04,21.06,19.87,19.87,7529507
2022-05-11,19.91,20.3,18.15,19.91,26063175
2022-05-12,19.8,20.94,19.1,20.5,29818450
2022-05-13,20.6,20.68,19.14,19.14,13004985
2022-05-16,19.24,19.6,18.81,18.81,7968057
2022-05-17,19,19.02,17.86,17.86,8432990
2022-05-18,17.87,18.5,17.85,17.85,8239390
2022-05-20,17.9,17.9,17.3,17.39,7156412
2022-05-23,17.5,18.51,17.45,18.1,10684462
2022-05-24,18.5,19.31,18.41,18.84,10495695
2022-05-25,18.9,19.15,18.5,18.5,3976210
2022-05-26,18.55,18.99,18.2,18.9,3820412
2022-05-27,18.89,18.98,18.26,18.26,4812437
2022-05-30,18.36,18.45,18.16,18.16,3034480
2022-05-31,18.21,18.23,17.89,18.03,4340180
2022-06-01,18.04,18.54,18.03,18.14,7026370
2022-06-02,18.2,18.79,18.2,18.35,4045537
2022-06-03,18.44,18.97,18.22,18.5,5221002
2022-06-06,18.61,19.36,18.54,19.12,5530735
2022-06-07,19.19,19.19,18.61,19.13,4888992
2022-06-08,19.15,19.59,18.92,19,12447290
2022-06-09,19.05,19.6,18.96,19.26,6002792
2022-06-10,19.25,19.41,19.12,19.38,3055382
2022-06-13,19.4,19.94,19.2,19.45,4518365
2022-06-14,19.46,19.71,19.3,19.55,2471712
2022-06-15,19.53,19.77,19.31,19.75,2981360
2022-06-16,19.75,20.84,19.42,19.42,10038360
2022-06-17,19.5,20.24,19.47,20.06,4835782
2022-06-20,20.12,20.24,19.75,19.96,2911345
2022-06-21,19.9,20.16,19.79,19.87,3450427
2022-06-22,19.89,20.1,19.75,19.9,4062995
2022-06-23,19.9,20.08,19.73,19.94,4161370
2022-06-24,19.94,20.44,19.8,20.08,7346325
2022-06-27,19.89,20.6,19.87,20.42,4698102
2022-06-28,20.44,21,20.42,20.7,6305110
2022-06-29,20.74,21.2,20.64,21,4949457
2022-06-30,21,21.46,20.86,21.3,5611497
2022-07-01,21.34,21.64,21.08,21.36,5397430
2022-07-04,21.42,22.6,21.42,22.24,8525235
2022-07-05,22.36,22.86,22,22.76,7596032
2022-07-06,22.8,23.34,22.52,23.2,8464082
