Date,Open,High,Low,Close,Volume
2017-06-15,44,45.86,44,44.5,45172672
2017-06-16,44.6,44.7,43.4,43.64,4217000
2017-06-19,43.86,44.14,43.68,44.1,2041744
2017-06-20,44.5,44.5,43.6,43.6,2199928
2017-06-21,43.74,43.98,43.46,43.7,2268400
2017-06-22,43.74,44,43.24,43.58,2014104
2017-06-23,43.58,43.76,43.44,43.74,1030352
2017-06-28,43.74,43.74,43,43.44,1474600
2017-06-29,43.4,43.4,42.88,42.88,2452376
2017-06-30,42.94,42.98,42.8,42.98,1634048
2017-07-03,42.98,43,42.82,42.84,542448
2017-07-04,43,43.22,42.76,42.78,1085304
2017-07-05,43.72,43.88,42.8,42.82,1344512
2017-07-06,43.56,43.56,42.86,43.08,4295016
2017-07-07,43.12,43.26,42.84,43.12,742400
2017-07-10,43.18,43.22,42.78,42.9,1185960
2017-07-12,42.78,42.9,42.7,42.7,1385336
2017-07-13,42.76,42.78,42.66,42.7,1955904
2017-07-14,42.76,42.8,42.7,42.74,1012144
2017-07-17,42.7,42.76,39.7,42.66,870200
2017-07-18,42.6,42.6,41.66,42.12,670376
2017-07-19,42.22,42.22,41.72,41.86,473216
2017-07-20,41.86,41.92,41.66,41.72,488752
2017-07-21,41.82,41.82,40.88,40.9,628232
2017-07-24,41.04,43.2,40.22,42.9,8023544
2017-07-25,42.9,42.96,42.14,42.46,1575112
2017-07-26,42.46,42.88,42.04,42.04,1567488
2017-07-27,42.16,42.38,41.76,41.76,1043024
2017-07-28,41.54,42.02,41.1,41.18,918376
2017-07-31,41.3,42.7,41.18,41.82,3292632
2017-08-01,42,42.2,41.8,42.04,868272
2017-08-02,41.98,42.62,41.96,42.5,587944
2017-08-03,42.52,42.9,42.4,42.74,762320
2017-08-04,42.68,42.8,42.28,42.4,1280888
2017-08-07,42.4,42.8,42.04,42.7,527008
2017-08-08,42.8,42.82,42.36,42.82,299216
2017-08-09,42.72,42.72,42.08,42.22,872344
2017-08-10,42.22,43.64,42.2,43.46,2511736
2017-08-11,43.16,43.4,42.52,43.3,785816
2017-08-14,43.4,44.54,42.98,44.26,1814272
2017-08-15,44.26,45.44,44.2,44.7,3589480
2017-08-16,44.78,45,43.3,44.58,987368
2017-08-17,44.58,47.44,44.5,46.78,4638208
2017-08-18,46.76,46.76,45.2,46,1064336
2017-08-21,45.94,46.6,45.66,45.84,1575264
2017-08-22,46,46.7,45.6,45.6,2097560
2017-08-23,45.58,45.6,44.5,44.92,332064
2017-08-24,44.92,45.32,44.04,45,277088
2017-08-25,44.98,46.1,44.7,45.2,434680
2017-08-28,46,46,44.3,44.54,289760
2017-08-29,44.52,45.2,44.5,45.1,573712
2017-08-31,45.1,45.9,44.32,45.9,187600
2017-09-05,45.9,46.24,45,45.98,737360
2017-09-06,45.98,46.4,45.74,46.22,812512
2017-09-07,46.22,46.76,45.84,46.66,620432
2017-09-08,46.9,48.3,46.66,48,1957208
2017-09-11,48.02,48.8,47.28,48.62,615728
2017-09-12,48.6,48.64,47.4,48.5,656096
2017-09-13,49.44,53.8,49.44,50.9,2888912
2017-09-14,50.85,52.55,50.55,52,2016368
2017-09-15,52,52.3,50.5,52.3,1172240
2017-09-18,52.3,53.3,51.9,52.9,1955296
2017-09-19,53.05,54.5,51.05,53.3,2363528
2017-09-20,53.15,53.15,51.55,52.1,1713176
2017-09-21,51.65,51.7,50.55,50.9,1078216
2017-09-22,51,52,50.65,51.65,2045600
2017-09-25,51.5,51.5,50.1,51.05,520176
2017-09-26,51.4,52.2,50.55,51.5,1294048
2017-09-27,51.35,51.65,50.65,51.3,1283032
2017-09-28,50.9,51.35,50.5,51,890216
2017-09-29,51,52.25,50.6,52,1771848
2017-10-02,52,54,52,53.2,705312
2017-10-03,53.5,54.1,52.8,53.2,553200
2017-10-04,53.8,54.45,51.8,52.9,1743312
2017-10-05,52.9,53.2,52.05,53,912288
2017-10-06,53,53.4,52.55,53,1409648
2017-10-09,52.5,53.95,50.7,52.3,1939448
2017-10-10,52.75,53.3,52,53.1,995320
2017-10-11,53.1,53.35,52.75,53.2,1578672
2017-10-12,53.35,55,53,53.85,957992
2017-10-13,53.95,54.75,53.9,54.45,398792
2017-10-16,54.4,56.5,54.05,56.25,1863056
2017-10-17,56.25,56.55,55,56.2,703160
2017-10-18,56.2,56.6,55.15,56.35,2788264
2017-10-19,56.5,56.5,56,56.3,1132160
2017-10-20,56.5,57,55.4,56.2,1178248
2017-10-23,56.45,56.45,55.45,55.75,208840
2017-10-24,55.7,56,55.25,55.55,770264
2017-10-25,55.55,55.95,55.1,55.6,294584
2017-10-26,56,57.35,55.4,56.2,1410904
2017-10-27,55.05,56.25,55.05,56.25,288416
2017-10-30,56.5,56.5,55.55,55.8,118112
2017-10-31,56,56.5,55.05,56.45,337488
2017-11-01,56.45,58.05,56.45,57.7,1252368
2017-11-02,58,58.55,57.7,58,2066864
2017-11-03,57,58.5,57,57.95,648752
2017-11-06,57.85,58.6,57.6,58,396968
2017-11-07,58,58.65,57.2,57.65,998280
2017-11-08,57.7,57.95,56.55,57.5,383040
2017-11-09,57.5,57.8,56.3,56.9,509200
2017-11-10,57,57.25,56.3,56.3,172408
2017-11-13,56.65,57,56.05,56.15,170488
2017-11-14,56.95,60,56.05,56.95,1033880
2017-11-15,57,57.5,55.35,56.95,684888
2017-11-16,56.95,57,55.75,56.4,333024
2017-11-17,56.4,56.85,55.2,55.5,1282304
2017-11-20,55.5,55.8,51.75,53.15,701648
2017-11-21,52.95,53.35,51,51.55,933488
2017-11-22,53.05,53.05,50,50.5,1164648
2017-11-23,50.5,51.15,49.8,50.5,3290064
2017-11-24,51,51,50,50.7,1536248
2017-11-27,50.7,53,50.65,52,611312
2017-11-28,52,52.45,51,51.85,948344
2017-11-29,52,52.3,51.6,52,1532240
2017-11-30,52,53.55,52,52.85,5714112
2017-12-01,52.95,53.75,52.15,52.85,597888
2017-12-04,52.85,54.2,52.3,53.7,576240
2017-12-05,55.4,56.4,51.95,53.1,1278416
2017-12-06,53.15,53.35,51,52,1950568
2017-12-07,52,52.2,51.25,51.7,1429496
2017-12-08,51.85,51.85,50.85,51,740704
