Date,Open,High,Low,Close,Volume
2000-02-16,0.0054,0.0054,0.0053,0.0054,1359164
2000-02-17,0.005,0.005,0.005,0.005,1003117
2000-02-18,0.005,0.005,0.005,0.005,662818
2000-02-21,0.0043,0.0043,0.0043,0.0043,722580
2000-02-22,0.004,0.004,0.004,0.004,953923
2000-02-23,0.0038,0.0038,0.0038,0.0038,1225
2000-02-24,0.004,0.004,0.004,0.004,3958039
2000-02-25,0.0045,0.0045,0.0045,0.0045,2858260
2000-02-28,0.0043,0.0043,0.0043,0.0043,2225906
2000-02-29,0.0048,0.0048,0.0045,0.0048,4820835
2000-03-01,0.0054,0.0054,0.0054,0.0054,5250781
2000-03-02,0.0054,0.0054,0.0054,0.0054,5160298
2000-03-03,0.0054,0.0054,0.0053,0.0054,1890663
2000-03-06,0.0053,0.0053,0.005,0.0053,1277655
2000-03-07,0.0056,0.0056,0.0054,0.0056,2252725
2000-03-08,0.0059,0.0059,0.0056,0.0059,3676388
2000-03-09,0.0059,0.0061,0.0059,0.0059,2628139
2000-03-10,0.0059,0.0059,0.0059,0.0059,2033079
2000-03-20,0.0066,0.0066,0.0066,0.0066,2661503
2000-03-21,0.0069,0.0069,0.0069,0.0069,2162127
2000-03-22,0.0064,0.0066,0.0064,0.0064,760114
2000-03-23,0.0066,0.0066,0.0066,0.0066,822801
2000-03-24,0.0066,0.0066,0.0064,0.0066,1741827
2000-03-27,0.0069,0.0069,0.0066,0.0069,2603220
2000-03-28,0.0069,0.0069,0.0069,0.0069,2182068
2000-03-29,0.0066,0.0066,0.0064,0.0066,1145462
2000-03-30,0.0059,0.0059,0.0056,0.0059,1914075
2000-03-31,0.0059,0.0059,0.0059,0.0059,965376
2000-04-03,0.0056,0.0056,0.0054,0.0056,550430
2000-04-04,0.0056,0.0056,0.0056,0.0056,1500920
2000-04-05,0.0056,0.0056,0.0054,0.0056,1399754
2000-04-06,0.0061,0.0061,0.0059,0.0061,2540740
2000-04-07,0.0061,0.0061,0.0061,0.0061,2426955
2000-04-10,0.0059,0.0059,0.0059,0.0059,1762974
2000-04-11,0.0061,0.0061,0.0059,0.0061,1784546
2000-04-12,0.0061,0.0061,0.0061,0.0061,2552171
2000-04-13,0.0066,0.0066,0.0066,0.0066,2268975
2000-04-14,0.0066,0.0066,0.0066,0.0066,2391845
2000-04-17,0.0061,0.0061,0.0061,0.0061,1801992
2000-04-18,0.0061,0.0061,0.0061,0.0061,1076492
2000-04-19,0.0059,0.0061,0.0059,0.0059,768542
2000-04-21,0.0059,0.0059,0.0059,0.0059,392996
2000-04-24,0.0059,0.0059,0.0059,0.0059,433795
2000-04-25,0.0064,0.0064,0.0064,0.0064,5100138
2000-04-26,0.0064,0.0064,0.0064,0.0064,3391588
2000-04-27,0.0061,0.0061,0.0061,0.0061,1035236
2000-04-28,0.0064,0.0066,0.0064,0.0064,1430819
2000-05-01,0.0069,0.0069,0.0069,0.0069,3762449
2000-05-02,0.0072,0.0075,0.0072,0.0072,5205649
2000-05-03,0.0072,0.0072,0.0072,0.0072,2301356
2000-05-04,0.0069,0.0069,0.0066,0.0069,2399650
2000-05-05,0.0069,0.0069,0.0069,0.0069,1755331
2000-05-09,0.0066,0.0066,0.0066,0.0066,1974749
2000-05-10,0.0064,0.0066,0.0064,0.0064,1315769
2000-05-11,0.0066,0.0066,0.0064,0.0066,1501700
2000-05-12,0.0066,0.0066,0.0066,0.0066,1476238
2000-05-15,0.0061,0.0064,0.0061,0.0061,751586
2000-05-16,0.0064,0.0064,0.0064,0.0064,682131
2000-05-17,0.0059,0.0059,0.0059,0.0059,1546805
2000-05-18,0.0059,0.0059,0.0059,0.0059,648173
2000-05-22,0.0059,0.0059,0.0059,0.0059,557305
2000-05-23,0.0056,0.0056,0.0054,0.0056,864606
2000-05-24,0.0056,0.0056,0.0056,0.0056,418715
2000-05-25,0.0059,0.0059,0.0056,0.0059,733389
2000-05-26,0.0056,0.0056,0.0056,0.0056,153893
2000-05-29,0.0056,0.0059,0.0056,0.0056,1546309
2000-05-30,0.0054,0.0054,0.0053,0.0054,1708359
2000-05-31,0.0054,0.0054,0.0054,0.0054,1567143
2000-06-01,0.0034,0.0034,0.0034,0.0034,4091851
2000-06-02,0.0034,0.0034,0.0034,0.0034,2579728
2000-06-05,0.0034,0.0034,0.0034,0.0034,985079
2000-06-06,0.0034,0.0034,0.0034,0.0034,1598110
2000-06-07,0.0032,0.0034,0.0032,0.0032,1005874
2000-06-08,0.0032,0.0032,0.0032,0.0032,1383285
2000-06-09,0.0034,0.0034,0.0032,0.0034,1931306
2000-06-12,0.0032,0.0032,0.0032,0.0032,1258695
2000-06-14,0.0032,0.0032,0.0032,0.0032,2918734
2000-06-15,0.0032,0.0032,0.0029,0.0032,1530920
2000-06-16,0.0029,0.0029,0.0029,0.0029,1252654
2000-06-19,0.0029,0.0029,0.0029,0.0029,1022718
2000-06-20,0.0029,0.0032,0.0029,0.0029,1865670
2000-06-21,0.0029,0.0029,0.0029,0.0029,1110108
2000-06-22,0.0032,0.0032,0.0029,0.0032,1203117
2000-06-23,0.0029,0.0029,0.0029,0.0029,1198833
2000-06-26,0.0032,0.0032,0.0032,0.0032,2972252
2000-06-27,0.0034,0.0034,0.0032,0.0034,4752884
2000-06-28,0.0032,0.0032,0.0032,0.0032,2893754
2000-06-29,0.0032,0.0032,0.0032,0.0032,806247
2000-06-30,0.0032,0.0032,0.0032,0.0032,703761
2000-07-03,0.0032,0.0032,0.0029,0.0032,649178
2000-07-04,0.0032,0.0032,0.0032,0.0032,749572
2000-07-05,0.0032,0.0032,0.0032,0.0032,1695111
2000-07-06,0.0032,0.0032,0.0029,0.0032,1088636
2000-07-07,0.0032,0.0032,0.0032,0.0032,2233095
2000-07-10,0.0034,0.0034,0.0032,0.0034,2711796
2000-07-11,0.0029,0.0029,0.0029,0.0029,4733171
2000-07-12,0.0029,0.0029,0.0029,0.0029,1323499
2000-07-13,0.0027,0.0029,0.0027,0.0027,1380980
2000-07-14,0.0029,0.0029,0.0027,0.0029,624022
2000-07-17,0.0025,0.0025,0.0025,0.0025,592701
2000-07-19,0.0027,0.0027,0.0027,0.0027,1136747
2000-07-20,0.0027,0.0027,0.0027,0.0027,2019780
2000-07-21,0.0027,0.0029,0.0027,0.0027,2738120
2000-07-24,0.0029,0.0029,0.0027,0.0029,3408787
2000-07-25,0.0027,0.0027,0.0027,0.0027,616134
2000-07-26,0.0027,0.0027,0.0027,0.0027,475070
2000-07-27,0.0027,0.0027,0.0027,0.0027,602546
2000-07-28,0.0027,0.0027,0.0027,0.0027,843549
2000-07-31,0.0027,0.0027,0.0027,0.0027,472288
2000-08-01,0.0027,0.0027,0.0027,0.0027,456826
2000-08-02,0.0027,0.0027,0.0027,0.0027,674698
2000-08-03,0.0027,0.0027,0.0025,0.0027,457179
2000-08-04,0.0027,0.0027,0.0027,0.0027,816302
2000-08-07,0.0025,0.0025,0.0025,0.0025,350096
2000-08-08,0.0025,0.0025,0.0025,0.0025,60791
2000-08-09,0.0023,0.0023,0.0023,0.0023,707116
2000-08-10,0.0023,0.0023,0.0023,0.0023,328870
2000-08-11,0.0025,0.0025,0.0025,0.0025,593954
2000-08-14,0.0027,0.0027,0.0025,0.0027,1777071
2000-08-15,0.0025,0.0025,0.0025,0.0025,1046067
2000-08-16,0.0025,0.0025,0.0025,0.0025,547889
2000-08-17,0.0025,0.0025,0.0025,0.0025,215900
2000-08-18,0.0025,0.0025,0.0025,0.0025,985066
2000-08-21,0.0025,0.0025,0.0025,0.0025,2187881
2000-08-22,0.0025,0.0025,0.0025,0.0025,1715808
2000-08-23,0.0025,0.0025,0.0025,0.0025,4374227
2000-08-24,0.0027,0.0027,0.0027,0.0027,5363228
2000-08-25,0.0027,0.0027,0.0027,0.0027,5098687
2000-08-28,0.0027,0.0027,0.0027,0.0027,1859273
2000-08-29,0.0027,0.0027,0.0027,0.0027,1048263
2000-08-31,0.0027,0.0027,0.0025,0.0027,5944953
2000-09-01,0.0025,0.0025,0.0025,0.0025,1005026
2000-09-04,0.0027,0.0027,0.0025,0.0027,869070
2000-09-05,0.0027,0.0027,0.0027,0.0027,1101726
2000-09-06,0.0025,0.0025,0.0025,0.0025,2720478
2000-09-07,0.0025,0.0025,0.0025,0.0025,1617698
2000-09-08,0.0025,0.0025,0.0025,0.0025,1392345
2000-09-11,0.0023,0.0023,0.0023,0.0023,693604
2000-09-12,0.0023,0.0023,0.0023,0.0023,1698358
2000-09-14,0.0023,0.0023,0.0023,0.0023,759907
2000-09-15,0.0023,0.0023,0.0023,0.0023,606849
2000-09-18,0.0021,0.0021,0.0021,0.0021,989928
2000-09-19,0.0021,0.0021,0.0018,0.0021,1470406
2000-09-20,0.0021,0.0021,0.0021,0.0021,600412
2000-09-28,0.0021,0.0021,0.0018,0.0021,829585
2000-10-17,0.0023,0.0023,0.0023,0.0023,4847444
2000-10-18,0.0023,0.0023,0.0023,0.0023,3197674
2000-10-19,0.0023,0.0023,0.0021,0.0023,1417051
2000-10-20,0.0021,0.0023,0.0021,0.0021,2512402
2000-10-23,0.0021,0.0021,0.0021,0.0021,627729
2000-10-24,0.0021,0.0021,0.0021,0.0021,1057953
2000-10-25,0.0021,0.0021,0.0021,0.0021,1423219
2000-10-26,0.0021,0.0021,0.0021,0.0021,1344783
2000-10-27,0.0021,0.0021,0.0021,0.0021,2193698
2000-10-30,0.0023,0.0023,0.0023,0.0023,1448331
2000-10-31,0.0023,0.0023,0.0023,0.0023,2042521
2000-11-01,0.0023,0.0023,0.0023,0.0023,1779990
2000-11-03,0.0023,0.0023,0.0023,0.0023,3506479
2000-11-06,0.0023,0.0023,0.0023,0.0023,1213418
2000-11-07,0.0023,0.0023,0.0023,0.0023,1864737
2000-11-08,0.0021,0.0021,0.0021,0.0021,1759735
2000-11-09,0.0021,0.0021,0.0021,0.0021,1087093
2000-11-10,0.0021,0.0021,0.0021,0.0021,1427084
2000-11-13,0.0021,0.0021,0.0021,0.0021,891169
2000-11-14,0.0021,0.0021,0.0021,0.0021,1307420
2000-11-15,0.0021,0.0021,0.0021,0.0021,1154127
2000-11-16,0.0021,0.0021,0.0021,0.0021,715168
2000-11-17,0.0021,0.0021,0.0018,0.0021,822447
2000-11-20,0.0018,0.0018,0.0018,0.0018,1065311
2000-11-21,0.0016,0.0016,0.0016,0.0016,1217549
2000-11-22,0.0016,0.0016,0.0016,0.0016,1778973
2000-11-23,0.0016,0.0016,0.0016,0.0016,1996490
2000-11-24,0.0013,0.0013,0.0013,0.0013,736301
2000-11-27,0.0013,0.0013,0.0013,0.0013,1258771
2000-11-28,0.0011,0.0011,0.0011,0.0011,1185217
2000-11-29,0.0013,0.0013,0.0011,0.0013,2065048
2000-11-30,0.0011,0.0011,0.0011,0.0011,1897704
2000-12-01,0.0011,0.0011,0.0011,0.0011,1159080
2000-12-04,0.0009,0.0009,0.0009,0.0009,1449824
2000-12-05,0.0011,0.0011,0.0009,0.0011,1021057
2000-12-06,0.0013,0.0013,0.0009,0.0013,658349
2000-12-07,0.0013,0.0013,0.0009,0.0013,2361456
2000-12-08,0.0013,0.0013,0.0013,0.0013,1925921
2000-12-11,0.0013,0.0013,0.0013,0.0013,1114366
2000-12-12,0.0013,0.0013,0.0013,0.0013,1032912
2000-12-13,0.0011,0.0011,0.0011,0.0011,2109421
2000-12-14,0.0011,0.0011,0.0011,0.0011,1137415
2000-12-15,0.0011,0.0011,0.0011,0.0011,1191878
2000-12-18,0.0011,0.0011,0.0011,0.0011,341084
2000-12-19,0.0011,0.0011,0.0011,0.0011,331292
2000-12-20,0.0011,0.0011,0.0011,0.0011,874216
2000-12-21,0.0011,0.0011,0.0011,0.0011,506122
2000-12-22,0.0011,0.0011,0.0011,0.0011,1454924
2001-01-02,0.0011,0.0011,0.0011,0.0011,348064
2001-01-03,0.0011,0.0011,0.0011,0.0011,698538
2001-01-04,0.0013,0.0013,0.0013,0.0013,4997052
2001-01-08,0.0013,0.0013,0.0013,0.0013,3404897
2001-01-09,0.0013,0.0013,0.0013,0.0013,3985714
2001-01-15,0.0013,0.0013,0.0013,0.0013,3162533
2001-01-16,0.0013,0.0013,0.0013,0.0013,2339319
2001-01-17,0.0016,0.0016,0.0013,0.0016,4816051
2001-01-18,0.0016,0.0016,0.0016,0.0016,4950227
2001-01-19,0.0016,0.0016,0.0016,0.0016,4277872
2001-01-22,0.0016,0.0016,0.0013,0.0016,2120179
2001-01-23,0.0013,0.0013,0.0013,0.0013,1539427
2001-01-24,0.0013,0.0013,0.0013,0.0013,4361937
2001-01-25,0.0013,0.0013,0.0013,0.0013,1015300
2001-01-26,0.0013,0.0013,0.0013,0.0013,950460
2001-01-29,0.0013,0.0013,0.0013,0.0013,903697
2001-01-30,0.0013,0.0013,0.0013,0.0013,704998
2001-01-31,0.0013,0.0013,0.0011,0.0013,799452
2001-02-01,0.0011,0.0011,0.0011,0.0011,1315120
2001-02-02,0.0011,0.0011,0.0011,0.0011,5920221
2001-02-05,0.0011,0.0011,0.0011,0.0011,1119219
2001-02-06,0.0011,0.0011,0.0011,0.0011,2967411
2001-02-07,0.0009,0.0009,0.0009,0.0009,1739780
2001-02-09,0.0009,0.0009,0.0009,0.0009,5142133
2001-02-13,0.0009,0.0009,0.0009,0.0009,1148061
2001-02-14,0.0009,0.0009,0.0009,0.0009,4081070
2001-02-15,0.0009,0.0009,0.0009,0.0009,2239230
2001-02-16,0.0009,0.0009,0.0009,0.0009,2926956
2001-02-19,0.0007,0.0009,0.0007,0.0007,2778335
2001-02-21,0.0005,0.0007,0.0005,0.0005,2946420
2001-02-22,0.0007,0.0007,0.0007,0.0007,2133038
2001-02-23,0.0007,0.0007,0.0007,0.0007,910462
2001-02-26,0.0009,0.0009,0.0007,0.0009,2939431
2001-02-27,0.0009,0.0009,0.0009,0.0009,4263982
2001-02-28,0.0009,0.0009,0.0009,0.0009,3013319
2001-03-01,0.0009,0.0009,0.0009,0.0009,2558758
2001-03-02,0.0009,0.0009,0.0009,0.0009,5592383
2001-03-12,0.0009,0.0009,0.0009,0.0009,2231378
2001-03-13,0.0009,0.0009,0.0009,0.0009,3215454
2001-03-14,0.0009,0.0009,0.0009,0.0009,2779346
2001-03-15,0.0009,0.0009,0.0009,0.0009,1791255
2001-03-16,0.0009,0.0009,0.0009,0.0009,4512410
2001-03-19,0.0009,0.0009,0.0009,0.0009,1744193
2001-03-20,0.0009,0.0009,0.0009,0.0009,2318843
2001-03-21,0.0011,0.0011,0.0011,0.0011,4513780
2001-03-23,0.0011,0.0011,0.0011,0.0011,1691832
2001-03-27,0.0009,0.0009,0.0009,0.0009,2110463
2001-03-28,0.0009,0.0009,0.0009,0.0009,4000422
2001-03-29,0.0009,0.0009,0.0009,0.0009,5080689
2001-03-30,0.0011,0.0011,0.0009,0.0011,4744605
2001-04-02,0.0011,0.0011,0.0011,0.0011,3821011
2001-04-03,0.0011,0.0011,0.0011,0.0011,3321094
2001-04-04,0.0011,0.0011,0.0011,0.0011,4260730
2001-04-05,0.0011,0.0011,0.0011,0.0011,3737498
2001-04-06,0.0011,0.0011,0.0011,0.0011,1933613
2001-04-09,0.0011,0.0011,0.0011,0.0011,1639317
2001-04-10,0.0011,0.0011,0.0011,0.0011,1444830
2001-04-11,0.0011,0.0011,0.0011,0.0011,3084355
2001-04-12,0.0011,0.0011,0.0011,0.0011,4361629
2001-04-13,0.0011,0.0011,0.0011,0.0011,2465096
2001-04-16,0.0011,0.0011,0.0011,0.0011,2265621
2001-04-17,0.0011,0.0011,0.0011,0.0011,1467600
2001-04-18,0.0011,0.0011,0.0011,0.0011,6220312
2001-04-19,0.0011,0.0013,0.0011,0.0011,4646638
2001-04-20,0.0011,0.0011,0.0011,0.0011,2552023
2001-04-24,0.0013,0.0013,0.0013,0.0013,6213328
2001-04-25,0.0016,0.0016,0.0013,0.0016,2570094
2001-04-26,0.0016,0.0016,0.0016,0.0016,2526286
2001-05-08,0.0016,0.0016,0.0013,0.0016,411844
2001-05-10,0.0013,0.0013,0.0013,0.0013,4572010
2001-05-11,0.0013,0.0013,0.0013,0.0013,2529042
2001-05-14,0.0013,0.0013,0.0013,0.0013,3464181
2001-05-15,0.0013,0.0013,0.0013,0.0013,4040628
2001-05-16,0.0013,0.0013,0.0013,0.0013,4651857
2001-05-24,0.0013,0.0013,0.0013,0.0013,4861448
2001-05-25,0.0013,0.0013,0.0013,0.0013,2914364
2001-05-28,0.0013,0.0013,0.0013,0.0013,3827879
2001-05-30,0.0011,0.0011,0.0011,0.0011,4766182
2001-06-01,0.0011,0.0011,0.0011,0.0011,3801297
2001-06-05,0.0011,0.0011,0.0011,0.0011,3813130
2001-06-07,0.0011,0.0013,0.0011,0.0011,3470413
2001-06-08,0.0013,0.0013,0.0011,0.0013,3674704
2001-06-11,0.0011,0.0011,0.0011,0.0011,3560231
2001-06-12,0.0011,0.0011,0.0011,0.0011,3008010
2001-06-13,0.0011,0.0011,0.0011,0.0011,2708813
2001-06-15,0.0011,0.0011,0.0011,0.0011,4767964
2001-06-19,0.0011,0.0011,0.0011,0.0011,2879691
2001-06-20,0.0011,0.0011,0.0011,0.0011,3210645
2001-06-22,0.0011,0.0011,0.0011,0.0011,2373790
2001-06-25,0.0011,0.0011,0.0011,0.0011,2252914
2001-06-26,0.0011,0.0011,0.0011,0.0011,5407854
2001-06-27,0.0013,0.0013,0.0011,0.0013,3653963
2001-06-28,0.0011,0.0011,0.0011,0.0011,3100153
2001-06-29,0.0011,0.0011,0.0011,0.0011,1505193
2001-07-02,0.0013,0.0013,0.0011,0.0013,3319967
2001-07-03,0.0011,0.0011,0.0011,0.0011,3077212
2001-07-04,0.0013,0.0013,0.0011,0.0013,3175634
2001-07-05,0.0011,0.0011,0.0011,0.0011,1475385
2001-07-06,0.0011,0.0011,0.0011,0.0011,4847599
2001-07-09,0.0011,0.0011,0.0011,0.0011,2236457
2001-07-10,0.0011,0.0011,0.0011,0.0011,3172361
2001-07-11,0.0009,0.0011,0.0009,0.0009,3262090
2001-07-13,0.0009,0.0009,0.0009,0.0009,3690673
2001-07-16,0.0009,0.0009,0.0009,0.0009,2494143
2001-07-17,0.0009,0.0009,0.0009,0.0009,2307061
2001-07-20,0.0011,0.0011,0.0011,0.0011,3656084
2001-07-23,0.0011,0.0011,0.0011,0.0011,3722250
2001-07-24,0.0011,0.0011,0.0011,0.0011,4773384
2001-07-25,0.0011,0.0011,0.0009,0.0011,2721602
2001-07-26,0.0011,0.0011,0.0011,0.0011,3160317
2001-07-27,0.0011,0.0011,0.0011,0.0011,2910750
2001-07-30,0.0009,0.0009,0.0009,0.0009,3806781
2001-07-31,0.0009,0.0009,0.0009,0.0009,2035698
