Date,Open,High,Low,Close,Volume
2000-02-16,0.0172,0.0172,0.0172,0.0172,2126984
2000-02-17,0.0172,0.0172,0.0172,0.0172,5062453
2000-02-18,0.0172,0.0172,0.0164,0.0172,1711915
2000-02-21,0.0164,0.0164,0.0156,0.0164,2795447
2000-02-22,0.0156,0.0156,0.014,0.0156,3243518
2000-02-23,0.014,0.014,0.0133,0.014,4139139
2000-02-24,0.0156,0.0156,0.014,0.0156,2611908
2000-02-25,0.0164,0.0164,0.0156,0.0164,4552439
2000-02-28,0.0156,0.0156,0.0156,0.0156,2410047
2000-02-29,0.0164,0.0164,0.0156,0.0164,8618184
2000-03-01,0.0172,0.0172,0.0164,0.0172,8684916
2000-03-02,0.0164,0.0164,0.0164,0.0164,4065745
2000-03-03,0.0164,0.0164,0.0164,0.0164,3332945
2000-03-06,0.0164,0.0164,0.0164,0.0164,3574054
2000-03-07,0.0172,0.0172,0.0164,0.0172,3642555
2000-03-08,0.0164,0.0164,0.0164,0.0164,5628059
2000-03-09,0.0172,0.0172,0.0172,0.0172,4063975
2000-03-10,0.0172,0.0172,0.0164,0.0172,7052226
2000-03-20,0.0172,0.0172,0.0172,0.0172,4610530
2000-03-21,0.0172,0.0172,0.0172,0.0172,1283207
2000-03-22,0.0172,0.0172,0.0172,0.0172,12902030
2000-03-23,0.0176,0.0176,0.0172,0.0176,2386832
2000-03-24,0.0176,0.0176,0.0176,0.0176,4137057
2000-03-27,0.0179,0.0179,0.0176,0.0179,6859214
2000-03-28,0.0179,0.0179,0.0176,0.0179,4306229
2000-03-29,0.0176,0.0176,0.0176,0.0176,7311970
2000-03-30,0.0164,0.0164,0.0164,0.0164,6884095
2000-03-31,0.0172,0.0172,0.0164,0.0172,1974365
2000-04-03,0.0164,0.0164,0.0164,0.0164,2149783
2000-04-04,0.0172,0.0172,0.0164,0.0172,2160818
2000-04-05,0.0164,0.0164,0.0156,0.0164,2274398
2000-04-06,0.0172,0.0172,0.0172,0.0172,3341690
2000-04-07,0.0176,0.0176,0.0172,0.0176,2673851
2000-04-10,0.0176,0.0176,0.0176,0.0176,4434487
2000-04-11,0.0176,0.0176,0.0172,0.0176,1816957
2000-04-12,0.0176,0.0176,0.0176,0.0176,3187509
2000-04-13,0.0176,0.0176,0.0176,0.0176,3359075
2000-04-14,0.0176,0.0176,0.0176,0.0176,3479942
2000-04-17,0.0172,0.0172,0.0172,0.0172,4559102
2000-04-18,0.0172,0.0172,0.0172,0.0172,3740831
2000-04-19,0.0172,0.0172,0.0172,0.0172,1119241
2000-04-21,0.0176,0.0176,0.0172,0.0176,1936679
2000-04-24,0.0172,0.0172,0.0172,0.0172,1410528
2000-04-25,0.0176,0.0176,0.0176,0.0176,2218389
2000-04-26,0.0179,0.0179,0.0176,0.0179,6341912
2000-04-27,0.0179,0.0179,0.0176,0.0179,2224531
2000-04-28,0.0179,0.0179,0.0179,0.0179,3303795
2000-05-01,0.0179,0.0179,0.0176,0.0179,3392701
2000-05-02,0.0179,0.0179,0.0176,0.0179,2225989
2000-05-03,0.0179,0.0179,0.0176,0.0179,2805441
2000-05-04,0.0172,0.0172,0.0172,0.0172,2522169
2000-05-05,0.0172,0.0172,0.0172,0.0172,2268464
2000-05-09,0.0164,0.0164,0.0164,0.0164,2241781
2000-05-10,0.0164,0.0164,0.0156,0.0164,2141455
2000-05-11,0.0164,0.0164,0.0156,0.0164,973986
2000-05-12,0.0164,0.0164,0.0164,0.0164,1475669
2000-05-15,0.0156,0.0156,0.0156,0.0156,1834352
2000-05-16,0.0164,0.0164,0.0156,0.0164,461813
2000-05-17,0.0156,0.0156,0.0156,0.0156,692928
2000-05-18,0.0156,0.0156,0.0156,0.0156,577787
2000-05-22,0.0156,0.0156,0.0156,0.0156,545514
2000-05-23,0.014,0.0156,0.014,0.014,1342249
2000-05-24,0.0156,0.0156,0.0156,0.0156,800989
2000-05-25,0.0156,0.0156,0.0156,0.0156,564485
2000-05-26,0.0156,0.0156,0.0156,0.0156,150329
2000-05-29,0.0156,0.0156,0.0156,0.0156,809838
2000-05-30,0.0164,0.0164,0.0156,0.0164,2317706
2000-05-31,0.0098,0.0098,0.009,0.0098,1414238
2000-06-01,0.009,0.009,0.009,0.009,449026
2000-06-02,0.009,0.009,0.009,0.009,1240163
2000-06-05,0.009,0.009,0.009,0.009,2872371
2000-06-06,0.009,0.009,0.009,0.009,6365702
2000-06-07,0.009,0.009,0.009,0.009,662860
2000-06-08,0.009,0.009,0.009,0.009,1228532
2000-06-09,0.009,0.009,0.009,0.009,1415559
2000-06-12,0.009,0.009,0.009,0.009,690252
2000-06-14,0.0082,0.0082,0.0082,0.0082,849709
2000-06-15,0.0082,0.0082,0.0082,0.0082,684876
2000-06-16,0.0082,0.0082,0.0082,0.0082,170901
2000-06-19,0.0082,0.0082,0.0082,0.0082,368413
2000-06-20,0.0082,0.0082,0.0082,0.0082,327418
2000-06-21,0.0082,0.0082,0.0082,0.0082,485167
2000-06-22,0.0082,0.0082,0.0082,0.0082,139916
2000-06-23,0.0082,0.0082,0.0082,0.0082,223745
2000-06-26,0.0082,0.0082,0.0082,0.0082,1366109
2000-06-27,0.0082,0.0082,0.0082,0.0082,323271
2000-06-28,0.0082,0.0082,0.0082,0.0082,599111
2000-06-29,0.0082,0.0082,0.0082,0.0082,746662
2000-06-30,0.0082,0.0082,0.0082,0.0082,403872
2000-07-03,0.0082,0.0082,0.0082,0.0082,330828
2000-07-04,0.0074,0.0074,0.0074,0.0074,372837
2000-07-05,0.0082,0.0082,0.0082,0.0082,795919
2000-07-06,0.0082,0.0082,0.0074,0.0082,247343
2000-07-07,0.0074,0.0082,0.0074,0.0074,155430
2000-07-10,0.0082,0.0082,0.0082,0.0082,107437
2000-07-11,0.0074,0.0074,0.0074,0.0074,432489
2000-07-12,0.0074,0.0074,0.0074,0.0074,692056
2000-07-13,0.0074,0.0074,0.0074,0.0074,145319
2000-07-14,0.0074,0.0074,0.0074,0.0074,81341
2000-07-17,0.007,0.0074,0.007,0.007,378014
2000-07-19,0.0074,0.0074,0.0074,0.0074,1730131
2000-07-20,0.0074,0.0074,0.0074,0.0074,10030140
2000-07-21,0.0074,0.0082,0.0074,0.0074,5711657
2000-07-24,0.0082,0.0082,0.0082,0.0082,1518706
2000-07-25,0.0082,0.0082,0.0082,0.0082,3802493
2000-07-26,0.0082,0.0082,0.0082,0.0082,1331511
2000-07-27,0.0082,0.0082,0.0082,0.0082,2730843
2000-07-28,0.0082,0.0082,0.0082,0.0082,1966139
2000-07-31,0.0082,0.0082,0.0082,0.0082,522923
2000-08-01,0.0082,0.0082,0.0082,0.0082,835933
2000-08-02,0.0082,0.0082,0.0082,0.0082,1804706
2000-08-03,0.0082,0.0082,0.0082,0.0082,469221
2000-08-04,0.0082,0.0082,0.0082,0.0082,1043867
2000-08-07,0.0082,0.0082,0.0082,0.0082,197393
2000-08-08,0.0082,0.0082,0.0082,0.0082,25335
2000-08-09,0.0082,0.0082,0.0082,0.0082,130580
2000-08-10,0.0082,0.0082,0.0082,0.0082,157079
2000-08-11,0.0082,0.0082,0.0082,0.0082,879693
2000-08-14,0.009,0.009,0.0082,0.009,1941119
2000-08-15,0.009,0.009,0.009,0.009,5140944
2000-08-16,0.009,0.009,0.009,0.009,2660284
2000-08-17,0.009,0.009,0.009,0.009,3778097
2000-08-18,0.009,0.009,0.009,0.009,1282825
2000-08-21,0.009,0.009,0.009,0.009,1303645
2000-08-22,0.009,0.009,0.009,0.009,1022169
2000-08-23,0.009,0.009,0.009,0.009,2286229
2000-08-24,0.009,0.009,0.009,0.009,1167771
2000-08-25,0.009,0.009,0.009,0.009,1078725
2000-08-28,0.009,0.009,0.009,0.009,1121401
2000-08-29,0.009,0.009,0.009,0.009,918073
2000-08-31,0.009,0.009,0.009,0.009,999869
2000-09-01,0.009,0.009,0.009,0.009,13669485
2000-09-04,0.009,0.009,0.009,0.009,1526400
2000-09-05,0.009,0.009,0.009,0.009,2920024
2000-09-06,0.009,0.009,0.009,0.009,509129
2000-09-07,0.009,0.009,0.009,0.009,951872
2000-09-08,0.0082,0.009,0.0082,0.0082,534617
2000-09-11,0.0082,0.0082,0.0082,0.0082,518168
2000-09-12,0.0082,0.0082,0.0082,0.0082,927724
2000-09-14,0.0082,0.0082,0.0082,0.0082,390014
2000-09-15,0.0082,0.0082,0.0082,0.0082,299026
2000-09-18,0.0082,0.0082,0.0074,0.0082,537081
2000-09-19,0.0074,0.0074,0.0074,0.0074,476943
2000-09-20,0.0074,0.0074,0.0074,0.0074,454664
2000-09-28,0.0074,0.0074,0.0074,0.0074,460109
2000-10-17,0.009,0.009,0.009,0.009,1021776
2000-10-18,0.009,0.009,0.009,0.009,1210020
2000-10-19,0.0082,0.0082,0.0082,0.0082,328314
2000-10-20,0.009,0.009,0.0082,0.009,1174131
2000-10-23,0.0082,0.0082,0.0082,0.0082,146758
2000-10-24,0.0082,0.0082,0.0082,0.0082,272633
2000-10-25,0.0082,0.009,0.0082,0.0082,616514
2000-10-26,0.009,0.009,0.009,0.009,1807447
2000-10-27,0.009,0.009,0.009,0.009,3927697
2000-10-30,0.009,0.009,0.009,0.009,2558885
2000-10-31,0.009,0.009,0.009,0.009,2091671
2000-11-01,0.009,0.009,0.009,0.009,568833
2000-11-03,0.0098,0.0098,0.009,0.0098,1390990
2000-11-06,0.009,0.009,0.009,0.009,1442099
2000-11-07,0.009,0.009,0.009,0.009,1941625
2000-11-08,0.009,0.009,0.009,0.009,2828720
2000-11-09,0.009,0.009,0.009,0.009,948698
2000-11-10,0.009,0.009,0.009,0.009,2561075
2000-11-13,0.009,0.009,0.009,0.009,955481
2000-11-14,0.009,0.009,0.009,0.009,1345600
2000-11-15,0.009,0.009,0.009,0.009,895259
2000-11-16,0.009,0.009,0.009,0.009,1525390
2000-11-17,0.009,0.009,0.009,0.009,1154254
2000-11-20,0.0082,0.0082,0.0082,0.0082,1183473
2000-11-21,0.0074,0.0074,0.0074,0.0074,1521504
2000-11-22,0.0074,0.0074,0.0074,0.0074,2058029
2000-11-23,0.0074,0.0074,0.0074,0.0074,958497
2000-11-24,0.0074,0.0074,0.0074,0.0074,876043
2000-11-27,0.0074,0.0074,0.0074,0.0074,840688
2000-11-28,0.007,0.007,0.007,0.007,1306213
2000-11-29,0.007,0.007,0.007,0.007,1665369
2000-11-30,0.007,0.007,0.007,0.007,629763
2000-12-01,0.0059,0.0059,0.0059,0.0059,2881401
2000-12-04,0.0051,0.0059,0.0051,0.0051,848324
2000-12-05,0.007,0.007,0.0051,0.007,447585
2000-12-06,0.0074,0.0074,0.0074,0.0074,634648
2000-12-07,0.007,0.007,0.007,0.007,841520
2000-12-08,0.007,0.007,0.007,0.007,521222
2000-12-11,0.007,0.007,0.007,0.007,224264
2000-12-12,0.007,0.007,0.007,0.007,281953
2000-12-13,0.007,0.007,0.007,0.007,894751
2000-12-14,0.007,0.007,0.007,0.007,289210
2000-12-15,0.007,0.007,0.007,0.007,354514
2000-12-18,0.007,0.007,0.007,0.007,198890
2000-12-19,0.007,0.007,0.007,0.007,134296
2000-12-20,0.007,0.007,0.007,0.007,692737
2000-12-21,0.007,0.007,0.007,0.007,90433
2000-12-22,0.007,0.007,0.007,0.007,217203
2001-01-02,0.007,0.007,0.007,0.007,197296
2001-01-03,0.007,0.007,0.007,0.007,275012
2001-01-04,0.007,0.007,0.007,0.007,1266133
2001-01-08,0.0074,0.0074,0.0074,0.0074,1282547
2001-01-09,0.0074,0.0074,0.0074,0.0074,679984
2001-01-10,0.0074,0.0074,0.0074,0.0074,751781
2001-01-11,0.0074,0.0074,0.0074,0.0074,853770
2001-01-15,0.007,0.0074,0.007,0.007,237503
