Date,Open,High,Low,Close,Volume
2000-02-16,0.0236,0.0236,0.0236,0.0236,3053760
2000-02-17,0.0236,0.0236,0.0223,0.0236,2757915
2000-02-18,0.0236,0.0236,0.0236,0.0236,3315589
2000-02-21,0.0212,0.0212,0.0212,0.0212,2605968
2000-02-22,0.0186,0.0186,0.0186,0.0186,3004452
2000-02-23,0.0186,0.0186,0.0186,0.0186,4526461
2000-02-24,0.0212,0.0212,0.0186,0.0212,8059231
2000-02-25,0.0236,0.0236,0.0223,0.0236,5829784
2000-02-28,0.0223,0.0223,0.0223,0.0223,4632637
2000-02-29,0.0248,0.0248,0.0248,0.0248,6311421
2000-03-01,0.0248,0.0248,0.0212,0.0248,4887393
2000-03-02,0.0284,0.0284,0.0272,0.0284,14515419
2000-03-03,0.0263,0.0263,0.0263,0.0263,23890576
2000-03-06,0.0248,0.0248,0.0248,0.0248,10340761
2000-03-07,0.0248,0.0248,0.0248,0.0248,7161954
2000-03-08,0.0248,0.0248,0.0248,0.0248,4959914
2000-03-09,0.0263,0.0263,0.0248,0.0263,10022763
2000-03-10,0.0236,0.0248,0.0236,0.0236,4018242
2000-03-20,0.0212,0.0212,0.0212,0.0212,3953855
2000-03-21,0.0223,0.0223,0.0223,0.0223,3978720
2000-03-22,0.0212,0.0212,0.0212,0.0212,2475371
2000-03-23,0.0236,0.0236,0.0212,0.0236,6246483
2000-03-24,0.0236,0.0236,0.0236,0.0236,6095828
2000-03-27,0.0223,0.0223,0.0223,0.0223,2069368
2000-03-28,0.0223,0.0223,0.0223,0.0223,4397114
2000-03-29,0.0223,0.0223,0.0212,0.0223,3252621
2000-03-30,0.0198,0.0198,0.0198,0.0198,4256223
2000-03-31,0.0212,0.0212,0.0212,0.0212,3583264
2000-04-03,0.0212,0.0212,0.0198,0.0212,3717293
2000-04-04,0.0223,0.0223,0.0223,0.0223,15796545
2000-04-05,0.0212,0.0212,0.0212,0.0212,15557061
2000-04-06,0.0223,0.0223,0.0223,0.0223,7067130
2000-04-07,0.0236,0.0236,0.0236,0.0236,7580750
2000-04-10,0.0223,0.0223,0.0223,0.0223,9743608
2000-04-11,0.0223,0.0223,0.0212,0.0223,4089238
2000-04-12,0.0212,0.0223,0.0212,0.0212,4923716
2000-04-13,0.0236,0.0236,0.0236,0.0236,9961382
2000-04-14,0.0236,0.0236,0.0236,0.0236,10452106
2000-04-17,0.0223,0.0223,0.0223,0.0223,3958895
2000-04-18,0.0223,0.0223,0.0212,0.0223,4639203
2000-04-19,0.0212,0.0212,0.0212,0.0212,3194884
2000-04-21,0.0212,0.0212,0.0212,0.0212,2912213
2000-04-24,0.0212,0.0212,0.0212,0.0212,4092097
2000-04-25,0.0223,0.0223,0.0223,0.0223,4653860
2000-04-26,0.0223,0.0223,0.0223,0.0223,10051948
2000-04-27,0.0223,0.0223,0.0212,0.0223,4306907
2000-04-28,0.0212,0.0212,0.0212,0.0212,8234349
2000-05-01,0.0198,0.0198,0.0198,0.0198,6708338
2000-05-02,0.0198,0.0198,0.0198,0.0198,5178938
2000-05-03,0.0198,0.0198,0.0198,0.0198,2238958
2000-05-04,0.0186,0.0186,0.0186,0.0186,2794578
2000-05-05,0.0186,0.0186,0.0186,0.0186,1838440
2000-05-09,0.0186,0.0186,0.0186,0.0186,3482360
2000-05-10,0.0172,0.0172,0.0172,0.0172,2569263
2000-05-11,0.0172,0.0172,0.0172,0.0172,2096728
2000-05-12,0.0172,0.0172,0.0172,0.0172,1995884
2000-05-15,0.0161,0.0161,0.0161,0.0161,1633550
2000-05-16,0.0161,0.0161,0.0161,0.0161,1787657
2000-05-17,0.0161,0.0161,0.0161,0.0161,2423242
2000-05-18,0.0161,0.0161,0.0161,0.0161,1414519
2000-05-22,0.015,0.015,0.015,0.015,2575660
2000-05-23,0.015,0.015,0.015,0.015,8536531
2000-05-24,0.015,0.015,0.015,0.015,1253581
2000-05-25,0.015,0.015,0.015,0.015,2393281
2000-05-26,0.015,0.015,0.0137,0.015,1324461
2000-05-29,0.015,0.015,0.015,0.015,2064624
2000-05-30,0.0137,0.0137,0.0137,0.0137,1033106
2000-05-31,0.015,0.015,0.0137,0.015,1850037
2000-06-01,0.015,0.015,0.015,0.015,3088794
2000-06-02,0.015,0.015,0.015,0.015,4833590
2000-06-05,0.015,0.015,0.015,0.015,1267521
2000-06-06,0.015,0.015,0.015,0.015,4091846
2000-06-07,0.015,0.015,0.015,0.015,4662484
2000-06-08,0.015,0.015,0.015,0.015,5728164
2000-06-09,0.015,0.0161,0.015,0.015,7530256
2000-06-12,0.015,0.015,0.015,0.015,2583384
2000-06-14,0.015,0.015,0.0137,0.015,2382001
2000-06-15,0.0137,0.0137,0.0137,0.0137,1280656
2000-06-16,0.0137,0.0137,0.0137,0.0137,1593978
2000-06-19,0.0137,0.0137,0.0137,0.0137,1557612
2000-06-20,0.015,0.015,0.0137,0.015,2015782
2000-06-21,0.0137,0.0137,0.0137,0.0137,1128379
2000-06-22,0.015,0.015,0.0137,0.015,1820141
2000-06-23,0.0137,0.0137,0.0137,0.0137,973992
2000-06-26,0.0137,0.0137,0.0137,0.0137,884039
2000-06-27,0.0137,0.0137,0.0137,0.0137,828463
2000-06-28,0.0137,0.0137,0.0137,0.0137,980865
2000-06-29,0.0137,0.0137,0.0137,0.0137,2414743
2000-06-30,0.0137,0.0137,0.0137,0.0137,1110441
2000-07-03,0.0137,0.0137,0.0125,0.0137,713349
2000-07-04,0.0125,0.0125,0.0125,0.0125,579657
2000-07-05,0.0137,0.0137,0.0125,0.0137,1878580
2000-07-06,0.0125,0.0125,0.0125,0.0125,1138393
2000-07-07,0.0125,0.0125,0.0125,0.0125,543208
2000-07-10,0.0137,0.0137,0.0137,0.0137,1277187
2000-07-11,0.0125,0.0125,0.0125,0.0125,968485
2000-07-12,0.0125,0.0125,0.0125,0.0125,1866864
2000-07-13,0.0125,0.0125,0.0125,0.0125,511239
2000-07-14,0.0125,0.0125,0.0125,0.0125,552697
2000-07-17,0.0112,0.0112,0.0112,0.0112,751452
2000-07-19,0.0137,0.0137,0.0137,0.0137,2914928
2000-07-20,0.0125,0.0125,0.0125,0.0125,909142
2000-07-21,0.0137,0.0137,0.0137,0.0137,834142
2000-07-24,0.0137,0.0137,0.0137,0.0137,1391935
2000-07-25,0.0137,0.0137,0.0137,0.0137,1214495
2000-07-26,0.0137,0.0137,0.0137,0.0137,748022
2000-07-27,0.0137,0.0137,0.0137,0.0137,898019
2000-07-28,0.0137,0.0137,0.0137,0.0137,2256156
2000-07-31,0.0137,0.0137,0.0137,0.0137,862606
2000-08-01,0.0137,0.0137,0.0137,0.0137,642212
2000-08-02,0.0137,0.0137,0.0137,0.0137,561489
2000-08-03,0.0137,0.0137,0.0137,0.0137,676993
2000-08-04,0.0125,0.0137,0.0125,0.0125,1395880
2000-08-07,0.0125,0.0125,0.0125,0.0125,1204348
2000-08-08,0.0125,0.0125,0.0125,0.0125,2857271
2000-08-09,0.0125,0.0125,0.0125,0.0125,393596
2000-08-10,0.0125,0.0125,0.0125,0.0125,289978
2000-08-11,0.0125,0.0125,0.0125,0.0125,785431
2000-08-14,0.0137,0.0137,0.0137,0.0137,1114721
2000-08-15,0.0125,0.0125,0.0125,0.0125,1292872
2000-08-16,0.0125,0.0125,0.0125,0.0125,2103532
2000-08-17,0.0125,0.0125,0.0125,0.0125,38400
2000-08-18,0.0137,0.0137,0.0137,0.0137,10218329
2000-08-21,0.0125,0.0125,0.0125,0.0125,5222264
2000-08-22,0.0125,0.0125,0.0125,0.0125,2829886
2000-08-23,0.0125,0.0137,0.0125,0.0125,858941
2000-08-24,0.0137,0.0137,0.0137,0.0137,4956151
2000-08-25,0.0125,0.0137,0.0125,0.0125,2081893
2000-08-28,0.0125,0.0125,0.0125,0.0125,1207334
2000-08-29,0.0137,0.0137,0.0125,0.0137,1686536
2000-08-31,0.0125,0.0137,0.0125,0.0125,1740147
2000-09-01,0.0137,0.0137,0.0125,0.0137,537299
2000-09-04,0.0137,0.0137,0.0137,0.0137,487805
2000-09-05,0.0137,0.0137,0.0137,0.0137,1179044
2000-09-06,0.0125,0.0125,0.0125,0.0125,1013959
