Date,Open,High,Low,Close,Volume
2006-05-01,6.6501,6.85,6.45,6.6501,4712865
2006-05-02,6.7,6.9,6.55,6.7,8508978
2006-05-03,6.55,6.8001,6.5001,6.55,535303
2006-05-04,6.55,6.6,6.4,6.55,2833829
2006-05-05,6.55,6.8001,6.5001,6.55,3639648
2006-05-08,7.15,7.15,6.4,7.15,7515995
2006-05-09,7.15,7.45,6.9,7.15,8507855
2006-05-10,6.9,7.2501,6.8001,6.9,3610053
2006-05-11,6.7,6.9,6.6,6.7,3677055
2006-05-12,6.55,6.7,6.45,6.55,2302611
2006-05-15,6.45,6.5001,6.2,6.45,3400555
2006-05-16,6.5001,6.6501,6.3501,6.5001,6789926
2006-05-17,6.55,6.75,6.4,6.55,4918737
2006-05-18,6.9501,7.1001,6.3,6.9501,7443832
2006-05-22,6.3,7,6.3,6.3,6098318
2006-05-23,6.55,6.6,6.3,6.55,3212361
2006-05-24,6.25,6.5001,6.2,6.25,3077827
2006-05-25,6.2,6.4,6.1,6.2,2765003
2006-05-26,6.45,6.5001,6.3,6.45,3374412
2006-05-29,6.4,6.5001,6.3501,6.4,632792
2006-05-30,6.3,6.3501,6.2,6.3,560447
2006-05-31,6.3501,6.55,6.05,6.3501,2864043
2006-06-01,6.25,6.6,6.25,6.25,3356781
2006-06-02,6.3501,6.45,6.3,6.3501,1052282
2006-06-05,6.05,6.25,5.9,6.05,2866306
2006-06-06,5.9,6,5.85,5.9,2427910
2006-06-07,5.55,5.95,5.45,5.55,1629700
2006-06-08,5.2,5.6,5.2,5.2,3898170
2006-06-09,4.8,5.4,4.8,4.8,3796822
2006-06-12,4.62,4.84,4.58,4.62,2055408
2006-06-13,4.54,4.56,4.2,4.54,2671190
2006-06-14,4.68,4.8,4.5,4.68,873359
2006-06-15,4.64,4.9,4.6,4.64,1762884
2006-06-16,4.54,4.78,4.48,4.54,1193324
2006-06-19,4.56,4.68,4.5,4.56,749435
2006-06-20,4.62,4.8,4.46,4.62,896218
2006-06-21,4.54,4.96,4.5,4.54,4241202
2006-06-22,4.5,4.7,4.48,4.5,1814866
2006-06-23,4.5,4.54,4.46,4.5,1217949
2006-06-26,4.48,4.58,4.44,4.48,1038609
2006-06-27,4.38,4.52,4.28,4.38,578348
2006-06-28,4.46,4.54,4.1,4.46,660533
2006-06-29,4.46,4.62,4.46,4.46,1256271
2006-06-30,4.64,4.68,4.52,4.64,3262590
2006-07-03,4.58,4.68,4.54,4.58,779469
2006-07-04,4.62,4.76,4.6,4.62,3713015
2006-07-05,4.48,4.64,4.46,4.48,1241969
2006-07-06,4.48,4.52,4.36,4.48,728075
2006-07-07,4.52,4.58,4.46,4.52,727868
2006-07-10,4.5,4.54,4.46,4.5,245856
2006-07-11,4.5,4.76,4.48,4.5,531075
2006-07-12,4.54,4.58,4.5,4.54,1224545
2006-07-13,4.6,4.64,4.46,4.6,1748344
2006-07-14,4.56,4.58,4.5,4.56,1563923
2006-07-17,4.52,4.56,4.1,4.52,505133
2006-07-18,4.88,4.94,4.4,4.88,2041987
2006-07-19,4.8,4.94,4.78,4.8,508280
2006-07-20,5.12,5.12,4.88,5.12,3547953
2006-07-21,5.45,5.45,5,5.45,1889336
2006-07-24,5.55,5.7,5.35,5.55,1452193
2006-07-25,5.55,5.85,5.35,5.55,3807291
2006-07-26,5.8,5.9,5.55,5.8,1734216
2006-07-27,5.65,5.85,5.6,5.65,762029
2006-07-28,5.6,5.7,5.45,5.6,234079
2006-07-31,5.55,5.7,5.5,5.55,147724
2006-08-01,5.5,5.65,5.45,5.5,248033
2006-08-02,5.55,5.75,5.5,5.55,259024
2006-08-03,5.55,5.7,5.5,5.55,90732
2006-08-04,5.65,5.7,5.55,5.65,202030
2006-08-07,5.55,5.7,5.5,5.55,116743
2006-08-08,5.5,5.65,5.5,5.5,84451
2006-08-09,5.6,5.6,5.55,5.6,95231
2006-08-10,5.4,5.65,5.3,5.4,858212
2006-08-11,5.55,5.7,5.4,5.55,343149
2006-08-14,5.45,5.65,5.4,5.45,170764
2006-08-15,5.4,5.45,5.35,5.4,155551
2006-08-16,5.45,5.55,5.4,5.45,388730
2006-08-17,5.25,5.5,5.25,5.25,333455
2006-08-18,5.1,5.35,5.05,5.1,259363
2006-08-21,5.05,5.15,4.95,5.05,270061
2006-08-22,5.05,5.1,4.95,5.05,180209
2006-08-23,5.05,5.2,5,5.05,702625
2006-08-24,5.02,5.06,4.92,5.02,125580
2006-08-25,5.1,5.2,5,5.1,430155
2006-08-28,5.05,5.1,5,5.05,62583
2006-08-29,5.05,5.15,5,5.05,479714
2006-08-31,5.05,5.15,5,5.05,138072
2006-09-01,5.1,5.1,5,5.1,188762
2006-09-04,5.1,5.15,5,5.1,272785
2006-09-05,5.05,5.25,5,5.05,3604999
2006-09-06,5.05,5.1,4.95,5.05,381524
2006-09-07,5,5.1,4.9,5,478234
2006-09-08,5.02,5.04,4.92,5.02,301299
2006-09-11,5.05,5.12,4.98,5.05,335959
2006-09-12,5.05,5.08,5,5.05,177049
2006-09-13,5.05,5.1,4.95,5.05,885865
2006-09-14,4.85,5.06,4.8,4.85,911591
2006-09-15,4.98,4.98,4.8,4.98,1264093
2006-09-18,5,5.06,4.96,5,1772475
2006-09-19,4.94,5.02,4.92,4.94,742811
2006-09-20,4.92,4.96,4.9,4.92,235696
2006-09-21,4.88,4.96,4.88,4.88,210271
2006-09-22,4.88,4.88,4.68,4.88,667060
2006-09-25,4.8,4.86,4.7,4.8,99101
2006-09-26,4.96,4.96,4.76,4.96,288354
2006-09-27,5,5.02,4.94,5,909292
2006-09-28,4.9,5,4.88,4.9,1687453
2006-09-29,4.84,4.94,4.72,4.84,995895
2006-10-02,4.74,4.84,4.68,4.74,550047
2006-10-03,4.72,4.78,4.7,4.72,557300
2006-10-04,4.58,4.7,4.58,4.58,415941
2006-10-05,4.66,4.7,4.62,4.66,266810
2006-10-06,4.64,4.7,4.62,4.64,149954
2006-10-09,4.62,4.66,4.6,4.62,126877
2006-10-10,4.64,4.68,4.6,4.64,404901
2006-10-11,4.64,4.68,4.62,4.64,463714
