Date,Split
2001-12-28,7163.000000/5014.000000
2002-07-22,569.000000/500.000000
2002-11-22,1850.000000/829.000000
2003-12-24,1277.000000/643.000000
2005-01-10,2.000000/1.000000
2005-05-31,479156.000000/319437.000000
2006-05-24,2.000000/1.000000
2007-05-30,3.000000/2.000000
2008-05-26,13357.000000/10018.000000
2009-06-03,3.000000/2.000000
2010-05-25,6100.000000/4991.000000
2011-06-02,1408.000000/1239.000000
2012-05-25,28.000000/25.000000
2013-06-12,8.000000/7.000000
2014-05-21,9.000000/8.000000
2015-05-06,10.000000/9.000000
2016-05-23,21.000000/20.000000
2017-04-27,23.000000/21.000000
2018-05-24,25.000000/23.000000
2020-05-27,28.000000/25.000000
2022-06-06,15.000000/14.000000
