Date,Open,High,Low,Close,Volume
2023-10-26,143,143,143,143,648761
2023-10-27,157.3,157.3,157.3,157.3,553126
2023-10-30,173,173,173,173,1408420
2023-10-31,190.3,190.3,180.8,190.3,28406210
2023-11-01,191.6,207.8,176.1,178.6,50417650
2023-11-02,178.6,178.6,163.3,163.3,24237050
2023-11-03,163,172.5,160.1,164.9,13213370
2023-11-06,164.9,168.5,160.1,160.1,10608260
2023-11-07,160.1,171.8,155.8,163,19955360
2023-11-08,169.6,179.3,167.5,179.3,8912785
2023-11-09,185,197.2,179.5,182.5,28943400
2023-11-10,182.6,189.9,177,180.7,15529030
2023-11-13,180.7,184.2,168.6,168.6,9939850
2023-11-14,170,171.8,164.3,165.8,7447910
2023-11-15,165.8,175.8,164.2,168,10989160
2023-11-16,168,171.2,165.5,165.8,6243001
2023-11-17,166.2,169,164,164,6269165
2023-11-20,164.4,166.4,163.4,163.6,4885429
2023-11-21,164,164.9,160.9,161.1,4634678
2023-11-22,161.6,171.3,161.5,162.3,9649030
2023-11-23,163,166.1,161.3,161.3,6843800
2023-11-24,161.6,162.3,159.1,160.7,4043346
2023-11-27,160.9,161.3,157.4,157.6,4848235
2023-11-28,157.8,162,155.6,156.9,6798726
2023-11-29,156.9,159.1,152,152,5272322
2023-11-30,152,154.5,148.3,148.7,5870252
2023-12-01,149,150.3,144.8,145.4,4300576
2023-12-04,145.4,146.3,143,143.2,6089867
2023-12-05,143.2,155,143.2,148.2,9274422
2023-12-06,149,149.3,143,143,5847749
2023-12-07,143.7,145.6,141.8,143.7,5183554
2023-12-08,143.7,144.6,141.1,141.2,3554365
2023-12-11,141.2,142.4,135.7,136.4,5730588
2023-12-12,136.4,141.7,134.5,138.8,7931450
2023-12-13,138.9,139.5,130.1,130.1,4484322
2023-12-14,131.1,133.6,127,130.6,4256574
2023-12-15,131,133.1,129,131.3,3816538
2023-12-18,131.3,131.3,121.9,121.9,4131385
2023-12-19,121.9,127,120.2,122.8,4958642
2023-12-20,123,123.5,115.8,115.8,3644560
2023-12-21,115.8,115.8,111.2,114.6,4090311
2023-12-22,114.6,115.9,110,110,3163650
2023-12-25,110,110,110,110,0
2023-12-26,99,108.9,98,108.9,7466064
2023-12-27,112.8,118.3,104.5,110.7,8263348
2023-12-28,111.5,121.7,111.5,120.1,6920190
2023-12-29,120.5,122.1,116.8,117.2,4171937
2024-01-02,117.5,119.5,114.6,117.6,5892937
2024-01-03,117.5,117.5,111,111.2,4436210
2024-01-04,111.2,114.5,107.8,112.8,4395839
2024-01-05,113.1,115,112,112.7,2998386
2024-01-08,112.7,122.3,112.2,120,6717439
2024-01-09,120,122.2,114.5,116.7,4392120
2024-01-10,116.6,118,115,117,2432208
2024-01-11,117.3,118.4,115.6,116,2570722
2024-01-12,116,118.3,113.7,116.9,3363453
2024-01-15,116.7,125.2,116.5,121.2,5973387
2024-01-16,121.2,127.5,120.7,124.4,5643748
2024-01-17,124.4,128.5,123.4,123.8,3784437
2024-01-18,124.8,133.8,124,130,8077678
2024-01-19,130,130.5,127.1,127.1,3255949
2024-01-22,127.1,127.2,122.6,122.6,2660536
2024-01-23,122.6,122.6,122.6,122.6,0
2024-01-24,122.6,122.6,122.6,122.6,0
2024-01-25,139,143,136.1,138.8,9148129
2024-01-26,139.2,140.8,137.9,138.1,4634098
2024-01-29,139,141.3,137.5,138,4472266
2024-01-30,139.1,144,137,137.8,6321042
2024-01-31,138.8,141.7,135.6,140.4,5885423
2024-02-01,142,145.5,140.3,140.3,4935585
2024-02-02,141,142.5,138.9,138.9,3062068
2024-02-05,138.9,142.1,137.9,141,4719390
2024-02-06,141.7,142.5,139.2,141,4136708
2024-02-07,141.5,149.6,139.5,144,10530650
2024-02-08,144.3,146.3,142.6,143.3,5205979
2024-02-09,144,145.7,142.1,142.5,3897178
2024-02-12,142.9,147.8,142.9,144.6,6100202
2024-02-13,148.5,152.2,143.2,143.3,12491140
2024-02-14,143.3,146.4,141.2,142.5,4521870
2024-02-15,143,145.5,143,143.4,4474439
2024-02-16,144,145.8,141.7,141.7,3974115
2024-02-19,142.4,142.9,137.8,138,5997635
2024-02-20,138.6,141.4,136.3,139.2,3980632
2024-02-21,139.4,139.9,135.5,135.6,3370034
2024-02-22,136.1,138.1,135.4,137.5,3589607
2024-02-23,137.6,140.1,135.9,137.2,3693643
2024-02-26,137.3,138.6,134.7,134.7,3990115
2024-02-27,134.9,135.3,129.1,129.1,3492277
2024-02-28,129.1,132.1,127,128,2760939
2024-02-29,129,137.8,129,137.8,7387397
2024-03-01,137.8,141.3,135.1,137.1,4416050
2024-03-04,138.1,144.3,136.8,136.8,7210056
2024-03-05,137.3,138.7,132,133.1,3466713
2024-03-06,133.1,133.5,127.6,128,2739707
2024-03-07,128.2,135.5,128.2,134,2904616
2024-03-08,135,135,130.4,134.4,2204555
2024-03-11,136.2,136.5,131.6,133,1513892
2024-03-12,133,133.4,128,128.5,1583920
2024-03-13,128.6,133.2,128.4,129.2,2578865
2024-03-14,130.7,130.7,128.5,129.5,1523059
2024-03-15,133.8,142.4,133.6,134.4,9361390
2024-03-18,134.4,137.5,130,131.3,2334402
2024-03-19,137.2,141,134.5,136.2,6294997
2024-03-20,136.2,141.4,133.6,138.1,5171342
2024-03-21,138.5,140.4,134.2,134.7,2800537
2024-03-22,135.4,138.8,135.1,135.7,2848527
2024-03-25,135.5,135.8,131.5,131.5,2275287
2024-03-26,131.5,132,125.6,126.3,1498206
2024-03-27,126.7,129.4,124.9,126.7,1824059
2024-03-28,126.7,136.1,126.7,133.1,4704052
2024-03-29,133.2,136.2,130.8,136.2,2038937
2024-04-01,136.2,136.5,130,131.5,1790879
2024-04-02,131.8,135,129.5,129.8,2575078
2024-04-03,129.8,135.5,128.2,133.7,3321972
2024-04-04,133.7,140.2,133,137.3,3054788
2024-04-05,137.5,145.9,137.2,145.9,4591216
2024-04-08,146,147,143,144.1,3079333
2024-04-09,144.1,144.4,142.4,143.5,830797
2024-04-15,141.2,141.5,138.2,139.8,2471581
2024-04-16,137.1,139.5,134.3,135,2002545
2024-04-17,135.3,136.7,131.7,131.8,2919366
2024-04-18,132.1,133.8,131.6,132.5,1565065
2024-04-19,131.8,137.9,131.3,137,1991261
2024-04-22,137.3,150.7,137.3,150.7,5510117
2024-04-24,150.9,151.8,142.2,146.8,5226351
2024-04-25,146.2,148.3,144.8,147.8,3576723
2024-04-26,148.1,154,145.7,152.9,3943376
2024-04-29,153.1,153.9,146.4,152.2,2380511
2024-04-30,151.2,156.9,149.9,154.1,3748901
2024-05-02,154.5,161.8,154.5,160.5,3680303
2024-05-03,160.6,162,156.8,157.6,2090395
2024-05-06,157.7,158,153.5,156,1788051
2024-05-07,157,160.2,154.6,157.8,2113164
2024-05-08,157.9,159.6,156,156.8,1462456
2024-05-09,158.2,159.7,153,156.3,1918085
2024-05-10,157,161.7,154.7,160.1,2330473
2024-05-13,160.1,160.9,156.2,157.7,1936552
2024-05-14,157.7,165.2,156.8,165.2,2259378
2024-05-15,165.2,167.7,163.8,165.3,1595808
2024-05-16,165.3,174,164.6,172.1,2927926
2024-05-17,174.9,175.4,169.2,174.3,2384151
2024-05-20,173.8,176.3,171.6,176,1461554
2024-05-21,178.4,186.5,176.4,180,3381195
2024-05-22,179.7,184.8,173.4,176,2493515
2024-05-23,177,178.7,173.8,176.6,1551728
2024-05-24,176.5,179.6,173.9,176.9,1236278
2024-05-27,177.5,180.8,177.5,178.3,1466573
2024-05-28,178.2,180.7,175.9,178.9,1881791
2024-05-29,179.4,180.2,173.5,173.9,1414936
2024-05-30,173.8,174.3,168.4,171.9,1286746
2024-05-31,168,180,165.4,180,2783183
2024-06-03,180.3,183.6,177.5,180.4,1508502
2024-06-04,180.3,186.8,180.2,183.3,1654976
2024-06-05,183.2,184.9,178.8,182,1623711
2024-06-06,181.9,185.2,181.6,182.1,1050481
2024-06-07,182.3,185,180.1,181,1276860
2024-06-10,181,184.5,179.3,181.6,1368743
2024-06-11,181.5,188,181.5,187.6,1738560
2024-06-12,187.7,191,185.5,188.1,1785851
2024-06-13,189.9,197.6,187.2,187.2,1537921
2024-06-14,187.3,189.1,183,183.7,1355477
2024-06-20,183.7,188.3,181.5,186.2,1484317
2024-06-21,186.2,195.1,185.4,195.1,2811506
2024-06-24,195,195,191,192.9,832204
2024-06-25,193.3,198.2,192,196.1,965087
2024-06-26,196.1,200.8,195.4,200.6,1593268
2024-06-27,203,206,197.9,204.8,1625752
2024-06-28,205,211,202.7,209.6,1930465
2024-07-01,211.1,213,199.8,207.4,1899356
2024-07-02,207.8,207.9,197.5,199.9,1356534
2024-07-03,199.9,202.2,193.3,198,1391162
2024-07-04,198,201.2,195,196.1,1109208
2024-07-05,196.1,198.5,188.5,190.6,1257624
2024-07-08,190.6,194.4,186.9,191,1271959
2024-07-09,191,192.1,188.6,189,642996
2024-07-10,189,194,185.6,191.5,932228
2024-07-11,193.5,197.1,190.6,197,932532
2024-07-12,196.9,199.8,194.1,198.3,1047974
