Date,Open,High,Low,Close,Volume
2007-11-26,6.15,6.3,6,6.15,17820594
2007-11-27,5.95,6.2,5.9,5.95,8322446
2007-11-28,5.95,6.1,5.95,5.95,6271343
2007-11-29,5.95,6.15,5.9,5.95,5013019
2007-11-30,6,6.1,5.9,6,4900346
2007-12-03,5.95,6,5.9,5.95,568040
2007-12-04,5.9,5.95,5.8,5.9,1338186
2007-12-05,6,6,5.85,6,743053
2007-12-06,6,6.1,5.9,6,2935123
2007-12-07,5.95,6,5.9,5.95,422804
2007-12-10,5.95,5.95,5.9,5.95,508776
2007-12-11,5.9,5.95,5.85,5.9,376670
2007-12-12,5.95,6,5.75,5.95,1795255
2007-12-13,5.9,6,5.85,5.9,1555716
2007-12-14,5.9,5.95,5.8,5.9,606701
2007-12-17,5.8,5.9,5.8,5.8,184716
2007-12-18,5.9,5.9,5.8,5.9,857548
2007-12-19,5.85,5.85,5.8,5.85,181577
2007-12-24,5.95,6,5.9,5.95,1389896
2007-12-25,5.95,6,5.9,5.95,185407
2007-12-26,6.25,6.25,5.95,6.25,3719361
2007-12-27,6.2,6.4,6.15,6.2,4889541
2007-12-28,6.4,6.45,6.1,6.4,2236058
2007-12-31,6.45,6.6,6.35,6.45,1420992
2008-01-02,6.5,6.5,6.35,6.5,989489
2008-01-03,6.8,6.85,6.4,6.8,2952874
2008-01-04,6.8,7.2,6.65,6.8,5352733
2008-01-07,7,7.1,6.75,7,1978206
2008-01-08,7.15,7.25,6.9,7.15,2941644
2008-01-09,7.15,7.4,7.05,7.15,3699136
2008-01-10,7.15,7.4,7.1,7.15,2522556
2008-01-11,7.05,7.15,7,7.05,1627515
2008-01-14,7.5,7.5,7,7.5,2442492
2008-01-15,7.2,7.6,7.15,7.2,3274230
2008-01-16,6.95,7.1,6.85,6.95,1477739
2008-01-17,6.95,7.1,6.8,6.95,704585
2008-01-18,6.9,6.95,6.7,6.9,546218
2008-01-21,6.4,6.8,6.15,6.4,404533
2008-01-22,6.25,6.35,5.8,6.25,1664762
2008-01-23,6,6.45,5.85,6,1624610
2008-01-24,6.2,6.4,6.05,6.2,2093608
2008-01-25,6.3,6.4,6.2,6.3,1789956
2008-01-28,6.15,6.2,6,6.15,449280
2008-01-29,6.4,6.5,6.15,6.4,1549527
2008-01-30,6.6,6.6,6.35,6.6,1354680
2008-01-31,6.4,6.6,6.25,6.4,1578414
2008-02-01,6.45,6.45,6.3,6.45,1367823
2008-02-04,6.8,6.85,6.55,6.8,2817706
2008-02-05,6.4,6.85,6.4,6.4,1088311
2008-02-06,6.25,6.35,6.15,6.25,3915055
2008-02-07,6.1,6.25,6,6.1,773602
2008-02-08,5.95,6.25,5.95,5.95,602988
2008-02-11,5.9,6.25,5.75,5.9,894597
2008-02-12,6.05,6.15,5.9,6.05,1134361
2008-02-13,6.3,6.35,6,6.3,1234826
2008-02-14,6.25,6.4,6.15,6.25,1117947
2008-02-15,6.25,6.3,6.15,6.25,680584
2008-02-18,6.45,6.55,6.25,6.45,1139485
2008-02-19,6.65,6.65,6.3,6.65,1552312
2008-02-20,6.45,6.65,6.4,6.45,1279530
2008-02-21,6.45,6.6,6.45,6.45,1394640
2008-02-22,6.4,6.45,6.3,6.4,1151163
2008-02-25,6.25,6.45,6.25,6.25,453324
2008-02-26,6.35,6.5,6.3,6.35,591905
2008-02-27,6.6,6.6,6.45,6.6,1472506
2008-02-28,6.7,6.75,6.55,6.7,661358
2008-02-29,6.45,6.85,6.4,6.45,1460803
2008-03-03,6.4,6.45,6.15,6.4,210992
2008-03-04,6.6,6.65,6.4,6.6,2818914
2008-03-05,6.9,6.95,6.6,6.9,1706639
2008-03-06,6.95,7.05,6.85,6.95,1399939
2008-03-07,6.9,6.9,6.75,6.9,612944
2008-03-10,7.1,7.1,6.8,7.1,1385504
2008-03-11,7.3,7.35,7.1,7.3,910244
