Date,Open,High,Low,Close,Volume
2000-02-16,0.006,0.006,0.006,0.006,549576
2000-02-17,0.006,0.006,0.006,0.006,1386335
2000-02-18,0.006,0.006,0.006,0.006,930769
2000-02-21,0.006,0.006,0.006,0.006,744494
2000-02-22,0.006,0.006,0.0052,0.006,263757
2000-02-23,0.006,0.006,0.006,0.006,906660
2000-02-24,0.006,0.006,0.006,0.006,4852476
2000-02-25,0.006,0.006,0.006,0.006,7163363
2000-02-28,0.006,0.006,0.006,0.006,4582199
2000-02-29,0.006,0.006,0.006,0.006,1799067
2000-03-01,0.006,0.0069,0.006,0.006,3836341
2000-03-02,0.006,0.006,0.006,0.006,2939537
2000-03-03,0.006,0.006,0.006,0.006,1006583
2000-03-06,0.006,0.006,0.006,0.006,1062761
2000-03-07,0.006,0.006,0.006,0.006,987478
2000-03-08,0.006,0.006,0.006,0.006,1927571
2000-03-09,0.006,0.006,0.006,0.006,2298681
2000-03-10,0.006,0.006,0.006,0.006,4534361
2000-03-20,0.006,0.006,0.006,0.006,4533072
2000-03-21,0.006,0.006,0.006,0.006,2924223
2000-03-22,0.006,0.006,0.006,0.006,8735291
2000-03-23,0.0069,0.0069,0.0069,0.0069,8592154
2000-03-24,0.006,0.0069,0.006,0.006,1725982
2000-03-27,0.0069,0.0069,0.0069,0.0069,4567719
2000-03-28,0.0069,0.0069,0.0069,0.0069,7275492
2000-03-29,0.006,0.006,0.006,0.006,5781122
2000-03-30,0.006,0.006,0.006,0.006,2693141
2000-03-31,0.006,0.006,0.006,0.006,1963204
2000-04-03,0.006,0.006,0.0052,0.006,1163669
2000-04-04,0.0052,0.0052,0.0052,0.0052,1549487
2000-04-05,0.0052,0.0052,0.0052,0.0052,1211811
2000-04-06,0.006,0.006,0.006,0.006,6039724
2000-04-07,0.006,0.006,0.006,0.006,4051956
2000-04-10,0.006,0.006,0.006,0.006,1932120
2000-04-11,0.006,0.006,0.006,0.006,943505
2000-04-12,0.006,0.006,0.006,0.006,3568490
2000-04-13,0.006,0.006,0.006,0.006,5332000
2000-04-14,0.006,0.006,0.006,0.006,1829468
2000-04-17,0.006,0.006,0.006,0.006,4134442
2000-04-18,0.006,0.006,0.006,0.006,4939359
2000-04-19,0.0069,0.0069,0.006,0.0069,17082415
2000-04-21,0.0069,0.0069,0.0069,0.0069,10825787
2000-04-24,0.0069,0.0069,0.0069,0.0069,5061495
2000-04-25,0.0069,0.0069,0.0069,0.0069,10043690
2000-04-26,0.0069,0.0069,0.0069,0.0069,10427005
2000-04-27,0.006,0.006,0.006,0.006,6040027
2000-04-28,0.0069,0.0069,0.0069,0.0069,5494318
2000-05-01,0.0069,0.0069,0.0069,0.0069,10520408
2000-05-02,0.0069,0.0069,0.0069,0.0069,10965665
2000-05-03,0.0069,0.0069,0.0069,0.0069,4041266
2000-05-04,0.0069,0.0069,0.0069,0.0069,3313603
2000-05-05,0.0069,0.0069,0.0069,0.0069,1757217
2000-05-09,0.0069,0.0069,0.0069,0.0069,797639
2000-05-10,0.0069,0.0069,0.0069,0.0069,4990003
2000-05-11,0.0069,0.0069,0.0069,0.0069,1512338
2000-05-12,0.0069,0.0069,0.0069,0.0069,913483
2000-05-15,0.0069,0.0069,0.006,0.0069,1360103
2000-05-16,0.006,0.0069,0.006,0.006,677474
2000-05-17,0.006,0.006,0.006,0.006,1076180
2000-05-18,0.006,0.006,0.006,0.006,497567
2000-05-22,0.006,0.006,0.006,0.006,950329
2000-05-23,0.006,0.006,0.006,0.006,1570033
2000-05-24,0.006,0.006,0.006,0.006,296281
2000-05-25,0.006,0.006,0.006,0.006,1967450
2000-05-26,0.006,0.006,0.006,0.006,692182
2000-05-29,0.0043,0.0043,0.0043,0.0043,1613247
2000-05-30,0.0043,0.0043,0.0043,0.0043,461606
2000-05-31,0.0043,0.0052,0.0043,0.0043,1758380
2000-06-01,0.0052,0.0052,0.0052,0.0052,3205543
2000-06-02,0.0043,0.0043,0.0043,0.0043,6452810
2000-06-05,0.0043,0.0043,0.0043,0.0043,1480117
2000-06-06,0.0043,0.0043,0.0043,0.0043,2300703
2000-06-07,0.0043,0.0043,0.0043,0.0043,1352093
2000-06-08,0.0043,0.0043,0.0043,0.0043,1043671
2000-06-09,0.0043,0.0043,0.0043,0.0043,2042706
2000-06-12,0.0043,0.0043,0.0043,0.0043,1758885
2000-06-14,0.0043,0.0043,0.0043,0.0043,2762966
2000-06-15,0.0043,0.0043,0.0043,0.0043,1717339
2000-06-16,0.0043,0.0043,0.0043,0.0043,737898
2000-06-19,0.0043,0.0043,0.0043,0.0043,468177
2000-06-20,0.0043,0.0043,0.0043,0.0043,1288687
2000-06-21,0.0043,0.0043,0.0043,0.0043,1808923
2000-06-22,0.0043,0.0043,0.0043,0.0043,1007113
2000-06-23,0.0043,0.0043,0.0043,0.0043,2705449
2000-06-26,0.003,0.0043,0.003,0.003,612021
2000-06-27,0.003,0.003,0.003,0.003,637722
2000-06-28,0.003,0.003,0.003,0.003,611415
2000-06-29,0.003,0.003,0.003,0.003,792105
2000-06-30,0.003,0.003,0.003,0.003,1080173
2000-07-03,0.003,0.003,0.003,0.003,501636
2000-07-04,0.003,0.003,0.003,0.003,349351
2000-07-05,0.003,0.003,0.003,0.003,710933
2000-07-06,0.003,0.003,0.003,0.003,434566
2000-07-07,0.003,0.003,0.003,0.003,580457
2000-07-10,0.003,0.003,0.003,0.003,678637
2000-07-11,0.003,0.003,0.003,0.003,1017829
2000-07-12,0.003,0.003,0.003,0.003,569515
2000-07-13,0.003,0.003,0.003,0.003,914418
2000-07-14,0.003,0.003,0.003,0.003,128075
2000-07-17,0.003,0.003,0.003,0.003,83345
2000-07-19,0.003,0.003,0.003,0.003,1768286
2000-07-20,0.003,0.003,0.003,0.003,1133420
2000-07-21,0.003,0.003,0.003,0.003,1014392
2000-07-24,0.003,0.003,0.003,0.003,1165312
2000-07-25,0.003,0.003,0.003,0.003,2224434
2000-07-26,0.003,0.003,0.003,0.003,603985
2000-07-27,0.003,0.003,0.003,0.003,404493
2000-07-28,0.003,0.003,0.003,0.003,1242693
2000-07-31,0.003,0.003,0.003,0.003,396002
2000-08-01,0.003,0.003,0.003,0.003,405302
2000-08-02,0.0043,0.0043,0.003,0.0043,5611779
2000-08-03,0.0043,0.0043,0.0043,0.0043,15895573
2000-08-04,0.003,0.003,0.003,0.003,6211493
2000-08-07,0.003,0.003,0.003,0.003,4288496
2000-08-08,0.003,0.003,0.003,0.003,867666
2000-08-09,0.003,0.003,0.003,0.003,4141695
2000-08-10,0.003,0.003,0.003,0.003,5427602
2000-08-11,0.0043,0.0043,0.0043,0.0043,7419185
