Date,Open,High,Low,Close,Volume
2000-01-04,2802.2364,2854.7784,2788.2253,2802.2364,1250111
2000-01-05,2738.4856,2826.756,2735.6833,2826.756,1554524
2000-01-06,2802.2364,2915.0265,2802.2364,2896.1113,1279831
2000-01-07,2914.3259,3012.4041,2914.3259,2998.3929,2281112
2000-01-10,3014.5059,3064.9461,3012.4041,3029.9182,3813217
2000-01-11,3012.4041,3024.3137,2959.8623,2960.5628,2034655
2000-01-12,2959.8623,3001.1952,2877.8968,2926.9359,2486648
2000-01-13,2907.3203,3082.4601,2907.3203,2978.0767,5898369
2000-01-14,2991.3874,2994.8902,2959.8623,2983.6812,1876154
2000-01-17,2966.8678,3005.3986,2942.3482,3001.8958,2337797
2000-01-18,2966.8678,2978.0767,2872.2923,2879.9985,3788621
2000-01-19,2858.2812,2917.8286,2854.7784,2902.4164,3315625
2000-01-20,2872.2923,2891.908,2837.2644,2857.5806,2552110
2000-01-21,2822.5526,2843.5695,2662.1246,2807.1403,2421947
2000-01-24,2795.9314,2882.8007,2732.1805,2732.1805,903466
2000-01-25,2707.661,2711.1637,2672.633,2678.938,3141000
2000-01-26,2662.1246,2662.1246,2595.5715,2610.2832,2559863
2000-01-27,2609.5827,2659.3224,2569.6508,2579.4586,1903636
2000-01-28,2543.0296,2557.7413,2453.358,2461.7647,2442320
2000-01-31,2416.9289,2463.1658,2415.5278,2439.3468,2718800
2000-02-01,2515.0072,2631.7904,2419.0306,2522.7134,675500
2000-02-02,2557.0408,2592.0687,2521.3122,2523.4139,1879008
2000-02-03,2522.0128,2522.0128,2472.9737,2480.6798,1415487
2000-02-04,2493.9904,2526.2161,2465.9681,2479.2787,3512662
2000-02-07,2550.0351,2616.5882,2529.0184,2545.8318,2582544
2000-02-08,2533.2217,2592.0687,2508.0016,2556.3402,3333196
2000-02-09,2557.0408,2581.5603,2529.0184,2551.4363,1371050
2000-02-10,2514.3066,2525.5156,2451.9569,2497.4932,663128
2000-02-11,2522.0128,2529.0184,2385.4037,2432.3412,2811376
2000-02-14,2402.9177,2409.9233,2367.8898,2372.7937,1758426
2000-02-15,2364.387,2399.4149,2346.873,2358.7825,1522248
2000-02-16,2395.9122,2410.6239,2356.6809,2364.387,711911
2000-02-17,2377.6976,2522.0128,2377.6976,2505.8999,2763685
2000-02-18,2504.4988,2504.4988,2399.4149,2412.7256,707794
2000-02-21,2374.8953,2428.8384,2322.3535,2322.3535,2038466
2000-02-22,2315.3479,2316.749,2175.2361,2192.75,2541175
2000-02-23,2266.3087,2379.0987,2250.1959,2306.2406,1720108
2000-02-24,2311.8451,2311.8451,2267.7098,2270.5121,1082882
2000-02-25,2206.7612,2206.7612,2101.6773,2125.4964,2344717
2000-02-28,2130.4003,2130.4003,2038.627,2056.141,831361
2000-02-29,2031.6214,2079.2595,1905.5208,2023.9153,2542642
2000-03-01,2059.6438,2073.6549,2031.6214,2057.5421,5191780
2000-03-02,2098.1745,2162.626,1856.4816,2143.0103,2222857
2000-03-03,2153.5187,2154.2192,2101.6773,2120.5924,2544622
2000-03-06,2136.7053,2171.7332,2109.3835,2145.8126,431373
2000-03-07,2122.6941,2152.1176,2108.6829,2119.1913,887545
2000-03-08,2101.6773,2129.6997,2038.627,2042.8303,2232368
2000-03-09,2011.3052,2084.1634,2007.1018,2045.6326,1976793
2000-03-10,2056.141,2073.6549,2014.1075,2023.2147,3056290
2000-03-13,1995.1924,1995.1924,1856.4816,1856.4816,976073
2000-03-14,1900.6169,1981.1812,1881.0012,1972.0739,1947513
2000-03-15,1913.227,1961.5655,1883.8035,1925.837,1145570
2000-03-16,1947.5543,2101.6773,1947.5543,2076.4572,3548360
2000-03-17,2112.1857,2122.6941,2033.0225,2052.6382,1843871
2000-03-20,2031.6214,2136.7053,2028.1186,2131.1008,1680290
2000-03-21,2119.1913,2203.7839,2119.1913,2188.5466,938836
2000-03-22,2206.7612,2213.7667,2122.6941,2145.112,1732677
2000-03-23,2129.6997,2164.7277,2094.6718,2124.7958,568685
2000-03-24,2126.8974,2157.722,2098.1745,2150.7165,619109
2000-03-27,2139.5076,2139.5076,2068.751,2084.8639,1083497
2000-03-28,2059.6438,2084.1634,1996.5934,2004.2996,919177
2000-03-29,2010.6046,2100.2762,1987.4862,1996.5934,2208752
2000-03-30,1996.5934,2039.3276,1954.5599,1968.5711,2794727
2000-03-31,1944.0516,2059.6438,1944.0516,2040.7287,1718186
2000-04-03,2099.5757,2101.6773,1964.3678,2023.9153,1286951
2000-04-04,2066.6494,2101.6773,1926.5375,2045.6326,1931923
2000-04-06,2017.6102,2101.6773,2005.7007,2091.1689,1647002
2000-04-07,2059.6438,2094.6718,2014.1075,2092.57,805958
2000-04-10,2098.8751,2101.6773,2033.8982,2071.5533,1814278
2000-04-11,2031.6214,2038.627,1992.3901,1993.0906,1410944
2000-04-12,2024.6159,2026.7175,1751.3977,1958.7633,1932178
2000-04-13,1923.7353,1926.5375,1873.9956,1881.0012,3379857
2000-04-14,1902.0179,1902.0179,1733.8838,1762.6068,2107436
2000-04-17,1607.7832,1716.3698,1401.1182,1607.7832,1608826
2000-04-18,1667.3307,1716.3698,1611.2859,1707.9631,1636337
2000-04-19,1766.81,1785.0246,1663.8279,1697.4548,4575407
2000-04-20,1681.3418,1766.2916,1681.3418,1733.8838,6016869
2000-04-25,1784.3241,1786.4257,1705.8614,1773.1151,6008658
2000-04-26,1778.0191,1939.1476,1758.4034,1787.1263,1831015
2000-04-27,1771.7139,1873.2951,1771.7139,1840.3688,17826643
2000-04-28,1807.4425,1917.4302,1807.4425,1892.9107,1254180
2000-05-02,1958.7633,2029.5198,1926.5375,1981.8817,2027731
2000-05-03,1961.5655,2100.2762,1961.5655,2049.836,4488411
2000-05-04,2034.4237,2106.5812,2034.4237,2065.2483,3766363
2000-05-05,2099.5757,2168.2304,2049.1354,2100.9768,4877298
2000-05-08,2104.4796,2120.5924,2080.6606,2091.8695,3366138
2000-05-09,2101.6773,2169.6316,2094.6718,2148.6147,2476558
2000-05-10,2171.7332,2241.7892,2171.0327,2175.2361,3114086
2000-05-11,2189.2472,2269.8115,2112.1857,2131.8014,3275946
2000-05-12,2115.6885,2122.6941,1996.5934,2053.3387,3594387
2000-05-15,2060.3444,2060.3444,2007.1018,2034.4237,1829144
2000-05-16,2066.6494,2087.6661,2052.6382,2063.1465,3165912
2000-05-17,2077.8583,2077.8583,2010.6046,2014.1075,3910802
2000-05-18,2007.1018,2044.2315,1991.8647,2032.3219,942924
