Date,Open,High,Low,Close,Volume
2000-01-04,336,359,321.5,331.75,330686
2000-01-05,346,346,327,337,888137
2000-01-06,340,381,340,369,1893654
2000-01-07,374,396,355,358,811721
2000-01-10,364,365.75,351,361.75,1402329
2000-01-11,361.5,368,320,344,1487087
2000-01-12,367.5,374.5,338,356.25,520236
2000-01-13,352,368,352,356.5,2221753
2000-01-14,355,379,350,355.75,1974095
2000-01-17,350,356.75,344.5,355.5,1112784
2000-01-18,364.8,374,356,359.5,2848518
2000-01-19,354,365.5,350,364.5,1444731
2000-01-20,361.5,363.5,358,359.25,1926985
2000-01-21,358.2,361.25,330,344,3014850
2000-01-24,350,350,333.5,334.5,1619054
2000-01-25,344.7,344.75,316.75,324.25,1859930
2000-01-26,325,338.25,322.5,329.75,1112529
2000-01-27,330.5,331.5,323.25,325,1008315
2000-01-28,322.5,329.5,320,320.75,800837
2000-01-31,326.25,326.25,320,322.25,958590
2000-02-01,323,329,315,317.5,1058305
2000-02-02,326,326,318,321.5,2030151
2000-02-03,324,324,318,319.75,1599965
2000-02-04,319,319,301.75,308,2668788
2000-02-07,308,310,290,296.5,1839573
2000-02-08,305,310,302,305.25,3522477
2000-02-09,310,327,305,313.5,1149008
2000-02-10,321,325,310,310,1961433
2000-02-11,308.8,315,285,294.5,2316608
2000-02-14,298.5,304.5,293.25,298,1043301
2000-02-15,294,296.75,281.75,294.25,4290321
2000-02-16,291,303.5,217.25,302.25,1451348
2000-02-17,302,350,302,339,2121016
2000-02-18,325.3,357.5,322,332.75,807582
2000-02-21,326,340,317.5,334.75,757981
2000-02-22,348,350.5,330,333.25,1036709
2000-02-23,330,354,329.25,352,2248885
2000-02-24,342,360,342,349.5,679714
2000-02-25,345,358.5,343,347.75,1413246
2000-02-28,335.5,376.75,335.5,352,800487
2000-02-29,353,367,350,353.75,566108
2000-03-01,365,415,359.25,372,1581134
2000-03-02,352,370,350,366.25,934413
2000-03-03,353,366,350.5,359.5,424731
2000-03-06,331.5,359.1795,331.5,351.5,1292228
2000-03-07,348,360.25,348,356,1933063
2000-03-08,350,358.75,342,348.75,3974051
2000-03-09,350.3,357,347.5,355.75,2374253
2000-03-10,355.5,355.5,340,345.25,2177737
2000-03-13,343,352,324,342,1184034
2000-03-14,345,355,315,330.5,4669244
2000-03-15,342,395,338,389.5,3532305
2000-03-16,385,395,365,389,1922262
2000-03-17,396,398.5,344.75,363.75,6809839
2000-03-20,360,368.5,360,366,1158441
2000-03-21,375,375,349.5,362.75,653890
2000-03-22,364.8,396.5,363.5,390,890517
2000-03-23,390,400,385,399,1046730
2000-03-24,400.5,420.75,393,412.25,1327578
2000-03-27,409,445,406.25,415,1312560
2000-03-28,416,442,415,441,3042991
2000-03-29,419,425,405,409,444418
2000-03-30,409.5,409.5,385,388.75,1018384
2000-03-31,383.25,420,383.25,418.5,320568
2000-04-03,416.5,418.5,406.5,411,253701
2000-04-04,418.5,544,400,414.25,544303
2000-04-06,402,409,395,401,4128855
2000-04-07,408,408,382,390,268160
2000-04-10,393,393,382,391.5,667166
2000-04-11,400,408,398.75,408,358940
2000-04-12,405,505,400,401,632340
2000-04-13,395,403,395,398,656435
2000-04-14,403.5,403.5,391.25,396,591746
2000-04-17,386.8,394,380.5,390,247210
2000-04-18,390,390,374,376.25,286329
2000-04-19,382,398.25,370,372.5,2266517
2000-04-20,398.5,398.5,384,384,289937
2000-04-25,385,395,385,391,406216
2000-04-26,391.3,396,380,380,897956
2000-04-27,379,384.75,378,382.25,327687
2000-04-28,383.8,385,380,380,156862
2000-05-02,406,406,377.75,380,461966
2000-05-03,406,406,380,380,165726
2000-05-04,370,405,370,390,190457
2000-05-05,408,408,383,388,258687
2000-05-08,388,394,379,380,156135
2000-05-09,391,395.25,390,390,1088904
2000-05-10,394,401,394,400,207290
2000-05-11,392,400,390,391.5,409938
2000-05-12,403,405,392,405,852100
2000-05-15,405,405,397,405,719899
2000-05-16,401,410,401,405.25,834757
2000-05-17,401.25,405,401.25,402,169732
2000-05-18,402.5,404,398,398,931207
2000-05-19,402,407.5,400.75,405,1749014
2000-05-22,404,436,404,411,1465225
2000-05-23,411,440,411,432.5,1012029
2000-05-24,434,446,432,436.25,2859784
2000-05-25,449,455,438.25,440,8910856
2000-05-26,438,449.75,421.5,439,9685400
2000-05-30,445,455,428,437,3023372
2000-05-31,441.5,454,436,441.5,1095703
2000-06-01,447,447.5,440,443.25,779245
2000-06-02,442,445,435,441,2914637
2000-06-05,442,465,442,454,1278810
2000-06-06,443.25,454,443.25,449,1037382
2000-06-07,450,452,443,450,613993
2000-06-08,440,447.75,439,447.75,273167
2000-06-09,449,454,441,450.25,1011044
2000-06-12,449,453,448,448.25,2162261
2000-06-13,447,449,445,448,1061182
2000-06-14,456,456,444.75,445,830055
2000-06-15,440,478,440,478,1105545
2000-06-16,450.5,470,444,448,1764376
2000-06-19,446,450.25,444.75,447.5,290827
2000-06-20,446,452,445,451.25,964395
2000-06-21,449,449,445.25,446.25,384901
2000-06-22,449,452.5,445.5,448,1661375
2000-06-23,447,451,445,450,563335
2000-06-26,446,455,446,449,889676
2000-06-27,446.5,450.5,446.5,448,785517
2000-06-28,445,447.5,435.5,436,1826975
2000-06-29,430,463,420,460,554605
2000-06-30,460,461.5,446.75,456,433222
2000-07-03,453,460,447.75,460,852284
2000-07-04,442,450,442,449,191876
2000-07-05,451.2,452,430.25,445,842987
2000-07-06,439.8,458,437,455,1198421
2000-07-07,431.5,457,431.5,454.75,297688
2000-07-10,434,458,434,445,521739
2000-07-11,448.5,450,445,450,528975
2000-07-12,450,453,446.5,446.5,199626
2000-07-13,444,450,444,449.5,226464
2000-07-14,447,447,439.75,439.75,1012411
2000-07-17,445,446,442.25,445.5,1099703
2000-07-18,447,447,435,443,430556
2000-07-19,436,440.5,431.5,431.5,925267
2000-07-20,427.3,432,424.75,431,911850
2000-07-21,414,432,414,425.75,160354
2000-07-24,430.5,430.5,420.25,420.25,96575
2000-07-25,425,425.5,421,423,451854
2000-07-26,420.7,425,418.25,422,217454
2000-07-27,415,419,412,413.25,1124831
2000-07-28,411.7,412.75,407.5,411,1253867
2000-07-31,412.8,414,395,403.25,393208
2000-08-01,413,415,408,410,737212
2000-08-02,410,413,403.25,403.25,393477
2000-08-03,400,405,398.5,402,386550
2000-08-04,404.8,405.03,387,402,39996
2000-08-07,389.8,410,389.75,404,961338
2000-08-08,408,414,405,412.5,1071057
2000-08-09,412,425,412,422,431794
2000-08-10,422,422,405,405,376421
2000-08-11,407,411.5,403,403,97791
2000-08-14,408,416.75,406,411,590130
2000-08-15,415,424.5,412.25,424,342447
2000-08-16,422,422,412,413,316794
2000-08-17,402,413.75,396,396,150684
2000-08-18,402.5,410,395.75,398,118768
2000-08-21,398,400,378,389.75,175169
2000-08-22,395.5,395.5,370,384,605491
2000-08-23,386,386,374.5,380,743599
2000-08-24,387.5,393,380,385,269873
2000-08-25,400,400,385,387.75,76536
2000-08-29,386,386,375,380,207431
2000-08-30,390,391.5,381,390,551818
2000-08-31,391,391,377.25,377.25,581774
2000-09-01,377,379,370,370,330451
2000-09-04,366.5,375,364.5,370,327746
2000-09-05,377.5,378,351.75,374,563564
2000-09-06,386,389,374,375.5,1285384
2000-09-07,380,383,370,380,735299
2000-09-08,380,385,356.75,362,2011483
2000-09-11,352,369.5,342.5,347.75,892824
2000-09-12,343.3,364.25,338,356.5,1803134
2000-09-13,360,364,356,360.5,2598308
2000-09-14,362,365.5,355,355,2178659
2000-09-15,357,357,335,335,9279824
2000-09-18,343,350,341,344,11508590
2000-09-19,340,342,339,340.5,2304979
2000-09-20,345,345,335,338.5,732094
2000-09-21,338.5,351.5,336.5,339,1045448
2000-09-22,339,348,338.5,347,896647
2000-09-25,350.5,355,349.5,355,803096
2000-09-26,352,353,347,351,794671
2000-09-27,355,358,350,350,3679217
2000-09-28,353,360,353,358,2371907
2000-09-29,359.5,370,355,355,1307914
2000-10-02,360,363,356,362,1039353
2000-10-03,363,366,361.25,365,671837
2000-10-04,370,370,360,363,375284
2000-10-05,363,379.75,363,368.5,821540
2000-10-06,366,370,364,365.5,3180280
2000-10-09,363,366.75,360.25,363,224538
2000-10-10,365,368,363,366.5,442167
2000-10-11,368,370,365,368.75,477378
2000-10-12,367,374.75,365,369.75,651754
2000-10-13,367,375.75,367,370.25,371354
2000-10-16,391,391,371.75,375,435553
2000-10-17,378.5,385,368,374.75,542843
2000-10-18,390,398,374,392.5,1089810
2000-10-19,393.5,397.5,392,394.25,895447
2000-10-20,394,395.25,392,394.75,458436
2000-10-23,396.5,396.5,390,392.5,1500644
2000-10-24,393.5,393.75,391,393,631084
2000-10-25,393,395,386,388.25,197834
2000-10-26,398,398,384,386.25,181420
2000-10-27,382,400.25,382,398,66679
2000-10-30,393.5,396,389.25,396,226929
2000-10-31,393,397.5,384.25,390,1395312
2000-11-01,394,394,389,392.5,1624496
2000-11-02,394.5,400,393,400,80567
2000-11-03,402,402.25,392,400,93678
2000-11-06,399.5,427,395,422.5,716002
2000-11-07,413,426,413,425,1034995
2000-11-08,421,428.5,420,427.5,1456558
2000-11-09,424.75,432,424.75,432,1360425
2000-11-10,421,436,421,433,656987
2000-11-13,435.5,439,430,430,348147
2000-11-14,431,445,429,445,812784
2000-11-15,444.5,460,443,452,1331159
2000-11-16,455,456,451,453.25,1096745
2000-11-17,451.5,455.25,451.25,455.25,2035209
2000-11-20,449.5,456,449,451.5,1746107
2000-11-21,454,461,453,461,1086695
2000-11-22,460.5,480,460.5,475,2363134
2000-11-23,479,484.75,476,480,1127232
2000-11-24,485,485,462.75,465,1525247
2000-11-27,467,470,458,470,247221
2000-11-28,475,485,471.25,483,578860
2000-11-29,479.5,488.75,478,484.75,358574
2000-11-30,485,495,478,484,1931180
2000-12-01,485,492.25,477.25,485.75,1443085
2000-12-04,483,483,475.75,479,331602
2000-12-05,481,492,481,491,1324663
2000-12-06,492,492,475,481.25,1154624
2000-12-07,478,479,465,469.75,617571
2000-12-08,460,469,460,466.75,250400
2000-12-11,470,470.25,455,455,611789
2000-12-12,455.5,475,455.5,465,395122
2000-12-13,465,465,451,451,1282617
2000-12-14,455,468.75,454.5,466,768816
2000-12-15,466,490,465.75,490,9839884
2000-12-18,478,497,478,494.25,1908621
2000-12-19,493.8,509,493.75,496,852424
2000-12-20,491.5,492.75,485,490.5,2887063
2000-12-21,490,497,487,494,590040
2000-12-22,497,504.75,494,498.25,245875
2000-12-27,498.8,502,496,502,271730
2000-12-28,498,505.75,495,504,378957
2000-12-29,503,505,501,503.5,265949
2001-01-02,505,525,505,521.25,978360
2001-01-03,512.5,520,512.5,515,1145483
2001-01-04,500,515,497,497.75,2934375
2001-01-05,501,510,488,495.5,1280153
2001-01-08,495,507,493,503,1030009
2001-01-09,505,510,496.25,500.5,2891831
2001-01-10,505,511,500,504.5,798826
2001-01-11,500,510,493.25,510,1661371
2001-01-12,510,510,490,495,980433
2001-01-15,500,500.75,474.5,490,1335372
2001-01-16,480,492,476.25,484,2064760
2001-01-17,483,488.5,477,487,1874369
2001-01-18,487,495,485,495,675023
2001-01-19,487.5,489.25,485.75,485.75,396602
2001-01-22,487,495,485,489,839272
2001-01-23,490,490,483.25,486,419811
2001-01-24,485,485,473,473,1861620
2001-01-25,468,476,466.75,470,606849
2001-01-26,468,481,462,478.5,988677
2001-01-29,475,491.25,475,479.5,728312
2001-01-30,478,495,477.25,495,807000
2001-01-31,488.3,500,483,490,590364
2001-02-01,478,495,478,495,257034
2001-02-02,489.8,496,485.5,485.5,236949
2001-02-05,485,490,482.25,488,274819
2001-02-06,488,491,486,486.5,837900
2001-02-07,485.5,495,481.25,482.5,930564
2001-02-08,484,494.75,484,490,561078
2001-02-09,488.5,500,488.5,490,896431
2001-02-12,487,500,486,500,1059715
2001-02-13,500,510,495,510,2648282
2001-02-14,505,512.75,500.75,510,745926
2001-02-15,515,515,500,500,1669212
2001-02-16,497,501.25,482,485,348430
2001-02-19,495,507,481.5,503.5,357557
2001-02-20,505.25,511,505.25,506,629866
2001-02-21,506,506,492,504.5,1169395
2001-02-22,490,502,490,499,668287
2001-02-23,493,505,489,492,845714
2001-02-26,483.5,500,483.5,499.5,251640
2001-02-27,490.8,495,487.75,495,626234
2001-02-28,482,500.25,482,495.75,356327
2001-03-01,490,503,482,498,1153804
2001-03-02,497.5,505,490,490,482831
2001-03-05,496,505,492.5,505,474165
2001-03-06,501.5,501.5,491.25,496.5,411301
2001-03-07,487.25,497,487.25,494,225261
2001-03-08,496.5,501,490.25,494,681354
2001-03-09,490,499.5,488.75,499.5,172055
2001-03-12,490,500,490,499.75,406908
2001-03-13,490,496,486.75,486.75,400594
2001-03-14,483.5,492.25,481,485,443854
2001-03-15,489,490.5,480.5,482,1206146
2001-03-16,482,482.25,460,470,1457030
2001-03-19,469,482.75,460.75,482.75,553850
2001-03-20,476.7,480,470,474.75,868216
2001-03-21,476,476,461.75,470,258374
2001-03-22,470.7,470.75,452,459,519798
2001-03-23,468,468,460,463,892736
2001-03-26,463,463,438.5,452,824718
2001-03-27,441,462.75,437.5,462.75,512275
2001-03-28,457.7,458.75,444.5,450,828883
2001-03-29,449,462,443,448.75,566814
2001-03-30,445.7,454.75,436.5,445,469396
2001-04-02,440,451.25,440,445,910997
2001-04-03,447,447,426.25,428,652645
2001-04-04,420.2,455,402,450.25,999216
2001-04-05,454,455,442,450,421467
2001-04-06,442.5,449,434.5,438.25,378588
2001-04-09,425.5,450,425.5,440.75,391117
2001-04-10,445.7,448.25,437.5,442.5,788629
2001-04-11,445,447,423.25,444.25,346021
2001-04-12,444.3,450,436.75,436.75,459065
2001-04-17,440,440,417,428.5,749085
2001-04-18,440,446,432,433.25,1697084
2001-04-19,450,450,420,431.25,1382421
