Date,Open,High,Low,Close,Volume
2003-11-21,103.0002,104.0002,102.5001,102.5001,51524
2003-11-24,100.0001,102.5001,100.0001,102.5001,800970
2003-11-26,101.5002,102.5001,101.5002,102.5001,5524
2003-11-28,103.0002,103.0002,102.5001,102.5001,5524
2003-12-02,102.5001,104.0002,102.5001,102.5001,503840
2003-12-03,102.5001,102.5001,102.5001,102.5001,77330
2003-12-04,104.0002,104.0002,102.5001,102.5001,1413
2003-12-09,102.5001,102.5001,102.5001,102.5001,28767
2003-12-10,104.0002,104.0002,100.0001,102.2502,272457
2003-12-11,103.5002,103.5002,102.2502,102.2502,4308
2003-12-12,102.2502,102.2502,102.2502,102.2502,350494
2003-12-15,103.5002,104.0002,100.9503,102.5001,79054
2003-12-16,104.0002,104.0002,102.5001,102.5001,2905
2003-12-17,104.0002,104.0002,102.5001,102.5001,148452
2003-12-18,101.5002,102.5001,101.5002,102.5001,352
2003-12-19,104.0002,104.0002,103.0002,103.0002,16140
2003-12-22,104.0002,104.0002,103.0002,103.0002,22681
2003-12-24,102.5001,103.0002,102.5001,103.0002,27618
2003-12-29,103.5002,104.0002,102.0002,103.0002,16063
2003-12-30,103.5002,103.5002,103.0002,103.0002,6209
2003-12-31,103.0002,103.0002,103.0002,103.0002,12406
2004-01-02,104.0002,104.0002,103.0002,103.0002,663
2004-01-05,103.2501,103.5002,103.2501,103.5002,53222
2004-01-06,103.0002,103.5002,103.0002,103.5002,55236
2004-01-08,104.0002,104.0002,103.5002,103.5002,6197
2004-01-12,103.7501,103.7501,103.5002,103.5002,111097
2004-01-13,104.0002,104.0002,103.5002,103.5002,5899
2004-01-15,103.5002,104.0002,103.5002,103.5002,392369
2004-01-16,103.7501,103.7501,103.5002,103.5002,7380
2004-01-19,103.0002,103.7501,103.0002,103.0002,16528
2004-01-20,103.7501,103.7501,103.0002,103.0002,3171
2004-01-21,103.7501,103.7501,102.5001,103.0002,39497
2004-01-22,103.5002,103.7501,102.0002,103.0002,38223
2004-01-26,102.0002,103.7501,101.45,102.5001,75552
2004-01-27,103.7501,103.7501,101.0002,102.5001,11268
