Date,Open,High,Low,Close,Volume
2018-12-07,162,225.77,162,220,6234891
2018-12-10,224.95,229.03,215.55,221.5,2066678
2018-12-11,220.05,225.16,215.95,223.5,519819
2018-12-12,224,249.81,216.45,245,1144522
2018-12-13,248,251.9055,229,240,877467
2018-12-14,237,239.85,228,235,512289
2018-12-17,230,234.75,223.3315,231.9,1429440
2018-12-18,232,235,228.425,230,261455
2018-12-19,238.15,238.15,229.9,235,155774
2018-12-20,225,237.32,225,234,101264
2018-12-21,236,239.29,230.25,236,94523
2018-12-24,236,240.2,231.73,233.025,22686
2018-12-27,233,242.5,229.95,240,84002
2018-12-28,231.1,242,229.9998,235.05,58018
2018-12-31,233,240.65,219.74,240.65,78148
2019-01-02,240,245,231.59,245,110416
2019-01-03,245,250,239.75,245,175385
2019-01-04,244,255,241.05,251,117192
2019-01-07,252,260,250.16,256,510050
2019-01-08,256,259.95,254.1,255,131142
2019-01-09,258,266.78,253.8,258,872913
2019-01-10,260,264.96,259.25,262.5,366781
2019-01-11,262,278,260.1,273.95,532505
2019-01-14,275,299,269.6845,287.3,4602627
2019-01-15,294.95,295.46,266.49,282.025,880386
2019-01-16,285.6,295,280,287.2,447611
2019-01-17,290,300.025,280.1,287.95,157091
2019-01-18,285,292,275.9565,290,887470
2019-01-21,287,292,276.95,284,247421
2019-01-22,282,291.95,278.358,285,235306
2019-01-23,290.8,290.8,276,287.45,1708971
2019-01-24,285,289.5,275,280,1433721
2019-01-25,275,286.89,252.92,270,1800451
2019-01-28,268,269,263.6635,268,257181
2019-01-29,268,272.55,265.5,267.7,282651
2019-01-30,270,270,265.95,266.45,254988
2019-01-31,270.05,274.802,258,259.6,753588
2019-02-01,260.15,263.646,255,257,1122961
2019-02-04,255.15,264,255.15,261,144258
2019-02-05,265,265,253.946,262,476155
2019-02-06,265,275.545,263.65,263.65,1035925
2019-02-07,265.05,275.323,265.05,273.95,468917
2019-02-08,275.8,279.58,272.1,272.1,179871
2019-02-11,279.5,286.5,275,275,792919
2019-02-12,276,280.8925,274,275,490610
2019-02-13,276,276,272,273.3,447254
2019-02-14,275,292.3,273.05,275,496332
2019-02-15,275,283.6,271.92,275.1,342180
