Date,Open,High,Low,Close,Volume
2017-04-07,220,253.2,220,250,2114296
2017-04-10,250,265,246.88,250,204617
2017-04-11,250,270,245,265,219077
2017-04-12,265,292.5918,250,282.5,87187
2017-04-13,287.5,295,285,290,189708
2017-04-18,290,292,270,277.5,96630
2017-04-19,277.5,279.5126,265.988,270,429056
2017-04-20,270,274.0123,264.9881,270,25338
2017-04-21,270,275.0124,270,270,9658
2017-04-24,270,309,269.9878,295,47859
2017-04-25,295,303.2,295,295,59400
2017-04-26,295,320,288.5,312.5,60184
2017-04-27,312.5,335,310.3,317.5,32807
2017-04-28,317.5,322.75,311.75,317.5,28501
2017-05-02,317.5,320,311,317.5,9005
2017-05-03,317.5,317.5,305,317.5,24500
2017-05-04,317.5,317.5,310,317.5,25478
2017-05-05,314.99,314.99,305,312.5,3195
2017-05-08,317.9,338.95,317.9,330,57103
2017-05-09,330,340,324,330,86762
2017-05-10,330,350,326,347.5,184627
2017-05-11,347.5,362.7,346.5,355,33320
2017-05-12,360,375,360,372.5,288234
2017-05-15,372.5,384.5,345,352.5,51073
2017-05-16,360,365,360,362.5,12125
2017-05-17,362.5,364,360.25,362.5,4759
2017-05-18,362.5,363,360.25,362.5,12176
2017-05-19,362.5,363,350,357.5,6123
2017-05-22,357.5,360,343.3,350,24259
2017-05-23,352,364.5,352,357.5,14429
2017-05-24,364.25,393,364.25,382.5,17430
2017-05-25,382.5,394,377,387.5,65956
2017-05-26,387.5,393,379.3105,387.5,265345
2017-05-30,405,449,400,430,188526
2017-05-31,430,440,430,440,54192
2017-06-01,440,440,425,432.5,39795
2017-06-02,432.5,439.7,410,435,36419
2017-06-05,435,439.4,430.1,435,32112
2017-06-06,435,438.99,432,435,131792
2017-06-07,435,438,432.15,435,47335
2017-06-08,435,439.0198,430.9806,435,16859
2017-06-09,435,440,430,435,28003
2017-06-12,432.5,440,430,436.5,44089
2017-06-13,436.5,474,433.66,467.5,105207
2017-06-14,467.5,475,455,475,110649
2017-06-15,487,487,457,467.5,23859
2017-06-16,467.5,474.9,460.1,470,33513
2017-06-19,470,470,445.15,460,13634
2017-06-20,460,470,455,467.5,32833
2017-06-21,467.5,475,460.15,475,2495
2017-06-22,462.5,472,462.5,462.5,1704
2017-06-23,459,459,445,455,15437
2017-06-26,455,457.5,395.15,430,60498
2017-06-27,435,445,435,435,37437
2017-06-28,435,445,430,437.5,25545
2017-06-29,437.5,443,433,437.5,22609
2017-06-30,437.5,443,437.5,437.5,12679
2017-07-03,462.5,483.15,450,462.5,167734
2017-07-04,462.5,470,452.5,462.5,66106
2017-07-05,462.5,465,452.5,462.5,31954
2017-07-06,462.5,462.95,443.55,452.5,21800
2017-07-07,452.5,460,452.5,452.5,47342
2017-07-10,452.5,464,448.6,457.5,35805
2017-07-11,457.5,464,457.5,457.5,28547
2017-07-12,457.5,460,452.7,457.5,14347
2017-07-13,457.5,465,451,462.5,86994
2017-07-14,460,460,455,455,4993
2017-07-17,475,490,465,465,468658
2017-07-18,465,480,459.9793,465,33192
2017-07-19,465,479,465,465,8703
2017-07-20,465,480,454.9795,465,13534
2017-07-21,471.5,484,471.5,482.5,91280
2017-07-24,482.5,482.5,465,478,42997
2017-07-25,472.5,475,465,470,12981
2017-07-26,470,474.5,460.75,467.5,17372
2017-07-27,467.5,467.5,460.75,467.5,2445
2017-07-28,467.5,469,460,467.5,7661
2017-07-31,467.5,475,460,475,16358
2017-08-01,467.5,475,460,475,29141
2017-08-02,475,477,457,470,25995
2017-08-03,470,477,461.88,470,36945
2017-08-04,470,477,462,470,30045
2017-08-07,475,530.2,475,515,196375
2017-08-08,520,540,511.725,535,114413
2017-08-09,530,539.75,517,530,52626
2017-08-10,530,535,512.5,520,20691
2017-08-11,520,525,508.5,517.5,11811
2017-08-14,517.5,527,505.25,517.5,11868
2017-08-15,517.5,525,510.05,515,25887
2017-08-16,515,520,510.05,512.5,39439
2017-08-17,512.5,520,511,512.5,11115
2017-08-18,512.5,520,512.5,512.5,49058
2017-08-21,513,520,513,517.5,63165
2017-08-22,517.5,520,490,502.5,43726
2017-08-23,500,515,490,502.5,21256
2017-08-24,502.5,520,497.9776,507.5,33853
2017-08-25,507.5,520,505.25,507.5,7654
2017-08-29,507.5,582.3333,505.25,555,397196
2017-08-30,555,568,542,555,15362
2017-08-31,555,566,540,555,10037
2017-09-01,555,565,540,555,69734
2017-09-04,555,567,542,560,63469
2017-09-05,555,563,480,535,105339
2017-09-06,535,535,510.25,530,74008
2017-09-07,530,540,520,530,15102
2017-09-08,530,540,523,530,11234
2017-09-11,530,540,520,527.5,17132
2017-09-12,527,527,506,520,12830
2017-09-13,520,522,475,502.5,40672
2017-09-14,502.5,502.5,502.5,502.5,8492
2017-09-15,502.5,502.5,495,502.5,5038
2017-09-18,501,501,480,497.5,11719
2017-09-19,497.5,499,460,477.5,15153
2017-09-20,477.5,484,465,477.5,47734
2017-09-21,477.5,480,470,477.5,10234
2017-09-22,477.5,479,470,477.5,7536
2017-09-25,477.5,485,470,477.5,8454
2017-09-26,477.5,477.5,470,477.5,4468
2017-09-27,477.5,485,470,477.5,8842
2017-09-28,477.5,477.5,460,477.5,6314
2017-09-29,477.5,477.5,455,477.5,3054
2017-10-02,477.5,508,474,500,84883
2017-10-03,500,505,490,495,6469
2017-10-04,494.7,494.7,461.25,472.5,28339
2017-10-05,465,465,410.5,455,344980
2017-10-06,460,460,460,460,18163
2017-10-09,460,469,457.5,460,12345
2017-10-10,460,470,459.5,462.5,4596
2017-10-11,462.5,470,462.5,465,6923
2017-10-12,465,479,462.55,467.5,6873
2017-10-13,467.5,475,466,470,30366
2017-10-16,470,488,460,470,238644
2017-10-17,477.5,490,473.5,482.5,41078
2017-10-18,482.5,498,476.5,492.5,14275
2017-10-19,492.5,497,490,490,5758
2017-10-20,492.5,495.25,490.15,492.5,243358
2017-10-24,492.5,498,490.15,492.5,12954
2017-10-25,492.5,495,490.15,492.5,16605
2017-10-26,492.5,495,480,490,5706
2017-10-27,483.6,483.6,450,470,17426
2017-10-30,470,483,460,475,19639
2017-10-31,475,483,468,475,16710
2017-11-01,475,480,468.35,477.5,350
2017-11-02,477.5,481.5,470,477.5,14297
2017-11-03,477.5,485,475,475,14434
2017-11-06,480,507,475,495,401044
2017-11-07,495,505,491.5,495,43350
2017-11-08,495,515,492.5,507.5,16025
2017-11-09,507.5,525,505,507.5,10291
2017-11-10,519,539,519,527.5,27285
2017-11-13,527.5,557.55,527.5,545,54200
2017-11-14,545,564,535,550,35652
2017-11-15,540,540,525,532.5,23301
2017-11-16,532.5,547,521,532.5,10239
2017-11-17,532.5,549.5,518.2,532.5,4222
2017-11-20,532.5,545,515,532.5,12537
2017-11-21,532.5,550,515,532.5,12571
2017-11-22,532.5,535,517.45,532.5,5120
2017-11-23,532.5,535,501,520,2618
2017-11-24,520,530,501,520,11591
2017-11-27,525,540,511.5,530,869662
2017-11-28,530,530,520,530,8225
2017-11-29,530,539,522.3,530,4142
2017-11-30,530,535,520,530,6000
2017-12-01,530,530,530,530,5803
2017-12-04,530,530,530,530,1842
2017-12-05,517.5,517.5,517.5,517.5,5332
2017-12-06,487.5,487.5,487.5,487.5,46427
2017-12-07,487.5,487.5,487.5,487.5,11945
2017-12-08,482.5,482.5,482.5,482.5,15635
2017-12-11,470,470,470,470,115816
2017-12-12,465,465,465,465,12653
2017-12-13,465,465,465,465,1313
2017-12-14,465,465,460,465,239852
2017-12-15,462.5,462.5,452.5,462.5,36718
2017-12-18,462.5,462.5,462.5,462.5,5773
2017-12-19,470,470,470,470,67363
2017-12-20,480,480,480,480,2663
2017-12-21,480,480,480,480,4399
2017-12-22,480,480,480,480,441
2017-12-27,480,480,480,480,12354
2017-12-28,487.5,487.5,487.5,487.5,6133
2017-12-29,487.5,487.5,487.5,487.5,850
2018-01-02,485,485,470,485,7010
2018-01-03,485,487,470,485,4119
2018-01-04,485,495,471,485,39859
2018-01-05,482.5,500,473.55,490,303628
2018-01-08,490,530,480,480,85024
2018-01-09,516,530,516,517,8551
2018-01-10,520,534,520,520,9081
2018-01-11,530,539,530,537,26895
2018-01-12,538,543,532,538,149919
