Date,Open,High,Low,Close,Volume
2018-10-03,226.0927,228.4726,207.5531,215.383,9239281
2018-10-04,215.4544,223.5722,208.7668,214.1931,1407154
2018-10-05,213.5981,213.5981,202.2934,202.2934,1142136
2018-10-08,203.3644,203.3644,186.1338,190.3938,732855
2018-10-09,190.37,196.3436,188.9218,189.6799,646113
2018-10-10,189.7988,192.7262,184.444,191.5838,784464
2018-10-11,192.7262,192.7262,175.5669,178.1372,1127101
2018-10-12,183.7062,185.634,179.2796,183.6586,309847
2018-10-15,184.444,185.634,173.0442,176.9473,182291
2018-10-16,176.1143,189.0373,166.5946,189.0373,402562
2018-10-17,188.9659,188.9659,174.02,178.4704,317323
2018-10-18,181.4453,181.4453,170.8309,172.5444,99272
2018-10-19,172.6872,176.0905,168.9745,172.3064,184381
2018-10-22,172.6158,178.4704,170.1883,171.283,96575
2018-10-23,170.7595,170.7595,164.5955,168.0226,253437
2018-10-24,170.3549,170.3549,162.4297,163.6197,164947
2018-10-25,165.4046,172.473,161.8348,170.8309,112952
2018-10-26,169.2601,172.5206,166.5708,167.975,101439
2018-10-29,170.1645,172.592,165.6188,170.6881,74723
2018-10-30,171.521,181.2549,168.3557,175.8049,42661
2018-10-31,181.2073,186.8239,172.5444,181.4929,89474
2018-11-01,181.5167,187.3951,175.5907,180.8741,146318
2018-11-02,187.1809,187.1809,180.6837,184.4202,67502
2018-11-05,184.5868,191.4731,184.563,187.4427,70288
2018-11-06,189.775,193.2973,187.4665,190.0368,126609
2018-11-07,192.7738,202.8799,192.5682,195.0109,40610
2018-11-08,196.7482,199.6041,184.444,191.5838,194601
2018-11-09,196.296,196.3198,185.6578,190.3938,72348
2018-11-12,191.56,195.4976,189.5609,189.775,69982
2018-11-13,191.6314,198.1286,188.1317,190.3938,179295
2018-11-14,190.489,193.5044,187.2999,191.798,172527
2018-11-15,196.9386,197.7716,175.3271,179.0892,238819
2018-11-16,186.0386,186.0386,166.5946,167.7846,184357
2018-11-19,166.5946,177.9706,166.5946,169.7361,86162
2018-11-20,172.5444,174.9922,162.4773,163.4531,116492
2018-11-21,163.0247,174.1152,163.0247,166.5946,35257
2018-11-22,168.5699,174.0914,163.1437,164.3813,19211
2018-11-23,167.38,169.5695,164.2861,164.4051,52259
2018-11-26,166.5946,174.139,165.8449,171.3544,75608
2018-11-27,173.3536,175.4241,166.5946,166.8564,125686
2018-11-28,169.9265,170.5929,166.5946,169.5695,97602
2018-11-29,171.4734,173.0918,167.1658,168.9507,78692
2018-11-30,170.0455,170.0455,164.2147,165.4046,77718
2018-12-03,168.8793,174.3055,165.4046,166.5946,63162
2018-12-04,164.5003,168.9507,164.5003,166.4042,78614
2018-12-05,166.4756,166.5946,161.4302,161.4302,89263
2018-12-06,162.1441,162.1441,152.0038,154.1,166854
2018-12-07,154.1952,161.335,152.8452,154.695,150261
2018-12-10,160.6448,161.7634,144.1043,145.1039,102860
2018-12-11,145.1753,150.4349,142.7954,144.0091,121219
2018-12-12,145.7703,149.5068,141.5816,144.2233,137501
2018-12-13,140.5344,147.8325,140.5344,143.9853,92764
2018-12-14,142.7954,147.5159,134.8702,137.6547,137709
2018-12-17,141.0104,141.0104,133.4661,134.4656,80570
2018-12-18,133.8707,139.8205,133.8707,136.9646,129184
2018-12-19,141.6054,142.2004,137.6785,141.6054,109769
2018-12-20,139.9157,145.7465,138.7257,141.7244,123732
2018-12-21,140.582,142.7954,136.8932,140.8676,1398713
2018-12-24,139.8919,143.5331,139.2255,143.5331,14852
2018-12-27,142.7954,147.2934,140.4154,142.129,76015
2018-12-28,143.9853,145.1753,138.6305,144.6755,38406
2018-12-31,144.6755,148.1978,144.6755,145.6037,32760
2019-01-02,147.579,147.579,139.2493,140.9866,54792
2019-01-03,139.9395,143.0334,136.7266,139.8205,86316
2019-01-04,141.6054,143.3904,139.8205,141.6292,67148
2019-01-07,142.7954,147.1268,141.177,144.0567,73883
2019-01-08,142.7954,154.695,142.7954,151.6725,197424
2019-01-09,153.743,157.6699,150.2445,154.695,195313
2019-01-10,152.3627,160.621,150.8871,152.3151,61867
2019-01-11,149.3164,153.3384,148.7452,151.3155,74173
2019-01-14,151.3393,151.7201,146.4605,148.7452,83477
2019-01-15,148.7452,151.7915,148.4358,151.2679,119579
2019-01-16,152.3151,155.3614,150.4825,154.0048,107803
2019-01-17,150.6729,154.6474,149.483,149.9351,65140
2019-01-18,151.1251,151.6725,148.769,151.1489,40851
2019-01-21,149.4354,152.4103,149.1974,150.4111,39532
2019-01-22,150.5301,151.6963,149.2926,149.3402,64309
2019-01-23,148.7452,150.1731,145.3181,145.3181,68996
2019-01-24,144.0805,148.531,144.0805,145.7703,61999
2019-01-25,145.7465,148.3882,145.4847,145.7465,36083
2019-01-28,145.9607,145.9607,141.0104,142.4384,47734
2019-01-29,143.9853,147.7694,141.6292,146.7222,169232
2019-01-30,147.5552,147.5552,144.6041,144.6993,40943
2019-01-31,144.6993,148.6738,143.4142,148.1978,104937
2019-02-01,146.9602,151.0537,146.9602,148.4596,44894
2019-02-04,148.7452,151.3393,144.6517,147.1982,52277
2019-02-05,146.6984,148.6976,143.0572,144.1043,69379
2019-02-06,146.8174,147.4124,142.7954,145.0563,52431
2019-02-07,144.3185,145.2229,141.0104,141.6054,44081
2019-02-08,143.2952,143.2952,131.8477,133.8707,91534
2019-02-11,133.8945,136.8456,132.1809,133.7517,35292
2019-02-12,136.8456,137.7975,133.7374,134.7036,39434
2019-02-13,136.679,139.8205,133.7041,139.7015,65387
2019-02-14,139.8205,142.7478,137.5119,140.701,53016
2019-02-15,140.7248,145.7703,138.1545,144.1043,49747
2019-02-18,145.0563,145.1515,142.2004,144.5565,107180
2019-02-19,145.2705,145.8655,142.7716,142.7954,37966
2019-02-20,145.0325,145.0325,142.724,143.2714,39422
2019-02-21,142.7954,145.3982,142.7954,144.7707,41777
2019-02-22,145.1753,146.9602,143.2714,146.0559,85397
2019-02-25,148.5072,149.2926,145.3419,149.2926,31254
2019-02-26,149.3402,162.6677,145.1753,161.6682,131886
2019-02-27,160.6448,163.5483,157.5033,163.5483,74020
2019-02-28,158.3125,160.5972,128.5158,128.5158,586507
2019-03-01,131.7049,133.2757,126.4929,127.3259,205176
2019-03-04,129.9914,131.5621,123.0658,124.3272,137378
2019-03-05,123.161,127.3259,117.9609,127.3259,228467
2019-03-06,127.7543,134.2038,126.7309,131.2765,182962
2019-03-07,132.0857,136.0126,128.0526,136.0126,161224
2019-03-08,136.1078,137.4405,133.2757,135.8222,65640
2019-03-11,136.8456,140.6534,136.1792,138.2021,66392
2019-03-12,139.5825,141.6054,133.3709,133.8469,68230
2019-03-13,133.2757,141.0104,133.2757,140.5344,86306
2019-03-14,138.4877,142.1766,138.4877,139.6063,38117
2019-03-15,140.4154,141.534,137.4881,138.1783,70525
2019-03-18,135.6556,136.6314,128.2778,130.4912,163535
2019-03-19,128.4682,132.4427,128.4444,131.4907,65276
2019-03-20,131.8715,134.894,129.2536,130.872,61788
2019-03-21,130.5626,133.8707,129.92,132.6807,49128
2019-03-22,132.6807,134.299,125.0411,126.9451,98352
2019-03-25,127.4449,128.6824,119.0913,122.328,137147
2019-03-26,123.5894,126.4215,121.7331,122.1138,83471
2019-03-27,124.9697,126.155,122.566,122.8754,79158
2019-03-28,121.7569,123.756,119.9719,119.9957,58859
2019-03-29,121.3761,122.3518,118.5202,120.1861,79670
2019-04-01,120.1861,121.8283,117.9252,120.6859,80655
2019-04-02,121.3761,122.3994,116.6281,118.9485,135780
2019-04-03,119.5911,123.637,118.7582,123.637,111963
2019-04-04,123.756,126.8975,121.7569,121.9948,69053
2019-04-05,121.3761,122.3518,119.9719,120.8287,74389
2019-04-08,117.8062,117.8062,110.3094,111.3804,262280
2019-04-09,111.8564,113.5223,109.6906,111.19,165592
2019-04-10,111.6065,113.7722,108.0604,108.0604,102405
2019-04-11,109.536,111.8564,108.0128,110.6783,99970
2019-04-12,111.6184,113.558,110.357,113.0463,97491
