Date,Open,High,Low,Close,Volume
2013-05-13,377,382.5,376,377,126788
2013-05-14,383.25,388,377.6,383,92598
2013-05-15,387,389,383.3125,388.625,68309
2013-05-16,385.25,393.49,385.25,391.875,42996
2013-05-17,393,401,393,398.75,75147
2013-05-20,400,401,398,398.625,76653
2013-05-21,400,403,398,402,93615
2013-05-22,406,408.99,404,408.5,79255
2013-05-23,400,400.375,397.37,400.375,21428
2013-05-24,402.5,403.75,397,397,19423
2013-05-28,403,405,398.26,403.5,24091
2013-05-29,399,402.75,399,401,9141
2013-05-30,399,403.5,399,399,16447
2013-05-31,400.25,403,396.51,403,22582
2013-06-03,397.5,401.5,395,395,15802
2013-06-04,402.5,403,398.51,401,13734
2013-06-05,400.875,400.875,393.86,396.25,7766
2013-06-06,392.25,397,388,388,16071
2013-06-07,394.5,395.29,394.25,394.25,10701
2013-06-10,395.25,398,394.25,396,33937
2013-06-11,394.5,395.2,394.5,395,4248
2013-06-12,392,397.5,391,391,14509
2013-06-13,388,391,385.26,390.5,9376
2013-06-14,392.938,393.25,390.5,390.5,5350
2013-06-17,394,394,389.75,392.125,4588
2013-06-18,390.36,396,390.36,393,16057
2013-06-19,389.25,394.8889,389,389,3593
2013-06-20,387.25,390,385,385,12665
2013-06-21,392,392,392,392,2609
2013-06-24,385.25,391.0625,384,384,21729
2013-06-25,387.125,387.125,387,387,4167
2013-06-26,386.395,388.5,386.395,387.5,9085
2013-06-27,392,397.5,390.0625,397.5,14958
2013-06-28,398,400.89,397.688,400,13890
2013-07-01,403,408.375,401.39,408.375,14628
2013-07-02,408.25,410.5,407,408,32128
2013-07-03,409,409,405.11,407.5,11565
2013-07-04,410,410.5,407,410.5,26269
2013-07-05,412,416.5,409.5,415.75,17765
2013-07-08,419,423,412.56,420,42881
2013-07-09,424,428.64,422.25,423.5,84483
2013-07-10,425.625,430,425.625,430,25135
2013-07-11,430,435,430,431.5,67803
2013-07-12,431.25,435,431,433.5,21133
2013-07-15,434,436.25,433.875,433.875,24477
2013-07-16,437,437,432.06,434.5,8719
2013-07-17,434,434.91,430.9,432,93247
2013-07-18,434,435,431,434,125871
2013-07-19,430.25,435.425,427.5,427.5,43616
2013-07-22,433,433,428.975,430,25859
2013-07-23,433,433,430.56,431,24732
2013-07-24,434,434,430.25,432,23687
2013-07-25,430,436,430,432.5,38744
2013-07-26,434.68,435.68,432.4,434.25,22347
2013-07-29,435,437,432.89,435,19182
2013-07-30,432.975,438.5,432.975,435.625,31577
2013-07-31,439.5,439.5,433,437.5,28097
2013-08-01,436,443.5,436,441.5,20344
2013-08-02,445.75,445.84,441.125,445.75,35940
2013-08-05,448,448,443.875,443.875,15312
2013-08-06,445,447.5,443.36,446,19474
