Date,Open,High,Low,Close,Volume
2000-01-04,931.4997,989.9996,929.9997,931.4997,1865732
2000-01-05,934.4996,937.9996,895.9997,903.9997,2703413
2000-01-06,899.9997,945.4996,880.9997,895.4997,1551104
2000-01-07,901.9997,923.9997,895.9997,915.4997,3135871
2000-01-10,927.2997,928.9997,908.9997,921.4997,2515888
2000-01-11,922.9997,922.9997,894.9997,900.4997,2096864
2000-01-12,901.9997,917.4997,864.4997,881.9997,1006310
2000-01-13,909.9997,909.9997,866.9997,873.4997,2534332
2000-01-14,889.9997,889.9997,839.9997,875.4997,3003077
2000-01-17,881.9997,881.9997,833.9997,851.9997,4427652
2000-01-18,853.9997,868.9997,839.9997,847.4997,2965186
2000-01-19,959.9996,959.9996,800.9997,805.9997,5091568
2000-01-20,814.9997,814.9997,759.9997,770.4997,7280837
2000-01-21,772.9997,814.9997,766.9997,796.4997,4884456
2000-01-24,845.9997,872.9997,802.9997,816.4997,2137029
2000-01-25,809.9997,824.9997,804.9997,809.9997,1601200
2000-01-26,845.9997,881.9997,819.4997,848.9997,6219665
2000-01-27,852.4997,852.4997,832.9997,837.9997,4937289
2000-01-28,855.9997,857.4997,814.9997,830.9997,2833515
2000-01-31,834.9997,853.4997,811.9997,818.4997,2369590
2000-02-01,899.9997,903.2497,805.9997,819.9997,2450788
2000-02-02,819.9997,877.4997,800.4997,823.9997,1835864
2000-02-03,825.4997,840.4997,817.4997,828.4997,2740553
2000-02-04,830.4997,834.9997,799.9997,804.4997,5995888
2000-02-07,802.9997,809.9997,769.4997,783.9997,1677836
2000-02-08,815.9997,828.9997,779.9997,784.9997,5428927
2000-02-09,778.9997,804.9997,777.9997,784.9997,3792211
2000-02-10,789.9997,799.9997,767.9997,791.4997,2278317
2000-02-11,795.9997,1017.9996,762.4997,774.4997,2979501
2000-02-14,768.4997,774.9997,707.4997,719.4997,3784411
2000-02-15,727.4997,740.9997,692.9997,735.4997,2981361
2000-02-16,752.4997,752.4997,715.9997,745.9997,2988086
2000-02-17,755.9997,775.9997,719.9997,749.9997,3742752
2000-02-18,759.9997,798.4997,759.9997,796.4997,1782905
2000-02-21,849.9997,849.9997,750.9997,774.4997,6898304
2000-02-22,771.9997,795.7497,724.9997,730.4997,7863791
2000-02-23,749.9997,749.9997,715.9997,723.4997,6354900
2000-02-24,729.9997,731.9997,704.9997,710.4997,3814897
2000-02-25,708.9997,738.9997,689.9997,728.4997,2789326
2000-02-28,724.9997,747.4997,703.9997,709.9997,1604227
2000-02-29,708.9997,769.9997,708.9997,755.4997,3363878
2000-03-01,797.4997,799.9997,759.4997,793.4997,6848261
2000-03-02,815.9997,815.9997,785.9997,801.4997,4190134
2000-03-03,799.9997,812.4997,791.6397,807.9997,5718489
2000-03-06,804.9997,806.9997,753.9997,801.9997,5166471
2000-03-07,796.4997,808.9997,774.9997,780.4997,5999910
2000-03-08,778.9997,781.4997,759.9997,765.9997,2411701
2000-03-09,762.4997,784.9997,758.9997,761.4997,2767445
2000-03-10,760.9997,767.9997,730.9997,736.9997,1719227
2000-03-13,699.9997,738.4997,699.9997,714.4997,8124114
2000-03-14,721.9997,755.9997,714.9997,738.4997,2057925
2000-03-15,728.9997,758.9997,723.4997,752.4997,3396244
2000-03-16,754.4997,854.9997,754.4997,838.9997,7301699
2000-03-17,828.9997,859.9997,799.9997,821.9997,4668486
2000-03-20,855.9997,855.9997,812.4997,818.4997,916755
2000-03-21,830.9997,879.9997,806.9997,812.4997,2364924
2000-03-22,814.9997,819.9997,791.9997,796.9997,2463414
2000-03-23,789.9997,803.9997,771.9997,796.4997,2879537
2000-03-24,809.9997,841.9997,799.9997,835.9997,4533531
2000-03-27,837.9997,837.9997,812.9997,823.9997,1672771
2000-03-28,823.4997,857.9997,802.4997,848.9997,2201556
2000-03-29,849.9997,897.7497,844.4997,869.4997,4824734
2000-03-30,870.4997,904.2914,867.9997,876.4997,8969432
2000-03-31,887.4997,902.9997,854.9997,874.9997,4165903
2000-04-03,890.9997,929.9997,880.4997,914.4997,2959426
2000-04-04,904.9997,976.9996,904.9997,952.4996,5253772
2000-04-06,952.4996,952.4996,869.9997,884.9997,3951972
2000-04-07,874.9997,912.4997,874.9997,886.9997,2642654
2000-04-10,900.9997,914.9997,875.9997,911.4997,3299011
2000-04-11,912.4997,913.9997,872.9997,892.4997,3785664
2000-04-12,877.4997,893.4997,864.9997,883.4997,3672125
2000-04-13,883.9997,913.9997,863.9997,910.9997,2626223
2000-04-14,899.9997,927.9997,885.9997,911.9997,3593408
2000-04-17,853.9997,902.9997,812.9997,898.9997,4571821
2000-04-18,905.4997,909.4997,859.9997,905.4997,2863300
2000-04-19,909.9997,916.9997,884.9997,897.4997,3909152
2000-04-20,892.9997,894.9997,878.4997,884.4997,3983313
2000-04-25,884.4997,937.9996,868.4997,930.4997,2535587
2000-04-26,934.9996,945.9996,894.9997,930.9997,2523478
2000-04-27,933.9996,948.9996,909.9997,914.9997,5202891
2000-04-28,942.9996,942.9996,911.9997,918.4997,2660009
2000-05-02,924.9997,959.4996,924.9997,945.4996,3080975
2000-05-03,934.9996,956.7496,916.9997,919.4997,1339102
2000-05-04,911.9997,945.9996,892.9997,901.9997,3349965
2000-05-05,903.9997,924.9997,885.9997,888.9997,3365427
2000-05-08,892.4997,906.4997,883.4997,900.4997,3313116
2000-05-09,909.9997,912.9997,891.2197,907.4997,2886898
2000-05-10,919.9997,919.9997,902.9997,904.4997,3216652
2000-05-11,903.9997,930.9997,901.9997,919.4997,3206906
2000-05-12,919.9997,932.9996,911.9997,924.9997,5827745
2000-05-15,949.9996,949.9996,902.4997,918.9997,2813251
2000-05-16,919.9997,939.9996,916.9997,926.4997,3714570
2000-05-17,926.9997,929.9997,906.9997,911.4997,2707515
2000-05-18,901.9997,946.7496,901.9997,918.9997,2214407
2000-05-19,901.9997,929.9997,901.9997,909.4997,4837625
2000-05-22,919.9997,954.9996,901.9997,943.4996,4306238
2000-05-23,939.9996,984.9996,939.9996,968.9996,4584919
2000-05-24,968.9996,1018.9996,953.9996,1003.9996,5374926
2000-05-25,1003.9996,1012.2496,982.4996,992.9996,6119908
2000-05-26,1040.4996,1047.9996,1040.4996,1040.4996,16056701
2000-05-30,1049.9996,1049.9996,849.9997,1036.9996,5368596
2000-05-31,1036.9996,1036.9996,1004.9996,1015.9996,9407101
2000-06-01,1027.7496,1027.7496,993.9996,1001.9996,6731281
2000-06-02,903.9997,1014.9996,903.9997,996.9996,4449850
2000-06-05,994.9996,1009.9996,903.9997,1000.4996,4793027
2000-06-06,1004.9996,1108.9996,981.9996,1013.9996,7174245
2000-06-07,1035.9996,1035.9996,972.4996,1004.9996,6956185
2000-06-08,1094.9996,1094.9996,949.9996,993.9996,4939330
2000-06-09,985.9996,1020.9996,983.4996,1010.4996,5782833
2000-06-12,1009.9996,1035.9996,999.9996,1009.9996,3064027
2000-06-13,1043.9996,1043.9996,979.9996,1029.9996,4871000
2000-06-14,1024.9996,1048.9996,1015.9996,1041.9996,5303027
2000-06-15,1032.9996,1056.9996,1022.4996,1045.9996,7591074
2000-06-16,903.9997,1066.4996,903.9997,1063.4996,9180560
2000-06-19,1067.9996,1067.9996,1036.9996,1049.9996,3337316
2000-06-20,1034.9996,1046.9996,1018.9996,1024.9996,3138430
2000-06-21,1024.9996,1034.9996,999.9996,1031.9996,4887124
2000-06-22,1035.9996,1037.9996,1016.9996,1016.9996,4801274
2000-06-23,1023.9996,1029.9996,1009.9996,1019.9996,3566197
2000-06-26,1002.9996,1020.9996,1000.9996,1007.9996,3443759
2000-06-27,1007.9996,1021.9996,1007.9996,1012.9996,4419295
2000-06-28,1015.9996,1046.9996,1013.9996,1035.9996,3957344
2000-06-29,1038.9996,1044.9996,951.9996,1044.9996,4788456
2000-06-30,1013.9996,1099.9996,1013.9996,1099.9996,5742244
2000-07-03,1099.9996,1099.9996,1063.9996,1076.9996,8401560
2000-07-04,1001.9996,1079.9996,1001.9996,1074.9996,3288963
2000-07-05,993.9996,1084.9996,990.9996,1075.9996,6607694
2000-07-06,1051.9996,1069.9996,1049.9996,1053.9996,4099981
2000-07-07,1057.9996,1098.9996,1036.9996,1057.9996,4645788
2000-07-10,1060.9996,1093.9996,1044.9996,1093.9996,4323123
2000-07-11,1093.9996,1112.9996,1078.9996,1107.9996,6296844
2000-07-12,1107.9996,1111.9996,1079.9996,1086.9996,5060748
2000-07-13,1086.9996,1109.9996,1079.9996,1086.9996,4939835
2000-07-14,1088.9996,1095.4996,999.9996,1094.9996,6942815
2000-07-17,919.9997,1095.9996,919.9997,1094.9996,4959493
2000-07-18,1094.9996,1134.9996,1084.2496,1117.9996,13644955
2000-07-19,1115.4996,1117.9996,1083.9996,1088.9996,5710521
2000-07-20,1078.9996,1109.9996,1078.9996,1097.9996,4225501
2000-07-21,1055.9996,1101.2496,1055.9996,1084.9996,3080853
2000-07-24,1088.9996,1108.4996,1056.9996,1085.9996,2744744
2000-07-25,1094.9996,1104.9996,1028.9996,1072.9996,5709321
2000-07-26,1062.9996,1078.9996,1034.4996,1045.9996,6280902
2000-07-27,1033.9996,1057.9996,1033.7496,1045.9996,7251983
2000-07-28,1049.9996,1065.9996,1036.2496,1044.9996,3888902
2000-07-31,1029.9996,1054.9996,1025.7496,1048.9996,2401840
2000-08-01,1028.9996,1078.9996,1028.9996,1066.9996,4366820
2000-08-02,1029.9996,1029.9996,966.9996,999.9996,28443907
2000-08-03,999.9996,1002.7496,987.2496,1001.9996,7596611
2000-08-04,1031.9996,1031.9996,996.9996,1006.9996,5745351
2000-08-07,1006.9996,1053.9996,1006.9996,1050.9996,5043631
2000-08-08,1034.9996,1086.9996,1032.9996,1071.9996,4554351
2000-08-09,1063.9996,1103.9996,1059.9996,1097.9996,4915221
2000-08-10,1046.9996,1095.9996,1046.9996,1072.9996,3391566
2000-08-11,1077.9996,1083.9996,1027.2496,1037.9996,4704935
2000-08-14,1035.9996,1065.9996,1035.9996,1056.9996,3981954
2000-08-15,1066.9996,1085.4996,1056.9996,1069.9996,5273778
2000-08-16,1063.9996,1089.9996,1063.9996,1064.9996,4136392
2000-08-17,1004.9996,1083.9996,1004.9996,1071.9996,1916398
2000-08-18,1075.9996,1132.9996,1070.9996,1118.9996,6186126
2000-08-21,1098.9996,1124.9996,1098.4996,1107.9996,2948618
2000-08-22,1060.9996,1137.9996,1060.9996,1137.9996,3969164
2000-08-23,1136.9996,1136.9996,1097.9996,1110.9996,3917925
2000-08-24,1059.9996,1135.7496,1059.9996,1124.9996,5952486
2000-08-25,1089.9996,1125.9996,1078.9996,1097.9996,2537183
2000-08-29,1080.9996,1108.7496,1071.9996,1081.9996,4267532
2000-08-30,1081.9996,1085.9996,1063.9996,1077.9996,3668373
2000-08-31,1035.9996,1084.9996,1031.9996,1059.9996,3212147
2000-09-01,1059.9996,1106.9996,1053.9996,1084.9996,4899136
2000-09-04,1098.9996,1101.9996,1066.9996,1077.9996,2762818
2000-09-05,1069.9996,1104.9996,1069.9996,1079.9996,2022515
2000-09-06,1088.9996,1089.9996,1065.9996,1074.9996,2951875
2000-09-07,1074.9996,1079.9996,1061.9996,1071.9996,3152740
2000-09-08,1068.9996,1094.9996,1064.9996,1080.9996,3501365
2000-09-11,1084.9996,1088.4996,1054.9996,1086.9996,6370848
2000-09-12,1078.9996,1087.9996,1062.9996,1079.9996,5051676
2000-09-13,1078.9996,1093.9996,1061.9996,1068.9996,7112783
2000-09-14,1069.9996,1083.9996,1055.7496,1068.9996,5422045
2000-09-15,1074.9996,1074.9996,1049.9996,1073.9996,5290053
2000-09-18,1099.9996,1099.9996,1045.7696,1060.9996,3486698
2000-09-19,1009.9996,1058.9996,1009.9996,1043.9996,4449742
2000-09-20,1049.9996,1052.9996,1022.2496,1029.9996,2918438
2000-09-21,1033.9996,1036.9996,1009.9996,1014.9996,2826604
2000-09-22,1015.9996,1037.9996,998.7496,1037.9996,3999156
2000-09-25,1034.9996,1054.9996,992.9996,1009.9996,5069090
2000-09-26,1019.7996,1029.9996,975.9996,989.9996,7905759
2000-09-27,996.9996,996.9996,971.9996,971.9996,6193796
2000-09-28,971.9996,989.9996,948.2496,954.9996,3980792
2000-09-29,954.9996,965.9996,942.9996,959.9996,3743353
2000-10-02,964.9996,964.9996,920.4997,949.9996,3808415
2000-10-03,947.9996,973.9996,947.9996,953.9996,5531010
2000-10-04,960.9996,966.9996,931.9997,943.9996,2682207
2000-10-05,945.9996,982.9996,942.9996,976.9996,4128591
2000-10-06,980.9996,1002.9996,965.9996,986.9996,6162706
2000-10-09,974.9996,991.9996,961.4996,974.9996,1428791
2000-10-10,981.4996,984.9996,956.9996,969.9996,6107054
2000-10-11,969.9996,975.9996,927.9997,968.9996,2590730
2000-10-12,967.9996,995.9996,964.9996,970.9996,3971490
2000-10-13,972.4996,989.9996,933.9996,952.9996,5329281
2000-10-16,937.9996,973.9996,931.9997,942.9996,3666375
2000-10-17,968.9996,968.9996,933.9996,933.9996,5166973
2000-10-18,939.9996,959.9996,879.9997,931.9997,6324364
2000-10-19,929.9997,956.2496,924.9997,932.9996,5817778
2000-10-20,958.9996,958.9996,914.9997,926.9997,4157354
2000-10-23,934.9996,959.9996,923.2497,948.9996,3809206
2000-10-24,949.9996,985.9996,948.9996,968.9996,3356673
2000-10-25,970.9996,989.9996,954.9996,974.9996,3858626
2000-10-26,976.9996,990.9996,960.9996,982.9996,4021880
2000-10-27,999.9996,1015.9996,929.9997,946.9996,6603690
2000-10-30,948.9996,954.9996,911.2497,938.9996,3239250
2000-10-31,934.9996,954.9996,911.9997,921.9997,5100455
2000-11-01,934.9996,975.4996,932.9996,957.9996,9323190
2000-11-02,961.9996,1008.9996,961.9996,1004.9996,12354724
2000-11-03,974.9996,1009.9996,961.9996,973.9996,6764623
2000-11-06,969.9996,1012.9996,969.9996,1012.9996,5383001
2000-11-07,1012.9996,1034.9996,985.9996,1027.9996,5735549
2000-11-08,1039.9996,1039.9996,987.9996,1012.9996,4476453
2000-11-09,994.9996,1012.9996,975.9996,997.9996,3755987
2000-11-10,1004.9996,1032.9996,992.9996,1029.9996,5394121
2000-11-13,1029.9996,1036.9996,1001.9996,1024.9996,2719207
2000-11-14,1019.9996,1053.9996,1006.9996,1010.9996,4323968
2000-11-15,1010.9996,1059.9996,1000.7496,1035.9996,6057497
2000-11-16,1049.9996,1083.9996,1016.9996,1041.9996,3480124
2000-11-17,1044.9996,1084.9996,1031.9996,1066.9996,3671491
2000-11-20,1025.9996,1072.9996,1025.9996,1072.9996,1849175
2000-11-21,1072.9996,1072.9996,1041.9996,1072.9996,2163807
2000-11-22,1074.9996,1074.9996,1024.9996,1054.9996,2366593
2000-11-23,1052.9996,1072.9996,1023.9996,1050.9996,2197604
2000-11-24,1002.9996,1099.9996,1002.9996,1075.9996,2981125
2000-11-27,1129.9996,1129.9996,1053.9996,1059.9996,3125584
2000-11-28,1067.9996,1079.9996,1033.4996,1059.9996,2401863
2000-11-29,1062.9996,1066.9996,1018.9996,1021.9996,4130249
2000-11-30,1025.9996,1075.9996,984.9996,1064.9996,3723339
2000-12-01,1069.9996,1090.9996,1029.9996,1044.9996,3523976
2000-12-04,1037.9996,1051.9996,1021.9996,1046.9996,1787021
2000-12-05,1059.9996,1084.9996,1041.9996,1059.9996,2725540
2000-12-06,1052.9996,1078.9996,999.9996,1008.9996,6899199
2000-12-07,1015.9996,1049.9996,1004.9996,1027.9996,3654647
2000-12-08,1044.9996,1061.9996,1032.9996,1032.9996,3054199
2000-12-11,1053.9996,1053.9996,1009.9996,1017.9996,3529951
2000-12-12,1017.9996,1057.9996,1004.9996,1048.9996,4722655
2000-12-13,1098.9996,1098.9996,1022.9996,1027.9996,3122439
2000-12-14,1044.9996,1063.9996,1018.9996,1039.9996,2473912
2000-12-15,1049.9996,1052.9996,1019.9996,1036.9996,6135888
2000-12-18,1048.9996,1079.9996,1036.9996,1039.9996,2902994
2000-12-19,1038.9996,1091.9996,1029.9996,1077.9996,2919020
2000-12-20,1067.9996,1087.9996,1066.9996,1066.9996,4015921
2000-12-21,1072.9996,1134.9996,1057.9996,1104.9996,3309247
2000-12-22,1076.9996,1113.9996,1069.9996,1076.9996,1035519
2000-12-27,1077.9996,1104.9996,1049.9996,1096.9996,1367621
2000-12-28,1139.9996,1139.9996,1084.9996,1084.9996,1863316
2000-12-29,1093.9996,1104.9996,1057.9996,1081.9996,727116
2001-01-02,1073.9996,1111.9996,1069.9996,1076.9996,1661735
2001-01-03,1084.9996,1094.9996,1062.9996,1064.9996,1991812
2001-01-04,1104.9996,1104.9996,1069.9996,1090.9996,2886860
2001-01-05,1098.9996,1098.9996,1007.9996,1025.9996,5870006
2001-01-08,1011.9996,1079.9996,1011.9996,1068.9996,5466098
2001-01-09,1080.9996,1080.9996,1039.9996,1064.9996,3977457
