Date,Open,High,Low,Close,Volume
2011-12-21,103,103,103,103,732531
2011-12-22,103.25,104,103.25,103.5,316415
2011-12-23,104.25,104.25,104.24,104.25,28166
2011-12-28,103.5,103.5,103.5,103.5,260300
2011-12-29,104.25,104.5,103.51,104.25,160417
2012-01-03,104,104.22,103.8,104,174793
2012-01-04,103.76,104.22,103.76,103.76,31640
2012-01-05,104,104.25,104,104,116071
2012-01-06,104,104.15,103.8,104.125,130595
2012-01-09,104.125,104.24,104.125,104.15,35299
2012-01-10,103.75,104,103.55,104,153638
2012-01-11,103.75,103.75,103.5,103.74,90476
2012-01-12,103.99,103.99,103.99,103.99,71200
2012-01-13,103.55,103.99,103.5,103.5,282527
2012-01-16,103.5,103.75,103.5,103.7,187544
2012-01-17,103.6,103.75,103.6,103.7,382959
2012-01-18,103.5,103.75,103.26,103.75,191116
2012-01-19,103.675,103.675,103.6,103.625,15291
2012-01-20,103.35,103.65,103,103,104750
2012-01-23,103,103.49,103,103.25,318331
2012-01-24,103.101,103.101,102.76,102.85,119786
2012-01-25,102.75,102.75,102.5,102.601,253471
2012-01-26,102.85,102.97,102.5,102.97,106400
2012-01-27,102.75,103,102.53,102.9,334921
2012-01-30,102.75,103,102.5,102.97,282830
2012-01-31,102.75,103.24,102.75,103.15,486891
2012-02-01,103.15,103.15,103.15,103.15,37800
2012-02-02,103.25,103.25,102.6,103,331381
2012-02-03,103.25,103.25,102.85,103,639340
2012-02-06,103,103.5,102.75,103,860807
2012-02-07,104,104,103.11,103.5,404243
2012-02-08,104,104,103.61,104,929180
2012-02-09,104,104,103.99,104,749551
2012-02-10,104,105,104,104,2403800
2012-02-13,105,105.25,104.61,105,1072974
2012-02-14,105.5,105.5,105.5,105.5,516124
2012-02-15,105.5,105.75,105.11,105.5,249066
2012-02-16,105.75,106,105.36,105.5,642009
2012-02-17,106,106,105.5,105.75,409600
2012-02-20,106.5,106.74,106,106,961246
2012-02-21,106.75,107,106.7,106.8,678256
2012-02-22,107.25,107.74,107,107.4,196599
2012-02-23,107.75,107.75,107.03,107.03,265089
2012-02-24,108,108,107.59,107.59,97838
2012-02-27,107.25,107.25,107,107,86075
2012-02-28,107,107.25,106,106.15,615692
2012-02-29,106.22,106.22,105.8,106,37860
2012-03-01,106,106.15,106,106,23825
2012-03-02,106.25,106.25,105.86,106.25,691551
2012-03-05,106.75,106.75,106.11,106.49,220185
2012-03-06,106.5,106.74,106.25,106.65,159183
2012-03-07,106.25,106.49,106.25,106.49,103154
2012-03-08,106.5,107,106.28,106.551,2048551
2012-03-09,106.5,106.75,106.5,106.75,823852
2012-03-12,107,107.25,106.6,107.25,657377
2012-03-13,107.5,107.75,107.301,107.75,426887
2012-03-14,107.5,107.74,107.25,107.375,253211
2012-03-15,107.5,107.5,107.25,107.5,299925
2012-03-16,107.5,107.5,107,107.42,7633387
2012-03-19,107.25,107.5,106.75,107,1827106
2012-03-20,106.75,107.5,106.5,107,1864939
2012-03-21,106.5,106.5,106,106,329374
2012-03-22,106.25,106.5,106.03,106.375,260544
2012-03-23,106.5,106.5,106.35,106.35,282204
2012-03-26,106.5,106.5,106.125,106.5,391940
2012-03-27,106.5,106.75,106.28,106.5,772043
2012-03-28,106.25,106.67,106,106.25,371003
2012-03-29,106.5,106.5,105.75,106.25,194464
2012-03-30,106.5,106.5,106.051,106.33,765472
2012-04-02,106.5,106.5,106.138,106.301,523036
2012-04-03,106,106.5,106,106.5,136221
2012-04-04,106.25,106.5,106,106.5,177333
2012-04-05,106.25,106.47,106.11,106.25,59652
2012-04-10,106.5,106.5,106.12,106.5,59953
2012-04-11,106.5,106.5,106.15,106.5,46469
2012-04-12,106.5,106.5,106.123,106.33,806811
2012-04-13,106.25,106.25,106.125,106.25,687182
2012-04-16,106.25,106.7,106.25,106.7,215533
2012-04-17,106.5,106.7,106.375,106.7,26345
2012-04-18,106.5,106.7,106.5,106.7,135635
2012-04-19,106.25,107.061,106.25,107.061,1170588
2012-04-20,106.75,107.14,106.422,106.5,459240
2012-04-23,106.53,106.591,106.12,106.341,88398
2012-04-24,106.5,106.5,106.25,106.5,834913
2012-04-25,106.25,106.49,106.125,106.125,197254
2012-04-26,106,106.49,106,106.25,1021284
2012-04-27,106.25,106.45,106.25,106.45,60952
2012-04-30,106.05,106.4,106.05,106.25,12750
2012-05-01,106.25,106.5,106.05,106.5,122352
2012-05-02,106.25,106.45,106,106,186650
2012-05-03,106,106.375,106,106,715622
2012-05-04,106,106.25,105.5,105.5,285195
2012-05-08,105.5,105.9,104.5,104.5,768143
2012-05-09,104.5,105,104.5,104.75,298295
2012-05-10,104.5,105,104.5,104.75,162391
2012-05-11,104.75,105.24,104.75,104.75,43615
2012-05-14,105,105.25,105,105.25,98550
2012-05-15,105.25,105.25,105,105,88756
2012-05-16,105.25,105.25,104.75,105,19803
2012-05-17,104.75,105,104.5,105,166513
2012-05-18,105,105,104.25,105,89699
2012-05-21,104.25,104.62,104.25,104.25,96869
2012-05-22,104.5,104.61,104.25,104.5,168061
2012-05-23,104.25,104.61,104.25,104.25,102322
2012-05-24,104.25,104.75,104.25,104.61,130652
2012-05-25,104.75,104.75,104.25,104.25,86275
2012-05-28,104.5,104.5,104.25,104.25,125077
2012-05-29,104.25,104.74,104.25,104.25,93953
2012-05-30,104.25,104.74,104.25,104.25,109611
2012-05-31,104.75,104.75,104.25,104.5,141381
2012-06-01,104.5,104.74,104.281,104.6,57781
2012-06-06,104.25,104.5,104.25,104.25,57890
2012-06-07,104.75,104.75,104.25,104.25,165381
2012-06-08,104.25,104.75,104.25,104.75,95434
2012-06-11,104.25,104.75,104.25,104.5,126486
2012-06-12,104.5,104.5,104.25,104.25,175068
2012-06-13,104.25,104.75,104.25,104.5,187215
2012-06-14,104.25,104.75,104.25,104.5,459976
2012-06-15,104.5,104.813,104.25,104.8128,1311374
2012-06-18,104,104.5,104,104.5,18292
2012-06-19,104.75,105.25,104.75,105.25,386370
2012-06-20,105.25,105.25,105,105.25,34276
2012-06-21,105.25,105.25,104.75,104.75,48036
2012-06-22,104.75,105.25,104.75,105.25,197966
2012-06-25,105.25,105.25,105,105.25,38467
2012-06-26,104.75,105.099,104.75,104.75,30227
2012-06-27,104.75,105.099,104.5,104.74,92467
2012-06-28,104.75,105,104.75,105,51510
2012-06-29,104.75,104.95,104.5,104.95,67539
2012-07-02,105,105,104.5,105,269253
2012-07-03,105.25,105.7,105,105,92174
2012-07-04,105.25,105.75,105.15,105.25,125456
2012-07-05,105,105.7,105,105,22123
2012-07-06,105,105.35,105,105.25,48007
2012-07-09,105,105.7,105,105,112437
2012-07-10,105.75,105.75,105.25,105.75,142015
2012-07-11,105.75,105.75,105,105.5,69834
2012-07-12,105.25,105.25,104.75,104.75,31964
2012-07-13,105.25,105.25,105,105,110563
2012-07-16,105,106,105,106,370537
2012-07-17,105.5,106.25,105.5,106.25,252601
2012-07-18,105.75,106.2,105.75,106,74827
2012-07-19,106,106.425,106,106.2,34020
2012-07-20,106,106.375,106,106.25,27763
2012-07-23,106.5,106.5,105.938,106.425,43564
2012-07-24,106.5,106.75,106.125,106.75,127343
2012-07-25,106.925,106.925,106.625,106.625,31805
2012-07-26,106.75,106.919,106.5,106.75,275134
2012-07-27,106.5,106.85,106.5,106.599,42329
2012-07-30,106.15,106.6,106.15,106.6,132540
2012-07-31,106.75,106.75,106.191,106.75,28508
2012-08-01,106.75,106.75,106.6,106.6,87418
2012-08-02,106.75,107.175,106.6,107,370123
2012-08-03,106.75,107,106.75,106.875,115689
2012-08-06,107.1,107.199,107,107.199,27155
2012-08-07,107,107.199,107,107,75605
2012-08-08,106.75,107.25,106.75,106.8,51936
2012-08-09,107.125,107.25,107,107.2,98294
2012-08-10,107.25,107.5,107,107.5,166209
2012-08-13,107.25,107.5,107.111,107.5,101962
