Date,Open,High,Low,Close,Volume
2013-12-09,101.0001,102.9999,100,100.4999,13494219
2013-12-10,100.4999,101.2,100,100.4999,1038127
2013-12-11,100.75,101.4999,100.2499,101.3749,1022322
2013-12-12,101.3749,102.2499,101.0999,102.0001,2372820
2013-12-13,102.0001,102.9999,101.75,102.2499,766593
2013-12-16,102.2499,102.7501,100,102.4999,985638
2013-12-17,102.4999,102.72,102.0001,102.4999,907450
2013-12-18,102.4999,102.7,102.1099,102.3749,379777
2013-12-19,102.3749,102.7501,102.195,102.3749,290540
2013-12-20,102.3749,102.6499,102.1099,102.2499,594212
2013-12-23,102.2499,102.6499,102.1099,102.3749,718906
2013-12-24,102.4301,102.69,102.4301,102.4999,131475
2013-12-27,102.4999,102.69,102.2999,102.4999,70949
2013-12-30,102.4999,102.7501,102.36,102.4999,97813
2013-12-31,102.4999,102.685,102.365,102.3749,7273
2014-01-02,102.3749,102.74,102.35,102.4999,144353
2014-01-03,102.4999,102.575,102.2999,102.4999,177231
2014-01-06,102.4999,102.7501,102.2499,102.625,174096
2014-01-07,102.625,102.625,102.35,102.625,414159
2014-01-08,102.5199,102.5199,102.275,102.3749,278056
2014-01-09,102.3749,102.45,102.2801,102.3749,236480
2014-01-10,102.3749,102.3749,102.2499,102.3749,204576
2014-01-13,102.7501,103.99,102.2499,103.5,1892059
2014-01-14,103.5,103.8999,103.41,103.625,131791
2014-01-15,103.625,104,103.001,103.5,223418
2014-01-16,103.75,104.3,103.5,104,794955
2014-01-17,104.26,105.2,104.26,104.75,223246
2014-01-20,104.75,105.15,104.5199,104.75,122372
2014-01-21,104.75,105.1399,104.5001,104.75,1385510
2014-01-22,104.75,105.1399,104.74,104.875,312861
2014-01-23,104.875,105.2,104.875,104.875,110604
2014-01-24,104.875,105.25,104.875,104.875,431132
2014-01-27,104.875,105.1001,104.875,104.875,226653
2014-01-28,104.875,105.2,104.875,104.875,114009
2014-01-29,104.875,105.22,104.875,104.875,173059
2014-01-30,104.875,105.19,104.875,104.875,75289
2014-01-31,104.875,105.25,104.75,104.75,136138
2014-02-03,104.75,105.17,104.66,104.75,71019
2014-02-04,104.75,105.17,104.6491,104.75,78768
2014-02-05,104.75,105.25,104.25,104.9999,517051
2014-02-06,104.9999,105.7499,104.75,105.25,134643
2014-02-07,105.25,105.7499,104.9999,105.25,37790
2014-02-10,105.263,105.95,105.263,105.5001,122213
2014-02-11,105.5001,105.7499,105.33,105.5001,179442
2014-02-12,105.5001,105.7499,105.36,105.6252,47450
2014-02-13,105.7499,105.9901,105.45,105.7499,258620
2014-02-14,105.7499,105.9999,105.59,105.7499,74324
2014-02-17,105.7499,106.25,105.6,105.9999,357612
2014-02-18,105.9999,106.47,105.87,105.8749,1190676
2014-02-19,105.9999,106.375,105.66,105.9999,565233
2014-02-20,105.9999,106.25,105.7499,105.9999,109381
2014-02-21,105.9999,106.06,105.74,105.9999,307201
2014-02-24,105.9999,106.0701,105.74,105.9999,19101
2014-02-25,105.9999,106.4498,105.6,105.8749,119575
2014-02-26,105.8151,105.8151,105.5001,105.5001,10371870
2014-02-27,105.5719,105.5719,104.9999,104.9999,418435
2014-02-28,105.25,105.3,104.9999,104.9999,98019
2014-03-03,105.2451,105.2451,104.63,104.9999,203638
2014-03-04,104.9999,105.34,104.63,104.9999,206047
2014-03-05,104.9999,105.3199,104.64,104.9999,665036
2014-03-06,104.9999,105.2399,104.5001,104.9999,149186
2014-03-07,104.9999,105.23,104.635,104.75,180594
2014-03-10,104.75,104.8001,104.25,104.5001,225338
2014-03-11,104.5001,104.65,104.0601,104.25,86638
2014-03-12,104.25,104.65,103.85,104.25,271821
2014-03-13,104.25,104.675,103.75,104.375,147168
2014-03-14,104.375,104.74,104.375,104.375,198615
2014-03-17,104.375,104.65,103.9048,104.125,146415
2014-03-18,104.125,104.4899,103.9101,104.25,1099500
2014-03-19,104.25,104.75,104,104.625,126858
2014-03-20,104.75,105.5001,104.75,104.875,86085
2014-03-21,105.0929,105.7499,105.0929,105.375,748438
2014-03-24,105.5001,105.95,105.5001,105.5001,223116
2014-03-25,105.5001,105.9999,105.25,105.6252,581180
2014-03-26,105.6252,105.9999,105.5599,105.6252,61559
2014-03-27,105.6252,105.9999,105.5001,105.9999,176227
2014-03-28,105.9799,106.5001,105.9799,106.25,96123
2014-03-31,106.2699,106.85,106.2699,106.6251,143966
2014-04-01,106.6251,107,106.2699,106.75,426672
2014-04-02,107,107.5001,107,107.2499,420187
2014-04-03,107.425,107.7,107.425,107.5001,46041
2014-04-04,107.625,108,107.58,107.7501,93513
2014-04-07,107.7501,108,107.2499,107.5001,249995
2014-04-08,107.5001,108,107.3999,107.5001,118035
2014-04-09,107.5001,108,107.5001,107.5001,91348
2014-04-10,107.5001,108,107,107.7501,473998
2014-04-11,107.625,107.9801,107.625,107.625,283374
2014-04-14,107.625,108.36,107.5001,108,139523
2014-04-15,108,108.36,107.5001,108,698504
2014-04-16,108.1249,108.25,107.9099,108,74932
2014-04-17,108,108.25,107.5001,108,515231
2014-04-22,108,108.5,108,108,113416
2014-04-23,108,108.6499,108,108.375,230070
2014-04-24,108.375,108.683,108.25,108.5,212539
2014-04-25,108.5,109.0001,108.5,108.5,323156
2014-04-28,108.625,109.0001,108.5599,108.625,140014
2014-04-29,108.678,109.1251,108.678,109.1251,84390
2014-04-30,109.1251,109.5,108.75,109.1251,712158
2014-05-01,109.15,109.6749,109.15,109.3749,128271
2014-05-02,109.3749,109.75,109.0001,109.3749,114616
2014-05-06,109.5,110,109.5,109.5,909318
2014-05-07,109.5,109.8751,109.467,109.5,123019
2014-05-08,109.5,109.85,108.75,109.0001,990265
2014-05-09,109.0001,109.2801,108.4,108.625,134868
2014-05-12,108.5,108.9001,108.25,108.625,294748
2014-05-13,108.625,108.99,108.51,108.625,84434
2014-05-14,108.625,108.7999,108,108.5,78139
2014-05-15,108.375,108.5929,108,108.375,211249
2014-05-16,108.375,108.75,108.25,108.5,608827
2014-05-19,108.375,108.75,108.35,108.5,716432
2014-05-20,108.5,108.6499,108.25,108.5,788170
2014-05-21,108.375,108.5551,108.25,108.375,177435
2014-05-22,108.375,108.75,108,108.375,704507
2014-05-23,108.375,108.75,108.25,108.25,115486
2014-05-27,108.25,108.3329,107.5001,108,164514
2014-05-28,108,108.25,107.51,108,255012
2014-05-29,107.8609,107.8609,107.2499,107.625,227911
2014-05-30,107.2499,107.2499,106.26,106.8749,113897
2014-06-02,106.8749,106.8899,106.2699,106.75,52697
2014-06-03,106.75,107.19,106.26,106.5001,180352
2014-06-04,107.1249,107.7501,106.5001,107.2499,1130709
2014-06-05,107.2499,107.59,107.23,107.5001,367892
2014-06-06,107.5001,108,107.23,107.5001,151709
2014-06-09,107.5001,107.7501,107.2401,107.5001,106924
2014-06-10,107.5001,107.5519,107.0999,107.5001,121389
2014-06-11,107.5001,107.5299,107,107.5001,224685
2014-06-12,107.5001,107.5001,107,107.2499,203322
2014-06-13,106.914,106.914,105.9999,106.6251,456814
2014-06-16,106.6251,106.69,105.7499,106.375,69862
2014-06-17,106.25,106.3041,105.5821,106.25,94807
2014-06-18,106.25,106.5001,105.5821,106.125,239583
2014-06-19,106.125,109.0001,105.25,109.0001,218062
2014-06-20,105.5001,105.9999,104.5001,105.9999,136860
2014-06-23,105.25,105.328,104.582,105.25,293694
2014-06-24,105.2399,105.2399,104.5001,104.9999,782520
2014-06-25,104.9999,104.9999,104,104.75,1133584
2014-06-26,104.75,104.9999,104,104.75,205142
2014-06-27,104.75,104.9999,104,104.75,94544
2014-06-30,104.75,104.9999,104,104.75,207739
2014-07-01,104.75,104.828,104,104.75,68840
2014-07-02,104.75,104.75,104,104.75,143372
2014-07-03,104.75,104.828,104.1599,104.75,103012
2014-07-04,104.75,105.1001,104.17,104.75,170147
2014-07-07,104.75,105.5001,104.25,104.875,275705
2014-07-08,104.875,105.9999,104.75,105.5001,164559
2014-07-09,105.5001,106.5001,105.3001,105.75,165877
2014-07-10,105.875,106.6001,105.5101,106,85220
2014-07-11,106,106.6201,105.5601,106,27737
2014-07-14,106,106.75,105.5802,106,97956
2014-07-15,106.2501,106.8502,105.8001,106.2501,282126
2014-07-16,105.125,105.2501,104.2601,104.8751,862719
2014-07-17,104.8751,105.2501,104.3331,104.8751,146263
2014-07-18,104.8751,104.8751,104.2501,104.8751,40510
2014-07-21,104.8751,105,104.3331,104.8751,81698
2014-07-22,104.6441,104.6441,104.0001,104.2501,484662
