Date,Open,High,Low,Close,Volume
2000-01-04,90.5,99,90.5,98,1245779
2000-01-05,100,104,97.95,102.5,2006526
2000-01-06,102,102,97,100.5,7123230
2000-01-07,99.5,102,95,99.5,7886231
2000-01-10,97,102,96,99.5,397663
2000-01-11,95.5,99,94,95,247914
2000-01-12,96,96,89,92,512651
2000-01-13,93,93,88,90,190235
2000-01-14,89,92,87.956,88.5,8664036
2000-01-17,87.5,89,85,86.5,308587
2000-01-18,85,87.5,83,84.5,230829
2000-01-19,82.5,85,82,83.5,1143331
2000-01-20,82.5,85,82.5,83.5,86556
2000-01-21,85,85,82,83,458059
2000-01-24,78,81.5,78,79,321411
2000-01-25,77.5,79.5,75,76.5,703531
2000-01-26,77.5,78,75,76,203591
2000-01-27,75,79,75,77.5,1652277
2000-01-28,78.5,79.5,76,77.5,307994
2000-01-31,75,78,75,76.5,322469
2000-02-01,77.5,80,75,76.5,179087
2000-02-02,78,78,73,73.5,213340
2000-02-03,72.5,74.5,68,70.5,6432981
2000-02-04,72,72,69,70.5,838494
2000-02-07,69.5,72,69,70.5,2127623
2000-02-08,72,72,70,71,1725665
2000-02-09,74,80,72.5,78,1617776
2000-02-10,79,80,76.96,78.5,977704
2000-02-11,79.5,80,75,76.5,503596
2000-02-14,77.5,77.5,73,75.5,393843
2000-02-15,76,76.5,72,74,404463
2000-02-16,74,77.75,72,74,1379680
2000-02-17,72,76,72,74,3670378
2000-02-18,72.5,75,72,73.5,2592747
2000-02-21,74.5,74.5,70,71.5,1940807
2000-02-22,72.5,72.5,70,71,544251
2000-02-23,69,72,68,69,603574
2000-02-24,69.5,70,65,66,477158
2000-02-25,65.8,66,62.5,63.5,2602996
2000-02-28,62.5,64.5,60,61,628841
2000-02-29,60.3,62,58,59,5370379
2000-03-01,63,69,62,67.5,4729962
2000-03-02,68.5,70,66,67,639343
2000-03-03,66.5,67,63,65,323009
2000-03-06,72.5,75,70,71.5,11541900
2000-03-07,71,74,70.5,73,2314686
2000-03-08,72,80.5,72,78.5,6446349
2000-03-09,79.5,80,74.96,77.5,9183335
2000-03-10,79,82.5,77,80,3398072
2000-03-13,80,83.5,75,77,1084989
2000-03-14,78,80,74.5,76,1940197
2000-03-15,76.5,76.75,70,71.5,2260307
2000-03-16,72.5,73,70,71.5,566218
2000-03-17,70.5,75,70,73.5,3450048
2000-03-20,75,75,72,74,3215421
2000-03-21,74.5,75,70,72,488985
2000-03-22,73,73,68,70,2116265
2000-03-23,70,72.5,69,70.5,389912
2000-03-24,67,71.5,67,71,2148134
2000-03-27,72,74,70,71.5,6667025
2000-03-28,70,72.5,70,71,247199
2000-03-29,70,72,70,71,6559287
2000-03-30,70,72,68,70.5,732937
2000-03-31,71.5,72,68,70.5,1602563
2000-04-03,72,72,69,70.5,491735
2000-04-04,71.5,73,70,72,635839
2000-04-06,71,72,71,71.5,805864
2000-04-07,71,72,71,71.5,1050813
2000-04-10,72,76,71,73.5,506035
2000-04-11,75,76,72,75,3605299
2000-04-12,75.5,80.5,74,77,1906001
2000-04-13,77.5,80,76,78.5,218863
2000-04-14,78.5,79.5,75,76.5,9199199
2000-04-17,72,76.5,70,75.5,807768
2000-04-18,75.5,77.5,75,76.25,614231
2000-04-19,76.5,78,75.5,76.5,332537
2000-04-20,77,78,75,77,131432
2000-04-25,77.7,79,76,77.5,396151
2000-04-26,77,79.75,76,78,205029
2000-04-27,77.5,80,77,78.5,636356
2000-04-28,79.5,80,77,78.5,256271
2000-05-02,79.5,81,77.5,79,847052
2000-05-03,79.5,80,77,78,163071
2000-05-04,78.5,80,77,79,505275
2000-05-05,82,84.5,80,83.5,1498686
2000-05-08,82.5,88.5,82.5,86.5,1142232
2000-05-09,85.5,86,84,84.5,519818
2000-05-10,83,85,82,83,360557
2000-05-11,82.5,87,82,86,644537
2000-05-12,88,93,87,92,1540214
2000-05-15,91.5,94.5,91,92.5,839962
2000-05-16,91.5,95,90,93,539421
2000-05-17,93.5,95,91,93,2669709
2000-05-18,91.5,95,91,92.5,1386081
2000-05-19,92,95,92,93.5,4675998
2000-05-22,92,95,92,93.5,223180
2000-05-23,92,94.5,92,93.5,164592
2000-05-24,92.5,95,92,93.5,182849
2000-05-25,92.5,94,90,92,179562
2000-05-26,90.5,91,89,91,2171855
2000-05-30,89.5,92,88,90,197619
2000-05-31,88,91,87,89,2017814
2000-06-01,90,91,87.5,89.5,375690
2000-06-02,92,93.5,88,92.5,271677
2000-06-05,93.5,97.5,91,96,647234
2000-06-06,98,98,95,96.5,908799
2000-06-07,96.5,98,95,96.5,366128
2000-06-08,95.5,98.5,95,96.5,5200348
2000-06-09,95.5,98.5,95,97.5,1615342
2000-06-12,95,99.5,95,97.5,1540245
2000-06-13,95.5,99,95,96.5,337319
2000-06-14,95.5,95.5,90,93.5,1152121
2000-06-15,92,92,88,89.5,4169983
2000-06-16,88.5,90,86,88,1985512
2000-06-19,86,89.5,86,88.5,1878575
2000-06-20,89.5,91,87.5,89.5,690832
2000-06-21,88,88.5,86.5,88.5,128153
2000-06-22,87,90,87,88.5,226134
2000-06-23,87,87,83,84,427219
2000-06-26,83,84,82,82.5,88822
2000-06-27,84,84.5,82,83.5,290667
