Date,Open,High,Low,Close,Volume
2007-03-09,1000,1002,1000,1002,1703650
2007-03-12,1000,1004,1000,1003,269980
2007-03-13,1004.92,1004.92,1004,1004,215910
2007-03-14,1000,1006,999,1003,143970
2007-03-15,1008,1010,1000,1007,531270
2007-03-16,1008,1008,1007,1007,296500
2007-03-19,1008,1008,1008,1008,0
2007-03-20,1005,1009.399,1004.399,1007,142880
2007-03-21,1009,1009,1008,1008,65130
2007-03-22,1009.75,1009.75,1005,1008,85450
2007-03-23,1010,1010,1008,1008,186710
2007-03-26,1009.5,1009.5,1006.2,1008,89960
2007-03-27,1006,1009.75,1005,1005,197370
2007-03-28,1010,1010,1008,1009,493320
2007-03-29,1012,1012.1,1007.25,1010,62500
2007-03-30,1015,1015,1011.5,1014.4,657000
2007-04-02,1014,1019,1014,1019,491020
2007-04-03,1020.55,1021,1020,1020,402700
2007-04-04,1020,1022,1019,1020,1150570
2007-04-05,1021.1,1021.1,1020,1020,78420
2007-04-10,1022,1022,1019,1019,98410
2007-04-11,1022,1022,1018.21,1022,71440
2007-04-12,1019,1022,1019,1022,55500
2007-04-13,1021,1026,1021,1024,471860
2007-04-16,1026,1028,1022.3,1025,180510
2007-04-17,1025,1030,1025,1029,311870
2007-04-18,1032,1032.5,1030,1030,656230
2007-04-19,1030,1030,1028,1028,60750
2007-04-20,1030,1030,1028,1028,35810
2007-04-23,1033,1034,1031,1031,309520
2007-04-24,1035,1035,1029,1032,273510
2007-04-25,1035,1035,1032,1032,251500
2007-04-26,1034,1034.5,1033,1033,307600
2007-04-27,1037.2,1037.2,1035,1035,702500
2007-04-30,1040,1040,1033.35,1036,122630
2007-05-01,1042,1044,1035,1042,487030
2007-05-02,1050,1050,1049,1049,134520
2007-05-03,1048,1050,1046,1046,92120
2007-05-04,1050,1050,1047,1047,80100
2007-05-08,1050,1050,1045,1045,105100
2007-05-09,1041,1050,1040,1048,105270
2007-05-10,1045,1050,1045,1046,147950
2007-05-11,1049,1049,1043,1043,160570
2007-05-14,1040,1044.15,1040,1043,112530
2007-05-15,1045,1050,1043,1047,53850
2007-05-16,1048,1048,1048,1048,0
2007-05-17,1050,1050,1045,1045,125500
2007-05-18,1050,1050,1047,1047,26250
2007-05-21,1045,1050,1045,1049,270180
2007-05-22,1052,1052,1047,1048,193610
2007-05-23,1051.47,1051.47,1049,1049,122500
2007-05-24,1053,1053,1050,1050,72000
2007-05-25,1045,1050,1045,1050,47000
