Date,Open,High,Low,Close,Volume
2000-01-04,271.2122,274.3659,270.4238,274.3659,645602
2000-01-05,275.1543,276.7311,273.5775,276.3369,332827
2000-01-06,276.7311,289.3456,276.7311,288.5572,720196
2000-01-07,290.134,290.134,282.25,285.0094,693381
2000-01-10,285.7978,285.7978,279.8847,279.8847,316290
2000-01-11,280.6731,280.6731,277.9137,278.7021,625545
2000-01-12,277.1253,279.0963,268.0586,269.2412,513638
2000-01-13,270.4238,271.2122,267.2702,269.6354,1544593
2000-01-14,270.818,270.818,268.0586,268.847,1156509
2000-01-17,269.6354,269.6624,268.0586,268.847,3604482
2000-01-18,268.0586,269.6354,267.2702,268.4528,4524031
2000-01-19,267.6644,268.4528,265.2992,265.2992,1466559
2000-01-20,266.0876,266.0876,260.9629,261.3572,1083430
2000-01-21,261.7514,261.7514,254.2615,255.0499,263299
2000-01-24,253.0789,255.4441,250.7136,251.8963,250259
2000-01-25,248.3484,249.1617,246.7716,247.9542,189871
2000-01-26,248.3484,248.3484,245.9832,246.7716,1425735
2000-01-27,244.4064,245.9832,242.0412,244.8006,6152279
2000-01-28,245.9832,245.9832,242.7113,244.4064,642614
2000-01-31,243.2238,245.1948,242.8296,243.618,466374
2000-02-01,245.1948,245.589,240.0701,242.4354,1533385
2000-02-02,242.0412,242.2383,234.5513,235.3397,715978
2000-02-03,235.7339,235.7339,228.6382,233.3687,325515
2000-02-04,234.1571,234.1571,229.4266,230.6093,2236536
2000-02-07,229.4266,230.6093,227.8498,230.6093,396339
2000-02-08,227.8498,229.4266,223.9078,224.302,807530
2000-02-09,223.1194,226.273,223.1194,223.5136,442184
2000-02-10,224.6962,226.273,223.1194,224.6962,641204
2000-02-11,223.9078,225.0904,222.331,223.5136,1679551
2000-02-14,222.7252,225.4846,222.331,223.5136,318558
2000-02-15,223.1194,224.6962,220.7542,223.5136,690925
2000-02-16,224.302,224.6962,222.7252,223.9078,544125
2000-02-17,223.1194,229.4266,223.1194,227.8498,884160
2000-02-18,228.244,232.5803,227.0614,231.7919,792839
2000-02-21,233.3687,236.5223,231.0035,236.1281,1945947
2000-02-22,237.3107,237.3107,231.0035,232.5803,1215745
2000-02-23,231.5948,231.5948,226.273,227.8498,140783
2000-02-24,228.6382,229.4266,226.273,226.6672,190587
2000-02-25,225.4846,227.0614,223.9078,225.8788,1067870
2000-02-28,230.215,232.9745,226.273,227.8498,592969
2000-02-29,227.6921,227.8498,225.4846,226.6672,186593
2000-03-01,227.0614,227.8498,225.4846,227.0614,1538018
2000-03-02,230.0574,239.4788,230.0179,238.4933,721208
2000-03-03,238.3356,251.5021,238.2962,250.3194,883266
2000-03-06,252.2905,265.6934,252.2905,257.8093,1854766
2000-03-07,258.9919,258.9919,253.8673,255.4441,514911
2000-03-08,253.0789,255.4441,249.1368,250.7136,319641
2000-03-09,251.5021,252.2905,249.1368,250.3194,356701
2000-03-10,248.7426,250.7136,245.9832,247.56,465439
2000-03-13,248.3484,248.3484,245.1948,246.3774,85276
2000-03-14,245.1948,246.7716,241.2528,242.0412,639135
2000-03-15,242.8296,242.8296,236.5223,238.8875,582343
2000-03-16,240.0701,242.8296,238.8875,241.647,918729
2000-03-17,244.4064,244.8006,242.0412,244.0122,656146
2000-03-20,244.5641,244.8006,240.8586,242.4354,230349
2000-03-21,240.8586,242.8296,240.4643,242.0412,610652
2000-03-22,242.8296,242.8296,234.9455,236.9165,705993
2000-03-23,234.9455,234.9455,232.3832,232.9745,484880
2000-03-24,233.6052,237.3107,231.7919,236.9165,304184
2000-03-27,236.1281,239.6759,235.7339,237.7049,643307
2000-03-28,235.3397,237.3107,231.7919,236.1281,795857
2000-03-29,237.3107,237.3107,234.9455,235.7339,937378
2000-03-30,234.5513,236.5223,232.5803,234.9455,1189795
