Date,Open,High,Low,Close,Volume
2016-09-21,175,178.825,171,171,6805527
2016-09-22,171.25,171.985,168,169,6162768
2016-09-23,170.5,170.625,167.75,168,2029656
2016-09-26,169.75,170.625,167,169.5,28055
2016-09-27,169,169,167,169,36859
2016-09-28,170.75,170.75,166,169.25,178764
2016-09-29,170.25,170.25,165,168,803395
2016-09-30,168.75,168.75,165.2475,168.75,31057
2016-10-03,168,168,165,166.25,1226558
2016-10-04,168,168,165.2475,167.5,17646
2016-10-05,166,167,165,166.5,33944
2016-10-06,165,169.25,165,169.25,285310
2016-10-07,168,169.75,165,168,309904
2016-10-10,168,169.75,166.5,168,687462
2016-10-11,168.25,169.75,168.25,168.75,20561
2016-10-12,170,172.625,168,170.75,490868
2016-10-13,170.25,171.6575,168.25,168.25,65156
2016-10-14,170,172.01,168.5,170.5,516322
2016-10-17,171,171.6,168,169,25399
2016-10-18,170,170,168,169.5,63291
2016-10-19,171.75,171.75,168.9375,170,54917
2016-10-20,168,170.4231,168,168.875,33325
2016-10-21,168.25,169.85,167,167,9858
2016-10-24,167.5,169.84,167,167,14256
2016-10-25,167,169.5,167,169.125,35041
2016-10-26,166,169,165.26,167.25,275024
2016-10-27,169.25,169.25,165.2181,167.125,16917
2016-10-28,170,170,164.25,165.75,1195959
2016-10-31,164,167.375,161.5205,165,60005
2016-11-01,162,165.495,162,163,226602
2016-11-02,165,165,160.5,162,98121
2016-11-03,162,165,162,163.25,87015
2016-11-04,166.75,166.75,163.5,163.875,292119
2016-11-07,161.5,163.875,161.5,162.75,90471
2016-11-08,161,164.12,160.26,162.5,152170
2016-11-09,162,162,158.25,160.75,459282
2016-11-10,159.5,160,159,160,132894
2016-11-11,162.5,163.75,160,161.25,43168
2016-11-14,162,166.6,162,164.5,33647
2016-11-15,167,167,161.75,165,18173
2016-11-16,167,167,161.75,163.625,5204
2016-11-17,165.75,165.75,156.5,161.25,46983
2016-11-21,163.25,165,163.25,165,61
2016-11-22,163,164.25,161,164.25,342243
2016-11-23,161.25,164,161.25,162.875,26561
2016-11-24,162,162,160.25,162,54948
2016-11-25,162,164.22,162,163.25,9471
2016-11-28,164,164,160,163.25,45273
2016-11-29,165,174,162.5,170.5,45193
2016-11-30,167.5,170.5,167,168.75,28234
2016-12-01,174,175.75,168,174,189942
2016-12-02,175.5,182,174.75,179,313206
2016-12-05,180,184,177.41,180.25,228551
2016-12-06,185,200,185,189,591564
2016-12-07,193,193,185,186,349501
2016-12-08,187.5,187.5,181,183.5,652487
2016-12-09,185.25,188.385,183.1867,185,231264
2016-12-12,188,190,185,188.25,275490
2016-12-13,190,190,180.04,184.75,2241314
2016-12-14,185.25,186,178,180,531759
2016-12-15,181,183,177.75,178,453320
2016-12-16,180,180,169,169.5,2971581
2016-12-19,179.75,179.75,168.25,168.25,39381
2016-12-20,169,170,165.25,166,876701
2016-12-21,172.75,172.75,166.25,167,44579
2016-12-22,166,171.25,166,167,10692
2016-12-23,167.75,169.3925,167.5,167.75,505414
2016-12-28,174,174,168.25,169.25,62255
2016-12-29,174,174,166,166,152657
2016-12-30,166,167.75,166,166.25,2528
2017-01-03,166,170.25,164,165.25,389021
2017-01-04,171,171,164,167.5,2294925
2017-01-05,164,169.48,164,165.75,690289
2017-01-06,174,174,166.815,169.75,801270
2017-01-09,174,174,164,171,98970
2017-01-10,166,170,166,169,264453
2017-01-11,165,170.34,165,169.5,41748
2017-01-12,175,175,166.25,169,94057
2017-01-13,165,173,165,170,32293
2017-01-16,169.75,178,167.3929,178,1017285
2017-01-17,171,178.5,170,178.5,222876
2017-01-18,170,180,170,175,34087
2017-01-19,180,180,170,172,415323
2017-01-20,180,180,172,173,16589
2017-01-23,170,175.5,170,172.75,152397
2017-01-24,180,180,170,170.25,8809
2017-01-25,170.75,180,170,170.25,1017134
2017-01-26,177,177,162.65,164.5,59201
2017-01-27,170,170,160,165,29322
2017-01-30,160.5,162.5,160,160,2262
2017-01-31,161,170,160,161,11920
2017-02-01,160,169,160,161.5,7241
2017-02-02,162,169,161.25,164.375,36648
2017-02-03,170,170,162,164.25,139017
2017-02-06,164,167.9,163,164,44806
2017-02-07,169.5,169.5,164.35,166.75,22011
2017-02-08,169.5,169.75,165.25,167,6000
2017-02-09,165.25,168,162,163.125,51634
2017-02-10,166,166,164,165,1670
2017-02-13,162.38,165.135,162.29,164.375,9474
2017-02-14,162.5,166.84,162.5,162.5,799819
2017-02-15,163,166.25,162.25,166.25,821595
2017-02-16,164,168,164,168,24798
2017-02-17,169,169,162.75,166.5,66660
2017-02-20,168.5,168.5,164,166.375,556634
2017-02-21,169,169,163,163.25,40798
2017-02-22,169,169,160,166.25,313137
2017-02-23,161.53,163.25,161.53,163.25,865
2017-02-24,160.25,162.125,155,156.5,55585
2017-02-27,161.25,161.25,155,158,152260
2017-02-28,157,159.6,154.48,157,37515
2017-03-01,161.5,161.5,158.24,161.5,12864
2017-03-02,161,164.5,159,161.5,75018
2017-03-03,158.5,161.25,158.5,161.25,469
2017-03-06,165,165,160.3,163,4918
2017-03-07,164.75,165,163,164.75,27511
2017-03-08,163.5,165,162.12,163.5,148512
2017-03-09,162.75,167,162.75,163.75,30367
2017-03-10,166,168.03,164,164,65207
2017-03-13,164.75,168.375,163.5,166.5,39765
2017-03-14,166.75,169.1175,163.5,164.25,15204
2017-03-15,165.25,167.75,164,167.75,14323
2017-03-16,165,166.49,164,166,6530
2017-03-17,165.25,167.75,162,167.75,13311
2017-03-20,160.25,167.25,155,155,28426
2017-03-21,160,164.75,156.4375,164,100812
2017-03-22,162.5,162.75,157.785,162.75,68146
2017-03-23,162,162.25,157.42,160.25,435316
2017-03-24,159.75,163,156.2332,159.75,1245086
2017-03-27,157,162,155,155,9179
2017-03-28,155.75,163,155.75,163,2481
2017-03-29,162.75,162.75,160.875,161.125,987
2017-03-30,160.5,162.75,160.5,162.75,2859
2017-03-31,155.25,163,155,163,16314
2017-04-03,163,165,157.6875,165,2340
2017-04-04,166,166,163.76,166,1782
2017-04-05,170,175,167,168,173146
2017-04-06,167.25,172.8,167.25,168,14877
2017-04-07,160.25,164.75,152.5,162.5,56671320
2017-04-10,161.25,163.75,161.25,162,49719
2017-04-11,160.25,164.5,160,164,117107
2017-04-12,164.5,173,160.68,173,159059
2017-04-13,165.5,173,165.5,168.5,38133
2017-04-18,165.25,172.75,164.25,168,252073
2017-04-19,167.25,172.75,167.25,171.75,17916
2017-04-20,172.75,172.75,168,168,35145
2017-04-21,169.75,169.75,168,168.25,133407
2017-04-24,167.25,168.625,167.25,167.75,11370
2017-04-25,165.25,167.6875,163,163,210682
2017-04-26,164,165,163.25,164,102084
2017-04-27,166.5,166.5,163.44,165,867661
2017-04-28,169.25,169.25,165.5,165.75,10915
2017-05-02,169.75,170,164.5,170,663168
2017-05-03,165,169.53,165,167.625,15734
2017-05-04,163.25,168.75,163.25,165,452213
2017-05-05,168.75,169,164,168,10064
2017-05-08,165.25,169.75,163.5,168,62333
2017-05-09,170,170,166.9041,167.5,13114
2017-05-10,169.75,169.75,167.25,168.5,15728
2017-05-11,167.5,169.75,167.5,168.75,78810
2017-05-12,170,171.25,169.25,171.25,71626
2017-05-15,172,172.85,170,172,38038
2017-05-16,171.25,171.4071,168.5,169,30454
2017-05-17,173.75,173.75,168.5,171.5,14980
2017-05-18,171.25,171.75,160,168,5978272
2017-05-19,168,171.5,168,170.125,14457
2017-05-22,173,173.175,168.5,172,32524
2017-05-23,170,172.125,165.4625,167,21896
2017-05-24,173,176.25,170,175.25,986570
2017-05-25,176.5,177.5625,176,176,1564521
2017-05-26,177,177,175,175,15601
2017-05-30,174.5,175,171.25,173.5,22381
2017-05-31,176.75,177,170,170,1796292
2017-06-01,170.25,177.5,170.25,174.75,13773
2017-06-02,172.25,176.4133,172.25,172.5,17544
2017-06-05,177,177,170,170,111414
2017-06-06,170.25,172.21,165,169.75,84276
2017-06-07,170,171.5,167,171.5,160004
2017-06-08,170.75,175,170.5,172.5,6402
2017-06-09,170,174.75,167.75,168,418248
2017-06-12,173,173,168,170.375,1961
2017-06-13,174.25,174.5,169.25,171.75,1178
2017-06-14,169.5,172.75,169,169,12633
2017-06-15,167.25,171,167.25,167.75,8944
2017-06-16,171.75,171.75,167.47,169,278893
2017-06-19,169.875,169.875,168.91,169.875,5090
2017-06-20,175,175,168,169,11099
2017-06-21,168.5,169.5,167,167,6199
2017-06-22,167,167,167,167,2361
2017-06-23,167.25,168.375,167.25,168.375,105
2017-06-27,169.75,169.75,169.75,169.75,1
2017-06-28,168,168,168,168,3980
2017-06-29,165.25,169.125,165.25,169.125,130
2017-06-30,168.5,169.75,167.25,169.75,3440
2017-07-03,169.5,169.5,167,169.5,4582
2017-07-04,167.25,169.375,167.25,169.25,81
2017-07-05,168.25,170.25,165,166.25,11488
2017-07-06,170,170,165.5,167.5,4191
2017-07-07,167.75,167.75,165,165,13482
2017-07-10,165.25,165.25,159,159.75,27636
2017-07-11,159.75,160,158,160,7481
2017-07-12,160,160,152,158.5,20821
2017-07-13,157.75,160,152.25,160,20207
2017-07-14,159.75,159.75,158,158.375,1158
2017-07-17,158.75,159.25,154,154,18596
2017-07-18,153.25,160,153.25,160,11642
2017-07-19,162,162,158,161.5,13692
2017-07-20,161.5,161.5,157.5,158.25,2185
2017-07-21,162,162,156.25,158,15522
2017-07-24,162.25,162.25,150,159.5,74820
2017-07-25,151.75,159.5,150.25,155,25682
2017-07-26,159.5,162.5,157.5,158,103005
2017-07-27,159.5,160,155.25,157,7263
2017-07-28,159,163.25,159,163,127280
2017-07-31,164.75,164.75,162.5,162.5,3103
2017-08-01,165,165,160.75,163,13913
2017-08-02,163,166.75,162.76,166.75,21782
2017-08-03,165,165,163,163,10277
2017-08-04,163,163.25,163,163,1042
2017-08-07,165,165,162.25,165,7254
2017-08-08,160.25,164.75,160,160,799
2017-08-09,164.75,170,164.75,170,9966
2017-08-10,170,170,165,165,52787
2017-08-11,165,170.28,165,170.25,49437
2017-08-14,170,170,166.75,168,8854
2017-08-15,170,170,167.25,170,113067
2017-08-16,170,170,166,168,1076
2017-08-17,170,170.0237,165,166,430692
2017-08-18,166,169.36,161,161,45863
2017-08-21,165,167.7625,163.53,165,274991
2017-08-22,165,165.63,163.495,165,30810
2017-08-23,163.25,167.41,163.25,164,5680
2017-08-24,164.25,166.625,162,162.25,7687
2017-08-25,162.5,165,162,165,9907
2017-08-29,167.75,168,163,168,4458
2017-08-30,167.75,167.75,162,164.75,9060
2017-08-31,167.5,167.5,164,164.75,484940
2017-09-01,162.25,165.75,162,162,2727
2017-09-04,162,164.41,162,164,2000
2017-09-05,165,168,162.25,168,2194722
2017-09-06,171,171,165.25,171,190610
2017-09-07,169,170.76,167.715,170,2367266
2017-09-08,171,171,167,170,110509
2017-09-11,170,171,169,170.75,18886
2017-09-12,171,173.75,169,173.75,4507
2017-09-13,170.5,174.75,170.25,172.5,889590
2017-09-14,175,175,173,173,365458
2017-09-15,168,173.013,168,168,55165
2017-09-18,170,173.25,168,168,74175
2017-09-19,171.75,176.25,171.75,173.75,1183759
2017-09-20,170.25,173.5,168,168,11895
2017-09-21,169,170.035,165,165,113225
2017-09-22,168,171,165.65,167.25,1034379
2017-09-25,174.75,182,171,182,5995529
2017-09-26,184,184,178,179.5,10047
2017-09-27,183.75,183.75,176.85,183.75,26187
2017-09-28,183.5,183.5,177.75,177.75,6957
2017-09-29,183.75,188.25,179.5,185,2033822
2017-10-02,185,186.81,179,179,45359
2017-10-03,184.25,184.75,183,184.75,2821462
2017-10-04,180.5,186.5,180.5,186.5,1592747
2017-10-05,187.25,187.5,183.34,184,32713
2017-10-06,189,189,185.42,186,847369
2017-10-09,189.75,190,186.25,189,166657
2017-10-10,187.5,191.61,186.5,187.75,3817346
2017-10-11,190,190,187.25,188,24547
2017-10-12,187,188,186.75,187,188258
2017-10-13,187.25,188,184,186,82430
2017-10-16,186,187.25,185,186.75,41806
2017-10-17,186,188,185.43,188,56770
2017-10-18,188,188,185,186.75,37193
2017-10-19,188,188,185.25,185.5,13802
2017-10-20,185,186.5,181,184,81525
2017-10-23,184.25,184.505,182,182,20405
2017-10-24,182.75,184.5,182.5,184.5,70732
2017-10-25,185,185,182,182.25,248707
2017-10-26,184.5,184.75,182,182.25,221981
2017-10-27,185,185,182,183.25,132366
2017-10-30,184.75,184.75,182.44,184,400138
2017-10-31,182.5,184.25,182.5,183,35986
2017-11-01,182,184.5,182,183,7183
2017-11-02,184.75,185,182,182.5,44505
2017-11-03,189.25,189.25,182.63,185,19200
2017-11-06,184.75,184.75,183,184.5,7125
2017-11-07,184.75,184.75,182.8,183,61662
2017-11-08,184,184,181,181.75,36227
2017-11-09,185,185,180.25,180.25,70449
2017-11-10,183.75,183.75,181,181.5,31349
2017-11-13,184,184,180,180,24353
2017-11-14,181.5,183.75,181.5,182.75,116882
2017-11-15,182.25,184,182,182.5,29249
2017-11-16,183.75,188.87,182.98,186,56591
2017-11-17,180.25,185,180.25,182.5,8792
2017-11-20,185,189.75,180.75,185,38040
2017-11-21,184.75,189.75,181,183,66401
2017-11-22,185,185.25,181.25,182.5,86954
2017-11-23,180.25,188.23,180,180,20374
2017-11-24,182.25,185,181,181,35263
2017-11-27,183.5,188.6775,180,180,10420
2017-11-28,180,185.95,180,180.25,6436
2017-11-29,185.75,185.75,181,183,12480
2017-11-30,186.75,186.75,178,178,233855
2017-12-01,180.75,188.5,179.8525,188.5,13410
2017-12-04,190,192.95,188,190,282068
2017-12-05,190.5,191.81,186.5,188.25,65637
2017-12-06,188.5,191.65,187.75,188,25360
2017-12-07,188.25,193.36,188,188,121332
2017-12-08,193.75,193.75,190,190,224104
2017-12-11,199,208.84,195.25,203,96771
2017-12-12,210,210,200.49,201,133848
2017-12-13,204,206.25,201.01,204,145379
2017-12-14,206.75,206.75,200,200,68127
2017-12-15,206.5,208,203.77,205,209766
2017-12-18,206.25,209,204.5,204.75,54556
2017-12-19,207.75,208.5,200.25,200.5,56724
2017-12-20,209,209,200,200,71070
2017-12-21,208.75,208.77,201.4,208.75,173010
2017-12-22,209.75,209.75,205.75,207.5,10607
2017-12-27,208,209.25,204.32,209.25,38018
2017-12-28,210,210,206,210,35313
2017-12-29,205,207,202.02,206,16912
2018-01-02,211,212,208,208,246762
2018-01-03,212,212,203.64,207,98537
2018-01-04,203,209,203,207,672340
2018-01-05,209,211,207.5,208,246599
2018-01-08,210,211,208,209,152472
2018-01-09,211,211,205.26,209,92499
2018-01-10,209,211,208,208,16327
2018-01-11,209,209.9,206,208,146529
2018-01-12,209,209,205.64,206,96563
2018-01-15,212,212,206,207,100382
2018-01-16,207,209,204.88,208,80827
2018-01-17,206,207.75,204,207,173948
2018-01-18,211,211,204,205,10320
2018-01-19,211,211,205,206,49802
2018-01-22,207,211,207,208,91159
2018-01-23,208,209.36,202,204,85394
2018-01-24,205,208,204.64,206,21031
2018-01-25,206,206,203.48,205,15091
2018-01-26,204,207,203.32,206,110154
2018-01-29,209,209,206.16,209,84268
2018-01-30,208,209.76,206,206,36814
2018-01-31,209,209,206,209,195128
2018-02-01,205,205,201,203,68935
2018-02-02,201,203,201,202,28808
2018-02-05,202,203,188,195,237242
2018-02-06,196,197,191.3,196.5,118902
2018-02-07,196.5,201.16,194.82,195.5,23672
2018-02-08,196,200,195,200,40502
2018-02-09,195.5,197.45,195,195,96868
2018-02-12,198,199,195,195,38054
2018-02-13,195,198.4004,192.27,195.5,35899
2018-02-14,192,206.5,192,205,89803
2018-02-15,206,208,202,202,22206
2018-02-16,203,209,203,207,52038
2018-02-19,207,209,203.75,207,50345
2018-02-20,207,208.5,205.5,207,168737
2018-02-21,204,208.1,204,206,38911
2018-02-22,205,207,205,206,62403
2018-02-23,207,207,203,207,32231
2018-02-26,207,207,203,206,21617
2018-02-27,207,207,204,206,632723
2018-02-28,209,210,204,207,66121
2018-03-01,205,208,202,205,14479
2018-03-02,207,209,204,204,91811
2018-03-05,202,206.55,200.06,203,195225
2018-03-06,203,206,202,203,460522
2018-03-07,208,208,200,204,134540
2018-03-08,201,203.04,201,201,30558
2018-03-09,201,204,200,204,399953
2018-03-12,204,204.68,200,200,8704
2018-03-13,202,205.08,202,202,234430
2018-03-14,203,203,200,200,570309
2018-03-15,201,205.08,199,201,212404
2018-03-16,207,207,195,195,72348
2018-03-19,197.5,200,195.0002,200,665148
2018-03-20,195.5,201,193,193.5,72460
2018-03-21,193.5,199,193.5,195.5,183430
2018-03-22,196,200.22,196,196,565857
2018-03-23,195.5,199.5,195.5,197.5,467620
2018-03-26,198.5,202.22,197.5,202,562055
2018-03-27,198,202.4,196,198.5,97641
2018-03-28,198.5,201.28,196.5,198,520459
2018-03-29,198,199,198,198,434847
2018-04-03,196,203,195.81,202,458676
2018-04-04,197,202,197,200,43131
2018-04-05,202,209,200,209,389466
2018-04-06,209,209,202,204,542135
2018-04-09,201,212,201,209,662135
2018-04-10,212,213.06,209,210,242947
2018-04-11,214,214,209,210,141730
2018-04-12,214,214,206,208,170706
2018-04-13,214,214,206,209,230100
2018-04-16,213,213,209,210,99343
2018-04-17,210,212.25,207.3,208,87696
2018-04-18,211,212,205,207,46834
2018-04-19,206,206.04,202,203,207317
2018-04-20,206,206,202,203,34473
2018-04-23,203,207,202.03,206,487587
2018-04-24,206,210,204,210,39963
2018-04-25,212,212,203,203,111015
2018-04-26,203,210,203,210,32130
2018-04-27,210,211,206.38,211,296718
2018-04-30,211,214,206,213,338960
2018-05-01,214,214,211,212,214997
2018-05-02,214,214,206,209,18990
2018-05-03,208,214,208,212,1227268
2018-05-04,211,218,208.02,218,966126
2018-05-08,218,219,213,218,1225585
2018-05-09,218,219,213.8,218,552371
2018-05-10,220,221,217,217,193332
2018-05-11,218,218,217,218,44525
2018-05-14,220,224.2,217,218,262285
2018-05-15,220,220,217,219,216380
2018-05-16,220,220,217,220,231893
2018-05-17,221,221,217.54,219,605580
