Date,Open,High,Low,Close,Volume
2000-01-04,296,311,296,307,440200
2000-01-05,308,315,307.5,312,1934593
2000-01-06,308.5,332,308.5,330,501557
2000-01-07,333.5,368.75,332,366.25,841130
2000-01-10,375,375,365,365,923493
2000-01-11,371.25,375,352,368.24,2903444
2000-01-12,355,362,352,352,753268
2000-01-13,357,357,343.5,345,1137621
2000-01-14,341.5,348,325,327.5,528256
2000-01-17,325,328,319.5,322,570218
2000-01-18,316.5,321,308,316,402399
2000-01-19,314,314,302,307.5,185009
2000-01-20,301.5,308,300,303,992906
2000-01-21,301,301,287,293,172320
2000-01-24,287,294,280,287,115179
2000-01-25,276,282,272,273,3040227
2000-01-26,276,281,270,277,5378787
2000-01-27,265,270,264.8675,265,1011302
2000-01-28,269,270,260,260,1621040
2000-01-31,264,265,257,265,649101
2000-02-01,266,271.5,258,260,475212
2000-02-02,260,266.5,250,260,754814
2000-02-03,255,257,245,250,217883
2000-02-04,249,249,235,240,358513
2000-02-07,241,243,233,243,396782
2000-02-08,236,240,232,238.5,3310639
2000-02-09,235,240,235,235,2629906
2000-02-10,236,240,235,239,722025
2000-02-11,239,240,233,237,2123098
2000-02-14,234,238,225,233,932174
2000-02-15,230,235,225,230,3806084
2000-02-16,234,256,228,235,4005067
2000-02-17,238.5,250,238.5,249,756820
2000-02-18,249,252,242,252,2815182
2000-02-21,245,255,243,243,937623
2000-02-22,252,258.5,250,254,805062
2000-02-23,252,272,252,265,2165083
2000-02-24,270,272,262,262.5,848691
2000-02-25,265,267,260,263.5,200442
2000-02-28,260,266,260,260,1451335
2000-02-29,263,263,255,260,441398
2000-03-01,255,264,255,260,239628
2000-03-02,257,261,251,254.8725,1270331
2000-03-03,250,253,243,247,281442
2000-03-06,247,250,242,243,966140
2000-03-07,240,247,235,235,141034
2000-03-08,230,230,212,220,472106
2000-03-09,220,240,217,230,960510
2000-03-10,227,235,227,229,181541
2000-03-13,225,229,220,223,549720
2000-03-14,221,227.5,220,226,1236461
2000-03-15,225,226,220,223,497885
2000-03-16,223,242,223,241,1092764
2000-03-17,241,247,238,243.5,1871981
2000-03-20,246,261,241,256,765672
2000-03-21,261,266,255,261,740680
2000-03-22,266,280,265,277,396425
2000-03-23,267.75,269.25,230,235,1245326
2000-03-24,233.5,238,230,232,6974365
2000-03-27,235,236,222,226,2013590
2000-03-28,229,230,219,220,1734643
2000-03-29,222,222,190,214,5770136
2000-03-30,217,224,210,211.894,1602736
2000-03-31,219,227,215,217.3913,1202590
2000-04-03,220,228,220,225,710567
2000-04-04,227,231,222,226,2157876
2000-04-05,222,227,213,219,224625
2000-04-06,215,218,210,214,187228
2000-04-07,217,220,212,219,642040
2000-04-10,211,223,211,217,83249
2000-04-11,216,222,214.75,214.75,1126802
2000-04-12,215,223,215,222,302419
2000-04-13,214,223,213,222,692985
2000-04-14,223,225,214,221.5,776951
2000-04-17,208,222,200,217,154628
2000-04-18,223,223,220,220,190214
2000-04-19,223,226,222,222.8885,261253
2000-04-20,222,226,222,224.8875,431012
2000-04-25,223,226,217,222,1284389
2000-04-26,223,249,220,238.333,1073530
2000-04-27,249,250,240,245,309395
2000-04-28,250,250,240,247.5,81972
2000-05-02,252,265,250,263,880089
2000-05-03,258,275,258,259,1118281
2000-05-04,259,262.5,254,262.3681,3966763
2000-05-05,252,252,245,250,1172735
2000-05-08,248,255,247,252.5,790266
2000-05-09,251,255,250,255,3881315
2000-05-10,253,260,252.8735,258.5,855019
2000-05-11,260,260,250,254,1607044
2000-05-12,252,257,246,246,1198754
2000-05-15,246,250,246,248,963302
2000-05-16,247.5,255,245,248,477487
2000-05-17,256,256.5,231,237,112730
2000-05-18,228,233,207,210,1978106
2000-05-19,212,214,210,212.25,1238522
2000-05-22,214,214,203,210,777059
2000-05-23,211,211,195,203,1353749
2000-05-24,200,202,188.5,201,3276430
2000-05-25,198,207,198,204.5204,2564406
2000-05-26,204.5,205,200,202.5,1539886
2000-05-30,205,208,200,207,193274
2000-05-31,210,211,202,206,620223
2000-06-01,210,210,202,206,876848
2000-06-02,209,210,202,203,203331
2000-06-05,202,207,202,203,88424
2000-06-06,207,210,201,206,1758648
2000-06-07,202,207,197,200,697828
2000-06-08,197,204,196,200,1938403
2000-06-09,203,203,198,201.5,169353
2000-06-12,201.5,203,197,197,292886
2000-06-13,200,201,194,196,92393
2000-06-14,195,200,193,195,6198650
2000-06-15,196,196,184,187,2193323
2000-06-16,190,205,186,205,4909513
2000-06-19,204,212,201,207,1380957
2000-06-20,207.25,224.25,206,220,2693927
2000-06-21,218,235,215,227,2037962
2000-06-22,230,238,227,233,3264896
2000-06-23,234,240,228,237.5,2172551
2000-06-26,238,238,220,221,560158
2000-06-27,221,227,216,222,1398784
2000-06-28,226,227,218,220.667,607659
2000-06-29,218.5,224,215,215,1068003
2000-06-30,216,218,211.89,217.5,823676
2000-07-03,212,217,210,213.5,913830
2000-07-04,211.5,211.5,200,200,214273
2000-07-05,202,207,198,199,74156
2000-07-06,200,211.5,200,211.5,4620609
2000-07-07,209,210,203,203,18552
2000-07-10,204,217,203,203,630081
2000-07-11,217,217,208,210,186561
2000-07-12,216,216,206,215,316410
2000-07-13,208,208,200,200,78765
2000-07-14,204,204,200,200,433817
2000-07-17,204.5,204.5,193,201,235493
2000-07-18,198,198,190,192,256930
2000-07-19,194,196,190,195,312204
2000-07-20,191,197,190,193,256531
2000-07-21,192.5,195,187,191,206709
2000-07-24,187,193,185,189,371021
2000-07-25,190,192,185,189,320908
2000-07-26,187.5,188,185,185,159230
2000-07-27,188,190,179,188,3036038
2000-07-28,189,200,187,197,809714
2000-07-31,198,199,192,198,217342
2000-08-01,193.5,198,192,195,234672
2000-08-02,195,196,188,194,389592
2000-08-03,191,191.25,187,189,450521
2000-08-04,186,192,185,188.5,482732
2000-08-07,185.75,190,185,187.5,430950
2000-08-08,186,190,185,186,252439
2000-08-09,185,191,180,183,1004695
2000-08-10,186,188,180,182,129898
2000-08-11,185,191,180,188,3980632
2000-08-14,190,197,184,191,1100243
2000-08-15,195,210,190,204.6363,3882238
2000-08-16,211,212,203,205,95321
2000-08-17,203,209,191,200,2306302
2000-08-18,198,215,198,208,352541
2000-08-21,215,217,208,213,404438
2000-08-22,216,216.5,208,209.895,487654
2000-08-23,230,230,215,216.892,4224219
2000-08-24,221,226.5,214,216,3213659
2000-08-25,213.5,222,213,214,504782
2000-08-29,214,219,210,210,1795863
2000-08-30,210,213,206,207,342120
2000-08-31,206,207,203,206,518977
2000-09-01,206,207,200,200,748576
2000-09-04,201,204,197,200,373181
2000-09-05,199,201,198,199.75,72806
2000-09-06,200,200,197.9,197.9,137408
2000-09-07,198,200,195,198,139043
2000-09-08,195,199,192,194.6667,954696
2000-09-11,196,202.5,195,202.5,604294
2000-09-12,202,202,196,197,139928
2000-09-13,195,200,185,190,810211
2000-09-14,189,195,185,188,410000
2000-09-15,189,190,185,186,1114978
2000-09-18,185,191,185,186,144965
2000-09-19,186.5,186.5,178,178,330115
2000-09-20,182.25,183,172.5,172.5,131610
2000-09-21,169,175,165,171,223904
2000-09-22,168,170,160,160,643033
2000-09-25,164.5,175,164.5,175,3101856
2000-09-26,175,178,173,174,856930
2000-09-27,180,180,173,176.5,670693
2000-09-28,179,179,168,173,180087
2000-09-29,169,175,166,169,318888
2000-10-02,166,170,165,168,468296
2000-10-03,170,170,166,166,53058
2000-10-04,169,170,166,170,79157
2000-10-05,169,169,166,167,81100
2000-10-06,169,169,163,166,1981145
2000-10-09,164,167,163,166,788666
2000-10-10,164.5,173,164,165,154470
2000-10-11,166,167,165,165,65161
2000-10-12,166.5,171,165,165,285085
2000-10-13,166.5,169,164,165,903575
2000-10-16,166,172,164,164,855715
2000-10-17,170,172,164,168,658724
2000-10-18,164,172,164,168.5,172396
2000-10-19,165.5,170,164,164,97208
2000-10-20,165.5,169,164,168,184134
2000-10-23,167,167,164,165.5,344223
2000-10-24,164.75,194,164,185,2244476
2000-10-25,193,193,180,183.5,312727
2000-10-26,187,187,182,182,215547
2000-10-27,183,188,181,181,140512
2000-10-30,180,185,175,179.5,647069
2000-10-31,174.5,179,172,175,558232
2000-11-01,178,186,175,179.09,979940
2000-11-02,183.5,183.5,179,183.092,19505
2000-11-03,181,190,181,190,998511
2000-11-06,188,193,185,188,440766
2000-11-07,185,190,183,189,333749
2000-11-08,188,198,188,195,153770
2000-11-09,192,200,192,193,84592
2000-11-10,193,198,192,193.8,251313
2000-11-13,193,199,192,193,37972
2000-11-14,192,207,192,192.904,851339
2000-11-15,215,222,209,215.892,725215
2000-11-16,209,210,200,200,688999
2000-11-17,200.25,201,195,195,244072
2000-11-20,200.75,201,193,196.5,105447
2000-11-21,193,200,190,190,95831
2000-11-22,198,199,190,197,54860
2000-11-23,190,195,188,189.25,105266
2000-11-24,192,197.5,189.5,196,4717445
2000-11-27,198,201,193,197.5,216416
2000-11-28,193,201,191,195,873177
2000-11-29,194,195,188,191.5,43243
2000-11-30,193.5,196,188,190,150222
2000-12-01,192,196,188,194.097,1471448
2000-12-04,192.5,193,185,192.596,363025
2000-12-05,187,194,185,191.5,1860807
2000-12-06,190,202,189,198.5,809338
2000-12-07,200.5,201,196,199.1,106591
2000-12-08,202,215,202,214.107,725195
2000-12-11,218,227,212,226,2624966
2000-12-12,221.5,225.5,218,221.5,1046203
2000-12-13,223.75,223.75,210,210,5373706
2000-12-14,213,229.5,213,226.5,4008531
2000-12-15,224,228,222,224.5,1745968
2000-12-18,227,233,227,230,2584849
2000-12-19,226.5,232.15,226,228,914359
2000-12-20,231.5,233.15,230,231.25,1193638
2000-12-21,230.75,245,230.5,234,2699125
2000-12-22,243.75,253,239,249.25,709523
2000-12-27,248,260,248,251.874,1012886
2000-12-28,260.75,267,256,260,788601
2000-12-29,266.25,266.25,255,258,486407
2001-01-02,256,256,238,246.877,1854936
2001-01-03,239,246,239,240,837466
2001-01-04,246,247,233.5,233.5,662339
2001-01-05,237,238,230,234,1467773
2001-01-08,236,238,230,235,249161
2001-01-09,236.5,238,230,233.5,102470
2001-01-10,236,236,228,228.25,74647
2001-01-11,226.5,232,222,223,334546
2001-01-12,224.25,224.25,211,215,3823871
2001-01-15,210,218,210,217.109,406551
2001-01-16,213,213.107,205,213.107,1224397
2001-01-17,207,225,204,225,1564974
2001-01-18,216,224,215,221,129360
2001-01-19,224,239.25,224,233.117,1110902
2001-01-22,233,238,232,235,462138
2001-01-23,232,235,232,233,292293
2001-01-24,232.5,233.5,229,230.44,392753
2001-01-25,228,236,228,231.116,970582
2001-01-26,231,235,230,231.25,396626
2001-01-29,234,234,230,232,241107
2001-01-30,231,234.25,231,233.5,34325
2001-01-31,234.25,239,228,233,175819
2001-02-01,229,236,228,236,447706
2001-02-02,237,246.5,237,246.5,5061653
2001-02-05,241,245,238,245,515240
2001-02-06,240,243,240,242.5,276806
2001-02-07,240.75,241.75,230,239.88,585231
2001-02-08,230,230,218,221.8,762722
2001-02-09,218.5,222,216,221,1373087
2001-02-12,215,219,215,216,1768821
2001-02-13,216,218.75,210,215,2538950
2001-02-14,215.5,216,210,215,1426806
2001-02-15,217,217,210,213.5,3469728
2001-02-16,212.75,214.25,210.39,212,404098
2001-02-19,212,215,211,212.5,127582
2001-02-20,212,213,211,211,979252
2001-02-21,214,215,211,213,5730661
2001-02-22,211.5,214,206,214,1075026
2001-02-23,212,212,206,211,446593
2001-02-26,212,213.5,207,213.5,983648
2001-02-27,213.5,217,210,213.5,230422
2001-02-28,216,217,211,217,159934
2001-03-01,216.75,221.5,213,220.208,1009420
2001-03-02,220,225,217.891,217.891,221355
2001-03-05,221.25,229,220,221.889,146099
2001-03-06,229,230,223,226.887,546827
2001-03-07,229.5,232,225.887,225.887,516519
2001-03-08,228,234,226.5,228.886,326872
2001-03-09,225.5,228.5,225,225,321073
2001-03-12,225,226.5,210.75,225.887,528397
2001-03-13,206,213,205,211.5,343523
2001-03-14,211,214,208,210,652685
2001-03-15,209,215,205,207.896,1539226
2001-03-16,210,213.75,210,212,87974
2001-03-19,209.25,210.5,207,207,855094
2001-03-20,206.25,207,193,197.5,1688309
2001-03-21,202,222,202,218.5,2972810
2001-03-22,212,220,212,215,1643548
2001-03-23,212.75,214.25,208.5,208.5,331494
2001-03-26,208,213,207,209,569140
2001-03-27,200,209,200,206,530140
2001-03-28,210,219,208,215,1199279
2001-03-29,213.25,217,210,210,444426
2001-03-30,213.5,215,208,210,2737820
2001-04-02,213.5,217,210,213,382351
2001-04-03,211,214.107,210,212.5,982047
2001-04-04,208,214,208,212.5,435775
2001-04-05,215,215,210,214.107,792773
2001-04-06,214,215.108,212,215.108,515032
2001-04-09,212.75,214.107,211,214.107,418543
2001-04-10,213.75,219,210,215.108,692299
2001-04-11,219.5,222,216,218.891,850827
2001-04-12,221,222,215,217,1743552
2001-04-17,213,218,212,215,817770
2001-04-18,214,219,212,215,672652
2001-04-19,218,219,213,215,1107479
2001-04-20,215.5,220,215,218.5,1751369
2001-04-23,218,220,215,219,403875
2001-04-24,222,228.75,217,226.113,1664918
2001-04-25,233.5,234,228,232.116,1213863
2001-04-26,229,234,226,229.115,1358545
2001-04-27,231,237,228,231.5,748950
2001-04-30,231,240,231,236,957827
2001-05-01,236,241,236,238.5,339095
2001-05-02,240.5,244,236,239.88,484922
2001-05-03,238.25,252,238,247.9,1177582
2001-05-04,248.5,272,248.5,267,3184243
2001-05-08,268.75,268.75,253,261.25,2382348
2001-05-09,263,270,261,265,914253
2001-05-10,267.75,276,267,272.5,1013564
2001-05-11,274,279,272,272.864,2523274
2001-05-14,278,279,265,273.863,860717
2001-05-15,266,269,266,266,83642
2001-05-16,267.233,270,265,267.5,174719
