Date,Open,High,Low,Close,Volume
2000-10-23,309.1721,322.1374,264.2923,291.2202,1915290
2000-10-24,291.2202,298.2015,273.2683,279.2522,1862759
2000-10-25,287.2309,287.7295,273.7669,276.2602,1014593
2000-10-26,278.2549,279.2522,265.0403,265.0403,2031061
2000-10-27,269.2789,270.7749,265.2896,267.2843,1383201
2000-10-30,265.2896,269.2789,259.555,263.295,416154
2000-10-31,261.3003,271.7723,259.8043,270.0269,1529229
2000-11-01,271.7723,276.2602,257.5603,267.2843,1667802
2000-11-02,265.2896,293.7135,254.319,262.2976,1320776
2000-11-03,250.3297,269.2789,250.3297,265.2896,1348936
2000-11-06,256.3137,267.7829,247.3377,249.3324,1510352
2000-11-07,249.831,252.3243,240.3564,249.3324,2208491
2000-11-08,249.3324,269.2789,249.3324,254.319,8741217
2000-11-09,253.3217,259.0563,248.8337,251.327,3794337
2000-11-10,249.6316,256.3137,247.3377,254.319,2689232
2000-11-13,244.8444,253.8203,226.3938,244.8444,1101701
2000-11-14,245.343,253.3217,245.343,250.3297,994979
2000-11-15,256.3137,256.3137,244.8444,249.3324,2827870
2000-11-16,253.3217,257.311,251.327,254.319,1180872
2000-11-17,255.3163,259.0563,252.3243,253.3217,1550477
2000-11-20,256.0643,256.0643,247.3377,249.3324,1363889
2000-11-21,254.319,256.563,249.3324,251.327,985959
2000-11-22,251.327,253.8203,241.1044,245.8417,1838233
2000-11-23,226.3938,251.327,226.3938,250.8283,774197
2000-11-24,241.3537,254.319,241.3537,254.319,827753
2000-11-27,249.3324,255.815,245.343,249.831,769655
2000-11-28,249.3324,254.0697,248.335,252.3243,894128
2000-11-29,236.3671,252.075,236.3671,250.3297,739761
2000-11-30,249.3324,254.319,230.8818,254.319,1015664
2000-12-01,255.3163,267.2843,250.3297,255.3163,362068
2000-12-04,257.311,257.5603,249.3324,251.327,1913416
2000-12-05,253.6209,254.319,247.3377,251.8257,756636
2000-12-06,251.327,263.0456,246.3404,263.0456,882835
2000-12-07,264.2923,272.2709,253.3217,254.319,798307
2000-12-08,256.3137,261.799,250.3297,261.799,2048628
2000-12-11,268.2816,276.2602,268.2816,270.2763,2206217
2000-12-12,274.2656,277.2576,272.2709,277.2576,1945344
2000-12-13,279.7509,285.7349,277.2576,284.2389,2579752
2000-12-14,288.0287,288.2282,265.2896,267.2843,2108141
2000-12-15,267.2843,267.2843,254.319,259.3056,6720328
2000-12-18,265.2896,274.2656,256.3137,274.2656,1505950
2000-12-19,269.2789,274.2656,263.295,273.7669,961271
2000-12-20,271.2736,273.2683,266.287,272.2709,2037266
2000-12-21,272.2709,276.2602,258.5577,268.2816,1710176
2000-12-22,267.2843,269.2789,259.8043,260.303,640319
2000-12-27,258.3083,262.2976,255.815,259.8043,708786
2000-12-28,267.2843,271.2736,260.5523,264.791,1853090
2000-12-29,271.2736,284.2389,271.2736,282.2442,1781493
2001-01-02,275.5621,283.2416,275.5123,279.5016,2358124
