Date,Open,High,Low,Close,Volume
2000-04-05,970,970,960,960,400
2000-05-08,945,945,935,935,750
2000-05-16,945,945,935,935,2600
2000-05-19,945,945,935,935,715
2000-05-23,945,945,930,930,2400
2000-05-26,940,942.5,935,935,1250
2000-05-30,940,940,930,930,4000
2000-05-31,940,940,930,930,450
2000-06-08,940,945,940,945,43000
2000-06-09,925,925,925,925,3000
2000-06-15,930,930,930,930,470
2000-06-16,925,926,925,926,171000
2000-06-19,945,945,945,945,1000
2000-06-22,925,925,925,925,200
2000-06-28,925,925,925,925,365
2000-07-03,943,943,943,943,800
2000-07-04,938,938,938,938,2820
2000-07-05,950,950,950,950,2500
2000-07-06,937,937,937,937,1075
2000-07-12,935,935,935,935,1800
2000-07-14,935,935,935,935,218
2000-07-20,935,935,935,935,3350
2000-07-24,935,950,935,950,1578
2000-07-25,935,935,935,935,550
2000-07-26,950,950,930,930,2640
2000-08-03,940,940,940,940,7500
2000-08-04,930,930,930,930,611
2000-08-09,950,950,950,950,206
2000-08-15,950,950,940,940,4071
2000-08-17,950,950,945,948,20200
2000-08-21,950,950,950,950,2000
2000-08-31,945,945,935,935,3716
2000-09-01,950,950,945,950,2055
2000-09-05,945,950,945,950,5600
2000-09-07,963,963,950,950,2550
2000-09-08,947,947,947,947,125
2000-09-12,968,968,968,968,1500
2000-09-13,955,955,955,955,2400
2000-09-18,960,970,960,970,921
2000-09-19,955,955,955,955,4181
2000-09-21,955,955,955,955,8000
2000-09-29,970,970,970,970,300
2000-10-02,955,955,955,955,500
2000-10-06,955,955,955,955,2000
2000-10-10,955,955,955,955,270
2000-10-16,955,955,955,955,166
2000-10-18,970,970,970,970,2000
2000-10-19,955,972,955,972,10250
2000-10-20,955,955,955,955,815
2000-10-23,955,955,955,955,4150
2000-10-24,975,975,975,975,250
2000-10-26,973,973,973,973,235
2000-10-27,955,955,955,955,1408
2000-10-30,955,955,955,955,530
2000-11-01,955,955,955,955,2000
2000-11-02,973,973,973,973,400
2000-11-06,955,955,955,955,1700
2000-11-07,955,955,955,955,1750
2000-11-09,970,970,970,970,2000
2000-11-14,970,970,970,970,100
2000-11-17,966,966,966,966,200
2000-11-20,970,970,970,970,20
2000-11-23,970,970,970,970,357
2000-11-27,958,958,958,958,500
2000-11-28,970,970,970,970,1500
2000-11-30,955,955,955,955,1600
2000-12-01,970,970,970,970,1500
2000-12-06,970,970,970,970,2000
2000-12-11,975,975,958,973,7000
2000-12-12,955,975,955,975,9570
2000-12-13,965,965,965,965,500
2000-12-20,980,980,980,980,400
2000-12-28,973,973,973,973,1430
2001-01-02,975,980,975,980,6700
2001-01-03,980,980,980,980,144
2001-01-04,980,980,979,979,3700
2001-01-08,1005,1005,1005,1005,900
2001-01-12,1015,1015,1015,1015,2000
2001-01-15,1005,1005,1005,1005,20000
2001-01-16,1025,1025,1025,1025,170
2001-01-17,1020,1020,1020,1020,4000
2001-01-24,1015,1015,1015,1015,1000
2001-01-25,1038,1038,1038,1038,7400
2001-01-30,1030,1030,1030,1030,1200
2001-02-01,1045,1045,1045,1045,150
2001-02-07,1047,1052,1047,1047,2310
2001-02-09,1035,1035,1035,1035,246
2001-02-15,1052,1052,1052,1052,1140
2001-02-16,1057,1075,1057,1075,2634
2001-02-20,1070,1070,1070,1070,1700
2001-02-23,1070,1070,1070,1070,500
2001-03-05,1095,1095,1095,1095,128
2001-03-06,1075,1095,1075,1095,3525
2001-03-08,1090,1090,1090,1090,412
2001-03-09,1090,1090,1090,1090,300
2001-03-16,1110,1110,1090,1090,780
2001-03-21,1085,1085,1085,1085,500
2001-03-22,1055,1055,1055,1055,128
2001-03-23,1055,1055,1055,1055,1450
2001-03-26,1090,1090,1090,1090,2995
2001-03-27,1060,1085,1060,1085,1500
2001-03-30,1100,1110,1085,1085.5,16450
2001-04-02,1110,1130,1110,1130,2575
2001-04-03,1107,1107,1070,1070,6500
2001-04-05,1090,1090,1082,1082,2850
2001-04-06,1070,1085,1050,1050,3025
2001-04-09,1060,1060,1060,1060,576
2001-04-11,1060,1100,1060,1100,1376
2001-04-19,1080,1130,1080,1130,8243
2001-04-20,1120,1130,1120,1130,1650
2001-04-24,1112,1112,1110,1110,2600
2001-04-25,1135,1135,1135,1135,1750
2001-04-26,1140,1140,1090,1090,2963
2001-04-27,1100,1100,1100,1100,715
2001-04-30,1090,1090,1090,1090,1000
2001-05-01,1085,1085,1085,1085,1100
2001-05-02,1125,1125,1125,1125,406
2001-05-03,1085,1085,1070,1070,6200
2001-05-04,1070,1070,1070,1070,993
2001-05-08,1080,1100,1080,1100,6800
2001-05-11,1100,1120,1080,1080,4435
2001-05-16,1115,1115,1115,1115,1000
2001-05-23,1092,1092,1092,1092,74
2001-06-06,1125,1125,1125,1125,520
2001-06-13,1130,1130,1130,1130,1500
2001-06-14,1100,1100,1100,1100,2000
2001-06-18,1140,1140,1130,1140,4438
2001-06-19,1150,1150,1150,1150,900
2001-06-20,1150,1150,1150,1150,4709
2001-06-21,1140,1140,1140,1140,500
2001-07-06,1111,1111,1111,1111,1000
2001-07-09,1150,1150,1150,1150,191
2001-07-11,1150,1150,1150,1150,400
2001-07-12,1150,1150,1150,1150,670
2001-07-13,1110,1110,1110,1110,892
2001-07-16,1150,1150,1150,1150,100
2001-07-17,1150,1150,1150,1150,800
2001-07-18,1112,1112,1112,1112,280
2001-07-24,1170,1170,1170,1170,3900
2001-07-25,1173,1173,1173,1173,890
2001-07-26,1140,1140,1140,1140,1111
2001-07-30,1155,1155,1155,1155,1000
2001-07-31,1180,1180,1180,1180,578
2001-08-02,1180,1180,1180,1180,1000
2001-08-15,1180,1180,1180,1180,600
2001-08-17,1130,1130,1130,1130,376
2001-08-21,1180,1180,1180,1180,80
2001-08-24,1180,1180,1180,1180,264
2001-08-28,1140,1140,1140,1140,2500
2001-08-29,1178,1178,1178,1178,3300
2001-09-04,1130,1190,1130,1190,2085
2001-09-07,1135,1135,1135,1135,400
2001-09-17,1130,1130,1130,1130,200
2001-09-19,1135,1135,1130,1130,650
2001-09-20,1130,1130,1130,1130,3000
2001-09-21,1175,1175,1125,1125,1817
2001-09-24,1120,1145,1120,1145,4500
2001-09-26,1120,1140,1120,1140,490
2001-09-27,1090,1090,1090,1090,263
2001-10-01,1140,1140,1140,1140,500
2001-10-02,1140,1150,1140,1150,530
2001-10-04,1140,1140,1140,1140,635
2001-10-05,1140,1140,1140,1140,175
2001-10-08,1190,1190,1190,1190,500
2001-10-09,1200,1200,1200,1200,200
2001-10-12,1190,1190,1190,1190,300
2001-10-15,1150,1150,1150,1150,750
2001-10-16,1165,1165,1120,1140,13600
2001-10-18,1130,1130,1130,1130,5000
2001-10-19,1165,1165,1165,1165,505
2001-11-02,1135,1135,1135,1135,200
2001-11-06,1180,1180,1180,1180,20
2001-11-08,1180,1180,1180,1180,1180
2001-11-09,1185,1185,1185,1185,100
2001-11-12,1135,1135,1135,1135,634
2001-11-13,1135,1175,1135,1175,391
2001-11-15,1183,1183,1137,1150,7050
2001-11-16,1180,1180,1180,1180,200
2001-11-22,1190,1190,1190,1190,300
2001-11-26,1185,1185,1185,1185,1260
2001-11-28,1190,1190,1190,1190,334
2001-11-29,1142,1190,1142,1190,480
2001-12-03,1190,1190,1190,1190,608
2001-12-07,1205,1205,1205,1205,4100
2001-12-11,1165,1165,1165,1165,264
2001-12-13,1215,1215,1215,1215,570
2001-12-17,1220,1220,1175,1175,1089
2002-01-02,1220,1220,1220,1220,157
2002-01-03,1220,1220,1220,1220,409
2002-01-04,1230,1230,1230,1230,160
2002-01-07,1200,1200,1200,1200,1000
2002-01-08,1230,1230,1230,1230,20
2002-01-10,1190,1190,1190,1190,1000
2002-01-11,1230,1230,1230,1230,375
2002-01-14,1230,1230,1230,1230,81
2002-01-17,1190,1190,1190,1190,725
2002-01-21,1205,1205,1205,1205,1450
2002-01-23,1230,1230,1180,1180,340
2002-01-24,1230,1230,1182,1182,4100
2002-01-25,1230,1230,1230,1230,80
2002-01-29,1230,1230,1230,1230,400
2002-01-30,1180,1230,1180,1230,750
2002-01-31,1230,1230,1230,1230,800
2002-02-04,1227,1227,1227,1227,563
2002-02-07,1182,1185,1180,1185,1581
2002-02-11,1280,1280,1280,1280,2000
2002-02-14,1230,1230,1230,1230,45
2002-02-15,1230,1230,1230,1230,541
2002-02-18,1250,1250,1250,1250,1065
2002-02-19,1270,1270,1270,1270,200
2002-02-20,1275,1275,1230,1275,2112
2002-02-25,1265,1265,1265,1265,2800
2002-02-26,1245,1245,1245,1245,200
2002-02-28,1245,1245,1245,1245,200
2002-03-01,1290,1299,1290,1299,1084
2002-03-04,1300,1300,1300,1300,600
2002-03-05,1285,1295,1260,1260,18800
2002-03-06,1305,1305,1305,1305,450
2002-03-07,1310,1310,1310,1310,317
2002-03-08,1260,1265,1260,1265,1500
2002-03-12,1285,1285,1285,1285,1910
2002-03-13,1310,1310,1310,1310,151
2002-03-14,1260,1260,1260,1260,1200
2002-03-18,1280,1280,1280,1280,364
2002-03-19,1235,1240,1220,1240,11300
2002-03-20,1280,1280,1280,1280,1200
2002-03-21,1230,1230,1230,1230,388
2002-03-22,1280,1280,1280,1280,527
2002-03-25,1230,1240,1230,1240,7450
2002-03-26,1280,1280,1280,1280,250
2002-03-27,1230,1230,1230,1230,14150
2002-03-28,1275,1275,1230,1230,25380
2002-04-02,1230,1230,1230,1230,825
2002-04-03,1280,1280,1230,1230,96
2002-04-04,1280,1280,1230,1230,1693
2002-04-05,1280,1280,1278,1280,268
2002-04-08,1255,1255,1230,1250,1680
2002-04-09,1280,1280,1230,1280,4327
2002-04-11,1275,1275,1240,1245,7650
2002-04-12,1280,1280,1280,1280,307
2002-04-15,1230,1280,1230,1280,730
2002-04-16,1235,1235,1235,1235,1300
2002-04-17,1277,1277,1260,1260,1100
2002-04-18,1220,1275,1220,1275,2190
2002-04-19,1220,1220,1220,1220,94470
2002-04-22,1220,1278,1220,1230,32465
2002-04-23,1205,1205,1205,1205,1000
2002-04-24,1265,1265,1265,1265,6079
2002-04-25,1265,1265,1265,1265,1080
2002-04-26,1265,1265,1265,1265,670
2002-04-29,1215,1217,1215,1217,1100
2002-05-01,1215,1215,1215,1215,388
2002-05-09,1265,1265,1220,1220,134
2002-05-16,1267,1267,1267,1267,390
2002-05-22,1260,1260,1245,1245,2110
2002-05-23,1240,1265,1240,1265,765
2002-05-27,1243,1243,1243,1243,5600
2002-05-29,1240,1240,1240,1240,1089
2002-05-31,1280,1285,1280,1285,913
2002-06-07,1285,1285,1285,1285,600
2002-06-10,1290,1290,1285,1285,118
2002-06-11,1288,1288,1288,1288,500
2002-06-12,1275,1275,1242,1242,985
2002-06-13,1285,1285,1285,1285,480
2002-06-14,1287,1287,1260,1260,1618
2002-06-19,1240,1240,1240,1240,600
2002-06-24,1290,1290,1245,1245,6436
2002-06-26,1235,1235,1235,1235,200
2002-06-28,1238,1238,1235,1235,934
2002-07-01,1220,1220,1220,1220,200
2002-07-03,1220,1220,1220,1220,2
2002-07-04,1265,1270,1265,1270,650
2002-07-05,1270,1270,1270,1270,12868
2002-07-08,1225,1225,1225,1225,1000
2002-07-09,1220,1220,1220,1220,4
2002-07-10,1220,1225,1220,1225,2450
2002-07-12,1220,1230,1220,1220,1485
2002-07-15,1265,1265,1265,1265,782
2002-07-16,1220,1220,1210,1210,1200
2002-07-17,1210,1210,1150,1150,15735
2002-07-18,1200,1210,1200,1210,2000
2002-07-19,1200,1200,1150,1152,2256
2002-07-23,1185,1185,1145,1145,667
2002-07-25,1145,1145,1145,1145,200
2002-07-26,1194,1194,1194,1194,82
2002-07-29,1193,1194,1145,1145,1701
2002-07-30,1195,1195,1195,1195,1000
2002-08-02,1145,1145,1145,1145,770
2002-08-07,1145,1195,1145,1195,794
2002-08-09,1135,1180,1135,1180,4065
2002-08-15,1195,1205,1195,1205,1500
2002-08-16,1200,1200,1200,1200,166
2002-08-19,1205,1205,1205,1205,81
2002-08-21,1205,1205,1205,1205,500
2002-08-22,1225,1225,1225,1225,500
2002-08-27,1235,1235,1235,1235,1240
2002-09-05,1235,1235,1235,1235,3
2002-09-16,1240,1240,1240,1240,390
2002-09-19,1195,1195,1185,1185,9535
2002-09-20,1185,1200,1185,1200,660
2002-09-23,1152,1152,1150,1150,495
2002-09-24,1150,1150,1150,1150,200
2002-09-25,1200,1200,1190,1190,2584
2002-09-30,1170,1170,1170,1170,5275
2002-10-01,1175,1175,1175,1175,5775
2002-10-03,1215,1215,1215,1215,81
2002-10-04,1187,1187,1187,1187,10000
2002-10-07,1215,1215,1215,1215,84
2002-10-14,1220,1220,1220,1220,600
2002-10-15,1175,1175,1175,1175,5900
2002-10-17,1220,1230,1220,1230,6400
