Date,Open,High,Low,Close,Volume
2000-01-04,223,223,220,221,98970
2000-01-05,221.5,221.5,218,220,57000
2000-01-06,223,223,220,222,15260
2000-01-07,222,225,220,223,27917
2000-01-10,225,233,225,230,29429
2000-01-11,233,236,230,233,79262
2000-01-12,235,247,230,247,45788
2000-01-13,246.5,258,242,255,634546
2000-01-14,254,258,253,258,29392
2000-01-17,253,257,253,253,18224
2000-01-18,253,253,245,249,79903
2000-01-19,247.5,247.5,245,245,6070
2000-01-20,245,248,240,240,41263
2000-01-21,240,244,240,243,23756
2000-01-24,239,243,235,238,21850
2000-01-25,232,232.5,228,230,21400
2000-01-26,230.5,230.5,225,225,5376
2000-01-27,230,230,230,230,50000
2000-01-28,228,229,228,229,6182
2000-01-31,232,232,232,232,851
2000-02-01,233,233,232,232,19000
2000-02-02,234,237,234,237,52500
2000-02-03,235,237,235,235,75417
2000-02-04,235,237,235,237,5609
2000-02-07,235,237,235,235,70286
2000-02-08,235,236,235,235,27600
2000-02-09,235,237,235,236,117959
2000-02-10,236,240,235,237,14637
2000-02-11,235,238,235,235,82000
2000-02-14,239,239,239,239,514
2000-02-15,240,240,240,240,6313
2000-02-16,235,240,235,236,9970
2000-02-17,245,260,245,252,49074
2000-02-18,253,253,245,248,8543
2000-02-21,250,250,247,249.5,10197
2000-02-22,249.25,250,247.5,247.5,2859
2000-02-23,249.25,250,247,250,18306
2000-02-24,249,249,248,249,10070
2000-02-25,245,246,244,245,11656
2000-02-28,242.5,245,237,237,61058
2000-02-29,240.5,241,236,236,75100
2000-03-01,240,240,235,235,70000
2000-03-02,239,250,236,236,25000
2000-03-03,249.5,249.5,244,245,24856
2000-03-06,245,245,245,245,5600
2000-03-07,245,250,240,240,64387
2000-03-08,248,250,245.5,250,14500
2000-03-09,245,250,245,249,24200
2000-03-10,245,245,245,245,6000
2000-03-13,243,245,238,238,16666
2000-03-14,240,240,240,240,3250
2000-03-15,240,242,238.5,238.5,32906
2000-03-16,239,239,237.5,237.5,30126
2000-03-20,237.75,237.75,237,237,519
2000-03-21,237.5,240,237.5,237.75,3606
2000-03-22,235,240,230,235,18676
2000-03-23,233,233,220,220,22819
2000-03-24,228,230,228,230,2727
2000-03-27,230,230,230,230,4174
2000-03-28,232,235,231,231,157664
2000-03-29,231,231.11,230,230,66629
2000-03-30,230,230,230,230,4750
2000-03-31,231.5,231.5,230,230,5690
2000-04-03,230,230,230,230,63808
2000-04-04,232,232,232,232,1000
2000-04-05,227,227,227,227,3700
2000-04-06,225,227,225,227,25800
2000-04-07,227,227,227,227,3997
2000-04-10,227,227,223,223,6300
2000-04-11,223,223,220.75,220.75,14515
2000-04-12,220,222,218,218,16500
2000-04-13,218,218,217,217,8000
2000-04-14,215,217,210,210,7238
2000-04-17,207,207,207,207,521
2000-04-18,207,207.75,207,207.75,2860
2000-04-20,210,215,210,210,26500
2000-04-25,218,222.5,218,222.5,3000
2000-04-26,218,218,218,218,10000
2000-04-27,215,215,215,215,3000
2000-05-02,219,220,215.5,215.5,1702
2000-05-04,216,216,216,216,7100
2000-05-05,219,219,219,219,22167
2000-05-08,215,215,215,215,500
2000-05-09,215,215,215,215,3750
2000-05-10,215,215.75,215,215.75,6210
2000-05-11,215.75,215.75,215.75,215.75,100
2000-05-12,213,213,213,213,1700
2000-05-15,214,214,214,214,176
2000-05-17,217,217,214,214,3225
2000-05-18,214,214,214,214,198
2000-05-22,213,213,213,213,10000
2000-05-23,214.25,214.25,212.75,212.75,1896
2000-05-24,212.75,212.75,212,212,2962
2000-05-25,210.5,212,210,212,5572
2000-05-26,209,213,209,213,25200
2000-05-30,212,213,210,210,8820
2000-05-31,215,220,215,219,91300
2000-06-01,225,225,225,225,500
2000-06-02,228,228,225,225,18000
2000-06-05,227.25,232,227.25,230,6367
2000-06-06,232,233,232,233,13239
2000-06-07,233,233,230,232.5,19500
2000-06-08,235,235,235,235,2000
2000-06-09,235,240,235,240,15200
2000-06-12,243,245,243,245,7800
2000-06-13,247,255,246,252,89941
2000-06-14,253,253,248,248,107041
2000-06-15,250,253,250,252,39773
2000-06-16,252.25,255,250,250,6251
2000-06-19,251,253,250,250,4717
2000-06-20,250,253,250,252.25,4321
2000-06-21,252,253,248.5,248.5,112595
2000-06-22,254,254,254,254,20000
2000-06-23,253,253,248.5,250.5,50527
2000-06-26,248,257,248,253,147589
2000-06-27,255,255,255,255,32619
2000-06-28,255,257,252,254,105380
2000-06-29,254,254,254,254,4000
2000-06-30,253,253,245,245,37945
2000-07-03,253,253,248,252,5700
2000-07-04,248,252,248,248,4786
2000-07-05,250,250,245,250,18660
2000-07-06,249,249,249,249,50201
2000-07-07,245,245,245,245,1000
2000-07-10,245,245.5,245,245.5,2458
2000-07-11,248,249,245,245,6100
2000-07-12,245,249,245,249,12000
2000-07-13,248,249,245,249,22350
2000-07-14,249,249,245,245,17331
2000-07-18,245.5,245.5,245.5,245.5,735
2000-07-19,249.5,249.5,246,246,136159
2000-07-20,249,249.5,249,249.5,12200
2000-07-21,245.5,245.5,245.5,245.5,500
2000-07-24,247,251.5,247,251.5,1100
2000-07-25,243,247,243,245,95252
2000-07-26,239,243,239,243,25176
2000-07-27,244,246,244,246,36000
2000-07-31,247,247,247,247,27350
2000-08-01,247,250,245,245,104000
2000-08-03,247.5,247.5,247.5,247.5,100
2000-08-04,247,247,247,247,14200
2000-08-07,247,247,243,243,8090
2000-08-08,246.5,247,243,247,1736
2000-08-09,245,245,245,245,2000
