Date,Open,High,Low,Close,Volume
2016-02-05,241.5,245,234,240,35261328
2016-02-08,240,240.25,224.75,228,4075307
2016-02-09,225,240,216.7453,219,5721546
2016-02-10,222,223,217,223,1441452
2016-02-11,222.75,226.75,214.65,224.5,1551324
2016-02-12,220,235.25,220,233,551973
2016-02-15,234,240,224.3882,235,377593
2016-02-16,235,240,235,240,250197
2016-02-17,238,240.75,238,240,538414
2016-02-18,240,240.4739,237,238.75,241315
2016-02-19,240,240,237,237.5,563562
2016-02-22,240,240,238,239.5,1674921
2016-02-23,239,239.275,237.5,237.5,76972
2016-02-24,238,239,236.5,238,180609
2016-02-25,238.25,239.03,236.5,236.5,280719
2016-02-26,238,238.6,236.25,236.25,27554
2016-02-29,236,237,234,234.5,159759
2016-03-01,222,235,218.175,231.75,326717
2016-03-02,240,240,230.75,240,258252
2016-03-03,240,241,237.5,240.25,354757
2016-03-04,243,243,240.5,240.75,173114
2016-03-07,244,244,240.5,244,540572
2016-03-08,243,243.9,239,242.75,164045
2016-03-09,241.25,243.2,241,242,181623
2016-03-10,242.5,243,240.5,242,74395
2016-03-11,240.75,248,240,247.75,293510
2016-03-14,247,249,245,247,113933
2016-03-15,246,246.4,243,245,42509
2016-03-16,245.5,246,242,243.75,155501
2016-03-17,244,245,238,239.75,511904
2016-03-18,240,244.1033,240,240.5,253907
2016-03-21,240.25,245,235.25,240,380261
2016-03-22,238,244,238,244,1679145
2016-03-23,243.25,247,243,246.75,153531
2016-03-24,246,253,245,251,339008
2016-03-29,250,252.5,245.25,249,223475
2016-03-30,252.25,254.0112,247,253,234987
2016-03-31,248,254.3,235.06,245,265448
2016-04-01,247,259,244,246,64288
2016-04-04,241,248,241,247,259603
2016-04-05,248.5,248.75,245,246,1134251
2016-04-06,247,250,246,246.5,44737
2016-04-07,259,259,243.25,245,153520
2016-04-08,245,247.75,244,244,19867
2016-04-11,245,255.25,242,242.5,50607
2016-04-12,242,245,233,235,345027
2016-04-13,236.25,242.5,236.25,239,61311
2016-04-14,241,244.5,238,244.5,152733
2016-04-15,242.75,246.1406,237.625,246,368396
2016-04-18,247,255.75,243,247.75,1217469
2016-04-19,249.75,254,248.5,253.25,1146926
2016-04-20,254,259,251.25,255,172933
2016-04-21,264,264,252,252,472880
2016-04-22,251.75,260.75,238.15,253.25,99179
2016-04-25,250,256,250,254.75,52136
2016-04-26,250,255.25,250,254,66516
2016-04-27,241,258.75,240.5,250,195037
2016-04-28,250,253.5625,249.5,250,150179
2016-04-29,265,265,247.75,250,126547
2016-05-03,252.5,253,250,253,196260
2016-05-04,255,255,241.8125,253.5,258206
2016-05-05,255,255,250,254.5,52833
2016-05-06,254,254,246,250,156881
2016-05-09,250,254,248,250.5,199722
2016-05-10,255,260,246.75,253,121273
2016-05-11,256,259,241.55,255.25,139369
2016-05-12,245,267.75,245,262.25,100375
2016-05-13,251.25,274.25,251.25,268.5,336303
2016-05-16,266,277,259.5,275,286421
2016-05-17,270,279,256.575,267.75,14515000
2016-05-18,268,277.75,259.9,268.5,147319
2016-05-19,279,279,265.5,269,101156
2016-05-20,255,270.75,255,270.75,72995
2016-05-23,266,270,266,269.5,29820
