Date,Open,High,Low,Close,Volume
2000-01-04,140.679,147.051,135.711,141.876,8484072
2000-01-05,136.305,147.249,136.305,146.457,19836152
2000-01-06,143.271,147.249,143.271,144.261,9907512
2000-01-07,143.271,146.457,139.293,141.678,8829067
2000-01-10,141.678,147.249,135.306,145.656,7164808
2000-01-11,142.47,145.854,135.306,144.864,9040362
2000-01-12,147.249,147.249,137.898,140.481,8267024
2000-01-13,139.689,142.47,131.328,139.689,11051468
2000-01-14,139.293,153.288,139.293,146.655,8989021
2000-01-17,145.656,151.227,140.283,143.073,6220166
2000-01-18,144.864,144.864,139.293,139.491,9402234
2000-01-19,139.293,144.864,139.293,141.678,9740148
2000-01-20,141.084,147.249,136.107,142.47,27099102
2000-01-21,141.678,146.457,140.886,143.865,24258868
2000-01-24,143.667,147.249,141.678,146.853,7760261
2000-01-25,144.063,156.006,144.063,151.623,25700676
2000-01-26,147.447,152.622,146.853,150.039,9126761
2000-01-27,151.83,151.83,148.041,150.633,5462673
2000-01-28,159.192,159.192,139.293,147.843,5065707
2000-01-31,149.436,154.413,143.667,150.237,9684290
2000-02-01,147.249,152.82,147.249,150.237,11887096
2000-02-02,145.656,150.453,145.656,146.052,15185664
2000-02-03,145.656,148.842,143.271,147.051,17013976
2000-02-04,149.634,149.634,135.306,144.459,15281041
2000-02-07,143.271,148.644,143.271,147.447,7895645
2000-02-08,148.041,151.227,143.271,146.655,27764872
2000-02-09,143.271,148.842,141.678,143.469,15448312
2000-02-10,149.634,149.634,141.678,142.47,60995872
2000-02-11,144.864,144.864,134.514,137.898,22981280
2000-02-14,138.888,141.084,135.306,137.898,8391305
2000-02-15,138.492,148.842,138.096,146.853,48177500
2000-02-16,148.842,151.227,143.271,146.25,14013176
2000-02-17,143.271,147.645,138.492,141.282,13236420
2000-02-18,138.096,146.655,137.7,145.26,12087750
2000-02-21,144.864,148.842,143.667,148.248,17623520
2000-02-22,148.248,155.007,145.26,146.655,28034488
2000-02-23,151.227,151.227,139.293,144.063,11712591
2000-02-24,155.205,155.205,144.459,144.864,21332658
2000-02-25,150.435,171.324,144.864,168.939,60560108
2000-02-28,168.741,172.323,160.776,162.369,20292588
2000-02-29,164.763,171.126,163.17,170.136,34826024
2000-03-01,168.741,185.85,168.741,179.883,15826078
2000-03-02,179.091,183.069,169.929,171.927,22612878
2000-03-03,174.312,184.662,171.126,183.069,8225519
2000-03-06,173.115,209.331,173.115,201.573,20649464
2000-03-07,204.561,204.561,189.432,199.782,33254232
2000-03-08,202.968,209.727,182.268,199.782,22747514
2000-03-09,197.397,201.969,173.511,192.42,14316527
2000-03-10,191.826,201.969,190.233,199.98,22081602
2000-03-13,198.189,212.517,198.189,204.156,17412816
2000-03-14,204.957,211.716,197.397,209.133,36024804
2000-03-15,208.737,218.88,197.397,205.947,23915020
2000-03-16,210.726,210.726,181.08,190.431,18704190
2000-03-17,195.003,200.772,176.103,180.675,17022224
2000-03-20,180.279,199.386,180.279,185.256,18546220
2000-03-21,182.268,200.574,182.268,196.992,19634038
2000-03-22,201.969,201.969,187.047,191.619,12576651
2000-03-23,193.41,195.003,187.839,192.42,7337631
2000-03-24,191.025,201.969,189.828,197.397,7340503
2000-03-27,201.375,206.145,195.003,203.958,8788334
2000-03-28,205.353,219.681,194.409,202.563,4780224
2000-03-29,198.981,206.946,195.804,197.991,21969014
