Date,Open,High,Low,Close,Volume
2000-01-04,6,7,6,6,180891
2000-01-05,6,6.5,6,6,85154
2000-01-06,6,6.5,6,6.5,20538
2000-01-07,6.5,6.5,6,6,187032
2000-01-10,6,6.5,6,6,140416
2000-01-11,6,6,6,6,40210
2000-01-12,6,7,6,7,142261
2000-01-13,6,7,6,6,538000
2000-01-14,7,7,6,7,94325
2000-01-17,6,6,6,6,118020
2000-01-18,6,7,6,6,121437
2000-01-19,6,6,6,6,168844
2000-01-20,7,7,6,6,114445
2000-01-21,6,6.75,6,6,62621
2000-01-24,6,6.75,6,6.75,99127
2000-01-25,6,6,6,6,22288
2000-01-26,6,6,6,6,65882
2000-01-27,6,6.5,6,6,235500
2000-01-28,6,6,6,6,5300
2000-01-31,6.5,6.5,6,6.5,42060
2000-02-01,6,6.5,6,6.5,54381
2000-02-03,5.5,6.5,5.5,5.5,18940
2000-02-04,5.5,6.5,5.5,5.5,162444
2000-02-07,6.25,6.25,5.5,5.5,32297
2000-02-08,5.5,6.25,5.5,5.5,76250
2000-02-09,5.5,5.5,5.5,5.5,99000
2000-02-10,5.5,5.5,5.25,5.25,89412
2000-02-11,5.25,6.25,5,5,161024
2000-02-14,6,6,5.25,5.25,45255
2000-02-15,5.25,5.75,5,5.75,220018
2000-02-16,5.75,5.75,5,5,115635
2000-02-17,5,5,5,5,150799
2000-02-18,5,5.25,5,5.25,114309
2000-02-21,5,5.25,5,5.25,94882
2000-02-22,5.25,5.25,5.25,5.25,10518
2000-02-23,5.25,5.25,5,5,36188
2000-02-24,5.25,5.25,5.25,5.25,28676
2000-02-25,5.25,5.25,4.25,5.25,43903
2000-02-28,5,5,4.25,5,183057
2000-02-29,5,5,4.25,4.25,87700
2000-03-01,4.25,5,4.25,5,42850
2000-03-02,4.25,5,4.25,4.25,72274
2000-03-03,5,5,4.25,5,77932
2000-03-06,5,5,4,4.75,156500
2000-03-07,4.75,4.75,4,4.75,469225
2000-03-08,4.5,4.75,4,4.75,57561
2000-03-09,4.75,4.75,4,4.5,176687
2000-03-10,4,4.75,4,4,90285
2000-03-13,4.75,4.75,4,4.75,206865
2000-03-14,4.25,4.25,4,4.25,208403
2000-03-15,4.25,4.25,4,4.25,76108
2000-03-16,4.25,4.25,4,4.25,134326
2000-03-17,4,4.25,4,4.25,456874
2000-03-20,4.25,4.25,4,4.25,410303
2000-03-22,4,4.25,4,4.25,14129
2000-03-23,4.25,4.5,4,4.5,326447
2000-03-24,4.25,4.25,4,4.25,139700
2000-03-27,4,4.25,3.5,4,499771
2000-03-28,4,4.25,3.5,4.25,438971
2000-03-29,3.5,4.25,3.5,4.25,415725
2000-03-30,4,4.25,3.25,4.25,892793
2000-03-31,4.25,4.25,3.25,3.5,284825
2000-04-03,4.25,4.25,3.5,3.5,275288
2000-04-04,3.5,4.25,3.25,3.75,511444
2000-04-05,3.25,3.25,3.25,3.25,180045
2000-04-06,4,4,3.25,3.75,1350273
2000-04-07,3.75,3.75,3,3.75,419332
2000-04-10,3.75,3.75,3,3,275970
2000-04-11,3.75,3.75,3,3.75,63993
2000-04-12,3,3.75,3,3.75,486933
2000-04-13,3.75,3.75,3,3.75,148702
2000-04-14,3.75,3.75,3,3,218742
2000-04-17,3,3.5,3,3.5,280711
2000-04-18,3.5,3.5,3,3,258827
2000-04-19,3.5,3.5,3,3,236852
2000-04-20,3.5,3.5,3,3,36823
2000-04-25,3.5,3.5,3.5,3.5,22000
2000-04-26,3.5,3.5,3,3,226215
2000-04-27,3.5,3.5,3,3,74562
2000-04-28,3.5,3.5,3.25,3.25,1245743
2000-05-02,3,3.5,3,3.5,106108
2000-05-03,3,3.5,3,3.5,64734
2000-05-04,3,3.5,3,3.5,3147062
2000-05-05,3.5,3.5,3.25,3.5,2150477
2000-05-08,4,4,3.5,3.5,1101500
2000-05-09,4,4,3.25,4,25114
2000-05-10,4,4,3.25,3.25,41186
2000-05-11,3.25,3.25,3.25,3.25,28000
2000-05-12,3.25,4,3.25,3.25,16635
2000-05-15,3.25,3.5,3.25,3.25,115158
2000-05-16,3.25,3.25,3.25,3.25,115538
2000-05-17,3.25,4,3.25,3.25,133243
2000-05-18,3.25,4,3.25,3.75,552000
2000-05-19,3.25,3.75,3.25,3.75,110228
2000-05-22,3.75,3.75,3.25,3.75,128289
2000-05-23,3.25,3.75,3.25,3.75,45380
2000-05-24,3.5,3.5,3.25,3.25,50893
2000-05-25,3.5,3.5,3.25,3.5,15124
2000-05-26,3.25,3.5,3.25,3.5,11555
2000-05-30,3.5,3.5,3.25,3.5,17250
2000-05-31,3.5,3.5,3.5,3.5,5000
2000-06-01,3.25,3.5,3.25,3.5,21501
2000-06-02,3.5,3.5,3.25,3.25,132900
2000-06-05,3.25,3.25,3.25,3.25,1375
2000-06-06,3.25,3.5,3.25,3.25,175511
2000-06-07,3.25,3.25,3.25,3.25,1857
2000-06-08,3,3.5,3,3.5,54093
2000-06-09,3,3.5,3,3,23169
