Date,Open,High,Low,Close,Volume
2001-02-02,456.0711,525.144,456.0711,514.7358,25094481
2001-02-05,515.682,539.3371,515.682,519.4668,16327286
2001-02-06,524.1979,524.1979,495.8117,506.6931,12202426
2001-02-07,510.951,517.5744,495.8117,509.5316,13045593
2001-02-08,509.0586,528.9288,506.22,521.8323,16657992
2001-02-09,512.8434,520.4131,509.0586,513.0799,9728561
2001-02-12,510.951,515.682,501.4889,508.1124,13746154
2001-02-13,509.0586,527.0364,509.0586,523.2516,17870688
2001-02-14,517.3852,529.8751,515.682,525.144,12042679
2001-02-15,529.8751,544.0682,520.4131,534.6062,13465702
2001-02-16,534.6062,544.0682,525.144,537.4447,8355006
2001-02-19,532.7138,537.4447,523.4882,528.9288,5376080
2001-02-20,527.9827,539.3371,527.0364,532.2406,6716079
2001-02-21,537.4447,544.0682,528.9288,531.7675,5980061
2001-02-22,531.2944,534.8427,522.3055,530.1116,7533808
2001-02-23,527.6988,541.2295,523.4882,536.4986,9716552
2001-02-26,538.6748,550.9282,535.5523,535.5523,7091546
2001-02-27,529.402,536.4986,523.2516,525.144,6219138
2001-02-28,519.9399,528.9288,518.5207,522.3055,8227627
2001-03-01,527.5096,527.5096,506.22,522.3055,9536055
2001-03-02,520.4131,525.144,504.3276,510.951,3889178
2001-03-05,516.1551,520.4131,504.3276,515.2089,2690307
2001-03-06,515.682,527.0364,515.682,523.2516,9607367
2001-03-07,527.3204,532.7138,520.6496,528.9288,3032923
2001-03-08,548.7992,548.7992,517.5744,523.2516,9586878
2001-03-09,548.7992,548.7992,516.6283,520.4131,3213576
2001-03-12,521.8323,522.7786,505.7468,512.3703,3433487
2001-03-13,506.22,508.1124,496.7579,500.5427,9962552
2001-03-14,500.5427,501.7255,482.5648,490.1344,10185213
2001-03-15,486.3496,501.4889,484.4572,501.4889,6449141
2001-03-16,501.4889,502.4351,482.5648,492.0269,10127331
2001-03-19,498.1772,517.5744,490.1344,514.7358,6836076
2001-03-20,519.9399,519.9399,498.6503,504.3276,6647018
2001-03-21,501.4889,504.8007,492.0269,494.3924,3882550
2001-03-22,492.0269,492.0269,454.1787,472.1565,5380859
2001-03-23,474.9952,496.7579,469.7911,492.0269,8941189
2001-03-26,501.4889,501.4889,483.0379,492.0269,10089503
2001-03-27,490.6076,499.5965,484.4572,492.0269,5742980
2001-03-28,491.0807,491.0807,468.3717,480.6724,8230347
2001-03-29,480.6724,489.1883,474.9952,484.4572,5707679
2001-03-30,492.0269,492.0269,458.9097,474.9952,5461131
2001-04-02,477.3607,478.78,463.6407,475.9413,6694449
2001-04-03,478.3069,484.4572,470.2641,479.7263,6390051
2001-04-04,479.7263,492.0269,473.1028,492.0269,9400317
2001-04-05,485.4035,505.2738,484.4572,500.5427,7700580
2001-04-06,505.2738,505.2738,491.5538,493.9193,7290678
2001-04-09,493.4462,500.5427,482.5648,494.3924,5987889
2001-04-10,491.5538,498.6503,490.1344,498.6503,5250388
2001-04-11,489.1883,512.3703,489.1883,510.951,6476698
2001-04-12,511.8972,511.8972,492.0269,506.22,3814625
2001-04-17,505.7468,508.5855,492.0269,503.3813,5215522
2001-04-18,506.22,510.951,501.4889,506.22,4784930
2001-04-19,513.7896,520.4131,496.7579,510.951,8591861
2001-04-20,498.6503,515.682,498.6503,515.682,6293218
2001-04-23,508.5855,515.2089,506.6931,509.5316,3389782
2001-04-24,513.7896,523.2516,506.22,508.1124,8734875
2001-04-25,502.4351,513.7896,498.6503,505.7468,2786293
2001-04-26,505.2738,509.0586,503.3813,505.2738,3668882
2001-04-27,505.2738,509.0586,504.3276,506.6931,4812741
2001-04-30,502.4351,513.7896,495.3386,507.1662,5946973
2001-05-01,488.242,507.6392,488.242,504.3276,3560014
2001-05-02,501.0159,508.5855,501.0159,505.7468,6423493
2001-05-03,505.7468,507.1662,497.7041,501.4889,4626300
