Date,Open,High,Low,Close,Volume
2000-01-04,281,281,280,281,10300
2000-01-05,278,299,278,295,861021
2000-01-06,292,296,291,294,24492
2000-01-07,297,297,293,294.5,88793
2000-01-10,293,295.5,292,292.5,47231
2000-01-11,298,298,295,297,595074
2000-01-12,294,295,294,295,450001
2000-01-13,295.5,297,291,295.5,512366
2000-01-14,296,296,294,294,37452
2000-01-17,290,290,286,286,104096
2000-01-18,288,288,279,281.5,66320
2000-01-19,279,287,274,276.5,45270
2000-01-20,290,296,286,292,1345807
2000-01-21,288,288,273,273,45897
2000-01-24,277,277,271,271,3756
2000-01-25,272,273.5,270,273.5,45999
2000-01-26,270,270,270,270,11000
2000-01-27,271,271,270,270,11000
2000-01-28,270,275,270,272.5,1017348
2000-01-31,268,270,261,261,508240
2000-02-01,260,261.5,260,261.5,119694
2000-02-02,253,253,250,250,50258
2000-02-03,251,254,250.87,250.87,24537
2000-02-04,251,252.5,250.8745,250.8745,47355
2000-02-07,251,251,250,250.5,311843
2000-02-08,248.5,248.5,245,246,115171
2000-02-09,243,246,242,246,99871
2000-02-10,240,240.5,235,235,114838
2000-02-11,230,233,227,227,181555
2000-02-14,228,229,223,229,6147
2000-02-15,222,222,218,222,36501
2000-02-16,219,219,210,212,229387
2000-02-17,208,213,208,209,973964
2000-02-18,214,214,210,214,14607
2000-02-21,213,218,211.5,212,426767
2000-02-22,220,226,220,220.5,421451
2000-02-23,226,232,225,231,3413285
2000-02-24,228,233,228,232.5,3165708
2000-02-25,228,234,228,228,266459
2000-02-28,233,234,227,227.5,55552
2000-02-29,228,230.5,228,230.5,28895
2000-03-01,235,244,233,235.57,3703993
2000-03-02,244,280,238,260,2499154
2000-03-03,265,277,265,276,322241
2000-03-06,284,285,277.861,277.861,246102
2000-03-07,283,284,278,281,493947
2000-03-08,277,282,277,278,27716
2000-03-09,281,281,265,275.862,188548
2000-03-10,250,254,243,247,59742
2000-03-13,248,248,243,245.5,22381
2000-03-14,247,250.5,243,249,800620
2000-03-15,251.25,257,251,257,157945
2000-03-16,258,270,258,265,442258
2000-03-17,271,271,265.5,267.5,224745
2000-03-20,267.5,270,265,267.3663,407649
2000-03-21,266,270,266,270,50168
2000-03-22,270,270,266,267,536795
2000-03-23,267.5,268,262,266,1608788
2000-03-24,267.5,268,261,264,657029
2000-03-27,265.5,267,261,263,96541
2000-03-28,264,265,261,265,318033
2000-03-29,260,265,258,258,319927
2000-03-30,260,265,259,262,102478
2000-03-31,259,263,258,258,190048
2000-04-03,262,263,258,260,225608
2000-04-04,258.5,258.5,256,256,57735
2000-04-05,260,260,255,260,34430
2000-04-06,260,260,255,256,148366
2000-04-07,257.5,258,256,256,299645
2000-04-10,258,260,254,254,170098
2000-04-11,257,257,253,256,24638
2000-04-12,256,256,248.5,248.5,62632
2000-04-13,245.75,246.5,242.5,242.5,1159754
2000-04-14,243,247,242,244.0046,90053
2000-04-17,235,235,231,234,131436
2000-04-18,234,235,231,233,814030
2000-04-19,234,234,231,233,15565
2000-04-20,234,234.5,232,234,41352
2000-04-25,235,235,232,232,102991
2000-04-26,237,240,234,234,1311364
2000-04-27,239.75,240,238,238,213237
2000-04-28,237,240,237,240,56596
2000-05-02,239,239,235,235,4564
2000-05-03,236,240,225,225,3039741
2000-05-04,236,242,235,237.75,1122785
2000-05-05,238.5,240,235,238.26,1742635
2000-05-08,237,240.5,236.8815,239,569711
2000-05-09,237.5,242,236,238,105992
2000-05-10,242,258,242,251.874,153327
2000-05-11,257,257,251,256,43584
2000-05-12,256,256,251,253,283643
2000-05-15,256,256,251,251,237422
2000-05-16,252.5,257,252,257,644922
2000-05-17,254,260,253.873,253.873,108337
2000-05-18,261,266,260.8695,260.8695,34615
2000-05-19,266,269.75,265.867,265.867,1184355
2000-05-22,272,272,265,268.8655,1462889
2000-05-23,268,268,261,262.8685,634486
2000-05-24,260.25,261.75,260,260.8695,33700
2000-05-25,259,262,258,262,113442
2000-05-26,261,262,258.5,260,99733
2000-05-30,259,262,259,261,6538
2000-05-31,261,264,260,264,159554
