Date,Open,High,Low,Close,Volume
2016-10-26,225,227,218,225,192604797
2016-10-27,225,230.61,225,229,7440348
2016-10-28,229,248.75,228.5,240,4409821
2016-10-31,248.75,250.75,238,250,3677740
2016-11-01,259.75,259.75,227.3351,249,3915239
2016-11-02,250,253.7,247,250,5274988
2016-11-03,247,251.75,247,250,770998
2016-11-04,247.5,251.5,247.5,249,787699
2016-11-07,250,255.5,247,255.5,3013238
2016-11-08,254,256.25,252.25,255,1182855
2016-11-09,250,254.75,248,250,1868163
2016-11-10,250.25,258,239.5,243,4435295
2016-11-11,242.75,248.2976,242,244,1063642
2016-11-14,236.25,245.75,236.25,239,1715219
2016-11-15,235.25,242.5,235.25,237,288353
2016-11-16,236.75,238.25,232.25,234,2138287
2016-11-17,237.25,238.8716,230.5,232.75,1089004
2016-11-18,238,238.5,232.5,235.5,411639
2016-11-21,242.5,242.5,234.9765,235,1379495
2016-11-22,235.25,240.5,235.25,237,2458328
2016-11-23,240,240,231.25,235,1366840
2016-11-24,223.75,233.75,213,233,3351377
2016-11-25,237,242.5,236.5,238.5,1064561
2016-11-28,244.75,244.75,238.5,239.25,1214802
2016-11-29,238.25,241,238,239.5,1752265
2016-11-30,245,245,235.25,238,1623854
2016-12-01,240,245,238,241.75,2230162
2016-12-02,245.75,245.75,232.5,235,2416573
2016-12-05,239,240.08,230.25,238,4384189
2016-12-06,239.75,241.5,236.25,240,3780560
2016-12-07,242.75,242.75,239.25,242.25,1159080
2016-12-08,245,245,240.75,242,1610743
2016-12-09,240.25,245,240.25,243.25,2603431
2016-12-12,243.25,246.75,242.875,245,1348654
2016-12-13,240,248,240,247,1755389
2016-12-14,248.25,248.5,241.5,244,1482948
2016-12-15,244.25,244.75,236.75,237,4202600
2016-12-16,234.75,239,231,234,36315820
2016-12-19,239,239,228.2,229,1940355
2016-12-20,231.5,231.5,223.247,229.9,2641009
2016-12-21,232.5,233.2,226.28,229.5,2261142
2016-12-22,233.3,233.4,230.1,231.3,958603
2016-12-23,233.9,233.9,230,232.7,264712
2016-12-28,233.9,239.8,232.3302,236.9,753183
2016-12-29,237.6,238.8,234.3,235,542519
2016-12-30,235.9,239.5,232,233.9,665698
2017-01-03,229.4,240.7,229.4,240.6,3086076
2017-01-04,240.2,243.2,236.816,242,1348412
2017-01-05,240.1,244,240.1,243.1,1075320
2017-01-06,242.3,245.6,240.8,242.7,1023913
2017-01-09,243.4,243.4,238.1,239.3,986821
2017-01-10,238.1,241,238.1,239.5,1867091
2017-01-11,239,241.605,238.2,239.2,1241524
2017-01-12,240.7,241.6,238.8,241,1092096
2017-01-13,241.3,243.732,239.7,239.7,748975
2017-01-16,240.2,243.8,240.2,242,665148
2017-01-17,242.4,243.7739,238.2,240,969582
2017-01-18,237.1,242.4,237.05,241.3,561112
2017-01-19,243.5,243.5,240.9,241.8,1436279
