Date,Open,High,Low,Close,Volume
2000-01-04,454.5,461.5,454.5,461.5,822
2000-01-05,455.33,461.5,454.94,461.5,200000
2000-01-10,454.5,461.5,453,461.5,670
2000-01-11,453,457.5,453,457.5,2500
2000-01-12,451.5,463.5,450,457.5,3320
2000-01-13,464.94,464.94,457.5,457.5,3669
2000-01-14,451.5,457.5,451.5,457.5,579
2000-01-17,465.0086,505.0093,465.0086,465.0086,10745
2000-01-18,493.75,495,490,490,1715
2000-01-19,486.25,490,485,490,2500
2000-01-20,485,495,485,485,13588
2000-01-21,476.5,485,476.5,485,3825
2000-01-24,475,485,475,485,400
2000-01-25,476.5,476.5,471,471,2553
2000-01-26,466.5,471,466.5,471,101
2000-01-27,480,480,472.5,472.5,718
2000-01-28,465,472.5,465,472.5,1100
2000-02-01,470,470,465,465,2500
2000-02-02,468.5,479.92,465,465,5300
2000-02-04,518,529.87,502,522.5,963
2000-02-07,528,553.5,518,535,9138
2000-02-08,527,535,527,535,30
2000-02-10,528,554.7,528,545,10209
2000-02-11,538,545,538,545,2000
2000-02-14,537,545,537,545,500
2000-02-22,627,631.5,627,631.5,116639
2000-02-25,700,700,700,700,2000
2000-03-07,755,755,710,755,12000
2000-03-14,695.0051,735.0054,695.0051,695.0051,1963
2000-03-16,715.72,720,715.72,720,11463
2000-03-20,724.81,796.29,724.81,725,54805
2000-03-22,720,720,712.5,712.5,1000
2000-03-28,664.43,664.43,650,650,1000
2000-04-03,666.22,672.5,666.22,672.5,6255
2000-04-07,675.35,677.5,675.35,677.5,1372
2000-04-12,673.68,673.68,672.5,672.5,3446
2000-04-17,664.4,664.4,627.5,627.5,14500
2000-04-18,642.5,642.5,630,630,1300
2000-04-26,640,645,640,645,5207
2000-04-28,632.55,640,632.55,640,5884
2000-05-05,626.25,630,626.25,630,500
2000-05-09,630,630,630,630,366
2000-05-10,640,640,630,632.5,3150
2000-05-12,620,632.5,620,632.5,1400
2000-05-15,643,643,632.5,632.5,2873
2000-05-16,655,655,637.5,637.5,22035
2000-05-17,627,637.5,627,637.5,500
2000-05-18,645,645,637.5,637.5,5769
2000-05-22,625,645,625,640,4500
2000-05-23,645,660,645,660,3500
2000-05-24,668,668,652,660,1074
2000-05-26,667,667,660,660,185
2000-05-30,670,670,667.5,667.5,3493
2000-05-31,667.03,677.5,667.03,677.5,5851
2000-06-01,665.43,677.5,665,677.5,7570
2000-06-02,657.3,677.5,657.3,677.5,1102642
2000-06-05,651.9,677.5,651.9,677.5,1069
2000-06-07,667,688,660.45,677.5,3796
2000-06-08,655,657.5,655,657.5,1562
2000-06-09,640,650,640,650,1500
2000-06-14,650,650,650,650,1584
2000-06-15,642,650,640,650,739
2000-06-16,630,650,604.2,650,7856
2000-06-19,636.75,636.75,625,625,3100
2000-06-20,602.19,607,597.5,597.5,9060
2000-06-21,593.93,597.5,585,597.5,25800
2000-06-22,608,608,597.5,597.5,792
2000-06-26,588,592.5,556.25,592.5,6198
2000-06-28,600,600,592.5,592.5,646
2000-06-29,570.02,570.02,567.5,567.5,4018
2000-06-30,588.96,588.96,567.5,567.5,13727
2000-07-03,585,585,575,575,423
2000-07-04,580,610.11,580,582.5,3810
2000-07-05,600,630,600,620,19856
2000-07-06,610,625,610,617.5,6905
2000-07-07,630.77,630.77,622.5,622.5,102000
2000-07-10,647.35,647.35,635,635,350
2000-07-13,650,650,637.5,637.5,17
2000-07-14,630,630,610,630,6357
2000-07-21,625,640.64,610,622.5,5952
2000-07-24,610,635,610,622.5,2932
2000-07-25,617,622.5,617,622.5,3924
2000-07-26,635,635,615,615,750
2000-07-28,595,597.5,585,597.5,1054
2000-08-01,590,592.5,590,592.5,7500
2000-08-10,587.5,587.5,587.5,587.5,433
2000-08-11,588,588,587.5,587.5,433
2000-08-14,590,590,587.5,587.5,1554
2000-08-22,635,635,632.5,632.5,184
2000-08-23,645,645,632.5,632.5,620
2000-08-24,642,662.5,642,662.5,3100
2000-08-25,675,675,662.5,662.5,1000
2000-08-29,653,662.5,653,662.5,14000
2000-08-30,672,672,667.5,667.5,179
2000-08-31,673,673.25,667.5,667.5,12653
2000-09-05,657.68,672.5,657.68,672.5,200
2000-09-11,663,672.5,663,672.5,1200
2000-09-12,663,665,661.25,665,400
2000-09-18,661.25,662.5,660,662.5,3243
2000-09-19,655,655,645,647.5,2500
2000-09-20,645,645,610.98,632.5,10060
2000-09-26,620,620,615,617.5,4156
2000-09-28,585.0073,635.008,585.0073,585.0073,10000
2000-10-03,615,621.15,610,610,105408
2000-10-04,595,607.5,595,607.5,75
2000-10-18,593.5,593.5,575.5,577.5,5353
2000-10-19,578,580,577.5,577.5,1711
2000-10-26,577,587.5,577,587.5,267
2000-11-01,600,600,592.5,592.5,2550
2000-11-02,598,600,597,597.5,2445
2000-11-03,600,627.5,600,627.5,5000
2000-11-06,626.38,627.5,626.38,627.5,2800
2000-11-08,635,650,635,640,2518
2000-11-10,635,647.5,635,647.5,1000
2000-11-14,635,647.5,635,647.5,417
2000-11-20,667,670,657.5,657.5,400
2000-11-22,667.6,685,667.6,675,7259
2000-11-24,665,682,665,675,335729
2000-11-27,670,672.5,670,672.5,7175
2000-11-28,670,672.5,660,672.5,1918
2000-11-29,684,684,672.5,672.5,50000
2000-11-30,660,683.18,655,670,55352
2000-12-01,660,660,647.5,647.5,7274
2000-12-04,660,682,660,672.5,101218
2000-12-05,664.02,672.5,664.02,672.5,1000
2000-12-06,663.07,685,663,672.5,846
2000-12-07,676.16,676.16,672.5,672.5,2302
