Date,Amount,Currency
2007-11-28,0.02815,GBP
2008-06-18,4.22222,GBP
2008-11-12,2.95555,GBP
2009-05-27,0.04504,GBP
2009-11-11,3.0963,GBP
2010-05-26,0.04644,GBP
2010-12-08,0.04025,GBP
2011-06-15,4.02518,GBP
2011-12-14,0.0418,GBP
2012-06-20,4.18,GBP
2012-12-12,0.0418,GBP
2013-06-19,4.95407,GBP
2013-11-27,0.04715,GBP
2014-06-18,4.71482,GBP
2014-11-27,4.75704,GBP
2015-06-18,5.09481,GBP
2015-07-08,21.53333,GBP
2015-11-26,4.59167,GBP
2016-05-19,4.59167,GBP
2016-11-24,0.04782,GBP
2017-06-15,4.78167,GBP
2017-11-23,0.04972,GBP
2018-03-15,0.414,GBP
2018-06-14,0.03925,GBP
2018-11-22,0.04325,GBP
2019-06-13,0.04325,GBP
2019-11-28,0.046,GBP
2020-06-18,0.046,GBP
2020-11-26,0.049,GBP
2021-06-17,0.049,GBP
2021-11-25,0.05225,GBP
2022-06-16,0.05225,GBP
2022-11-24,0.05575,GBP
2023-06-15,0.05575,GBP
2023-11-23,0.0595,GBP
2024-06-13,0.0595,GBP
2024-11-21,0.06325,GBP
