Date,Amount,Currency
2011-12-07,0.02,GBP
2012-05-30,0.02,GBP
2012-12-05,0.035,GBP
2013-06-05,0.02,GBP
2013-12-04,0.025,GBP
2014-06-11,0.02,GBP
2014-12-04,0.085,GBP
2015-06-11,0.02,GBP
2015-12-03,0.097,GBP
2016-06-09,0.02,GBP
2016-12-01,0.028,GBP
2017-06-08,0.02,GBP
2017-12-07,0.1,GBP
2018-06-14,0.02,GBP
2018-12-06,0.11,GBP
2019-06-06,0.02,GBP
2019-12-05,0.145,GBP
2020-06-11,0.06,GBP
2020-12-03,0.105,GBP
2021-06-10,0.06,GBP
2021-12-02,0.105,GBP
2022-06-23,0.012,GBP
2022-12-01,0.021,GBP
2023-06-15,0.012,GBP
2023-11-30,0.002,GBP
2024-06-20,0.012,GBP
2024-11-28,0.0255,GBP
