Date,Amount,Currency
2000-01-31,0.0475,GBP
2000-07-31,0.03,GBP
2001-02-07,0.0565,GBP
2001-08-08,0.032,GBP
2002-01-30,0.059,GBP
2002-08-07,0.033,GBP
2003-02-05,0.062,GBP
2003-08-06,0.035,GBP
2004-02-04,0.066,GBP
2004-08-04,0.0375,GBP
2005-02-02,0.0725,GBP
2005-08-03,0.04,GBP
2006-02-08,0.0785,GBP
2006-08-02,0.0425,GBP
2007-02-07,0.0915,GBP
2007-07-25,0.047,GBP
2008-01-30,0.105,GBP
2008-07-30,0.06,GBP
2009-02-04,0.13,GBP
2009-07-29,0.06,GBP
2010-02-03,0.13,GBP
2010-03-10,0.06,GBP
2011-02-02,0.13,GBP
2011-08-03,0.0645,GBP
2012-02-01,0.143,GBP
2012-08-01,0.07,GBP
2013-02-06,0.1525,GBP
2013-07-31,0.0735,GBP
2014-02-05,0.1615,GBP
2014-08-06,0.0775,GBP
2015-02-12,0.17,GBP
2015-08-06,0.0815,GBP
2016-02-11,0.1785,GBP
2016-08-04,0.086,GBP
2017-02-09,0.215,GBP
2017-08-03,0.0905,GBP
2018-02-08,0.2645,GBP
2018-08-09,0.095,GBP
2019-02-07,0.285,GBP
2019-08-08,0.1,GBP
2020-02-06,0.22,GBP
2020-08-06,0.104,GBP
2021-02-11,0.229,GBP
2021-08-05,0.1095,GBP
2022-02-10,0.2425,GBP
2022-08-04,0.1205,GBP
2023-02-09,0.2695,GBP
2023-08-03,0.1295,GBP
2024-02-08,0.2855,GBP
2024-08-08,0.136,GBP
2025-02-06,0.3,GBP
