Date,Amount,Currency
2000-07-10,0.01746,GBP
2000-12-18,0.96987,GBP
2001-07-11,0.01367,GBP
2001-12-19,0.96987,GBP
2002-07-10,1.54298,GBP
2002-12-18,0.01014,GBP
2003-07-09,0.01631,GBP
2003-12-17,1.10213,GBP
2004-07-07,0.01852,GBP
2004-12-15,0.0119,GBP
2005-07-06,0.02337,GBP
2005-12-14,1.54298,GBP
2006-07-05,3.74723,GBP
2006-12-13,2.11609,GBP
2007-07-04,0.04982,GBP
2007-12-12,2.90962,GBP
2008-07-09,7.22996,GBP
2008-12-17,0.03527,GBP
2009-07-08,9.1697,GBP
2009-12-16,4.23217,GBP
2010-06-16,0.11286,GBP
2010-12-15,4.58485,GBP
2011-07-06,12.52017,GBP
2011-12-14,5.0257,GBP
2012-07-04,0.14989,GBP
2012-12-12,5.55472,GBP
2013-07-03,17.63404,GBP
2013-12-11,6.08374,GBP
2014-07-02,0.164,GBP
2014-12-11,0.055,GBP
2015-07-02,0.181,GBP
2015-12-10,0.0605,GBP
2016-06-30,0.1975,GBP
2016-12-08,0.065,GBP
2017-06-29,0.2165,GBP
2017-12-07,0.0685,GBP
2018-06-28,0.2265,GBP
2018-12-06,0.071,GBP
2019-07-04,0.229,GBP
2019-12-05,0.072,GBP
2023-11-23,0.017,GBP
2024-08-22,0.033,GBP
2024-12-05,0.02,GBP
