Date,Amount,Currency
2000-02-21,0.07309,GBP
2000-08-14,0.04498,GBP
2001-02-21,0.08546,GBP
2001-08-15,0.05173,GBP
2002-02-27,0.09783,GBP
2002-08-14,0.05713,GBP
2003-02-26,0.10795,GBP
2003-08-13,0.06342,GBP
2004-02-25,0.121,GBP
2004-08-18,0.07422,GBP
2005-02-23,0.14169,GBP
2005-08-17,0.08276,GBP
2006-03-01,0.15653,GBP
2006-08-16,0.09446,GBP
2007-03-07,0.18442,GBP
2007-08-15,0.10346,GBP
2008-03-05,0.20241,GBP
2008-08-20,0.10623,GBP
2009-11-18,0.00924,GBP
2010-02-24,0.01386,GBP
2010-05-12,0.00924,GBP
2010-08-11,0.00924,GBP
2010-11-17,0.00924,GBP
2011-02-23,0.02309,GBP
2011-05-04,0.00924,GBP
2011-08-10,0.00924,GBP
2011-11-09,0.00924,GBP
2012-02-22,0.02771,GBP
2012-05-02,0.00924,GBP
2012-08-08,0.00924,GBP
2012-11-07,0.00924,GBP
2013-02-20,0.03233,GBP
2013-05-01,0.00924,GBP
2013-08-07,0.00924,GBP
2013-08-08,0.01,GBP
2013-11-07,0.01,GBP
2014-02-20,0.035,GBP
2014-05-14,0.01,GBP
2014-08-06,0.01,GBP
2014-11-06,0.01,GBP
2015-03-10,0.035,GBP
2015-05-07,0.01,GBP
2015-08-06,0.01,GBP
2015-11-05,0.01,GBP
2016-03-10,0.035,GBP
2016-08-11,0.01,GBP
2017-03-02,0.02,GBP
2017-08-10,0.01,GBP
2018-03-01,0.02,GBP
2018-08-09,0.025,GBP
2019-02-28,0.04,GBP
2019-08-08,0.03,GBP
2020-02-27,0.06,GBP
2021-02-25,0.01,GBP
2021-08-12,0.02,GBP
2022-03-03,0.04,GBP
2022-08-11,0.0225,GBP
2023-02-23,0.05,GBP
2023-08-10,0.027,GBP
2024-02-29,0.053,GBP
2024-08-15,0.029,GBP
2025-02-27,0.055,GBP
