Date,Amount,Currency
2000-03-13,5,GBX
2000-10-02,3.3,GBX
2001-04-18,5.2,GBX
2001-10-17,3.5,GBX
2002-04-17,5.5,GBX
2002-10-16,3.7,GBX
2003-04-16,5.5,GBX
2003-10-15,3.7,GBX
2004-04-21,5.5,GBX
2004-10-20,3.7,GBX
2005-04-20,5.8,GBX
2005-10-19,4,GBX
2006-04-19,6.3,GBX
2006-10-18,4.4,GBX
2007-04-18,6.9,GBX
2007-10-17,5,GBX
2008-04-16,7.8,GBX
2008-10-15,5.8,GBX
2009-04-22,8.7,GBX
2009-10-21,6.4,GBX
2010-04-21,9.6,GBX
2010-10-20,7,GBX
2011-04-20,10.5,GBX
2011-10-19,7.5,GBX
2012-04-18,11.3,GBX
2012-10-17,7.8,GBX
2013-04-17,11.7,GBX
2013-10-23,8,GBX
2014-04-16,12.1,GBX
2014-10-23,8.2,GBX
2015-04-16,12.3,GBX
2015-10-22,8.4,GBX
2016-04-21,12.5,GBX
2016-10-20,8.6,GBX
2017-04-20,12.7,GBX
2017-10-19,8.8,GBX
2018-04-19,13,GBX
2018-10-18,9,GBX
2019-04-18,13.2,GBX
2019-10-17,9.4,GBX
2020-04-16,13.8,GBX
2020-08-06,13.8,GBX
2020-10-22,9.4,GBX
2021-04-22,14.3,GBX
2021-10-21,9.9,GBX
2022-04-21,15.2,GBX
2022-10-20,10.4,GBX
2023-04-20,16.6,GBX
2023-10-19,11.5,GBX
2024-04-18,18.5,GBX
2024-10-24,12.4,GBX
