Date,Amount,Currency
2000-01-10,2.81714,GBP
2000-07-10,0.06214,GBP
2001-01-08,2.98285,GBP
2001-07-11,0.06546,GBP
2002-01-23,3.14856,GBP
2002-07-24,7.12569,GBP
2003-01-22,0.03397,GBP
2003-07-23,0.07706,GBP
2004-01-21,0.03671,GBP
2004-07-21,0.08344,GBP
2005-01-19,0.03977,GBP
2005-07-20,0.09031,GBP
2006-01-18,4.30856,GBP
2006-07-17,0.09777,GBP
2007-01-17,0.0464,GBP
2007-04-18,0.05386,GBP
2007-07-18,6.83569,GBP
2007-10-17,7.24998,GBP
2008-01-16,0.0725,GBP
2008-04-16,0.0725,GBP
2008-07-16,7.24998,GBP
2008-10-15,7.76784,GBP
2009-01-12,6.4579,GBP
2009-01-14,7.76784,GBP
2009-02-25,7.76784,GBP
2009-07-08,0.065,GBP
2009-10-14,0.065,GBP
2010-01-13,0.065,GBP
2010-04-07,0.065,GBP
2010-07-07,0.065,GBP
2010-10-06,0.065,GBP
2011-01-12,0.065,GBP
2011-03-30,0.065,GBP
2011-07-06,0.065,GBP
2011-10-05,0.065,GBP
2012-01-11,0.065,GBP
2012-03-29,0.065,GBP
2012-07-04,0.066,GBP
2012-10-04,0.066,GBP
2013-01-09,0.066,GBP
2013-01-10,0.0825,GBP
2013-03-27,0.066,GBP
2013-03-28,0.0825,GBP
2013-07-03,0.066,GBP
2013-07-04,0.0825,GBP
2013-10-02,0.0675,GBP
2013-10-03,0.08438,GBP
2014-01-09,0.0675,GBP
2014-03-20,0.0675,GBP
2014-07-02,0.0675,GBP
2014-10-01,0.0692,GBP
2015-01-08,0.0692,GBP
2015-03-26,0.0692,GBP
2015-07-02,0.0692,GBP
2015-10-01,0.0709,GBP
2016-01-07,0.0709,GBP
2016-03-31,0.0709,GBP
2016-06-30,0.0709,GBP
2016-10-06,0.073,GBP
2017-01-05,0.073,GBP
2017-03-30,0.073,GBP
2017-06-29,0.073,GBP
2017-10-05,0.0752,GBP
2018-01-04,0.0752,GBP
2018-03-29,0.0752,GBP
2018-06-28,0.0752,GBP
2018-10-04,0.0775,GBP
2019-01-03,0.0775,GBP
2019-03-28,0.0775,GBP
2019-06-27,0.0775,GBP
2019-10-03,0.07983,GBP
2020-01-02,0.07983,GBP
2020-03-26,7.9825,GBP
2021-01-07,0.084,GBP
2021-06-24,0.0664,GBP
2021-11-25,0.1032,GBP
2022-06-23,0.116,GBP
2022-11-24,0.116,GBP
2023-06-22,0.1104,GBP
2023-11-23,0.1216,GBP
2024-06-20,0.1064,GBP
2024-12-05,0.1224,GBP
