Date,Amount,Currency
2014-12-04,0.009,GBX
2015-06-25,0.025,GBX
2015-12-03,0.016,GBX
2016-06-09,0.1,GBX
2016-06-23,0.032,GBX
2016-11-24,0.019,GBX
2017-06-22,0.039,GBX
2017-11-23,0.024,GBX
2018-06-28,0.048,GBX
2018-11-22,0.027,GBX
2019-06-20,0.049,GBX
2019-11-21,0.027,GBX
2020-03-19,0.15,GBX
2020-08-20,0.054,GBX
2020-11-19,0.043,GBX
2021-01-14,0.2,GBX
2021-07-01,0.13,GBX
2021-11-18,0.05,GBX
2021-12-16,0.25,GBX
2022-06-30,0.115,GBX
2022-11-17,0.05,GBX
2023-01-12,0.2,GBX
2023-06-29,0.096,GBX
2023-11-16,0.051,GBX
2024-01-18,0.2,GBX
2024-06-27,0.096,GBX
2024-11-21,0.053,GBX
2025-01-16,0.15,GBX
