Date,Amount,Currency
2000-05-15,0.00727,GBP
2000-10-30,0.2423,GBP
2001-05-16,0.00969,GBP
2001-10-31,0.00363,GBP
2002-05-15,0.01163,GBP
2002-10-30,0.3998,GBP
2003-05-21,1.33749,GBP
2003-11-05,0.45552,GBP
2004-05-26,1.62825,GBP
2004-11-03,0.50398,GBP
2005-05-25,2.40361,GBP
2005-11-02,0.00582,GBP
2006-05-24,0.02908,GBP
2006-11-01,0.63967,GBP
2007-05-23,2.9076,GBP
2007-10-31,0.67844,GBP
2008-05-21,0.03198,GBP
2008-10-22,0.7269,GBP
2009-05-18,0.0347,GBP
2009-10-21,0.00756,GBP
2010-05-19,0.03538,GBP
2010-10-20,0.78505,GBP
2011-04-27,0.0379,GBP
2011-08-24,0.27138,GBP
2011-11-02,0.00863,GBP
2012-08-29,4.17725,GBP
2012-10-31,0.00911,GBP
2013-08-28,0.0442,GBP
2013-10-30,0.0095,GBP
2014-08-27,4.69092,GBP
2014-11-06,0.00989,GBP
2015-08-27,0.04924,GBP
2015-11-05,0.01027,GBP
2016-08-25,5.17552,GBP
2016-11-03,0.01066,GBP
2017-08-24,5.42751,GBP
2017-11-02,0.01115,GBP
2018-07-26,6.16411,GBP
2018-11-01,1.17273,GBP
2019-07-25,6.54209,GBP
2019-11-07,1.24057,GBP
2020-07-30,0.0689,GBP
2020-11-05,0.0128,GBP
2021-07-29,0.0978,GBP
2021-11-04,0.0134,GBP
2022-07-28,0.094,GBP
2022-11-03,0.0141,GBP
2023-07-27,0.1034,GBP
2023-11-02,0.037,GBP
2024-07-25,0.1099,GBP
2024-10-31,0.0389,GBP
