Date,Amount,Currency
2000-02-21,0.03125,GBP
2000-02-23,3.1,GBP
2000-05-15,0.0322,GBP
2000-08-14,0.03352,GBP
2000-11-13,0.03602,GBP
2001-02-21,0.03617,GBP
2001-05-16,0.03665,GBP
2001-08-15,0.03911,GBP
2001-11-14,0.03805,GBP
2002-02-20,0.04055,GBP
2002-05-15,0.04051,GBP
2002-08-14,0.03875,GBP
2002-11-13,0.03897,GBP
2003-02-26,0.03815,GBP
2003-05-14,0.03947,GBP
2003-08-13,0.04039,GBP
2003-11-12,0.03857,GBP
2004-02-18,0.03674,GBP
2004-05-12,0.03807,GBP
2004-08-11,0.0386,GBP
2004-11-10,0.0391,GBP
2005-02-16,0.04522,GBP
2005-05-11,0.0445,GBP
2005-08-10,0.05119,GBP
2005-11-09,0.05061,GBP
2006-02-22,0.05288,GBP
2006-05-10,0.05251,GBP
2006-08-09,0.05324,GBP
2006-11-08,0.05241,GBP
2007-02-21,0.05258,GBP
2007-05-09,0.05151,GBP
2007-08-08,0.05278,GBP
2007-11-07,0.05308,GBP
2008-02-20,0.06813,GBP
2008-05-14,0.0683,GBP
2008-08-13,0.07039,GBP
2008-11-12,0.08705,GBP
2009-02-18,0.09818,GBP
2009-05-13,0.09584,GBP
2009-08-12,0.08503,GBP
2009-11-11,0.08512,GBP
2010-02-17,0.08679,GBP
2011-02-09,0.04337,GBP
2011-05-11,0.04281,GBP
2011-08-03,0.04316,GBP
2011-11-02,0.04469,GBP
2012-02-15,0.05096,GBP
2012-05-09,0.0515,GBP
2012-08-08,0.05017,GBP
2012-08-09,0.08,GBP
2012-11-07,0.05589,GBP
2012-11-08,0.09,GBP
2013-02-13,0.06001,GBP
2013-02-14,0.09,GBP
2013-05-08,0.05834,GBP
2013-05-09,0.09,GBP
2013-08-07,0.05763,GBP
2013-08-08,0.09,GBP
2013-11-06,0.05801,GBP
2013-11-07,0.095,GBP
2014-02-12,0.05707,GBP
2014-02-13,0.095,GBP
2014-05-07,0.05807,GBP
2014-08-06,0.05959,GBP
2014-11-06,0.06377,GBP
2015-02-12,0.0667,GBP
2015-05-07,0.0653,GBP
2015-08-06,0.06549,GBP
2015-11-05,0.06634,GBP
2016-02-11,0.07013,GBP
2016-05-05,0.06917,GBP
2016-08-04,0.07558,GBP
2016-11-10,0.07931,GBP
2017-02-16,0.08159,GBP
2017-05-11,0.07756,GBP
2017-08-10,0.07621,GBP
2017-11-09,0.07444,GBP
2018-02-15,0.07169,GBP
2018-05-10,0.07444,GBP
2018-08-09,0.0793,GBP
2018-11-08,0.08025,GBP
2019-02-14,0.07738,GBP
2019-05-09,0.08066,GBP
2019-08-08,0.08348,GBP
2019-11-07,0.07825,GBP
2020-02-13,0.08156,GBP
2020-05-07,0.08342,GBP
2020-08-13,0.04043,GBP
2020-11-05,0.03917,GBP
2021-02-18,0.03768,GBP
2021-05-06,0.03712,GBP
2021-08-12,0.03953,GBP
2021-11-11,0.04105,GBP
2022-02-17,0.0416,GBP
2022-05-12,0.04356,GBP
2022-08-11,0.05168,GBP
2022-11-10,0.0494,GBP
2023-02-16,0.05551,GBP
2023-05-11,0.05309,GBP
2023-08-10,0.05732,GBP
2023-11-09,0.05737,GBP
2024-02-15,0.05692,GBP
2024-05-16,0.05683,GBP
2024-08-08,0.0605,GBP
2024-11-07,0.06296,GBP
2025-02-20,0.063,GBP
