Date,Amount,Currency
2000-05-15,0.0252,GBP
2000-10-23,0.0171,GBP
2001-05-16,0.0262,GBP
2001-10-17,0.0171,GBP
2002-05-22,0.0262,GBP
2002-10-16,0.0171,GBP
2003-05-14,0.0262,GBP
2003-10-15,0.0171,GBP
2004-05-12,0.0271,GBP
2004-10-20,0.0175,GBP
2005-04-27,0.0277,GBP
2005-10-19,0.0179,GBP
2006-05-03,0.0283,GBP
2006-10-18,0.0183,GBP
2007-05-02,0.0293,GBP
2007-10-17,0.0189,GBP
2008-05-07,0.0301,GBP
2008-10-15,0.0195,GBP
2009-06-03,0.007,GBP
2009-10-14,0.02,GBP
2010-05-12,0.005,GBP
2010-10-20,0.022,GBP
2011-05-11,0.048,GBP
2011-10-26,0.0242,GBP
2012-05-30,0.0598,GBP
2012-11-07,0.035,GBP
2013-05-29,0.065,GBP
2013-10-30,0.046,GBP
2014-05-14,0.074,GBP
2014-11-06,0.055,GBP
2015-05-21,0.09,GBP
2015-11-05,0.07,GBP
2016-05-19,0.105,GBP
2016-11-03,0.08,GBP
2017-05-18,0.13,GBP
2017-11-09,0.1,GBP
2018-05-17,0.16,GBP
2018-11-08,0.12,GBP
2019-05-16,0.192,GBP
2019-11-14,0.128,GBP
2020-06-11,0.197,GBP
2020-11-12,0.128,GBP
2021-05-20,0.205,GBP
2021-11-11,0.13,GBP
2022-05-12,0.22,GBP
2022-11-10,0.145,GBP
2023-05-18,0.255,GBP
2023-11-02,0.15,GBP
2024-05-23,0.27,GBP
2024-10-31,0.155,GBP
