Date,Amount,Currency
2003-06-04,0.01,GBP
2004-06-02,0.0105,GBP
2004-11-17,0.005,GBP
2005-06-01,0.015,GBP
2005-11-23,0.02,GBP
2006-06-07,0.03,GBP
2006-11-29,0.035,GBP
2007-06-13,0.055,GBP
2007-12-05,0.04,GBP
2008-06-11,0.055,GBP
2010-06-09,0.04,GBP
2010-12-08,0.04,GBP
2011-06-08,0.05,GBP
2011-12-07,0.045,GBP
2012-06-06,0.055,GBP
2012-12-05,0.05,GBP
2013-06-12,0.06,GBP
2013-12-11,0.08,GBP
2014-06-11,0.084,GBP
2014-12-11,0.104,GBP
2015-06-11,0.113,GBP
2015-12-10,0.121,GBP
2016-06-16,0.128,GBP
2016-12-08,0.135,GBP
2017-06-22,0.141,GBP
2017-12-07,0.153,GBP
2018-06-21,0.155,GBP
2018-12-06,0.167,GBP
2019-06-20,0.165,GBP
2019-12-05,0.171,GBP
2020-06-18,0.167,GBP
2020-12-03,0.17,GBP
2021-07-08,0.17,GBP
2021-12-02,0.206,GBP
2022-07-07,0.214,GBP
2023-01-05,0.223,GBP
2023-07-06,0.229,GBP
2024-01-04,0.226,GBP
2024-07-04,0.226,GBP
2025-01-02,0.226,GBP
