Date,Amount,Currency
2000-05-02,4.38222,GBP
2001-05-02,4.38222,GBP
2002-05-01,0.04382,GBP
2003-04-30,0.08764,GBP
2003-09-10,0.03022,GBP
2004-05-05,0.07556,GBP
2004-09-15,0.03476,GBP
2005-05-04,7.85778,GBP
2005-09-21,0.03778,GBP
2006-05-03,7.55556,GBP
2006-09-20,3.14815,GBP
2007-05-02,0.06296,GBP
2007-09-19,0.03148,GBP
2008-05-14,0.06926,GBP
2008-09-17,3.4,GBP
2009-05-13,6.92592,GBP
2009-09-09,0.03778,GBP
2010-03-17,10.07407,GBP
2010-09-15,4.40741,GBP
2011-05-11,0.12215,GBP
2011-09-14,5.66667,GBP
2012-05-16,13.22222,GBP
2012-09-19,6.2963,GBP
2013-05-15,13.22222,GBP
2013-06-24,0.487,GBP
2013-09-18,0.05893,GBP
2014-05-21,13.94,GBP
2014-09-17,6.68667,GBP
2015-02-20,0.719,GBP
2015-05-21,0.131,GBP
2015-09-17,0.064,GBP
2016-03-23,0.15,GBP
2016-09-15,0.072,GBP
2017-05-11,0.15,GBP
2017-09-14,0.074,GBP
2018-05-31,0.187,GBP
2018-09-13,0.087,GBP
2019-05-30,0.216,GBP
2019-09-12,0.101,GBP
2020-05-28,0.269,GBP
2020-09-24,0.123,GBP
2021-06-03,0.384,GBP
2021-09-23,0.169,GBP
2022-06-09,0.494,GBP
2022-09-29,0.221,GBP
2023-06-15,0.458,GBP
2023-09-28,0.226,GBP
2024-06-06,0.474,GBP
2024-09-26,0.233,GBP
